x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096,x86 inductor b8192,x86 inductor b16384,x86 inductor b32768,x86 inductor b65536,x86 inductor b131072,x86 inductor b262144
5378631688,5339785469,5306192663,5360537128,5420029682,5334439205,5311811259,4101124000,5375367873,5471983078,5547359672,5597062894,5912371319,5346861173,7378605310
614396,1138713,2078462,3999129,7526275,14560404,75535842,86746775,76242167,142810741,215705181,280649165,546053930,1083235061,2065349858
575536,1107456,1909735,3691692,7238092,14361385,28396394,60858107,76827472,119494879,175201101,296942013,532989632,1074446328,2054978119
551149,1037316,1896039,3682404,7218586,13983640,28653321,76955019,85074042,99930318,161493360,328986950,573659710,1063779684,2062081640
544255,1009375,1963693,3823780,7454998,14477755,28320825,39630768,72096665,110572532,193471952,288689586,558154088,1098282231,2063080062
544766,1001983,1885548,3667237,7212817,14028300,28643778,46504892,95695800,107854221,178686193,287472785,536676861,1072428382,2064368131
545906,1005758,1886681,3666173,7206794,13981520,28316399,52814310,53568349,120978874,165130642,287075184,545382346,1126326298,2053417350
550576,1007478,1899670,3678273,7229775,14380184,28636921,47206903,78982549,146178156,174245451,311409444,565086161,1082398002,2075020070
544479,998331,1892535,3667294,7249220,14028389,28273786,69147166,87688749,103606577,160529136,298987017,551691364,1080233385,2046327100
536321,992367,1884349,3661354,7223898,14446088,28657501,58910240,68412604,147671422,180687733,275886365,560844612,1087294346,2063772220
535206,992983,1882169,3652079,7211244,14012059,28276928,40791637,81932971,156366051,162908796,293053199,589531279,1158527325,2068826703
538626,991596,1876185,3660230,7207658,13949398,28615160,61383140,77586436,118885081,159353702,308147184,565308690,1123675573,2075971672
534333,993980,1876350,3657158,7202057,14338182,28292229,84431269,77256903,121392256,182207019,317811732,550319676,1086938337,2059286857
536508,994863,1880676,3647484,7194357,13985517,28620083,53940310,90778698,117280217,174414731,288170032,609720067,1070515664,2069499799
537387,994466,1882169,3653953,7195823,14447490,28294738,76098791,62407517,102056038,169651963,290351304,562518121,1099314120,2058259409
532999,992766,1869458,3660937,7197064,13985518,28657729,102030389,90142882,116390529,174797592,311721932,561175562,1066020214,2082691728
536013,987467,1875030,3653711,7197851,13929829,28274752,104926678,74673875,106208664,185732897,318055588,546332110,1069051837,2046441822
536616,988850,1885332,3649605,7189346,14350955,28609502,49416439,90360246,95402894,211317646,335180817,569791486,1099090451,2082084824
537248,989688,1884231,3649322,7188170,13981265,28372548,53606688,70720436,103627408,160528097,335522714,533092579,1115859239,2049746489
538523,992165,1881073,3656706,7161717,14410252,28615687,50529260,80490868,107974548,165857828,297318034,568275256,1067287802,2038891932
534982,991507,1876812,3653242,7187545,13957772,28355127,77004821,66659299,126352708,204119788,293684373,548307975,1080280382,2063758867
545061,990398,1872680,3645314,7195914,13945335,28713661,85384697,84128342,120662263,160298714,310442721,539829968,1104006023,2072689805
542214,984817,1875041,3650659,7201210,14342484,28322656,85787938,92557530,144099719,181215614,300876872,556845561,1118853904,2072923376
535653,985580,1878048,3652394,7191164,13953098,28741062,91800666,94283905,117146957,162249234,328545679,571874868,1090218876,2056940316
537790,986424,1873616,3655506,7194757,14474776,28298934,105311860,77255423,112920289,163624419,284784732,544726355,1067349871,2043729024
541173,991162,1876543,3680989,7183554,14007955,28671646,85079873,83202178,147887110,156273147,342150806,540127128,1119818573,2065465514
536178,991448,1879069,3683361,7187325,13964391,28331443,77796167,75066860,88043746,212842628,308864689,547260112,1149362504,2070051368
536952,992059,1872906,3671001,7165647,14308488,28582613,56724925,77373635,111505280,215356285,316402865,555374829,1085020553,2077519312
542709,990090,1879416,3674184,7160515,13976130,28209301,95671340,76923838,128708442,185020378,307104043,554570756,1085816434,2079685424
536111,989637,1879331,3667054,7190541,14504842,28305688,84874690,69449836,121361549,155692343,308142206,559135479,1143326800,2042972204
538504,993046,1877408,3653309,7179799,14009411,28190995,85299428,72566555,128449870,209838761,306340926,549105652,1102461376,2071249571
541127,991716,1883467,3655248,7191902,13983164,28308712,76826769,56831788,145539808,171855398,286334899,552577009,1110365958,2062292788
536944,991317,1884007,3653342,7186565,14358951,28155913,65667750,55571918,126906239,191213282,288576789,532495104,1065831176,2041544148
543856,988658,1876966,3655026,7196745,13956384,28274924,82669531,54117258,136671689,166891267,290315460,535995026,1088628235,2062587772
539613,986872,1879776,3655966,7195724,14503325,28376590,113551601,69645009,120533251,167514355,294747205,539786196,1073997808,2082925862
538302,988048,1874327,3658686,7184822,13979572,28598621,72162563,64578638,112495837,176269795,289582464,569926176,1108059316,2055833325
542589,989567,1877311,3658788,7183647,13982759,28305625,49869565,70825078,113500624,200164627,321112800,566863346,1091746815,2079378870
545651,991915,1879957,3655810,7188427,14324804,28594769,54631861,78003816,114944121,155405256,286117045,535324553,1084274361,2073368236
538015,987234,1873184,3653046,7162362,13978451,28308724,87613858,65392409,103955722,208177882,315731815,550515664,1065675455,2065078979
540279,985271,1875887,3647469,7189969,14445648,28607477,49225939,69891698,120038248,187159651,317271199,600205848,1092147347,2095103619
539132,983666,1873670,3646126,7188768,13964980,28407592,57479739,62217660,96651540,174606890,326977769,544398587,1089614514,2057592553
536065,985921,1870267,3648407,7167990,13972670,28170083,101716849,78981409,121297916,172447360,305298254,547529100,1125178066,2054704378
540469,986341,1873991,3654365,7191943,14347325,28364311,118778826,79801142,102753667,154169896,329733890,537807619,1096512364,2076418737
538003,992003,1873747,3651447,7192419,13992606,28670454,59563257,77743594,143283145,204504066,317290828,535178833,1112739933,2034023412
535144,987302,1874639,3648029,7173670,14406792,28267993,68777821,86567200,96743247,176040552,302555650,558224135,1060487901,2045444456
539071,986767,1881866,3697125,7180890,13952137,28723259,49905447,68473735,121348071,173663744,329259524,555649570,1124067656,2062867170
536746,985537,1876577,3713759,7154105,13942235,28259611,56683574,88349533,117191168,180116161,340913110,550671538,1124784305,2069611358
536923,987259,1877849,3680489,7181358,14302456,28640792,104875466,67362080,109008090,180809158,292665300,561544997,1069633817,2098416394
534227,989728,1874127,3678825,7190701,13960633,28344987,74860067,95729750,108973047,163519138,314133695,535246196,1082036721,2065395782
532495,988362,1876759,3663759,7166573,14442203,28624722,94603890,85467743,114860744,179967064,292110635,551657182,1079012833,2035991110
536553,987853,1872146,3659331,7201303,14014234,28552576,115857547,64777423,116032512,187632677,312097322,554377534,1118194292,2081823992
536590,985999,1874927,3651972,7185308,13974098,27866518,61699484,58970586,117391351,175100166,307903702,555380124,1077690341,2094067839
533310,990026,1880464,3657569,7184531,14327763,27677957,61099199,85629466,117409733,171414742,325589925,537215714,1056015443,2099368582
542741,987454,1878610,3662513,7163997,13970145,30939940,52615864,96616006,122528516,156735287,284685054,566153777,1062827319,2063617139
538231,986294,1881414,3657251,7188680,14450854,28381160,73893037,91375220,116349714,193062091,307266564,544276977,1088051166,2050331230
533872,988093,1874655,3655351,7181012,14005678,29004060,61734742,73233947,109992244,176989813,292906907,583386594,1095494093,2045596978
536598,983881,1873516,3658085,7189872,13984976,28553786,75249840,80012436,115654057,182184668,286837644,553105978,1092609712,2074682758
536374,986629,1877427,3650739,7197288,14369392,29747391,86339216,84794373,119348348,184599378,287309235,537420479,1070330425,2091462001
533389,986411,1880148,3653444,7193830,13971826,28526686,92263620,82089672,122163642,179720522,325614184,565240748,1090890745,2081465853
539340,990570,1873175,3656710,7184092,14472083,28458486,78167703,100423851,156467491,152966856,318058838,551979103,1058816518,2056566539
535816,988163,1872915,3658932,7162602,13940190,28335053,79177084,84915669,100390449,174288070,323779408,547034890,1063703345,2061608537
531768,986918,1875051,3651224,7162609,13928771,28604059,80835304,89591067,105609783,176533052,285110184,566557278,1110391441,2062152560
532844,985145,1875223,3653112,7150191,14373957,28349334,57512757,65539428,108543781,176636816,321834852,557462681,1093543382,2054571550
533315,986252,1872185,3658418,7164541,13994376,28637516,57097884,68116700,115952749,197660536,324651892,556827806,1129025083,2074336000
533471,992611,1875475,3659879,7202409,14496685,28486967,70548688,83102048,92044778,175323784,308394911,546653128,1077008494,2058404104
534229,990621,1873669,3658299,7184024,14018355,28661583,75928537,83945852,112751850,157511042,282386509,553140351,1104095861,2100543780
531629,989759,1872677,3650996,7179024,13969660,28324578,84842037,60200620,120296418,160442248,328112923,554228698,1082550831,2073212302
531703,985645,1872721,3650343,7191895,14339808,28768397,59212003,56256599,121889748,146282320,291378466,546569716,1143196716,2048243773
536971,986213,1893489,3650065,7190505,13957586,28151709,73658674,64619701,117829024,179280562,300198909,578301593,1072563111,2076757018
532662,984178,1880672,3651160,7188893,14422713,28659019,75848369,69543841,121054113,169953962,318084465,564109005,1090224056,2074642983
534940,990557,1876339,3649926,7186220,13983702,28271530,57078510,58094947,120245969,162563026,275514891,535935560,1105570493,2064023838
534011,988237,1878107,3653567,7166641,13936230,28786676,73749468,76676136,117298307,164639056,294043584,583329351,1086871960,2073476949
530939,986097,1870312,3645837,7188848,14368576,28352355,62003288,82308036,107462486,177829957,337539506,566794518,1075875906,2064348638
533376,983684,1870225,3651586,7189512,13973548,28327922,101027131,81730814,174834251,162633705,294526415,562272028,1071624974,2081883847
534112,983272,1873822,3646126,7165568,14424681,28193918,90872808,74671535,127078141,153746761,299617282,565741322,1060116342,2060609440
532326,989880,1872885,3657292,7186353,13958345,28405494,80070877,73132908,124349721,160086775,281914365,584980351,1066857184,2034804458
535197,989021,1872181,3654681,7188819,13925345,28177829,57177943,85866552,128926659,160757458,291810284,589641339,1110281487,2055807323
533898,988031,1873779,3670009,7169274,14355578,28345738,93081782,80967343,137047662,172437946,303145424,571146163,1082660318,2062290305
532912,986411,1879607,3674339,7184983,13986689,28352589,97875092,66599632,117645510,160257357,295319239,565240492,1135486000,2053955645
534869,988547,1876177,3672366,7212270,14518696,28295483,87742491,66622536,121592689,224462818,297621115,549607591,1112238244,2057374082
537066,984501,1876633,3667073,7188716,14010986,28205577,71961467,67809837,119603428,173034731,287640430,587690010,1072210329,2048660769
531515,989604,1871255,3656274,7183643,13942885,32013975,51655079,65576136,162429936,190046437,320613682,572007776,1091215789,2082000671
534761,988761,1874125,3652797,7155125,14338681,48894981,78235993,72633398,113125571,152450538,293374166,530921952,1149823533,2096540992
530445,988854,1878545,3652034,7189153,13948804,28668560,78335335,87298915,92525529,176174107,320902897,554499115,1174809146,2059685737
531335,984668,1901369,3653609,7189600,14405657,28382607,107630705,94367525,95283771,166057887,307310869,570430619,1096758579,2068101665
533508,984726,1890718,3651765,7174774,13980844,28812613,66477594,84837143,128361345,162619352,285762259,577028179,1066547549,2059456053
531136,982129,1878003,3660256,7193274,13980081,28411801,61149920,85389982,104703228,158562262,326915088,551135623,1100628589,2044561520
538652,989334,1875965,3656978,7190594,14370971,27994277,104364923,57304936,125998717,216196919,304851872,591262675,1072494013,2089875030
533067,992807,1877754,3653221,7209966,13959262,28242364,62850369,76718142,113140951,197548163,320765379,539891454,1096602079,2061118447
531131,984401,1867930,3654883,7200951,14433496,28670399,51946401,94298404,128812134,171046040,315249404,563829146,1112972981,2046510382
537105,986209,1867124,3648822,7192583,13942799,28310091,81449102,92943250,135886221,191030979,297655673,565407732,1111295054,2061150843
543707,986620,1868356,3656602,7177135,13989197,27694569,123407550,89443699,104049839,178070948,291693208,574214821,1107178629,2044416218
535523,987750,1866312,3648136,7194286,14372221,28744804,85633296,82370457,116734736,177785680,302658951,554988537,1096145293,2060490777
538800,994314,1874221,3648714,7191257,13938163,27594648,57079262,72292152,123914418,174851970,335604577,576794859,1116753834,2058167731
535150,988029,1872417,3649619,7183386,14417732,27595374,92916858,99557397,109141697,160716281,312547168,539140683,1064293677,2040994554
535850,986004,1872668,3661274,7182006,13917503,28210047,87741677,71149948,156053873,169186115,281852377,548118908,1111023964,2038272233
534356,985413,1875235,3647112,7166477,13980282,27555987,56474820,65885837,147578872,207995859,353033247,552800514,1164649703,2078915019
532717,989665,1874944,3651725,7184405,14314270,28458417,93054179,66371346,141712579,194323631,321289906,582055705,1084953719,2049273127
533330,987832,1871857,3649671,7181548,13999616,26773881,91161044,98369882,143549076,162658831,298231641,543194475,1094667410,2089302832
534976,989549,1869916,3660423,7157389,14524559,27554371,76632857,87789569,130983322,158462791,301477176,598174191,1068334195,2059157771
