FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096
627562,320980,514997,906489,1945624,2762568,5326415,9806150,20859839
219087,274252,446316,748996,1409002,2622471,4952967,9749269,19627946
185009,270598,444908,751795,1415020,2661712,4938124,9663946,18658354
178336,272653,446080,760944,1406999,2621264,4847394,9480241,17702702
177787,264630,448487,761174,1405855,2557553,5266903,9346936,17286959
172195,261554,454989,755304,1399257,2712192,4982833,9226269,19496880
175729,264292,448258,753403,1403118,2653467,4903639,9347763,17585570
230423,271936,462242,757073,1979855,2569399,4915681,9325267,17836251
214496,262537,445370,747616,1521807,2554398,4929288,9340825,19332009
161004,260952,436595,754654,1460228,2623901,4864019,9386697,17765953
155917,264972,448729,762373,1645077,2559433,4898463,9348199,17803605
156983,265972,445042,756603,1438796,2617293,4837658,9342501,19093052
146189,260972,423036,758651,1407990,2596570,4840403,9293782,17591243
153903,336241,433415,759658,1409861,2609792,4871776,9280725,17775773
154877,269897,431137,749910,1410401,2462077,4886600,9350018,19027960
153106,272136,432682,743500,1423284,2625917,5018715,9375978,17718514
152930,267043,433223,837754,1473041,2623110,4870825,9352248,17094256
155769,269446,423730,743825,1398548,2634494,4885897,9397974,19138184
152759,275799,431034,752353,1412136,2646788,4905733,9383275,17795886
173901,261617,434147,756766,1403000,2582265,4855224,9287827,17541976
156349,267825,439162,749324,1413399,2669040,4855922,9402407,19275766
160758,255921,430885,755625,1397656,2592402,4795877,9271411,17946608
155915,259678,441592,740187,1409634,2586373,4923393,9286713,17598677
160095,266877,440197,754025,1405834,2616622,4943278,9382964,19302233
153463,250156,434548,741690,1406141,2584710,4829799,9309046,17732339
155915,258539,428149,752991,1489096,2602477,4904400,9311505,17721699
156256,268587,443837,756830,1412116,2630337,4821946,9413837,19255700
155443,269813,448518,759962,1396182,2627076,4860901,9328647,17794168
151690,266909,442829,760688,1414942,2578963,4898003,9262260,17686836
157739,268459,454315,763037,1394431,2583967,4792569,9263674,19337842
152814,259597,1003878,746488,1413698,2526470,4905488,9766890,17754913
150670,257073,441194,764363,1392752,2619895,4918562,9328300,17616178
155097,257047,434314,756552,1418724,2478372,4831803,9436468,19405942
159059,257463,449281,744887,1395603,2606284,4850242,9311459,17688555
