SHIR inductor b16,SHIR inductor b32,SHIR inductor b64,SHIR inductor b128,SHIR inductor b256,SHIR inductor b512,SHIR inductor b1024,SHIR inductor b2048,SHIR inductor b4096
5668433822,1838050144,1799383824,1689863636,1692705250,1737301903,1704718635,1744208838,1713347684
191847,291557,432990,836702,1323400,2577618,4586819,9623195,22148499
146080,258643,700288,781251,1306968,2511779,4617252,9426802,17854768
138506,240661,753900,771149,1272402,2544106,4510122,9068999,17534461
134922,290361,728378,763464,1306775,2540681,4491478,9174051,18790410
134255,290921,722907,748247,1282839,2519003,4509603,9086948,18017411
133287,287563,633602,747677,1209134,2521288,4520123,9079075,17731463
141006,283876,423658,825700,1266485,2531839,4489818,9132301,18344507
138556,282068,406685,749425,1248544,2502425,4496575,9060865,17930931
134901,276353,392261,745011,1191947,2483358,4493004,9055980,17696017
131605,286871,388211,740248,1212183,2502840,4482329,9126854,18490324
133274,279969,499012,744645,1193610,2492245,4499845,9218631,18060013
139892,264071,388315,747655,1189980,2611465,4470053,9085137,17767498
132455,264417,392557,738943,1185907,2515548,4483965,9120390,18138738
131855,265329,386745,741925,1213424,2520443,4489010,9122814,18168271
135704,239684,385260,736253,1189835,2486394,4498499,9126586,17610449
146898,235353,385834,740314,1202202,2501409,4480966,9115551,18370963
170372,228144,386342,734990,1188432,2506254,4462765,9217627,18154030
171157,228976,398975,741934,1207693,2502667,4482456,9144311,17697288
155026,230442,385109,745657,1267865,2499921,4477082,9164845,18393665
135786,228765,389472,744351,1197109,2467226,4526705,9171277,17891559
132004,226164,385523,741107,1224094,2492061,4468956,9204094,17688587
132722,227027,385292,735190,1186392,2448303,4480555,9066120,18401940
130909,226138,387888,734279,1230492,2501981,4494641,9100697,18412993
130771,228199,383967,744721,1205813,2490845,4475046,9096938,17715777
130339,226009,381932,741357,1273364,2513722,4510441,9096921,18308040
130366,226852,383224,741039,1186371,2487790,4507687,25962311,18043167
131054,226224,388261,738179,1216878,2504904,4491949,9154036,17780351
131790,228264,385818,733020,1176729,2505003,4471641,9161484,18406954
130184,227143,382292,735778,1191956,2506741,4501460,8905882,17995452
130645,224564,383683,741696,1174033,2482570,4489709,9022361,17744313
135473,223302,385938,746173,1205814,2507804,4475226,9014104,18320627
131218,225081,385342,735934,1183880,2450467,4491470,8961069,18059573
133790,226405,385555,738379,1188099,2502789,4476642,9068555,17717790
132517,227397,399157,741945,1187336,2470498,4496005,9180840,18413022
130796,224653,392375,735768,1185111,2544150,4517370,9133632,18120942
131482,227918,386499,741880,1175288,2513728,4484233,8997755,17697781
130232,226444,382708,756272,1184792,2496635,4498400,8976478,18263592
129236,226190,382374,734273,1195151,2492543,4496985,9044546,17713218
143968,225491,385893,734308,1175759,2508170,4497783,9058535,17917929
134129,226870,385440,738329,1200394,2469982,4477580,8972783,17993084
132274,224865,392229,738463,1188056,2505611,4495704,9106490,18222381
130136,223240,384860,739573,1196209,2464104,4479485,9015580,17850989
130093,224551,384386,735108,1191580,2486638,4495803,9121762,18545192
128932,227582,385623,748879,1178147,2500600,4473681,9020710,18371165
137188,223618,383542,739688,1189237,2477559,4488168,9058310,17419345
168313,226241,387899,744180,1188350,2501480,4481510,9012719,18540946
160586,224986,384297,740419,1183168,2499770,4487803,9012037,18271035
136349,225355,383939,741982,1193042,2500080,4507536,12699939,17786739
130070,225076,385041,739889,1192179,2507308,4487596,15539380,18604868
133945,230600,384261,736166,1189995,2491883,4499485,29424217,18262041
130544,225270,391335,734744,1173284,2514645,4481374,17000143,17846975
129535,228505,450663,740097,1189749,2496540,4487353,15156238,18409757
130739,228937,381794,739019,1179396,2507592,4473611,13249832,18196107
129574,224898,382866,737191,1196018,2492094,4474828,11826923,17690015
131352,225120,382594,747155,1189984,2509816,4488234,10532880,18329722
128037,226376,392046,736214,1181121,2478997,4497294,9095651,18262170
127966,230573,383626,735279,1187297,2497939,4481743,9178812,17813182
128762,224172,387034,742719,1177763,2495264,4490439,9076139,18496084
127466,223067,383097,740958,1209986,2500624,4488743,9061243,17888247
129190,241060,382459,733784,1178427,2463098,4476221,9114694,17783831
128573,225134,385542,739072,1206900,2488721,4466352,9091360,21586280
132725,225967,384085,738601,1181350,2480387,4476021,9297784,18185786
127131,224174,384007,731728,1202705,2503475,4513526,9480522,42646950
131158,225684,394234,739635,1181174,2483039,4479448,9154939,17859001
132845,224358,385159,734808,1194714,2520575,4469487,9060152,25673543
130985,228637,383633,743869,1185039,2471152,4488405,8999230,35220830
