x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096
5691762980,1813472581,1791382007,1783497128,1771750848,1789456544,1878330222,1790291646,1802965578
193875,242623,344735,490075,1560598,1357202,2252649,4245975,8474432
163121,202925,294084,545333,788210,1288452,2243544,4228052,8568469
435171,190401,288450,547764,692031,1200661,2182247,4123759,8517902
464834,193869,286673,547743,696740,1177310,2156610,4107452,8260366
446025,189634,285348,568395,658971,1186068,2183706,4064040,8226576
431781,184406,277430,482768,647288,1200375,2131118,4052336,8443760
460183,189084,282396,414316,649745,1173456,2149735,4082630,8446920
449742,187260,279023,388827,622050,1176294,2150508,4070110,8368876
493146,181294,278875,379844,639900,1202923,2181907,4109481,9536347
493182,179187,272274,378622,619351,1168875,2139981,4184274,8268276
483350,212542,273919,387014,618542,1164243,2141238,4054198,8125992
144313,182587,276252,380459,615161,1174189,2167493,4071777,8481673
142817,177519,276827,376103,615309,1168675,2141060,4077077,8094218
141134,177266,270618,375535,613755,1158831,2144585,4099934,8390391
142463,177896,273314,373387,611027,1170959,2189945,4057934,8348265
144107,183178,270920,369749,629432,1177843,2152567,4067905,8433865
143425,179850,281058,361782,611252,1182311,2124020,4071454,8417736
145479,182808,276876,360928,609623,1162544,2155093,4065582,8257881
144357,182650,272569,359154,614418,1171295,2143615,4083600,8353219
141033,182949,272101,364374,610938,1165570,2155007,4517145,8382494
141689,182693,267073,366375,614576,1172384,2139796,4245363,8315297
148600,180160,272080,366365,623680,1163234,2123137,4043143,8283978
141389,177843,266801,361719,616855,1177465,2123983,4239104,8347640
139519,180085,265394,359084,609338,1170673,2158969,4032364,8480359
138974,188939,267879,357779,611195,1163324,2156603,4047785,8444110
138993,179563,277000,358372,614783,1182321,2143888,4106695,8343289
138360,182173,271359,359394,610652,1153481,2123755,4018193,8358456
137560,181893,274276,363806,608452,1154350,2136108,4111790,8075875
138572,182664,269564,363525,605965,1163196,2161379,4107873,8299247
137206,181782,273959,363671,612744,1170595,2149458,4078164,8413836
139164,181322,272530,364140,609511,1153167,2136505,4051502,8160845
138532,179315,269565,364367,609739,1152569,2132678,4092717,8438795
139119,180986,267806,370409,621481,1177642,2138371,4144682,8432330
140749,178118,268586,364303,617932,1155052,2148320,4052268,8069666
138425,179067,272414,361832,612785,1169474,2160320,4022218,8280723
138134,179441,269982,361887,613945,1151375,2139275,4088834,8333334
137508,179622,268820,363879,609196,1167534,2170238,4153117,8430472
197964,181173,266857,361480,609200,1147677,2161812,4038812,8500761
165183,188527,268613,369590,613166,1172205,2119016,4110969,8376430
154213,178607,269981,358487,611715,1170518,2151576,4051383,8206698
155358,179202,272705,358966,610600,1160039,2128015,4092245,8198143
147334,178607,270021,358379,605430,1161769,2137554,4078649,8463265
142805,178648,270330,361697,611210,1170973,2161661,4498329,8250250
144310,176152,272022,359470,642759,1187034,2159736,4218685,8378718
141159,177201,268467,375925,626610,1160398,2113764,4067348,8346476
140201,181253,270074,367815,614571,1146901,2145121,4198054,8518521
137847,181247,270675,364162,620002,1158285,2142621,4137191,8373238
138480,179715,272467,363185,608685,1175626,2154719,4040656,8300648
138080,180314,269911,364056,607890,1158328,2159839,4172705,8203179
133492,179114,268527,369932,618692,1160495,2150175,4057010,8264060
134354,180721,269983,361878,619480,1180423,2128848,4106981,8349163
134661,179884,279768,358690,610501,1157615,2737166,4040132,8723481
137206,188137,272256,359701,610571,1162899,2336632,4162840,8343110
135990,182546,264279,360568,608032,1164022,2198525,4058553,8516165
136273,179546,271085,363260,607910,1159667,2194826,4104942,8216814
135553,178128,270116,368305,611823,1289636,2156894,4078088,8439348
138113,177159,271025,363030,607029,1157262,2191496,4042389,8377511
134709,181343,267058,369522,603083,1167890,2138359,4062350,8134794
135230,182748,267141,371863,613878,1157725,2181020,4075419,8487160
135300,186442,266245,366426,614592,1154792,2110161,4144024,8264514
136362,183708,279867,362669,603930,1169852,2120217,4034340,8315075
132981,180136,274454,363774,611435,1152259,2126577,4082648,8402456
132642,181103,267227,362486,607960,1157951,2149825,4047223,8419585
135471,183424,270022,363886,617075,1173672,2180262,4071535,8290356
133707,183805,267634,361428,620090,1173764,2112823,4175798,8302327
135350,183334,273600,362126,611394,1164188,2136156,4617204,8312448
132677,191152,269344,368595,613540,1147040,2144804,4246424,8243339
131203,179762,264283,368080,614694,1161989,2124626,4041194,8482595
132083,182552,266145,367541,614762,1161708,2149527,4067617,8348307
129774,180949,269281,364345,606938,1163299,2094183,4072771,8590953
133135,180439,266436,362864,607773,1157719,2132234,4084581,8157595
