FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096
5804150,288229,61255,72532,97616,157656,260618,470055,10062606
157704,54214,37723,47745,63187,134105,245215,569984,830024
116086,45714,33346,45123,133545,135099,246559,520716,832354
88985,43632,31444,45183,68122,132135,245811,347382,854798
70763,39489,33019,48420,63161,132802,251085,333808,820060
60104,66776,34451,47851,63835,133148,257272,329830,808423
57562,46002,31696,45043,58925,132675,242842,335023,789481
56751,43554,31680,44103,59126,132758,243128,331556,822323
52239,45327,32651,43481,59937,130436,241455,333349,881800
52972,46418,32377,43785,60040,128791,247547,325452,801379
50173,80357,32549,43465,59260,130736,242638,339121,821627
48747,48356,31531,48873,60237,140817,242281,345341,831498
46718,47705,32340,45708,58718,131204,242595,340787,801839
45182,47295,31991,50698,57653,132850,242202,354486,821948
44208,40113,31659,42752,57372,132649,242422,335772,821758
282378,41106,32478,41649,58965,130466,249183,344013,785843
73724,41185,32883,40827,60768,131468,244964,504504,811827
104153,45446,32033,41415,60532,129996,243740,325178,838809
50566,42934,31397,42835,61452,131112,243113,336912,825607
68817,36765,31989,43332,60856,130950,256446,351829,832586
48131,37274,31627,45264,61050,138290,246488,339947,873896
42775,45522,30804,46146,59323,134292,246535,343313,748745
42289,47206,31052,43039,58059,133723,240788,338871,835100
47557,43960,31547,45309,66602,133945,250271,341757,832618
45576,32513,31385,42659,62746,140672,242188,337936,835615
44078,43932,30328,41196,59833,130322,243677,330731,821309
49782,33313,32041,43460,60171,131037,241501,349702,819714
76903,47622,32348,43707,60592,141158,252569,354063,819027
50505,51476,31705,42979,62127,131798,245954,343163,813817
183284,37134,31901,43180,61170,139942,243358,345608,820850
88004,46209,30331,43448,58222,139757,249605,535893,855118
75293,47802,30473,42343,61295,131648,236884,343135,845950
64811,30433,32605,42960,59811,129278,254551,336859,830570
65780,41643,31563,44067,58778,131362,241418,343452,853344
66049,49338,31990,42942,59421,132051,244068,335603,857813
67013,47447,32053,42106,61975,133799,242190,337397,832276
71321,44939,32336,41360,60794,129722,240737,343827,818610
67375,34434,31927,41656,63339,137002,481458,348030,888024
65735,43643,31576,41948,59894,132946,1059609,343692,814775
78038,41822,31749,42081,59269,139789,812831,353647,817869
74699,48326,32048,43336,59935,139233,683198,349452,756199
74801,47253,32653,43070,59110,138348,498782,340470,827705
75902,49985,33064,43278,58629,129725,362908,347678,813566
74107,43559,33602,45615,60805,132393,290311,344369,854619
64132,34343,31261,45105,61061,137165,241716,332768,843253
65824,78493,33711,41974,60477,131288,198558,339759,835084
65281,43449,31388,41500,58979,133702,180789,348078,837258
64910,49363,31335,41353,59514,139017,190461,331277,816556
65547,43989,31819,42008,60330,131170,224012,480030,779837
57806,33430,31757,42864,59294,136542,194893,477590,802040
59811,90679,32014,42769,58367,130350,183645,373080,772724
58768,48574,32627,43182,59314,129660,181055,358485,772676
57375,46935,32772,43011,60007,130148,166384,352019,820383
61923,47821,32577,43968,60911,131433,169573,348942,762976
58487,39342,31859,43153,58285,131312,171894,349570,847850
53771,91144,31332,42152,61811,131094,172239,349195,826542
51848,46861,32049,43558,59651,140869,178254,349504,810760
52640,36688,31652,43587,60712,132364,173185,338648,815934
47883,43357,32493,43184,59753,132261,172534,323174,809779
47218,38419,31619,46253,58711,131039,174032,348294,835846
42031,48429,31552,44720,59600,130539,171747,330280,803833
44894,45903,32523,42882,63636,129808,172074,347679,809534
44792,49024,31782,40929,62522,128790,172845,497306,830193
64899,46660,32158,43020,60788,130781,181070,353430,804013
43518,29831,31946,42908,60548,128485,174343,330993,817467
40826,78013,31444,40957,59691,130950,151471,332089,788287
40608,44883,31692,41069,59388,135593,156265,343266,795872
39910,48907,32408,43148,60685,130630,163114,337702,861364
40649,47107,32725,43394,60380,126641,165121,351418,828098
40209,38841,33326,42120,59271,138144,172670,328341,823348
37617,42800,33795,42016,59312,138864,183403,329394,831257
37882,42036,33074,42014,60942,128555,184245,346991,832463
37591,47672,32087,42402,60795,140272,173003,345762,874191
37446,44066,31699,44636,59163,140982,173481,346580,833628
37332,29563,32226,44301,57982,132527,175891,344523,834094
32657,40886,31071,43659,59021,140846,172217,341536,828413
32422,42418,31502,43046,60871,128110,173561,356002,824346
31931,46886,36247,43346,67492,130464,168960,495821,839833
33411,48018,36942,44462,60662,134728,167388,342818,659713
37621,48784,33427,43132,60982,128904,167586,351655,820140
31247,45114,32291,43724,60745,130083,173768,334702,820316
32744,38174,33208,42742,57875,129715,172092,346012,808952
28877,39088,32493,40854,57447,129346,170937,347424,841749
29141,41718,31889,43519,59014,129605,173802,344347,882681
29400,47659,31211,42259,59780,128413,176795,330566,808275
28347,46087,31345,41366,60097,130686,166985,344613,811941
27996,30255,31774,41572,60938,128904,173928,326322,830295
27514,42168,31612,42087,59582,127068,181061,343968,819569
25417,45515,35350,44458,59711,130340,173842,341323,788073
25389,33626,32857,42904,58977,128039,172611,336702,822780
25268,43213,32646,43453,58223,129478,176659,335623,851579
25654,46797,32266,42079,57730,135320,184508,334276,808220
25749,48615,32305,41965,59731,133153,174425,347152,822188
23315,45315,32152,44867,59125,126725,172392,522147,810465
23040,30712,32937,43054,58985,119525,172678,375779,816021
23423,40888,30646,41610,58466,125014,178412,360069,807002
23282,42530,31695,41919,60101,129418,168973,348421,822410
22384,582508,31105,43145,58220,137808,171489,356387,817868
22515,48165,31094,43182,58030,130394,176565,353005,717295
22097,69318,31265,43557,62258,130249,171880,343705,738675
22042,49339,31091,42192,59768,126490,351080,339052,889389
22371,41582,32479,42466,58185,130274,209521,359895,820717
20943,47553,32468,42139,59800,137313,173656,356039,821868
20760,50080,31979,44407,59083,129515,190951,346001,813266
20773,49769,32297,43164,58672,131282,177594,359236,824937
20197,47959,31297,42902,59295,129506,175974,353345,796191
19514,36293,32674,42975,57920,130139,171173,342309,809874
19568,94663,31200,42831,57789,141068,176615,499018,786658
19791,51575,31119,43232,58313,131726,170515,350124,849827
19400,32170,31392,42785,60180,139976,174643,353443,856948
19459,61855,31202,42921,59439,145600,168786,346743,858455
18175,48511,32050,47935,58117,127564,171742,359271,838485
18468,49619,31309,43445,58568,130195,171834,357936,795530
18170,52028,31317,44566,59269,136649,178657,335835,816616
20196,35595,31498,43191,60766,128248,173362,325944,827814
16837,42963,31289,42268,60053,129543,176128,336132,825474
17024,44383,30320,41202,59299,141417,176464,329872,830260
16807,80293,30887,41385,60302,129463,175854,346726,810113
17072,48537,31883,41945,59332,137970,170221,333015,872174
17141,32220,34580,42883,58979,128059,168703,340390,849693
17232,48031,32912,43840,56981,330539,169329,338307,830765
17023,50432,31574,43268,59653,882147,176005,355732,837035
17141,95789,32126,43485,64938,840445,173480,532108,840633
17511,49952,32188,45470,59534,918486,173239,359926,806508
15639,32253,31777,44146,58985,581046,168419,356238,783895
15646,48592,31741,42181,60997,146432,173717,356224,802664
15598,45525,31484,45219,59072,137871,167076,338606,809304
16602,48892,31692,45960,59494,134653,177632,333618,839313
15735,49427,31829,44863,58103,140122,174117,341881,817399
15318,43566,32810,43374,61566,136700,172412,342093,817277
15658,38106,32564,43311,59403,129151,172468,360370,844238
15633,38176,32090,44766,72270,130711,184173,343262,785239
15487,80849,31852,43011,62624,131298,176516,357827,835203
14590,48750,32182,526175,60492,129711,182377,350222,852859
14121,46879,31831,43974,58977,139219,181154,361813,819258
14252,46959,31318,41989,59164,126422,170071,347614,843751
14412,32920,31667,44118,59013,130649,177678,325233,780729
14365,48191,31984,43862,59095,131473,174371,341381,846837
14606,51703,31617,42351,59758,137627,173331,563768,857779
14196,49869,30521,42852,60940,132655,174285,369069,844042
14679,51581,30900,42346,57404,130495,170651,362687,849579
13361,35883,31055,43542,58188,138251,181784,353997,820361
13832,42014,32342,42752,60782,130877,179255,363430,809805
13644,43713,31502,41882,59676,136668,176094,353548,830828
14686,52792,31211,41357,58463,136447,176173,327403,834058
13483,49037,30981,41196,70636,127644,169966,335717,858192
13396,41900,31789,42046,60452,128565,177160,328386,850409
13404,39475,30976,42041,61070,146414,177152,347898,876710
13243,41068,30782,44317,60800,129155,174640,338190,765449
13382,68100,31551,42152,59741,129625,171245,346335,842632
13937,46555,31886,42716,57801,128919,173139,346893,822817
13439,44508,31034,44666,60042,127134,171724,327698,827917
13525,52846,30896,43218,59162,136228,176259,517903,837506
13724,30878,31472,41386,59204,129592,173011,344158,850597
13413,56172,31855,41566,58315,129620,170463,379731,839493
13498,55389,30975,41100,57199,155892,173072,340246,746488
13654,34312,30609,41289,59223,135335,172185,337541,789438
13472,49967,31929,41727,59896,134583,169886,340373,835098
13441,57087,31544,40734,60783,132973,175707,343234,871791
13488,54986,31209,42098,60636,130731,169263,339529,871282
13697,50362,32204,43256,60595,138395,168587,333003,841403
13339,41814,31556,45276,60284,131536,170022,343931,854963
14020,59181,33087,43761,59039,129860,380644,343773,861097
13517,39955,32694,43650,59766,130261,197196,339714,804468
13456,44175,32080,43979,58424,130653,190711,332968,815698
13421,49910,32656,43169,58755,138136,180382,331366,826966
13449,49039,31831,41304,59874,130037,182183,349340,823504
13458,41669,31655,43153,59134,136502,176218,459838,837144
13592,47379,31664,43217,60341,133702,175422,364293,833564
13605,48544,30906,43494,60707,128791,170279,342367,853477
13638,49031,31349,43112,60395,131489,178873,341505,856991
14148,28391,31269,45205,61077,144565,171363,343995,834793
13644,47708,30407,43694,59271,144818,172738,344981,849277
13613,49394,31693,43438,61736,132726,167974,339980,833311
13708,38258,31274,44141,59221,132409,170113,345411,840263
13703,43196,31608,43657,57831,134109,172041,341099,840398
13817,41104,31300,42981,59089,133067,169455,335248,803501
13482,47768,31354,43024,60725,138591,166303,333974,834376
13358,48224,35300,43829,60529,140805,172461,347086,829049
13585,30344,31631,43789,61448,130098,175170,347268,829337
13222,47849,30372,43655,60232,129939,175718,354064,846233
13544,47429,31312,45250,60438,131612,177294,353485,805783
13587,40682,31235,44613,59684,127925,170310,347623,819975
13362,42837,31236,42363,63151,138458,173037,539525,818043
13289,45678,31361,42211,61210,128566,176887,363417,837220
13584,49654,31601,41098,66919,129696,174161,355445,828454
13429,47584,30846,40751,64319,142429,177310,350025,814138
13226,35589,31972,41197,59620,148237,175585,324621,799155
13426,42619,30970,42454,58602,138566,170239,348831,751236
13687,48335,31454,42075,61629,133736,170942,330183,848817
13677,49078,31688,42249,62710,131983,171482,323178,831607
13335,44157,31778,44281,59521,128273,181757,329191,753836
13488,45617,32359,43978,58389,143067,169675,348803,819330
13574,49006,32806,41557,59534,132344,172281,342869,806343
13595,48787,32196,41763,59797,128407,173542,345877,870105
13454,28096,31802,43338,60964,132638,178446,356475,822965
13373,47478,30361,43286,58894,129886,173873,346984,830175
13163,51701,32748,43430,60183,137226,172787,499054,825151
13536,38337,31566,43311,64304,131782,177331,328191,819625
13306,38128,30842,42899,61002,129014,171146,348200,848101
13354,48240,30966,41411,59229,128477,170991,342709,849427
13468,85623,31235,45895,60487,129798,171632,354432,822376
13299,49238,31379,43442,57624,130119,170601,333482,803777
13458,33976,31631,42121,60673,131921,176005,342883,837360
13232,46644,30096,42659,59658,133384,170493,329539,822363
13493,49126,31389,43295,59229,131852,178250,344275,825556
13574,47000,31126,42999,57836,131601,169980,334767,816742
13511,48070,31380,42806,61246,131005,171160,343076,818118
13155,30778,31475,42999,60303,129897,172187,348525,815576
13088,61622,31422,45158,59444,142224,172309,355856,808529
13324,58914,31514,43358,57921,129720,168934,351988,927342
13277,52965,31540,45530,57974,137079,168852,343296,854874
13062,49644,29764,44907,58764,128756,170428,544565,829744
13059,39221,31291,42762,59403,130549,175391,357210,825122
13359,46041,30920,43570,58913,130546,168064,333113,830510
13399,49467,32181,43373,60484,130281,179307,333872,715728
13385,42595,31021,43543,59988,129645,172278,337358,767026
13225,44031,31491,42165,61048,131284,170177,351903,797950
13465,50057,31010,42570,59214,136510,168642,346251,833550
13469,83758,31474,42188,60252,156582,176239,343644,822879
13282,44627,29992,41468,60124,137230,169288,335232,814773
13233,47621,31518,44925,61386,134022,173099,351884,842203
13338,45723,31008,43282,61056,142591,179742,352009,856438
13540,37974,31176,41511,61330,130877,178479,348719,825822
13371,47627,31826,41579,57815,139591,172125,348178,814939
13314,46080,31578,41418,57925,131150,182521,339410,820126
13857,28580,30933,41754,57660,131350,185979,333937,814821
13870,79257,32767,42911,59759,132022,359182,345171,800491
13630,49660,31417,43162,58109,131176,190100,532550,849214
13259,46295,32035,43386,56978,128585,175817,355610,826075
13710,44230,32447,43791,59904,139809,175429,365254,823275
13509,27394,31309,49854,60423,129718,171749,339011,824357
13699,48924,31177,47487,61111,130210,173975,334665,822867
13358,47621,33521,45878,60441,130323,172704,327886,707299
13514,43356,32593,43861,60237,130419,169509,331206,739063
13564,41033,32452,41450,59064,133161,174224,325042,812140
13500,39511,31827,42677,59604,128047,179710,337503,833874
13645,48982,32583,41596,58601,128441,169813,342041,831659
13464,45465,33261,41971,58906,145606,175762,357548,826621
13635,30159,32780,40998,59620,130807,174560,351790,824976
13431,67524,32073,43569,65605,131732,168788,344301,844294
13483,46396,31822,42784,63078,131634,174633,335601,818452
13588,47738,32197,41966,59902,130743,173838,519743,852602
13623,44139,32484,42327,61170,132661,169713,338862,814156
13462,42344,32737,42841,62096,132781,169611,351155,842578
13393,49817,32258,42942,58761,135645,169583,355818,856374
13181,48357,31701,43016,59085,137311,170394,341301,810960
13600,30074,32193,41439,61679,131646,169135,350367,798080
13282,91374,32212,41222,60325,131422,173547,340182,803976
13351,48236,32251,41535,59128,129883,172126,347065,786880
13664,41906,32252,48989,58476,131289,169420,350758,861168
13558,44630,33356,43532,58384,141450,179272,373744,823850
13301,43981,32789,41614,58694,138185,179040,345165,900561
13243,45730,32618,41991,59088,132778,176810,344787,777006
13913,47513,32429,42836,60108,132622,173447,333873,833990
13662,29370,31831,43337,58324,132494,170762,348713,817561
13458,46032,32096,42956,57934,125144,171074,333019,822078
13339,47304,32210,42977,58522,130801,167422,480391,796418
13456,48483,31840,42715,57690,131797,173718,346400,808227
13513,42132,32024,43042,63081,130590,171140,357280,811593
13314,33809,32557,46199,61037,130948,166738,336125,827728
13329,65125,31731,43985,59750,141750,170349,345928,826434
13300,48362,32277,42264,58168,134851,169702,333206,824256
13148,38605,31425,41773,59185,130131,168827,340244,831371
13502,44412,32119,42232,58964,128918,167653,351932,838734
13190,46655,32021,41690,61086,127887,171909,346350,810217
13678,48543,32048,42909,61454,132271,170699,329882,810605
13555,49651,32140,43463,59770,132997,173276,342227,824301
13574,43636,32050,43584,60578,130005,170407,346284,873411
13781,49152,36309,41280,62894,130950,171620,354987,815849
13708,47382,44701,42923,61704,130536,175180,346826,824941
13278,36678,41303,43402,60064,131373,170600,343147,793279
13379,43062,36712,41647,59368,131472,169899,339293,806831
13504,39840,33964,41102,60121,131862,169465,507715,821270
13522,97418,33413,41545,58093,136545,171913,342515,797593
13427,55020,32357,43259,60614,129857,170994,353283,801056
13320,30677,32764,43731,59920,130907,171000,353074,836366
13405,75357,31854,43530,59194,141063,169448,350980,808926
13131,48735,32240,42883,59163,132487,170009,352532,784251
13135,45077,33021,43310,56927,131102,168993,351789,833616
13347,39800,31803,44859,59746,133933,168627,344615,849680
13396,36975,32572,43463,59549,134127,167693,345070,844235
13270,90625,32493,41631,59020,126144,169912,346156,835571
13804,48123,32009,41501,58884,141576,169335,354743,860402
13420,29386,31758,41261,60133,139040,174746,345093,862441
13665,46008,31572,41860,60893,129049,173875,336161,840217
13885,45146,32159,43040,59277,130493,173455,342552,826304
13596,36336,33663,43680,59612,131065,178469,487170,1057386
13616,41466,32842,43119,59081,128562,170635,344739,845919
13214,43531,31735,43156,60522,130291,169878,351294,839105
13459,47926,31753,45742,60250,130965,171300,351533,849612
13448,45116,31882,44392,60452,128603,167908,342621,987256
13241,30179,32406,42754,58868,138694,382786,326406,1455978
13344,49090,32361,43231,62440,138206,192822,337967,1410885
13345,48642,32601,41840,65227,131786,187168,338493,843757
13319,50307,32681,42237,61929,131085,184061,321175,830400
13483,45747,31721,42192,58196,136628,173549,335856,749192
13598,37352,31830,40916,60308,131437,173040,326366,771444
13418,87705,32202,41011,62957,130641,171781,334648,810549
13243,47345,32289,41124,60492,139416,177431,350643,843434
13595,41298,44068,43807,59825,130634,174614,374648,814214
13345,41182,35280,42832,127112,128101,167223,341084,818348
13791,46015,33455,43790,59250,136141,166110,488985,823042
13315,49809,32789,43660,62556,129982,165448,365370,813132
13361,47332,32154,41689,61958,133494,160941,344228,815798
13682,29420,33419,41862,60732,130902,165976,337088,829635
13836,47760,33120,41860,61305,139791,168723,330684,831926
13286,49010,32482,43029,61469,135336,168701,339559,810535
13236,42341,32595,42057,60706,130365,167286,343839,825025
13245,44929,33523,50050,60432,141085,165106,349619,768316
13147,39183,31882,47402,60169,131257,179564,342720,776226
14078,49911,32214,45275,62139,138737,174894,345815,828996
13665,49815,33137,43906,59128,136429,174500,344746,828443
13517,28557,32078,43186,59924,131701,184177,353006,834558
13235,73890,32309,43624,57894,133250,173894,357244,882830
13606,49104,32060,43510,57728,140181,185137,363465,822830
13506,41867,31716,43596,59091,131245,179040,346720,816658
13397,37887,32436,43244,59364,136236,174986,343095,767910
