FP32 FX b16,FP32 FX b32,FP32 FX b64,FP32 FX b128,FP32 FX b256,FP32 FX b512,FP32 FX b1024,FP32 FX b2048,FP32 FX b4096
148575,243580,130763,160744,158948,185048,314604,350334,923967
65512,54417,93629,117076,134684,171234,306508,363639,857933
40487,43269,90560,118559,128507,199130,290038,590154,871221
27218,42453,92593,110494,129920,167201,285163,559624,884586
26540,41004,84107,99935,132294,166638,284079,2290498,855459
25510,43715,93789,105675,126490,166717,282287,1580542,858216
27291,42082,84160,106287,130327,165382,285844,770734,855217
28891,41126,84051,98494,127437,166458,283411,392047,808889
25266,41097,83599,101221,130813,163969,286016,356993,780527
24380,42065,84254,109575,130497,166433,291096,352936,838234
22887,41305,83612,105579,137653,166067,283390,345477,857172
23922,41868,83590,104999,142024,165247,286007,346609,858207
23745,41342,87211,99935,136006,164510,284967,359260,851495
23754,41097,83714,106231,139765,165155,281334,362996,847060
24129,42285,82515,106985,146269,165865,285205,351912,862267
23805,41379,82322,110151,125249,166528,281423,359008,814143
23475,40897,83122,98788,130209,169304,285000,349985,747803
24053,41929,83641,99969,142739,166673,281434,357593,888364
23576,43126,86227,108033,134016,165687,288242,358071,846036
22686,41918,83260,105169,126340,174988,280797,359188,868284
23288,42912,83518,95341,126247,175423,279739,356111,842780
23138,41350,82402,108403,129497,166091,281303,544363,865125
23399,42386,82304,105814,127309,181738,290293,483324,830857
23025,41423,81966,107731,130790,175702,281614,464321,830236
23232,41007,85013,98512,137251,164391,285991,464217,794542
23563,40692,82753,101680,137662,164135,288938,462038,841279
24201,42738,83478,107752,142403,173588,285870,456972,852547
23271,41044,82950,103562,138552,164742,285360,459177,881633
23859,40621,82531,108665,131736,164011,280406,454076,847745
23537,42481,84387,104117,131625,162977,280695,455986,880588
22236,41513,84361,103894,125740,163366,277898,446309,839427
22729,41814,82993,108430,129069,164705,284852,452952,826184
22956,40981,83142,98271,124242,164624,277731,452657,832916
24661,41288,82913,104477,127109,174002,279303,438254,869345
22960,41486,82236,113620,128385,163535,285356,448845,839888
24054,40646,82939,104153,123998,163771,279771,755404,845725
23302,41538,84631,104706,130546,165813,281818,419215,2792367
22630,40955,84226,98329,127079,164820,283289,338552,817360
25420,41663,83387,102353,130822,164500,283235,364603,840609
23228,41931,82340,104422,123328,165327,289103,353849,1841650
23706,40708,82433,101223,123896,165382,279369,352658,992408
23132,40850,81871,99427,131342,167371,489487,359081,848439
22076,41105,84126,97558,128027,164551,1738275,308890,788010
21910,42184,84661,97883,127922,163613,1439905,331392,789190
25456,41512,82831,107158,136510,164971,559481,349358,871410
24969,41131,82480,102537,136939,174392,312043,344127,871155
23180,42139,82796,96314,136375,164863,289545,361297,865425
22955,41581,82074,112961,134296,170620,287151,341811,859573
22968,42045,91132,103805,140473,163827,293683,355565,839642
22795,41702,84189,103883,139416,164769,296640,359901,873475
22629,41754,81502,98466,135354,173753,293524,367745,842753
23723,41656,85966,103671,128678,164455,275014,353779,871038
23306,41626,82785,105666,134940,164169,283038,341056,902985
23678,41819,81977,102982,129182,164701,285696,511292,822591
23443,43233,83063,100673,134741,171087,286671,338895,836581
24682,42981,83870,99382,129796,166054,289159,359790,852833
23727,41768,82782,102798,138862,164265,280571,368585,858772
22080,42042,83003,107093,131364,164221,280952,341070,845403
23577,41620,81999,102896,131848,165856,288879,341612,888377
23548,41890,82201,96547,134535,164271,287087,351112,840199
23463,41100,82657,106401,138257,176690,282935,352695,847555
23691,40847,83871,105507,137326,164167,278231,357613,715592
23238,43206,82689,105240,131182,163758,270054,357874,893129
23130,43048,82777,98403,136532,174461,277148,354834,850329
23819,42532,81200,97896,129610,164320,294048,367736,1268696
23787,42999,80948,107949,126577,164052,296105,354206,1046444
22633,42378,81338,103094,129739,165292,288302,360505,2227529
23526,42511,83798,106529,126002,164779,278734,353604,920435
23561,42104,82577,99060,128067,174320,283459,564472,799999
23057,42121,82200,97321,140114,169328,290269,381245,836292
23517,41472,84469,109681,128716,167967,281926,370194,814580
23968,40923,82498,106917,136930,174458,285257,356333,835277
22278,42089,82218,99590,128384,165153,282093,361966,860313
23008,41732,84893,96435,133811,165306,277372,346575,821930
