SHIR inductor b16,SHIR inductor b32,SHIR inductor b64,SHIR inductor b128,SHIR inductor b256,SHIR inductor b512,SHIR inductor b1024,SHIR inductor b2048,SHIR inductor b4096
21725744913,5229150703,5243658591,5182209409,5231628766,5190350112,5179082595,5199505741,5184093691
87553,115252,106066,115445,833551,480544,598125,1153093,1863398
47472,67358,81156,102372,154623,427676,537061,963981,2059863
42333,52950,68507,214894,134400,189981,322145,605158,3273952
41496,57518,105146,189997,134459,187731,309794,592703,2763712
41817,56646,107492,203399,123554,183147,302222,646407,1882391
41584,54242,99284,199010,116593,179747,292339,602911,1308734
45992,55205,101779,143568,123352,172738,671862,611594,1765342
45166,88743,104872,77298,119959,176435,810184,905595,2009094
41063,83441,94649,72382,112983,159631,346673,613173,1438895
38593,75420,95597,75164,112955,170181,318895,613175,1899526
38975,74413,93820,71156,104394,169286,307960,577220,2007260
39524,72822,89563,69978,102291,159261,285943,615629,1604519
38454,74700,57502,69948,107273,169872,305265,616312,2197663
39261,72011,57613,71460,109541,176831,305431,612674,4368861
39337,75142,60000,74384,102265,169102,303378,665483,2050181
43495,73916,58668,71782,102765,172355,313958,611883,5443731
42198,72906,58702,71157,103038,173635,300981,588129,6744200
41016,75863,59069,70653,102150,176032,294992,591804,1726453
40457,74547,163659,70630,109787,167995,299392,593555,1724866
43201,69496,128805,70059,108051,185000,292720,607747,2261313
41861,76996,113582,73143,102697,173050,300320,654307,1417830
43515,82677,105278,68839,143712,167684,297909,598536,3902614
55592,75740,99617,71592,105978,167308,294151,581177,2098176
46800,70086,101172,70477,103033,166968,286219,573601,2456562
45082,78034,95789,70510,105305,167545,299948,600985,2424608
44321,73816,95400,70447,103102,166405,302501,565897,1785009
44689,74661,90708,70007,101979,168438,288256,579726,1338102
44149,54566,90960,69358,110176,170076,321905,667098,2026896
43781,42714,94234,68192,103890,178421,305321,593294,1882070
43300,42115,95473,68815,106553,169067,314403,595173,1352614
60843,41313,96171,68777,102820,174144,321145,928632,2023635
50026,43812,92642,69138,101676,189573,304109,583949,1891949
48871,44182,94026,70257,101554,171289,283596,575490,1452765
48895,43159,91455,70781,106326,170743,304343,598440,2042348
48648,43069,91981,70385,110649,168236,291438,586857,1988681
47392,42878,93546,69292,100762,163497,296175,575177,1363187
50930,41504,91453,68517,102079,165871,290766,594143,1973703
49490,40828,89530,70155,103838,169612,310471,669427,1992628
50419,42107,89707,70942,101386,168574,292679,607630,1351533
95653,41159,83794,71896,104524,166949,289001,578830,1939620
75924,40714,84129,68071,106578,166524,304303,595088,1855949
56467,39423,86628,68998,101536,164844,325550,567625,1427720
52591,41810,86718,68229,101218,175850,314718,693757,1890509
52482,40042,87228,67982,101984,169975,306950,600736,1939054
49597,40900,86199,69899,103637,168281,307562,610048,1485375
52598,42733,89475,69613,108126,164797,296170,594886,2013766
50726,41300,85601,69952,108169,165391,295060,599286,1808803
49843,39725,90026,73538,102015,162545,302753,583195,1350714
50514,40036,85833,71242,101645,169256,291643,584906,1847541
55178,41251,85272,71115,101960,170440,298198,625621,1992708
48552,40691,88325,71641,101719,162144,295322,629752,1430235
50965,40322,84453,69873,107435,175347,301754,585607,1999426
46060,41061,85133,70264,106479,165290,300667,615075,1940166
46962,39767,84834,69755,115884,163938,283618,887598,1503881
