SHIR inductor b16,SHIR inductor b32,SHIR inductor b64,SHIR inductor b128,SHIR inductor b256,SHIR inductor b512,SHIR inductor b1024,SHIR inductor b2048,SHIR inductor b4096
5036221795,1427545713,1401876022,1391902458,1388624547,1396732769,1408789800,1398099006,1398293991
98932,120509,151217,144890,195194,799873,549706,951028,1828519
63241,90094,106349,180360,159102,241870,576861,619909,1468963
61445,82460,93941,189952,145231,225268,392573,719979,1535454
52469,79950,90765,194086,140520,304547,372752,705572,1374340
51832,77624,88660,212147,143607,295944,329888,630137,1509383
53593,181747,86697,170039,141759,290405,326383,622263,2014548
57653,191915,92235,187932,168877,285733,328522,898053,1448520
55066,186972,91505,116926,142415,293088,325490,645095,1493583
50511,173018,87018,100399,145760,278187,346531,688039,2036003
49432,171054,88194,97514,141669,270530,324926,652650,1492738
48457,177327,80792,96324,141530,272890,328958,612112,1392819
48029,172805,75663,95985,140458,270403,327878,622269,1971226
48522,170322,74577,93395,148501,297273,315191,591096,1316407
46914,103209,74830,100389,140918,289577,311724,650467,1414790
47026,76487,72953,96408,143080,281362,319814,668711,2043742
49486,76224,73294,96546,140570,270702,330473,650162,1316269
48620,86634,75769,127553,130137,280297,315909,614028,1602495
49752,80804,74531,104034,240058,269962,362978,612348,4713921
49415,78300,75927,99433,224515,274213,405609,643205,5885489
47565,76869,75703,94991,211569,272802,367376,667945,2721159
47512,75584,73334,93933,207333,267917,336281,654998,2627024
49225,76416,81151,93383,207099,269519,329648,606171,6014115
47676,76781,75062,93460,207354,273624,311341,594973,1598128
49860,75667,73135,94771,215281,280660,325069,600226,1876255
49834,75991,73947,96071,201262,273072,324827,701096,1349556
49811,75345,91367,93633,213939,274223,321361,647830,1453542
51630,75449,77713,92794,206622,274910,316645,619841,2665935
51976,74467,74345,100146,206459,272613,333683,631788,2429730
51363,75533,74679,93197,208769,263650,331970,978395,1619722
52502,74308,74242,108044,206401,270242,377942,647469,1886244
51468,76029,72894,94728,203719,332815,339416,664669,1414666
54012,75125,75208,93437,203510,269838,332672,600041,1522958
53617,76622,75468,94568,210972,264859,332148,614532,6340103
56713,76087,75577,93097,203093,267834,341035,611001,1669275
52031,250131,75065,91660,202256,269594,314144,630964,1747291
51243,205880,74891,92740,206217,271385,324181,655001,1968738
49794,193249,74837,93777,206239,266197,324836,671846,1548820
48938,179959,76939,95864,207710,267717,314884,610325,1504325
87042,178253,76770,94462,205050,260312,317716,595387,2035806
63459,169499,73864,96866,202488,266132,343598,729651,1564750
54508,164438,76893,93444,203473,263911,363881,643485,1428488
51984,165192,80432,94788,204352,270552,342209,606968,1976134
49956,158999,76288,92532,202551,265749,328664,625167,1476420
49717,156902,76613,93997,211325,265078,337613,695196,1365216
48368,159782,76705,94435,202157,270644,337833,642296,1833261
47781,155523,74906,93835,208672,269386,374325,604399,1663562
59162,148955,74137,97038,202774,255230,371884,601425,1446145
52412,151301,75901,93291,203935,538467,371789,600516,2360806
53053,149260,74750,92769,202319,354967,332181,779243,3188303
52777,153431,72630,92961,200390,309460,313311,640512,1544126
50669,150565,74671,94273,201783,288512,348259,3140868,2023723
50512,149656,75148,93171,282019,281988,325010,3799424,1435277
52224,149896,75707,94089,209049,272600,362084,922026,1715666
49739,148941,75235,93709,204689,276035,327892,1011023,7268177
49587,150365,76373,93426,202054,287973,319335,925051,4912020
47861,149995,78969,95237,202990,302289,312932,1060280,1556179
46824,149977,81843,95095,202501,305355,322756,1419730,1973061
47564,156214,76446,94236,200365,272541,322648,1705026,1547325
48991,156058,73512,94421,204409,277988,309699,1502838,1500332
49370,151377,74721,93284,202456,278297,320616,1072423,1988435
49016,150057,74695,90539,201688,273900,320707,829765,1356229
45565,150135,74886,92718,198509,271136,321305,631980,1539779
47473,150093,73203,97559,196382,278170,340888,661612,1982351
48985,152597,76916,96412,205293,272661,327391,850500,1502224
47347,149969,76682,94339,211971,275954,334722,679394,1494550
45784,140453,76874,95416,205596,274015,319266,647040,2034756
46094,148669,76585,93229,206481,273132,338280,635008,1476863
46583,142711,104778,91693,205820,278111,315307,611092,1580429
47018,141891,88408,93680,202496,275035,317519,609414,2011835
46777,139980,78007,93035,202589,282173,314211,696364,1444104
47659,140402,76739,91103,201870,281967,311174,661681,1463071
46927,138843,76957,92019,202087,276653,333246,894612,2005800
46115,139598,78130,91648,196740,273716,319968,1277440,1475450
46315,149857,75229,90801,194743,275876,403370,897097,1488741
46215,146475,76493,135639,197581,281812,353229,739985,1804394
45398,142742,75632,113808,195378,281024,350781,716258,1478875
46898,145506,74252,105635,203054,272671,337577,695069,1393400
47005,140686,72997,107314,204408,271200,333468,624525,1919530
45774,139887,77064,105558,198523,273373,328768,609163,1414523
59342,143413,76139,105219,200932,284842,308799,633451,1494892
49154,140162,75651,99686,197042,282669,319620,664040,1929634
47533,139316,76585,95879,198463,270668,321072,645914,1425902
46265,138932,77814,96554,203102,273059,321312,626252,1446989
45403,140092,94020,96519,203153,274486,319469,627065,1962632
48061,139770,84735,92179,207902,270007,329996,599630,1513286
46405,142279,83698,94909,205487,264704,364571,614117,1487388
46683,140897,78698,96654,199572,273303,352091,669827,2013873
46725,139414,81250,94795,203645,275856,345590,648728,1389125
46088,139215,77141,94789,200336,273433,321042,628641,1444859
47061,139612,81638,94381,200891,274703,327823,610175,2074249
47705,139803,76465,97959,200592,356340,343189,626140,1424180
46185,139501,76491,93877,200990,278966,323914,910225,1519943
46866,140704,76188,95012,200276,272257,319989,677769,2051298
44658,141435,79117,92522,196543,277348,323589,663597,1389907
45291,150737,74399,92587,194636,274564,316178,623240,1539807
45529,141206,74684,93499,195896,278642,645284,603079,1973551
45632,140899,74340,93039,197328,272417,336546,621468,1464481
46211,149078,80917,91946,201000,272849,378537,675438,1580746
45500,143180,77460,94601,195641,274077,342200,626844,2003446
45838,140020,74924,93100,199654,269026,332177,604937,1347201
46953,140468,75488,93168,203555,273159,313948,617485,1588284
46438,138825,76336,99199,204407,280945,318563,604158,1943565
46113,139389,106289,92684,201885,282081,324412,628572,1368762
46304,150025,92838,93311,206166,269614,316169,682099,1441562
