SHIR inductor b16,SHIR inductor b32,SHIR inductor b64,SHIR inductor b128,SHIR inductor b256,SHIR inductor b512,SHIR inductor b1024,SHIR inductor b2048,SHIR inductor b4096
5268257552,1480204631,1521518162,1477577422,1455418440,1454370109,1434056989,1565904339,1459630774
84352,94843,114719,126108,186623,290673,975310,1143092,1827924
53154,60598,81041,91774,215255,313805,588796,1003077,2102884
48593,59216,71206,83032,231081,186497,335787,638003,1624598
44761,83516,71389,84485,231494,184815,324099,616967,2058036
44405,50235,67938,76505,135590,186704,317706,660666,2043777
49566,49914,263206,75320,135092,176905,304194,678580,1515526
49889,88744,139320,78840,135314,203871,562587,954849,1894771
46929,87623,130819,91547,160929,190251,342904,616541,1944873
42065,103347,123937,78174,130154,182264,334102,617134,1431446
41351,94375,117633,74614,121458,186474,311404,621690,1867607
41793,87261,127786,74646,117788,184360,327654,619137,1992620
40035,84149,121933,72453,115072,176438,304117,697105,1438940
40922,83157,112766,73651,116831,195682,301732,675610,1927372
47860,82334,111691,75967,114437,182272,322272,667447,1940227
41486,87216,122313,75135,113523,186986,308024,606644,1511370
41086,87299,112428,73977,113811,183144,310270,754704,1952066
40482,85090,113009,76653,125025,220254,314206,652744,1972161
41058,87115,117249,75605,129276,188382,370542,645728,1656086
41099,88627,115306,74448,119388,192639,338439,632209,2031406
40665,87623,121663,73131,118823,188989,318738,641537,1969770
40839,87524,115294,73581,114514,184848,383205,600658,1517985
41358,115845,112723,73409,112301,188015,320259,681356,2032675
41144,105003,114880,72368,122114,202004,311127,630361,1971145
41893,49992,109057,71519,111886,178116,308043,623303,1486840
41285,47850,114561,81961,112009,185372,307455,604706,2043190
41073,48316,108718,76427,135779,189764,315193,623219,2003826
40335,47458,101463,76229,125694,181324,309207,628487,1416589
40633,47213,103885,71807,121011,190235,305228,712083,2023132
41097,46880,109144,72739,115597,191719,324984,659734,2005318
40186,47932,107268,73829,111848,188763,320225,986626,1571827
39711,47548,106499,76609,112727,484241,348066,633937,1966639
38606,63339,102227,73819,113495,218413,320650,739814,2017108
40301,52949,102350,74462,120097,195621,317985,653534,1730630
40661,52306,101421,74596,112021,196856,318729,651684,2065332
40359,61194,104448,75082,129842,191719,311901,627010,1978822
40011,51610,102885,72620,137579,184262,319646,601486,1451372
41225,48406,102245,73859,121120,190458,313002,610996,2023083
46681,48621,100276,72934,121134,183954,310702,695849,2006984
86694,58959,103429,73084,115396,184431,306566,681137,1511441
54228,50362,104590,81587,115251,196998,308468,652025,1961195
51388,48846,105012,74900,113676,197438,325640,623710,2019938
43765,47627,105876,73914,111754,183324,337676,607881,1458566
41735,48588,103378,73732,118804,207689,326342,619034,1963193
40626,47943,227923,74074,165460,198564,336477,735994,1965433
41923,47637,112756,74349,129424,191008,317907,641257,1518766
42644,47512,103386,75152,118921,184023,314265,612111,1951606
40332,47445,104487,72264,118264,199748,312972,610020,1889280
41134,46817,101406,74093,113792,182375,308898,600834,1464601
42015,44868,103277,76233,128204,192851,310288,707250,1957100
40015,49420,101657,72892,114904,194160,308358,681974,2079824
41062,47769,100881,74132,138004,182700,316350,660225,1515870
39570,47590,101470,76042,130178,194278,318607,605930,2024302
40885,46350,102097,74479,118725,186385,320514,974600,1984874
40431,46108,100009,73930,118381,187916,342349,635002,1576494
41088,48053,99110,74500,118190,188293,358829,666124,1909261
39584,47348,98794,84925,115523,199720,333566,643327,1767017
38356,47540,99657,96105,114507,185514,321601,634036,1478984
38582,46219,99476,103034,114344,195153,321622,611916,2094447
36671,46024,102456,81114,146831,228414,322408,617815,2051997
38284,46271,101804,99883,147743,201476,299751,642856,1477293
38275,45863,100355,82049,124367,196730,307498,679155,1819436
38955,47039,99270,76537,117791,204807,323046,626965,1629523
39119,47625,99770,89978,113332,189184,313269,614666,1676406
