x86 FX b16,x86 FX b32,x86 FX b64,x86 FX b128,x86 FX b256,x86 FX b512,x86 FX b1024,x86 FX b2048,x86 FX b4096
10279491,1524243,1763478,1716401,1916269,1947986,1792485,4735001,8878780
901746,1488985,1545733,1719789,1885578,1812137,1402706,4774861,9473715
760205,1434179,1479760,1556155,1797353,1804548,1228831,2565548,8337439
734828,1447172,1484898,1548452,1656060,1813407,1195874,4776619,4723833
682024,1431217,1501564,1555343,1657246,1852990,1216227,4583568,9509320
657958,1444032,1473752,1562039,1673522,1904482,1240775,2534905,8466382
639606,1547326,1472046,1537498,1652627,1793342,1324158,4859015,4650412
629170,1451411,1479132,1546701,1783465,1803356,1246845,4686003,9592278
612276,1428280,1467310,1553442,1662724,1796631,1196813,2634445,8343731
1641012,1442930,1475320,1552348,1661475,1796046,1321229,4864833,4933384
1557366,1439203,1591319,1550201,1659850,1788270,1232491,4591348,9606045
1542591,1437963,1488461,1554620,1657046,1822841,1208335,2474058,8264797
1505091,1437543,1473316,1541671,1648334,1835476,1291374,4743113,4691463
1451773,1431717,1472829,1537705,1660992,1812880,1218872,4830173,9484817
1445310,1443653,1462998,1554454,1650514,1806738,1208894,2573234,8588019
1585246,1446950,1467162,1538394,1655915,1813419,1196227,4725842,4802007
1434025,1453992,1490361,1547338,1651236,1805548,1347306,4640082,9795278
1428409,1450098,1482827,1560993,1653593,1804051,1242213,2654526,8129181
1484248,1571877,1473790,1546575,1650836,1820969,1204133,4716196,4903846
1414381,1444968,1480338,1542679,1651398,1812565,1270996,4581998,9787675
1414893,1455542,1486701,1553759,1645526,1826783,1260093,2724938,8639677
1404882,1450789,1485100,1545979,1663102,1797366,1215079,4911436,4936718
1407793,1439407,1481920,1544594,1655217,1804927,1240398,4628075,9491196
1436397,1458849,1461834,1543664,1760499,1803552,1193451,2557952,8383130
1488834,1444994,1487019,1543014,1655132,1804668,1212356,4853607,10033033
1445278,1450775,1480761,1564017,1661290,1815766,1192264,4812850,41891642
1427245,1444863,1490399,1533011,1665119,1810724,1374439,2679009,36469406
1603248,1458760,1491578,1549200,1665684,1798914,1305213,4988263,9766251
1432481,1450437,1492704,1552140,1654666,1794495,1221591,4788841,14554176
1422607,1546103,1598880,1543983,1664486,1782035,1268046,2699143,30101673
1438839,1447502,1483580,1542040,1660523,1809783,1340730,4942788,6573799
1420970,1430329,1489887,1552468,1646302,1800201,1331167,4970870,9693414
1427245,1439624,1493113,1561747,1650663,1800192,1230392,2619820,8519387
1415726,1432004,1478349,1542844,1652612,1815223,1286523,4821527,4888995
1409792,1436863,1493636,1547623,1650600,1838821,1222527,4726258,9358251
1420281,1433816,1489226,1545736,1653546,1810323,1205301,2602100,8743192
1412180,1431811,1494803,1550139,1639670,1799519,1287001,4761798,4770321
1416182,1430608,1488443,1546050,1693976,1797254,1237871,4652839,10323650
1411306,1443291,1495534,1544454,1704736,1802535,1203047,2659793,8203339
1416987,1448414,1596178,1659808,1768964,1813520,1263085,4958725,4637478
1444097,1552517,1500443,1555762,1654837,1817080,1391571,5052604,9352069
1427986,1469523,1478735,1547337,1661836,1814154,1203367,2330906,8116789
1438100,1447879,1485332,1549354,1656515,1800587,1657499,4767464,4618713
1426371,1458701,1485822,1541606,1659662,1805625,1234944,4447863,9500932
1426235,1443940,1482210,1538926,1651249,1787979,1309792,2521954,8506986
1442539,1443460,1498913,1552971,1665775,1790326,1238813,4857607,4678450
1429266,1446966,1488537,1537075,1655295,1791814,1204219,4657726,9490837
1450064,1435893,1478102,1655613,1645728,1815095,1246590,2484331,8082515
1432911,1452939,1481524,1576854,1640723,1813048,1283798,4604603,4820225
1409110,1444648,1498530,1544657,1656328,1799720,1219190,4676981,9468101
1429395,1448667,1484388,1542850,1646300,1817644,1229653,2504197,8357895
1419626,1445166,1494673,1550733,1656143,1790002,1230365,4753193,4783235
1527692,1550462,1476786,1541323,1646252,1812709,1210762,4915377,45457436
1419865,1453587,1492281,1537150,1648655,1789560,1329752,2701596,31983838
1407964,1438593,1481946,1557804,1657165,1852570,1273828,4818995,17118434
1426848,1449050,1489425,1552708,1765080,1798744,1368427,4878296,36193426
1415347,1437064,1477909,1552451,1653165,1800785,1291739,2567168,44749589
1419770,1455816,1491884,1551341,1665996,1791820,1268773,4710432,14317229
1407959,1438709,1482424,1535516,1652376,1794514,1236893,4492012,10064027
1414088,1458097,1604860,1544637,1649820,1798614,1254904,2702649,14009513
1408533,1445096,1486976,1549406,1655290,1795481,1246551,4847972,16792251
1408444,1454324,1495475,1541828,1660232,1825225,1216768,4552938,35137260
1413194,1443229,1485091,1547740,1642160,1812798,1200309,2613553,11396257
1402651,1557901,1493407,1650629,1644333,1800348,1268794,4830452,4796871
1412756,1451681,1474906,1534173,1645660,1803205,1222933,4607536,35999642
1514199,1447989,1490908,1549392,1646720,1811314,1222465,2588700,19295042
