x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096
5808164502,1375210113,1427062615,1414052394,1412007941,1416595315,1409487825,1404405124,1421140097
378151,409644,588929,1232493,951776,1277573,904660,1309325,3492874
381331,414608,1737577,1488613,906430,591723,838296,996810,7117837
328606,350073,2396398,2112877,409076,505677,1662450,989639,2499564
324048,347539,1430079,1436643,398011,1106811,1780731,1040574,2336363
317700,332538,1369267,1379667,435329,2100468,1782626,1021209,1601307
309005,322724,1329689,1364502,397033,590486,1416459,955597,2389794
349279,327209,1317787,1341788,395220,514995,1894196,1388749,2374937
331946,324369,1304960,1255005,390355,597932,1743306,965615,1789717
310898,315880,1308675,1235344,386481,499609,1739437,950348,2457371
302856,321086,1200891,1236484,383079,458442,1757832,949132,2302388
333719,365276,1210587,1243554,387042,499125,1711644,926844,2028271
320758,330430,1207683,1234664,407682,517584,1708702,925064,2515522
310668,319887,1197987,1238253,386996,481238,1698575,1094951,2424449
311149,318321,1219393,1243602,382413,524437,1703837,1048663,1815421
309276,316568,1195527,1251822,380479,608602,1689005,927364,2493666
308490,320103,1227501,1240931,383201,489468,1608864,964654,2359669
338559,315341,1194325,1247744,379052,462385,1608707,954262,1805126
328901,316978,1207377,1243113,404438,500622,1669851,1025914,2820399
305815,317035,1207137,1231346,521611,476881,1760773,966426,4598518
302616,317206,1197975,1234272,460186,469585,1660716,1105269,3165892
302444,319232,1242210,1227091,403705,458840,1595520,1007730,2785250
304646,318717,1236423,1262009,391166,469799,1631659,1065542,2383332
317306,317075,1253971,1245953,399192,587259,1654236,988599,1832762
303204,315991,1246422,1244869,426045,497391,1631379,992688,2551806
301709,316622,1218453,1222258,397157,463368,1611974,991522,3369135
300468,316975,1219680,1236960,386556,466595,1654500,1367990,4369721
300234,326968,1235462,1236975,423444,502090,1742432,1028763,5329474
299992,347041,1209774,1233270,380358,483361,1736263,950658,3018633
310056,363641,1216187,1236483,416029,461229,1702690,1061855,1886138
302157,335902,1208033,1228971,397668,501648,1699552,1017410,2450478
300021,322058,1209484,1242324,522900,518857,1749244,1000147,2387494
299583,319766,1219804,1230831,407361,530153,1683245,990246,1950680
327269,316831,1205989,1251799,392741,480255,1670020,1035156,3096784
307624,321597,1228740,1235722,388998,500472,1670224,994657,2228635
308228,320157,1200965,1225154,386213,528367,1654347,1041873,1743360
302842,320120,1218171,1226390,394103,482124,1714528,1219208,2337623
300853,316571,1207249,1231274,409737,535103,1702393,1038226,2361794
297144,319513,1203254,1241591,399892,567211,1648081,973381,1857748
386763,319260,1218042,1234997,389184,479520,1629039,990492,2423760
323579,341023,1198306,1251776,376926,470320,5226495,1004194,2373936
306763,391818,1227428,1228572,384117,481845,1806481,1019390,1809722
305804,328296,1205049,1242933,384313,474123,1742653,985087,2281311
301856,385493,1218253,1221037,388199,458336,1719233,1080089,2192985
300365,342313,1213381,1235963,519208,458638,1683053,1040689,1851147
303507,322245,1204554,1230084,432853,472209,1668579,960275,2310113
306676,320992,1203352,1241164,399491,556672,1674369,959895,2512301
302174,320447,1200051,1244431,384512,481192,1672061,1370879,1853858
303090,327488,1197146,1233662,401335,460397,1717509,1038031,2290438
305129,322384,1199300,1230429,389750,477662,1722208,1106288,2360033
300316,318903,1207005,1232138,413735,470330,1676883,1077323,1798302
297288,319168,1209604,1226374,389858,462324,1669545,1016521,2329771
298802,319473,1216761,1228372,380584,464877,1722242,1033436,2398445
296971,315081,1203968,1236568,392114,471856,1673052,986096,1789173
300298,320303,1216177,1231771,380310,552116,1658892,934640,2482740
297594,320230,1209718,1237055,415844,514568,1698804,944114,2390794
295729,319452,1216563,1236785,407479,468760,1776193,1035131,1787705
296241,313726,1216286,1234369,466990,527701,1696187,1027818,2433193
300592,329697,1211870,1243624,442118,520349,1666858,1156186,2467496
319162,318252,1227047,1240117,391528,477104,1658925,992200,1818695
312006,365540,1200995,1235148,435470,487622,1609693,922551,2515407
301434,339633,1222944,1227620,391303,548312,1618355,1021485,2361764
298131,320670,1211940,1232551,382035,493382,1623506,986951,1663869
298247,317649,1195667,1246419,396364,470447,1655277,1007567,2398413
303285,320225,1205577,1232236,386165,537011,1660373,1009175,2404526
345847,322854,1192026,1236043,383416,489541,1663029,1079010,1681416
317178,319493,1214855,1229440,459532,467007,1643384,1015507,2335449
302553,368906,1195114,1237707,390821,471253,1621866,950934,2574179
298631,319207,1210843,1233501,420828,464696,1659381,931934,1803993
300241,312620,1198048,1244164,393093,461366,1697291,984089,2439656
298146,315420,1197389,1242357,387029,450119,1669081,1505899,2281466
434926,317152,1208741,1243681,377082,450546,1661707,1091070,1775496
332146,408756,1198523,1252707,380032,462329,1646235,1007854,2297408
307399,319343,1207406,1225167,386528,471232,1740543,1029648,2319976
303028,318065,1205636,1242413,381215,459931,1663714,1034879,1831328
301551,317529,1204045,1233239,427931,454931,1646018,989203,5709928
302670,389963,1201984,1247941,382193,468464,1679236,996515,5041172
303201,326891,1202936,1227470,377946,481666,1645247,975709,2380641
