x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096
5440184563,1515667501,1469599004,1493247961,1512443715,1534704776,1464426934,1460452022,1480212762
121132,122115,129895,132447,397650,504290,317779,441192,905176
76703,91645,96137,103290,229549,669855,302890,407556,869323
65851,107057,86228,94191,225641,1630415,575150,692303,933023
61249,75405,104978,89938,218891,308367,2521003,442809,826738
59739,77398,107177,148214,219393,243267,488322,469886,699950
64001,66434,85129,126194,229616,241045,433611,419183,868272
86710,71282,90415,102721,230898,274001,421077,390768,913486
68415,71807,89162,98225,219258,241767,378537,388972,850687
65211,69698,78884,93653,203807,235697,394343,400661,913078
60502,64079,76195,88888,202025,255197,442684,426525,940102
58047,65535,74199,85509,202766,237512,396423,417864,993402
57238,64149,75933,84754,203659,230994,404196,482582,951776
55998,62882,72948,84747,203049,240215,383498,461519,940882
56306,74400,73929,84108,197545,230303,453125,403614,918521
55589,63834,72805,89217,202231,230740,415762,390160,941785
53443,62687,71758,81429,271676,229884,373180,421659,956449
56211,61465,75450,80967,200046,250250,385282,377004,1058976
55539,62733,74276,82098,201577,230177,369927,419636,982795
56216,62127,98975,80899,196009,246378,428568,423255,941526
56706,62235,78264,132552,195193,240777,419800,452360,985998
56197,61162,77452,102701,207973,234265,420069,467776,958694
54824,60805,73677,89317,194305,227972,381070,411420,963102
53298,62071,73466,85091,195275,230332,421983,426336,943447
77165,61981,73181,85425,197603,228607,460126,386780,918750
55859,61230,71280,84449,198486,228826,396343,383736,947895
53707,61462,71353,82449,193669,246091,411762,716078,998206
53335,62244,72833,81547,197153,240218,374015,434763,915751
55185,87145,72379,81581,196991,234448,431884,465284,978133
54319,77971,72469,82270,193503,230889,423029,410178,965472
54396,73010,71739,86828,194979,238642,372016,415765,887581
52620,67562,71133,85396,197427,231611,378115,399545,916674
52508,62576,71523,80987,193213,229593,366034,404912,1146247
54282,65603,72438,83653,198611,231613,471063,403549,2380244
53689,65818,96707,86160,197681,236600,407894,402676,981803
53747,65782,82464,82612,203398,229909,393472,487702,997867
54684,62705,97337,85520,194223,359244,366246,404877,1041225
53639,60891,90419,94972,193403,232503,412234,392947,1086284
53619,64744,77775,84891,193666,228040,430355,406959,870309
91105,61430,85963,82144,194130,232953,396983,377890,979384
61457,61811,74312,83103,195420,237413,403929,421234,878713
62169,61114,72050,82563,199564,240340,352511,382194,971438
