FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096,FP32 eager b8192,FP32 eager b16384,FP32 eager b32768,FP32 eager b65536,FP32 eager b131072,FP32 eager b262144,FP32 eager b524288,FP32 eager b1048576
1720908,1940479,2411497,2572558,4010736,6096211,6856645,9890153,17641571,25774892,48361885,427557653,170396313,341641669,3023877376,1457935549,2647160767
353355,457050,486903,1234508,1430394,2731062,5623395,9838970,17444585,26093464,47165667,425555036,171200888,337507018,2347758891,1431079261,2658966380
320403,346912,527294,453300,1073903,1480390,4049796,9405552,16747821,25229671,45842576,398216377,170097970,335537312,2882946309,1438781279,2720634477
308543,336376,331928,422660,551402,1077420,5447743,9069141,17345393,27552534,46986677,420574307,171178728,336536053,2191707103,1384348744,2664694837
302547,386087,316652,394190,566633,939216,4258662,8679319,16559506,25435179,45691729,396203176,170570123,334680876,2725310536,1374157307,2649087315
311165,302916,324129,401099,554224,891470,5387868,9270734,17286319,27973671,47426095,426575480,170528099,337758710,2159285608,1360174040,2663639042
304038,345465,315439,401381,559126,915168,4343448,8488341,16817755,25199739,45609805,398933440,170273776,335783359,2600845819,1348809148,2695713067
288472,348422,411781,530740,535393,903592,3588914,8664181,17501108,28030138,46986960,389035815,201983891,336801485,2156422091,1341425956,2758073416
289765,375083,326972,416720,549573,940768,5740175,8737675,16709020,25194681,45900805,440898116,202254083,338555552,2432201190,1327162371,2658922890
290338,337217,304623,394543,545120,969125,5586989,8666032,17235393,28147593,46928344,402261734,198826419,336967408,2179818305,1422835998,2664521780
306400,362705,304998,389226,547198,2194748,4265582,8556065,16370365,24789071,45503001,429203368,205063476,339225100,2375010068,1415003177,2774651818
319447,357073,288642,402228,536976,1017625,5457166,8550291,16948005,27956272,47092252,401925293,202926952,336999569,2121399033,1459215284,2732093747
310282,324709,295405,398501,569593,990884,4040730,8652287,16821168,24980649,45368397,427363383,204099294,338137297,2288823353,1434379503,2650165380
300882,343246,305431,373460,550164,905936,5422863,8699270,17153743,27888381,46956211,404075679,207219155,337248073,2128332694,1494619255,2651703162
315377,342923,303895,383506,562322,1629929,4141781,8472578,15600842,25721182,46013553,398523573,201149884,339717041,2280247961,1478762571,2646082069
308600,321812,292314,398942,552264,1006646,5370880,8467968,17514045,27806115,46809124,402522066,201995315,336721429,2129385177,1416970028,2659502763
323595,359982,317971,385792,551467,1006793,3874041,8150842,16909250,25034510,45818175,398691387,205005232,335047466,2231604325,1423607602,2649480254
274522,348201,322416,377661,541678,993436,3617066,9131988,17871737,27792281,47305108,446823950,196307278,336590230,2109515132,1430249948,2661452203
297227,378538,308878,389260,568411,1003816,5364309,9089487,16808642,25170064,46103472,442709454,170726517,334524688,2258877400,1425709970,2646090112
311766,332323,317690,402216,535526,936548,5266452,8825182,17823876,27800118,47524258,394737121,171381054,336021722,2287094938,1357177777,2654717406
