b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
3952168425,3341765248,3331674470,3948836453,3334540104,3337149657,3338175055,3181046268,3932952716,3948880209
46755,59346,56132,42211,40528,41583,64889,80580,47812,42210
29523,33990,26761,27531,30681,28334,34831,41383,50719,46952
27503,27066,22181,19622,25403,31577,26998,38951,31842,38637
23511,22852,18852,17241,18663,24741,25510,39511,44719,39385
21583,17777,16309,16187,34381,308426,26153,37243,36051,41731
20254,16591,15247,15660,54936,22704,22215,40042,35815,37624
19355,15373,13093,15314,16878,22625,19889,39301,36584,38224
18681,26907,13234,15428,13847,20125,42823,40407,33371,39125
18111,22522,22921,13168,14289,18335,47477,38546,35529,39347
16980,14310,12712,12649,13606,24792,32245,38305,34387,39303
16217,12822,12526,13256,12700,19779,25026,39463,34182,39562
15520,14035,12508,12928,12480,18860,35551,38764,36365,37726
14745,14084,12610,12781,12486,18394,25842,37881,44736,36946
14680,13658,12368,12679,13390,16458,22393,61317,33839,37518
13935,13777,13883,12348,12669,22223,26968,40097,44025,40201
13779,13081,12216,12461,12756,19885,24654,37934,42766,37081
13318,14534,13776,13695,12943,17108,34605,39397,34035,38834
13073,14400,13709,12412,12307,17509,34213,39052,42117,39719
12836,14007,13188,12474,145807,16249,21884,39139,32555,37891
12796,13796,12154,12234,23717,17109,25157,39786,34521,41502
13143,13650,12456,25848,19187,15969,23803,39043,33859,40113
13026,13667,13543,12599,17400,17277,23414,36260,44060,38028
13371,14675,12680,12534,17058,16108,21050,38282,33675,38874
13332,13898,13043,12568,15066,15204,20574,38865,349994,37932
13097,13760,12847,12674,14885,17513,21134,39729,33506,37820
12923,13620,12596,12915,16180,18319,22107,40379,39830,40096
12954,13889,12202,13599,16488,16204,24517,38249,66505,39880
13239,27940,12586,12489,19681,16227,33086,37432,43758,37423
12771,14019,12711,12866,16291,16167,33470,40148,39862,38407
12676,13624,13649,12304,13086,18624,33188,39738,349196,36884
12856,13653,12667,13067,13894,20371,35039,39012,44714,38742
12941,27593,12859,12487,12536,16666,35074,40688,67750,42836
12926,13881,12579,12145,22796,17431,32793,39111,42724,38338
12684,13792,12614,12693,12449,15864,37302,37608,36328,38320
12471,13620,12482,12044,12361,20482,36074,39886,78406,37137
12888,14306,12537,13537,101036,21411,37945,37790,36015,36562
12423,13758,12501,22215,485603,17651,34250,38254,37571,36338
12570,40679,13859,12274,212180,18643,35105,67104,37773,37220
12793,18443,12728,12246,14737,16691,35513,47443,39080,39634
12955,15346,12703,12543,31937,16857,36705,38159,47328,39840
13230,14398,70164,12887,31148,18109,35771,38363,61414,37682
12843,22292,27866,12946,36720,16892,35842,37500,37464,40536
12828,13927,20074,13190,39578,16719,34040,38699,40269,38675
12750,13943,17356,12819,49771,16774,36276,38499,35984,39933
12727,13548,15212,12785,28909,20265,34539,77796,40299,37756
12727,14162,13914,12836,26255,21498,37127,38341,35774,37771
12781,14100,14008,13294,23103,18062,35476,39297,60724,44076
12984,13509,13772,12371,32527,18869,36442,40636,37899,39001
12709,13618,12459,12292,51204,17979,34538,38564,41425,37269
12790,13373,24110,20978,221291,18657,36555,66818,38250,347856
13309,13826,12425,12712,22925,18017,36017,49996,39624,39057
12821,13940,13719,12853,21608,16841,35046,39373,40315,42573
12392,13707,12391,12736,20883,16855,35778,39007,42429,40520
12702,13918,12231,12925,18812,15218,35426,37420,40148,38368
20806,14117,12362,12814,154861,20191,35262,45118,38373,38664
12033,13892,12070,12682,464661,19711,34792,73479,43039,40402
12814,14270,13136,12687,26681,17258,35530,44774,40030,38348
12692,13985,13420,12434,15008,18542,35144,37896,39316,42268
12909,21061,13677,12706,14974,16603,35078,39822,37477,37135
12776,14124,12220,14162,14415,18682,32937,41313,39930,41304
12689,14039,16637,13108,42858,18127,35700,106722,38330,41060
12345,13650,13431,12826,27122,17583,37136,43745,38541,39696
12706,14334,13961,14333,16138,17912,36992,38614,38766,39689
12753,30546,13246,12578,15830,17651,37047,39850,39544,39348
12743,14210,14447,13997,19240,16712,38203,77177,36660,39871
12744,12852,36592,12542,37486,18671,36084,40079,36683,41947
12818,13852,12354,13611,80134,17131,34696,38796,37457,41508
12795,13982,12320,12528,18199,17692,35659,39923,39359,37881
12960,13920,12821,12623,14929,16538,37703,40295,45688,39181
13096,13805,22518,12434,46941,16783,36559,77497,47579,39908
13059,13573,12306,12572,173282,18789,37087,39275,38142,36803
12747,13435,12015,12595,13113,17611,36003,41344,40771,39016
12449,13669,11974,12490,153801,31310,36916,40386,38433,44199
12942,24431,13035,13959,396754,19011,65236,76913,387159,38022
12888,13183,12171,12528,23149,67205,61691,38319,40882,38961
13104,13531,12400,12943,14608,25766,46142,40529,36663,41521
13126,13485,12237,12625,13669,24937,35111,95770,40190,38829
12891,14255,25840,12697,16968,30124,36189,41634,51595,375196
13267,13437,12051,13365,34381,34514,35187,41854,81302,39142
13035,13796,12202,12853,21423,33468,35996,77110,40685,38720
13258,13610,34057,20623,12334,32915,37172,43470,41394,79465
12916,13414,12415,13063,12475,31529,34973,42304,44604,37886
13264,13692,11999,12304,13240,29299,36139,75286,80178,44531
12926,13437,13159,12445,12094,23167,37563,34515,39580,45652
13530,13249,21603,12821,16516,21590,46430,39037,80054,78110
12950,13459,14054,12439,33363,23117,33652,66465,40291,43496
13402,13548,12255,12681,15035,21135,38413,32778,45100,69862
13496,13792,15195,12914,22235,18862,35676,72841,77522,49714
13262,13608,12677,12524,13175,18598,37125,67438,40691,45203
13140,20543,12564,16462,12300,19045,36233,35837,78584,93123
12667,13705,12889,13035,12015,19862,40774,70739,38476,40477
13013,13593,19748,12780,13532,23835,63333,35782,80036,127745
13264,13494,12947,26609,12154,19790,50876,71499,44780,68793
12085,13259,12849,22761,13686,44006,38685,33752,41898,61846
12806,13362,34079,12452,13182,25886,37990,70913,79929,35971
13064,13159,12577,12596,16824,28984,34422,81202,71486,69628
13111,22456,12475,12543,13821,18731,35053,35438,47434,69536
12711,14254,22503,33162,34811,18233,37925,44798,43985,33329
12818,23996,12876,12661,12572,18902,34019,68324,76329,69259
13003,12633,12781,14330,12444,24400,66077,50777,33973,37762
12770,13619,13875,13329,21880,23500,40976,43828,77557,63271
12982,15207,12692,12823,14001,19589,25381,72024,37502,43206
13121,15637,12058,12354,12570,22039,24333,40434,79902,43775
13178,14258,17527,14129,12507,23404,22262,77126,81239,78967
12988,36632,12471,12663,12168,19521,30043,68842,38925,38877
13105,17282,33436,12606,13385,19073,28962,45896,83078,44747
12801,13986,12476,12519,12051,19348,62728,71131,77981,77111
12923,13805,12394,13918,12372,18945,26139,48886,39908,37536
12852,14291,12428,22075,13412,19402,28267,77898,88703,42327
13206,13620,21571,12822,12319,29147,29606,36840,79495,78477
12963,13912,12465,13721,11834,19204,28192,83492,40089,74505
12515,13404,13820,12803,12343,18824,61370,79228,81838,36287
12327,13667,15561,12457,16785,43570,28727,53907,41421,79245
12633,13809,13789,12098,12549,18271,31544,42154,80112,86371
12642,14096,13938,12675,12441,33921,30992,78132,40985,36144
13711,23440,16588,12892,34113,17844,64879,37576,89716,89398
12653,12514,12402,12537,12500,15998,39937,38012,51028,828887
13005,13516,13359,12683,12281,16646,25835,37250,42460,48936
13243,13582,39689,22425,21186,26101,31025,74984,82764,41533
13171,13813,12363,36077,15469,18924,28213,37506,41834,78411
