b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
13955,17906,28032,31901,32568,41578,46494,59843,105102,199369
27517,34332,45149,39374,40897,49955,59314,86279,111959,203521
19591,22695,30866,30504,33544,36632,50080,83844,111846,204455
18127,17598,25877,25716,25296,40844,40141,77144,112629,222870
15574,14986,24208,25473,35904,32306,34724,135759,112200,214996
14590,12628,20274,23928,25638,45073,47618,75038,114431,206759
26710,11780,42453,24775,54422,30793,38709,73753,120042,209724
13427,10646,20261,23075,26011,35463,35748,73947,123075,215547
12503,10579,18077,22854,23229,30873,48566,73134,113675,206672
12305,10091,24074,21556,23576,28710,46939,94270,108257,209236
11157,10200,20849,22326,22149,38770,47559,73285,112458,201249
11654,10180,20801,21621,22840,31746,40589,73086,119855,223482
10789,9818,19421,21548,22262,31604,47843,75478,119710,207427
10715,10218,19440,20476,22708,33831,40711,74160,114893,208739
10017,9771,18647,22273,25004,30079,35724,75951,114748,202521
9628,10073,20934,22405,23533,40045,46252,73089,117941,196624
9515,9712,17997,20002,23482,30649,41788,78153,118080,194240
8785,9885,19416,22750,23009,29489,46859,73397,112760,214789
8721,9577,18762,19057,21511,31165,41283,74104,122146,194010
9089,10904,19686,19876,62964,29355,36674,99847,121030,228505
8613,9673,17494,22031,26063,33538,43441,78161,108090,202111
8858,9668,20472,21953,25344,31721,38500,73770,114263,211745
8621,9603,18404,20250,23800,30022,39926,103142,112953,212318
8698,9942,21811,19534,25116,31289,36367,77618,113134,221316
8653,9798,17885,19899,24609,31238,38021,93991,126430,219841
8692,9675,18085,20230,24283,34656,44941,101764,117122,211850
8821,9695,16889,20513,23325,35888,41430,75427,125681,201962
9068,9871,17219,19627,23611,30197,47732,101066,126222,209024
20681,9332,19806,19577,24245,30576,50360,71819,122516,211804
8399,9804,27600,18917,25730,30095,51319,77394,134913,186323
8709,10090,22213,20323,23432,35586,51371,73634,128223,209123
8706,10571,19254,21184,22331,36193,62530,75286,116963,197205
8966,9536,17968,21963,21160,28179,52550,76301,153427,201659
8338,9789,20124,19531,25573,30456,49860,75693,121434,187872
8505,9655,16481,20493,22718,30706,74909,112900,120927,169768
9101,9157,17126,20524,20813,36006,60622,71400,128866,185785
8452,9715,19295,23376,54508,38124,55175,74752,127061,181205
