b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
2463928,4926084,9855763,19702876,39415473,77944165,154312991,315183010,630360559,1260689571
2464187,5130029,10297095,20298197,39414979,81043649,154315621,315182362,630362280,1262314972
2464985,5110066,9631830,20301920,40963372,78803483,157341943,315182724,631133963,1262770189
2445524,5098527,9858141,20300874,40975602,78807795,157351369,316043314,630368280,1263031993
2444014,5083838,10136915,19527299,40975450,78802038,152725607,315897571,631693914,1276127542
2442423,5084406,10271008,20307696,37749174,78794180,154359151,314960941,630364368,1269101349
2441219,5078154,10272101,20183517,40970767,78798721,157341646,315959091,630360716,1262862770
2442171,5076950,10284219,20297443,40963497,78794958,157338701,315933840,630359971,1262273976
2441460,5075512,10290892,20298803,40203568,78798103,157334800,315972086,631174903,1266799452
2442622,5070272,10287757,20294961,40970925,78797163,157340771,315899721,631825481,1268398192
2436741,5066041,9439747,20307010,39333006,78801897,157343984,315942022,630366414,1268540490
2436113,5064803,10288001,19530013,40964129,78795253,157342917,316233170,631179822,1264903582
2437143,5065325,10286262,19534885,40963309,78797298,157329261,315936504,631204066,1271171836
2436825,5074205,10292291,19528522,40968082,78797037,157343237,316031585,631209774,1258565329
2435369,5071646,9439720,20300284,39396235,78797123,157335370,315922456,630362055,1262357688
2438487,5076666,10288519,19529771,41233182,78801284,157341571,315897816,631203421,1262332914
2437203,5068181,10291248,19529673,41232555,78798363,157339094,315870338,631159598,1262333820
2436958,5062278,10288526,20304538,41232524,78795339,157337895,315878642,631181170,1262328124
2437307,5070331,9439683,19529667,39402372,78798373,157336599,315972010,630380952,1267599752
2435547,5074987,9439695,19531981,39335145,78793784,157346609,314698088,631162816,1262349416
2436933,5069185,10288521,19529305,40971653,78798067,157342926,315932467,634068489,1262319587
2434497,5070881,9439802,20300779,40978653,78795207,157344678,315886089,628430567,1266862199
2434552,5062089,10287212,19537905,40973473,78793755,157334656,315840749,634196382,1271285570
2435355,5068674,10292646,19527278,40974674,78802734,157333893,302126125,630511537,1262343135
2434578,5077635,10293638,20303891,40971202,78802032,157340747,315870651,630367252,1262327885
2434191,5068243,10288628,20297809,40961428,78800778,157337084,315945292,630361875,1262343878
2434847,5066285,10290744,19530599,40971293,78795456,157340510,315877895,632554790,1262344083
2445139,5072037,9441109,19538051,40963604,78798909,157334607,315879917,630222119,1271334995
2444495,5062929,9439805,20305023,37752162,78800657,157330727,315205731,635959773,1262366378
2445238,5064626,9439722,19524613,40973596,78796545,157342138,315867577,633133798,1260621660
2444596,5071303,10291796,20305509,40972035,78799456,157339750,315970026,633645037,1260722180
2445611,5077481,9439591,19529431,40960317,78795378,157350306,316295237,635613934,1260678533
2445751,5065555,9439712,20306037,37750653,78793744,157338512,315857088,634635969,1260684662
2448350,4721057,9441380,19529544,41075884,78803041,157338916,315954271,630499463,1260676034
2445212,5065990,10286038,20298173,41232005,78801539,157346613,316410213,630574031,1260721182
2446715,5062408,10286661,20295407,37750621,78796132,157340169,315860623,632389362,1260670315
2445855,5064661,10287501,19529181,41232917,78795711,157334713,315952407,633046496,1258593964
2447272,5060897,10288764,20302634,41231484,78796872,157337093,315878011,639388063,1260716314
2446800,4838851,10287456,20301866,37751876,78797174,157334612,315194005,628534993,1260686780
2448832,4838786,10291161,19530232,37750654,78798740,157346201,315915828,641378889,1260675252
2445176,4838475,10292182,19530965,40873917,78798875,157333788,316020197,630425064,1260721668
2436102,4838291,9441090,19530211,40957573,78795403,157339766,315984580,636325261,1260654134
2439731,4838254,9440991,19534276,40980413,78797584,157335295,315916901,635005482,1260689691
2435971,4839052,9441048,19529028,37750666,78795464,157336725,315963538,638499260,1260722251
2439768,4845008,9439881,20308866,40969362,78795477,157335691,315926157,635277024,1260722677
2435784,4842556,10289552,19533242,40963644,78802438,157341160,315928318,635749335,1260720942
2439769,4840734,9860691,20299581,39335747,78799976,157340801,315883904,641671900,1260684448
2439181,4846375,10175847,20305964,39334080,78797582,157345073,315880280,630597772,1260724338
2439300,4838240,10287860,20302440,39332617,78798919,157339834,315872932,630599427,1260718157
2439154,4839436,10040088,20300801,40977867,78795614,157333284,315889019,630414023,1260690720
2439091,4842149,10290409,20301000,40968627,78797874,157339892,315935792,641372727,1260675668
2437421,4842345,9860836,20301334,40973557,78798208,157341573,315876530,638889876,1260720255
2438783,4912346,10286888,20310536,40982835,78798690,157341979,316815332,639897822,1260719911
2442802,4849406,10289792,19529360,39330210,78794932,157342235,315563353,638908371,1260689657
2438825,4838302,10289770,20295802,40968260,78795743,157443586,315450156,639055242,1260722553
2448326,4842526,9860685,20299768,40960608,78797268,157348347,315250662,630557413,1260722077
2443126,4848932,9861781,20304013,40977824,78795372,157336930,316176614,636227635,1260695354
2448215,4846500,10289579,19532304,40767143,78797001,157337684,315320094,636735166,1259834827
2446633,4838316,9861528,19531260,40972273,78794887,157348927,315423698,636327503,1260720360
2463802,4838676,10288937,20297544,40978426,78795082,157334427,320074541,635671513,1259062536
2466443,4846238,10290702,20314094,40965088,78796606,157340485,325911471,630342470,1260679846
2466609,4842443,10289672,19533305,39366410,78795090,157339517,332469699,635214835,1260723026
2466593,4842316,9861837,20306866,41104617,78800523,157341418,315468579,639372586,1260689565
2466697,4839618,10290549,19530598,41231973,78796064,157344711,315203629,636000631,1256520683
2466478,4843761,10122030,19531004,41230912,78797539,157335675,315039804,630468164,1260723056
2466541,4842578,9862535,19537136,39401954,78797935,157341052,317788704,630364188,1260714108
2466906,4909559,9864877,20296977,39402614,78795946,157348694,319410284,630364459,1260690902
2466565,4916455,9860137,20294018,41233968,78797628,157342903,321757635,634671039,1260633688
2470254,4897441,10302970,20300138,41231546,78796980,157339663,316512996,634280882,1260668261
2466647,4908190,10290182,20300561,37750546,78796902,157343221,315840071,630371122,1260683763
2440372,4842191,10287729,20117586,41231838,78796035,157342325,315849931,633825218,1260669285
2436029,4849454,10289787,20316986,41234767,78798938,157338698,316425813,633667459,1260675588
2438666,4842173,10294853,19531210,40999011,78795042,157335446,316241698,634713975,1260720597
2444693,4856232,10293394,19529352,37750570,78793921,157347234,315979180,634866654,1260696645
2445198,4842533,10288668,20305552,37750657,78795970,157338908,315890091,635250168,1260671867
2448761,4924092,9862839,20305319,40966041,78802258,157338704,315879743,636434269,1260669214
2445314,4915049,9862153,20304450,40976888,78797043,157343048,319694866,634785263,1260671090
2445382,4884650,9863005,20298819,40976375,78800211,157340252,322073051,635297526,1258425389
2444870,4838266,9863465,20301596,40972273,78796716,157345307,323284329,635736633,1260672455
2449769,4838107,10289308,20314535,40973311,78796620,157340110,322196942,632751659,1260720918
2463834,4840634,10293319,20301364,40968499,78797039,157332733,315964828,631411188,1260722864
2470510,4845187,10289165,20321281,37750574,78794919,157336862,316057391,630362650,1262534127
2466302,4842357,9853012,20305313,40969210,78800264,157344623,316030158,642586475,1268800410
2466564,4901437,10288323,20301162,40965062,78795882,157341853,318318903,633437854,1262586014
2466693,4843449,10291248,20301997,37750650,78795557,157343848,315297827,630373602,1262607981
2466262,4840629,10288566,20301871,37750651,78801563,157342516,316364617,633467774,1260718335
2466558,4837957,10288814,20309724,37752033,78797356,157347439,315383229,637693711,1260724507
2466510,4838604,10294509,20296238,40967035,78799137,157332769,318056988,633269936,1260720151
2446610,4839864,10180551,20301548,40971708,78794783,157336590,315464470,637291513,1260667987
2446651,4857792,10287608,20310972,40961882,78796678,157341925,320307456,634809758,1260684950
2446166,4842590,10290580,20302258,40955946,78797197,157339369,316947901,633833557,1260676986
2446144,4842284,9861192,19532842,40977518,78796802,157345220,316031237,630382021,1260722153
2428854,4790375,10289765,20293959,40965582,78800346,157345032,315840802,630316906,1260630190
2427051,4912999,9861721,20296493,37749212,78802281,157340151,314884482,630361316,1260681000
2430561,4787980,9861392,20306140,37750561,78803123,157346111,315883769,630339644,1260724704
2424810,4847878,9439697,20301850,37750706,78798813,157336329,315868385,630326281,1260730975
2450319,4838234,10287438,20294764,40982893,78800054,157340087,315915280,630326966,1260685122
2446051,4836856,10287552,20307079,40969425,78797114,157346844,315850782,628096754,1260670450
2445332,4838038,10286715,19528507,40972998,78798460,157337085,316316210,628159554,1260729793
2445741,4842407,10288255,19530715,37750645,78798803,157342329,315218749,630319540,1260670134
2445456,4840845,10290258,20318501,40972499,78795635,157341531,315189629,630362663,1260689689
2445209,4840811,10289220,19530896,37752014,78797041,160132931,315187376,630355845,1260674597
2445594,4842236,9861322,20304054,37750735,78796377,157655413,315182680,630276268,1260676400
2436128,4788218,10285598,19532360,40967942,78793790,157377524,315184323,630331156,1260624584
2435595,4840983,9861801,20295833,40968093,78793758,157363461,315186811,630319713,1260670919
2439947,4837038,9858073,19531446,40969511,78797206,157368740,315186306,630184375,1262677554
2435650,4840261,9861121,19532041,37751894,78795637,157371718,315133991,630302495,1260679372
2438431,4838472,10295053,19529156,40963186,78801604,157368371,315182980,630324495,1260666624
2435589,4842335,10296459,20300075,40971658,78795624,157361764,315133954,630364799,1260723559
2438548,4842075,10292262,20071798,40969570,78797098,158505945,315140635,630329293,1260721283
2435799,4840880,10289394,20610742,37750512,78797412,157660404,315189449,630360724,1260693020
2435816,4842245,10291300,20296583,40977557,78796816,157660100,315200046,628803110,1260664327
2435832,4842112,10289742,19528937,40973194,78798786,157657171,315228891,630349316,1260685739
2436038,4857999,10290345,20300528,40971223,78795517,158127735,315726841,630362448,1260729706
2436281,4850864,10293802,20311024,40971152,78793795,157762990,316085715,630348307,1259067171
2435833,4858127,10291520,19537745,40968556,82480558,157664225,315153851,630329444,1255932198
2441505,4790689,9862957,20290378,40967682,82183455,157866319,315186413,630363509,1260689903
2443495,4843490,10296321,19533931,40971021,82464581,157653920,315135805,630321810,1260679364
2470070,4788371,10292836,20297423,40986501,82538683,162132461,315187615,630322463,1260668905
2466739,4842658,9864228,20304821,40962503,82494733,159019145,315197363,630327092,1260643277
2470551,4846395,10288831,19403342,37752028,82253687,157656543,315268139,630362688,1260664548
2470439,4846550,9861431,19404088,40968796,82181966,157722438,315264403,630363472,1260721501
2466728,4788369,9861142,19689540,40968749,82230056,157657751,315134227,630326330,1260669025
