b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
552108,1927288,995284,3684340,2223206,3244787,4843895,8816735,12863949,21929086
194480,716531,620577,1996741,1353256,2953182,4999715,7487284,12047553,22497284
223836,303231,482740,3679119,658002,1973336,2261234,7601454,11669416,22059289
236177,250949,343608,424193,661154,2816460,1868253,6140095,11565562,22797809
213573,285311,311961,444410,618878,1911577,2446357,7593125,11530060,22263825
229170,309135,328485,488752,713674,1147889,2069968,7380789,9163495,22603665
236169,266386,326270,464181,695743,2257514,1687861,7421134,10874476,22171006
216823,229352,309298,565171,862708,1162358,1836305,7542888,12826393,23003168
250312,248061,1350286,504189,638942,1081770,3831663,6499720,8225277,22251379
214338,250526,3412200,431809,641677,1915249,2413342,7505242,12069991,23114210
212755,265412,872352,441689,714492,1187751,1656184,6735868,11591253,22082061
225595,245031,304569,434355,611188,2255916,4863547,7392659,9265613,23022038
245259,250746,302467,424087,646526,1162057,1766118,6501525,11161682,22336109
204561,228953,369660,393177,732008,1076544,1778284,7347040,12680523,22524036
205446,239121,301505,479095,650608,1774389,2309054,6731294,8230519,22164172
208651,215227,307207,412434,681735,1062409,1640789,7337317,12111631,22632255
191504,239956,291072,414521,645557,1026653,4992734,6549005,11739763,22054715
222571,238147,307753,431142,623631,1112286,1835795,7304419,10848875,22799234
238790,248988,348913,440210,992770,1110771,1848815,6237027,11834295,22189368
200593,237164,382029,392787,662177,1121167,2209330,7416549,9237645,23094701
210729,239611,314216,448675,657863,1021354,1842427,6911564,11164036,22201487
199689,207280,353497,501460,637977,1425510,1833349,7511667,12658179,22751456
201303,242574,318084,416888,675861,1080117,1682198,6837253,10526475,22039567
205546,236321,315050,432045,691089,1108890,1938603,7396190,12779560,22852495
197777,256035,312994,432773,616117,1114537,1907095,5853477,10434910,21981794
198839,235753,320111,444382,656644,1868494,1779323,5342302,12590044,22792281
213899,266366,333932,434175,580293,1102759,2630340,5956234,10511584,14375993
211788,244220,348280,410955,597530,1320800,1668298,5255508,12765706,23203188
221858,256437,316892,409088,588844,1118802,1740318,6052854,10648983,23769847
198733,237443,307267,403851,665467,1090752,1666689,7462484,12612645,25642560
207601,245633,343362,440426,677099,1696843,2771338,6956569,10817418,23625408
222362,232112,306722,448349,667889,1174088,1656175,7502027,12832923,17880969
223811,244585,330143,421387,5499249,1058477,2327800,6819826,10662491,23794830
252216,230524,295952,426035,2363257,1082595,2881513,7538707,13415724,25511601
207075,249752,281204,465661,775927,2930585,1649860,6057093,11501127,23714170
233018,246164,309490,418421,641427,1948147,5024688,5213364,13451700,25428126
207150,234688,306016,412839,859153,1118104,1781492,6876092,10276040,23798937
205238,231271,321389,452671,2765879,2362343,1866804,7474403,13442246,25456232
208484,296620,291395,453762,5088900,1169728,2322554,6606190,10753013,23935754
238086,251998,328602,415388,5029586,1139437,1615492,5448303,13754950,25468191
219207,257334,296461,446662,712940,1987547,4988479,6098438,11105458,23935200
221235,237811,414291,457766,904615,1077201,1777193,5252477,13353161,25387978
232980,248425,348332,424747,1063369,1086271,1847908,6624415,11374487,23935310
200661,257685,361284,396142,2320696,1106428,2571803,7389146,12587819,26098722
202298,264879,342235,443559,974923,2868941,1706200,7955749,8155446,23727852
208385,279221,370298,432808,1049367,1914605,1723762,7396192,11941247,25554943
234307,281021,330261,427750,633785,1275240,1673922,6786373,12181581,17034658
224527,250723,347520,430520,740886,2357286,4959256,7117778,10929790,25649896
219163,248390,329987,427733,724436,1112378,1752244,7484804,11750868,23584139
222183,285280,370356,435885,5449436,1102099,1867743,6130740,11406862,25257056
204847,292343,318165,501752,5520168,1978772,2703181,7485283,12025082,23762903
203399,248573,317894,432980,1469467,1075044,1655180,7392348,8640402,16899360
204999,246790,346006,410914,716886,1035908,5011360,6586620,11296589,23776877
219016,298065,348391,471807,629640,1074198,1723801,7241343,12597478,25419423
1053693,259388,302071,451644,823278,2932354,1881925,7223925,10859700,23653492
757542,293905,343933,434982,1214356,1900693,2190526,6751682,12692523,25251260
467290,277852,346427,428491,1276392,1071950,1727635,7317942,11025173,23608562
691526,286683,367829,402671,3757011,2344018,1771501,15006710,17984294,25243370
209611,290655,368651,409509,1278904,1104485,1676212,6236833,10150576,24308480
232698,281211,357641,441616,715047,1093427,5080164,7316132,10536300,25602992
202866,282960,341183,477778,821191,1922245,1748007,9159982,11388016,16388242
203578,269171,333398,422190,1167902,1184664,1861876,11213867,13339433,25573633
236694,268335,352267,449039,955425,2432452,2840323,7228906,10778962,23546540
209178,274586,322230,441673,2381676,1136870,1592278,7318933,12860833,25230649
199100,288271,338809,403323,732532,1094847,5098055,6502515,11953754,23747960
198977,281612,419064,454173,767513,1958662,1759260,7016136,11117793,17737194
213036,275646,322626,440822,2303309,1078466,1821350,5343125,11801684,23646067
226890,281942,338507,394989,1179365,2395095,2297273,7466425,11449917,25449011
222531,249461,345901,437623,818385,1127855,1861054,7064656,12337737,23531087
211173,239479,690205,438412,761604,1101155,1840177,7421058,10734831,25401493
235118,287315,577426,508280,4510584,1925172,1743556,7166240,11962820,23477868
224042,261161,463984,434686,2117753,1110252,3873763,7840521,10701222,25879172
239752,276270,328066,453115,879435,2386434,2471805,6959746,13856466,16382353
206768,250936,331475,468003,1193981,1848972,1900546,5724599,9089675,25714311
217692,277482,321633,466479,4444877,13257750,1931357,7346532,13307197,23942763
214692,273817,335320,442857,2077781,5628619,13098837,7084794,12596055,25567843
200775,295130,327409,393017,864512,3312810,7789472,10893920,10483739,23694552
201319,280815,386928,440900,653049,2179448,7110755,7730057,12692300,25355240
201565,285296,336566,441779,730991,1814583,1747323,7965034,10832596,23677155
216048,308406,337507,460769,615844,1050567,2728161,7610776,12940714,25769209
204948,280163,404120,500807,1095600,2268213,2634158,6241795,8365698,23894054
221223,264239,342393,466172,1127903,1798501,1730110,7505070,12089891,24303429
214410,285760,325185,406252,766638,1146585,1905730,5896573,12309558,23785026
211652,264892,341553,509864,753336,1096522,1704987,18341067,11361192,21144920
205027,290593,1282315,456939,725104,1136047,2802718,7026353,12807569,24035698
214765,280085,1330669,412064,751496,2044615,1741135,6875566,11660987,25685799
194833,263710,697683,444208,672377,1227062,2403822,7082282,14582848,24233263
200209,251130,352896,426745,645098,1338352,1629739,7116532,11925555,25590343
193578,271673,318747,412181,1605766,1040569,1902820,7111688,11501023,24007811
194781,288135,329537,498509,1221901,1107922,2597495,6815647,12057159,32262187
215388,253389,366658,446955,948431,1953027,1698216,7439324,11606613,24994005
200213,284610,455082,433061,620180,1876709,5068803,6679763,12633035,26483243
222477,286410,317800,429384,634722,1121760,10127291,7310022,12254450,30025052
212993,276220,347385,422014,727511,2912266,2764687,6812368,10328874,25981521
216452,274102,437107,450453,659175,1922467,4963703,7529737,17919725,24405279
206819,248219,318039,420806,602898,1133957,1750015,5795510,13070733,26635118
219257,326745,308523,435076,678857,9886550,2011281,7427867,11174424,24535980
224689,262604,688448,483524,715324,3243036,2804465,7338761,13596467,32079691
247922,270498,491039,436995,621377,2826691,1799469,17595013,11461800,24486603
234664,283845,503096,481169,596530,1956280,3392399,7261851,12997834,26737134
211865,254624,334402,481328,1279997,1870572,10436342,7162517,9324541,24336984
217567,265836,325730,463410,1891395,1118917,4920342,11318889,11382662,26126393
202156,266969,295971,426300,859337,2815744,2153860,7488435,12024191,26301427
217125,268140,401015,395399,684037,1908805,1842964,5906723,9936180,25636384
202638,373832,305661,443424,641254,1151375,2525808,8035758,11332492,23278737
200656,258831,304782,439719,600395,2373438,1856128,7467436,12829683,24691383
239045,242907,341315,448539,610313,1817761,6841617,5756531,10154847,22647945
217288,248119,353533,449090,605343,1141836,3263423,11165273,13451515,24163660
205188,278445,356949,2877825,629678,2411360,4037926,7669099,10581420,22134937
235082,279533,1119189,660852,638528,1873173,2488246,5480314,13692624,23918191
206714,282705,489276,1290103,647606,1105523,1821324,18253100,10246248,22239734
228552,274829,469117,434062,654173,1038941,8169034,22751226,13496465,24272211
201589,260196,311882,407454,751110,1206106,3492922,17612695,11364887,18164848
200061,284900,310511,460875,620803,2042168,4845956,11004894,13718390,24793874
221761,302193,330271,417458,601023,1875961,2767523,7526663,10535190,22275967
224484,277434,358242,402976,704971,4296093,2012745,7674900,14019872,25329659
227853,522833,314438,440067,596024,2378855,6854788,5750668,11435634,23495278
265434,278077,337843,398130,606260,1205219,4294492,7999808,13375595,27091179
203551,261981,413645,498340,658146,2002078,3437857,7791323,11753446,22941630
194565,263038,329469,585329,1643153,1863542,2818348,5631563,13574507,25171581
203381,280445,322744,442555,2008349,1089607,1893272,15576327,11011237,22733699
188352,280250,326795,442549,648852,1989884,1907500,7937459,13458510,24678915
203353,249457,317967,480808,613095,1140699,1842727,5643285,20383383,23110337
205619,257201,317043,442128,563481,1339573,4324642,8429924,13630834,25398006
205748,264613,618696,409270,608984,1047793,3242549,8242360,11368399,23102013
202757,252970,484986,413513,625331,1067396,2498096,6035161,13034161,24751398
196907,248527,536493,393377,617246,1997254,2693684,19176384,12005967,22936262
205701,287995,321702,417923,681457,1140962,1912041,15109330,13554156,25289323
206022,273666,377801,410909,626645,1051451,4967690,14193293,8496841,23270752
209454,270291,320930,417563,653628,1130805,1843252,15771857,14235493,25091047
198356,265280,301307,404581,642116,1107100,1946982,11348462,12268809,23019297
203878,291773,305871,466976,626710,1507281,2516109,6570649,12379818,24919048
217652,266156,327863,1808688,646634,1041803,1773333,22164566,15217587,22885633
205488,268937,316671,1682403,659468,1941683,1850860,14066820,12097753,24866905
210212,267644,358570,4860224,1428648,1899545,1967460,10877151,12443205,22870902
207200,249912,307567,401497,1216372,1152600,5019388,9306045,12149542,25012052
227182,279902,309753,431314,777270,1161823,5203287,18162952,12420986,22921793
199190,260984,303335,539924,1282982,1104339,2241963,8133645,10208304,24888843
218370,311800,400533,428032,700015,2108644,2481822,15347973,11908797,18201254
238629,239853,368170,462155,600675,1144261,1816055,19120749,13971579,25199440
225691,245614,322941,438977,758724,1385438,4983194,10630645,11101511,22878033
198352,256244,305509,490757,705093,3542922,2734800,17347612,14051486,25270555
204986,279964,322655,398180,622586,2895308,1860530,7067494,11472739,22813363
211547,287076,324301,1058334,709658,1651415,4896219,16211708,13711962,20075189
