b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
63332,84841,75243,69992,80123,97439,109052,135312,174057,305682
34047,40929,36719,31382,34132,43180,62362,93572,113267,208954
28720,28416,24865,19913,30380,38400,52279,86356,109588,213827
25688,25051,20306,15851,25281,41191,41492,87002,109661,203590
23443,22842,18022,15309,21117,32343,35908,89782,121368,203329
22172,17875,15354,14645,21892,41689,42933,86154,124596,207913
20988,16270,15512,14767,80331,28852,35199,87473,111015,200466
19465,15345,13495,14074,20478,29600,33457,87040,118172,204745
18701,14771,13055,14231,16080,27292,57772,87607,110948,203148
18155,26362,14618,13141,16162,24117,58170,89807,116461,203698
16507,25827,13714,12315,15524,29888,60062,84525,108434,200132
15851,13108,13047,12920,15014,26467,44164,87928,107641,212281
15211,23322,38779,12410,14693,25628,53213,86857,111770,202330
15039,14130,13609,12589,14543,23884,40678,84205,107631,209961
14997,30349,12988,12546,15259,22271,34147,91471,112869,203323
13893,13871,14613,12398,14429,29041,44808,102124,141188,201302
13717,13946,13429,12562,14761,25192,40930,88637,108238,201079
13298,13640,14531,14365,14454,21615,48666,87328,119936,216523
16481,13611,13994,12698,14505,21483,40759,86049,106917,203641
12774,13911,37634,12722,78787,20099,34519,89980,107597,202082
19329,13981,13209,12875,23624,22281,42067,89031,111724,214072
12873,23014,24919,13655,19757,20231,46864,86547,133569,201700
12752,13990,14474,12829,18982,21210,37590,88618,108339,203871
13094,13756,14147,12773,19091,21131,35125,84147,107944,205127
12795,13109,13517,12844,16861,19716,35227,87838,110827,220118
12801,22796,14479,13264,16623,20460,37618,90804,105795,207047
13018,13733,13086,12548,17785,22427,34486,87189,127629,209402
12627,13521,12961,14159,18068,22526,36836,88408,129972,209001
16478,13783,13198,19941,18011,20276,60994,86065,126608,205979
12529,14563,13141,12509,17761,19254,59867,86222,130421,205533
12751,13874,18957,12822,14890,22043,60613,88312,130327,202830
12621,13899,12946,13292,15837,25619,59250,103314,126128,213631
12743,14274,12778,12903,14588,21350,62788,88608,133093,215730
12466,13974,12735,12740,15040,20727,63351,88245,153706,210962
12813,13624,12951,12862,14012,20855,71351,87884,143898,206317
12980,12885,12819,12663,14043,26852,65366,85024,127245,215672
12701,13861,12884,14074,100105,25159,66579,88578,134092,204985
12609,13935,12855,13020,65210,21773,64420,90772,127312,218048
12910,37590,13767,12464,51141,21982,64351,94252,125272,201971
12642,18664,12439,12938,17390,21793,65796,91066,128374,205568
12540,21189,12552,12524,17504,21346,66263,103518,129311,202921
12529,13412,56684,13302,16037,22858,70054,84892,131554,205409
20214,13155,29824,12913,35286,21661,64726,87335,130486,206666
13227,13423,22049,12733,18820,21101,64112,86915,132908,205034
12651,13574,18062,12695,37126,20274,64696,89465,125878,213307
16386,13560,15787,12344,27592,25126,62338,94988,134804,201513
13116,13697,15231,13143,22840,26468,63823,90175,127183,205919
15839,13462,16371,14252,19781,23891,62533,84479,128725,210602
13135,13175,14510,12734,27599,23337,62835,89365,129950,214559
12937,13855,13312,12967,22755,22554,62915,86742,127863,204429
12745,13900,13303,12796,35223,22866,63614,95872,128574,205397
12575,13136,13085,13152,18861,23300,66459,90166,141181,210614
12931,13423,14884,12962,19702,21629,67001,88216,132805,215803
12770,13278,12788,12985,19746,22539,66870,92083,127274,215926
12875,20443,12954,12781,18698,21376,64976,97140,127850,205240
12496,21134,12672,12881,94804,24700,64641,93115,134199,240968
11669,13415,12801,12876,62609,26994,64577,93904,147751,214505
11863,13498,14182,12847,18766,21883,67460,92388,129435,212706
11488,13670,14217,12387,16631,22595,62568,86884,127928,204674
12549,13884,12975,12518,17665,22019,78376,101181,142549,216880
12861,13279,13248,14161,16610,20683,61471,92198,142572,205895
12999,13322,18427,13700,23528,23541,75724,117392,131899,214542
12685,13332,14330,12783,19819,20745,64699,99695,137299,201942
12771,13383,14170,13828,19614,21609,66067,85917,129797,216025
12767,13678,14519,12328,18975,20818,69329,98802,129755,203979
12531,12995,12503,24725,21689,21349,83433,95437,155325,209454
12564,12447,16921,12744,18320,22702,68914,86661,140653,225708
12625,13299,13114,14000,67367,20535,68549,89002,143725,217363
12503,13203,12752,12824,20282,23652,70199,88611,127140,204532
13169,13768,21407,13025,17978,20987,65112,87267,126775,205315
13132,13954,14143,13073,24107,21413,68618,95110,144412,206804
12689,13673,12877,13547,28119,22911,64721,89898,146621,205138
12927,13723,13025,12776,14640,21494,66469,87165,126143,208024
12868,12976,12708,12916,159903,31160,76252,88123,138844,213988
12999,13659,13979,14058,54451,22697,66375,95498,149377,203907
12713,13413,12746,12797,27874,32600,62037,85982,126965,204205
12803,13370,12649,12983,16872,28963,56084,90021,124917,208583
12548,13521,12832,12804,15139,29650,64628,99446,128964,202641
12994,13127,17982,12971,18390,34289,70408,95064,129483,204690
12926,13429,12855,14095,16213,37527,62939,93158,136530,202676
12592,13823,12913,13061,20952,40343,66162,95784,129935,206202
12579,13736,16950,19014,26587,42269,68660,92357,128127,216869
12667,13379,12842,19779,14412,40079,66030,85240,133109,206711
12792,13672,13396,12995,14942,35444,69023,107433,135861,220643
12552,13405,13970,12700,15180,27186,68193,73113,136441,223831
12819,13271,14848,12995,19144,27951,67458,101812,144126,224969
12864,13208,13004,12653,17176,31256,65648,77741,157481,208582
12684,13295,13048,12944,15617,24251,68325,88895,134920,222112
12634,13598,26822,12688,22281,26394,70430,79969,133001,201363
12699,13395,25754,12581,28925,23118,66671,82792,126955,204461
12615,13639,13044,13758,13708,27473,72178,77734,137842,243286
12784,13287,13106,14017,15295,28675,70394,79332,135131,211201
13548,13214,16824,12787,15379,47234,74433,71577,133408,229531
25046,13644,13486,13515,27191,23102,70931,101000,127210,215499
12171,13826,25328,12967,16709,25533,82370,73363,125692,222806
12981,13635,16842,12989,15022,31257,78265,79650,137213,202033
12708,14503,13221,13008,18175,30173,69442,79850,137064,211951
12950,18464,13300,12859,16574,24986,68350,74581,126873,212118
13227,13415,14311,15346,16393,32234,72287,77898,128451,199888
12698,13773,13383,12949,14988,22138,64724,105889,141784,217287
12822,12165,13024,14362,14902,30924,77654,88824,153958,214919
12622,13839,14205,12729,16083,29702,43128,98911,139403,230428
19032,13779,13041,12603,38003,26036,39563,90750,129080,206039
12667,13627,13138,12647,14049,30392,46672,87653,135352,277267
