b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
355737,643133,544924,1315598,1293523,591612,2107371,642314,1897604,3239322
100383,160233,168941,148122,526941,202408,3194628,2209075,1753241,1525778
102073,101922,118926,118077,521353,164454,394991,599235,766974,2848852
71765,91177,101429,102857,134066,175493,227642,558573,837583,1221580
65678,82720,89236,106225,124141,156943,222305,550519,751525,1306943
62211,67441,90933,104678,125464,237268,233292,538585,715942,1233337
60766,61578,83509,104795,197413,199948,232513,600281,1654320,1346599
57861,60423,105631,103451,119032,206356,232498,560641,693961,1211059
54913,57304,91984,106343,129208,194051,575903,601688,753709,1435723
52512,54243,481822,109915,145155,192638,297062,563606,1679820,1314189
48694,53684,145159,117209,158141,220603,186343,569514,768780,1499514
48949,54917,127742,97675,128125,200170,255414,553480,751187,1232768
47189,52632,101938,97052,144133,196711,209418,574002,1626082,1352400
46874,53404,139561,97377,128383,218970,181574,555758,736851,1292250
57685,52982,106910,114827,141596,190899,244023,559174,730547,1448638
52574,52802,152630,96262,129544,202331,206765,577369,1565244,1385498
53013,51246,120563,95865,130338,215101,248280,591808,768545,1507347
42887,64277,131593,108040,131904,206028,211196,574738,728325,1317350
41010,52439,110294,96916,129486,190884,180223,532640,785637,1508148
41392,53843,114618,96607,328632,192949,264428,552329,761775,1206906
40289,53000,126874,96654,128830,210504,199478,534853,1603821,1472246
41239,53498,92343,98246,123494,193974,197154,543904,723283,1320277
41963,52679,139686,96530,121378,200821,182986,566490,748740,1436060
42234,52658,107385,96467,123869,198660,197512,578023,749003,1190868
41077,52289,108148,94792,122333,213262,268262,582108,807930,1334122
41710,53381,109580,95705,121450,203718,195005,572036,906525,1331635
43045,52887,91424,97737,123280,201943,205114,607003,898782,1564349
40600,53357,112695,103621,134807,211029,301812,545466,867280,3039824
40781,53623,97409,96557,132423,200333,400681,522254,881386,1295197
39989,52612,92135,96099,129299,208529,383688,599014,744166,1335621
40773,52066,90042,96205,165606,207508,371296,564514,933876,1204745
40413,53614,107794,99030,170407,207786,366889,535317,865848,1263568
39890,53548,100379,95538,168503,197481,360999,603624,892434,3231111
40843,53685,88908,97337,233292,195905,359488,543343,891992,1285838
38894,53126,86195,110631,169087,212642,367535,544614,854930,1379880
40307,50170,110452,95249,168021,160037,377187,550527,871701,1339356
48984,53495,95094,115265,183102,164999,390591,584998,905027,1290983
41985,59249,90497,108465,237685,154129,374882,539642,852045,1218327
40919,107627,100279,109171,723607,161720,344975,547416,828700,1334123
40760,60945,90908,97763,129712,159854,354592,611187,910985,1267244
44576,55509,87798,96270,139326,154099,387760,545617,847802,1392684
40974,54326,174111,97036,144614,153907,393817,593826,868531,1267417
42483,54447,118079,96203,134085,156061,354168,574703,862487,1339685
40892,55566,117029,96765,140714,155960,333154,576135,880119,1175876
38972,54154,102045,97419,267304,160159,342421,583157,874770,1260274
40157,54995,106005,97330,154929,160585,367535,606702,1944297,1179678
53873,54943,97619,98594,147259,164535,369522,580107,909283,1326700
40311,54044,115253,96068,146174,158955,368499,576954,864240,3215013
39841,55101,109514,97427,139184,176734,345891,569553,866076,1327483
39577,54231,94519,98633,146851,158383,366715,586730,921356,1284515
41328,55171,92610,98398,511541,170477,348050,590257,926820,1322395
40136,55287,93708,99727,130778,157074,363567,1087390,875586,1407553
39687,54864,94816,98735,140520,151369,391046,571046,2015821,3269840
40385,54081,91823,96204,141042,143168,377338,574643,881604,1266864
41142,53831,96644,96649,133297,155859,372669,531778,887531,1187862
55072,55013,94650,97303,140154,168861,348589,575951,885064,1208490
37855,59111,94626,96934,217858,157305,350833,1385867,845930,1251127
40327,58022,116439,97719,232473,158681,358223,571425,897759,1329874
61070,55121,96798,98041,138770,156878,385796,548991,923959,1205730
42327,53886,93894,97123,123057,171899,395040,576938,836644,1196235
43082,55086,93575,97853,125762,154381,383363,601380,907223,1397868
44774,51985,94409,97233,132313,159500,378507,656412,838690,3243652
41749,54263,103987,96291,558946,156716,370077,679049,859331,1246224
42571,54643,94802,96800,133799,161007,359562,566002,1901955,1332078
51200,54549,107104,99341,135230,156084,377735,556581,864471,1244803
39123,54485,110213,103831,140681,155013,407430,854921,935644,1394169
40325,50572,102357,98527,145471,152619,377388,567229,897032,3282703
41936,52809,93673,102218,310249,156582,343391,825557,852503,1244058
39733,53497,92564,97734,135762,156766,386785,600728,844839,1224018
40776,55507,92863,98417,130153,162897,354906,562422,852978,1327699
39694,55567,138604,98146,161053,154044,407461,897498,862353,1355601
41428,54127,96357,97655,398012,155330,554686,607143,877697,1351941
39643,54966,95257,96446,146274,154154,416837,538666,906460,1364572
40479,54165,94034,96659,627350,243955,371329,558201,870802,3280527
42624,53878,106012,98221,223733,157120,368406,920746,1938466,1318437
47506,54218,104320,109621,417756,169893,376442,548333,930245,1284531
39968,53155,93469,109973,149758,174191,353041,629322,887672,1254791
40611,53592,96576,99819,133297,196706,400364,817193,898634,1292835
40365,54080,97814,96818,166517,170664,379225,598052,848510,1300895
40015,52822,95052,102683,138431,168788,381137,607272,956362,1241466
40504,53436,104443,97346,255455,177142,401051,613034,1888611,1276830
49828,55967,101761,97544,145919,181520,386285,572645,1897942,4234572
40298,54057,85069,98338,179683,168069,384923,698444,868488,1303475
40202,53694,100515,98352,141673,175930,407290,870101,1873506,1602332
40106,55677,99525,106268,130730,159433,424981,597117,960587,3435663
48605,64924,267045,96494,143186,163604,360600,530854,1893660,3207243
40724,53673,138045,96349,134989,194711,383930,629550,877317,1701862
41686,54489,106708,110408,119207,176018,396330,521192,1781333,1485412
39667,53977,133481,98453,1770898,159485,389480,623052,1068438,4265657
40172,53923,118488,98368,157284,153967,380077,574400,889430,1619273
43615,53404,142403,98601,118450,155202,370695,600349,3111010,3428290
41266,65850,127388,97477,124336,179654,377710,587149,924615,1416092
59520,53678,148423,98851,120558,157632,421814,543166,2120946,2442723
40703,53672,119496,97006,138753,161904,433661,568118,1566545,3241505
39346,67425,106661,98135,142848,165127,373395,561558,1984687,1424963
42644,54561,135140,126763,120986,167410,407607,585872,1706082,2786303
42571,53498,119504,108880,121125,2806939,378479,876678,877601,1815248
41923,56523,106472,110914,121165,148665,357841,552840,1977980,10285327
