b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
35024,33058,34490,33355,35322,34929,32963,34349,31396,34667
25011,26024,25059,23115,23322,25224,27946,29720,29975,29790
22369,22213,20422,21159,21479,22758,26534,29278,28762,30795
21929,21136,19309,18713,20401,23956,20908,29714,29007,29896
20965,20019,18749,18168,18691,22115,19783,29544,28611,30651
20308,18716,18050,18033,19197,25351,22168,33846,38906,30724
19928,18501,17948,18181,35687,21054,21035,29119,29748,29994
19428,18293,17696,18182,19748,20447,20171,29030,29068,30657
19234,18066,17710,17987,18797,20245,28161,28800,28683,29610
18925,17783,17886,17757,18354,19431,25635,29825,29368,30411
18844,17707,17553,17552,18210,22256,34075,29445,29022,30590
18631,17475,17506,17669,17922,20201,21157,28963,30022,31247
18493,17792,17556,17707,17898,19859,23988,29099,27892,30076
18316,18270,17457,17474,18097,20557,21767,30314,28631,28925
18338,17885,17405,17739,18391,19212,21318,29873,29028,30018
18183,17973,17762,17534,17908,23011,21556,28672,28573,29929
17947,17606,17444,17713,17903,20609,20509,29404,28544,29820
17849,27376,17898,17935,18084,19703,24287,28312,29036,30800
17867,17483,17701,17700,17879,19434,22286,29194,31268,29414
17670,17848,17689,17602,33690,18704,20367,29177,27918,30570
17525,17686,17401,17622,19684,19252,22225,29778,27971,31367
17661,17720,17427,17539,18946,18952,21843,29263,28863,29966
17706,17536,17691,17567,18787,19068,21223,29238,28682,30069
17633,17610,17490,17551,18650,31091,20355,28425,28810,30445
17719,17867,17592,17715,18241,18504,20391,29789,34276,28891
17642,17599,17462,17647,18145,18678,21370,27951,28342,30458
17573,18003,17550,17581,18710,20122,21201,29171,30725,29617
17577,17852,17518,17914,18555,18799,21779,29513,30817,30446
17762,17661,17442,17477,18475,19234,27562,29634,30355,29603
17487,17707,17367,17621,18377,18844,28766,30206,29873,29532
17596,17654,17691,17473,17552,18800,29774,29249,29977,30263
17724,17889,17574,17793,18126,19776,28399,27973,28834,29891
17527,17815,17407,17412,17572,18633,30360,29036,31041,30306
17488,17896,17303,17546,17618,18421,29187,29382,29300,28960
17511,17664,17256,17747,17609,18442,28605,29000,31369,28916
17713,17427,17351,17350,17670,20176,29579,29002,30138,29683
17683,17886,17446,17874,63990,20932,30667,29266,30448,31498
17629,17758,17416,17465,17725,18764,28089,29248,48080,29493
29736,29003,17677,17530,17693,19179,29807,32289,30021,29530
17480,20209,17355,17592,17956,18534,30760,28642,30717,37389
17532,19807,17456,17519,18739,18639,29556,29566,30171,29689
17480,18004,34521,17757,17542,18967,35417,28861,31768,30120
17633,18092,23490,17623,27794,18667,29535,28543,29942,29017
17570,17911,20546,17719,17839,18808,29021,28760,29203,29297
17384,17932,19192,17635,26648,18535,29720,30222,30302,28902
