b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
20886,21470,21060,16613,17478,17855,46706,92299,119214,193205
10669,9504,9045,8891,9112,13181,22033,40478,78535,175192
9454,7968,7665,6125,8388,12814,21889,406648,77053,161735
8922,7203,5887,5801,7590,13504,20006,38268,75013,165428
7448,6520,6013,5762,8497,15614,20680,35840,76754,156483
7102,5613,4723,6058,7928,13002,20608,39549,70199,158952
6712,5301,4836,5428,12693,11959,20708,40192,74087,155775
6484,5173,4645,5540,7808,12291,46585,37155,73996,153373
6275,4429,22107,5642,9293,11415,20902,39527,72963,158739
5511,4370,4498,5259,9701,12360,20226,61369,70336,159064
5419,4434,4590,6433,7694,11306,23818,40182,70066,158580
5092,4099,4624,5436,7541,11658,25799,37971,73679,163028
10227,4448,4607,5555,7628,11167,21985,37354,71843,154866
4921,4222,4485,5257,9012,10817,20565,39679,75871,163365
8766,3971,4352,5715,7490,12020,19675,38713,70757,168289
4535,4151,4365,5411,7415,10916,22094,37433,71889,155035
4327,4130,4393,5176,7540,11221,24275,39122,70965,156496
4071,4045,4385,5264,7383,11425,23647,38740,74805,160938
4167,3982,4450,5354,28262,11317,20057,38839,413525,157462
4053,3892,4629,5397,10758,11634,19652,39842,72127,156289
3860,4601,4544,6080,7723,10972,22025,37425,70308,156485
3779,4194,4364,5376,7401,10756,22195,39183,72716,167068
4445,4414,5020,5983,8018,12359,19859,37807,73763,157605
3925,3876,5080,5373,7599,11239,21053,41515,96730,161588
3891,4019,4495,5346,7698,12112,20831,38158,99616,156158
3859,4003,4569,5824,7439,11003,23135,39672,75454,163434
3774,20271,4495,5447,7400,11537,23414,37867,80502,156615
3778,4193,4297,7288,7489,11380,19353,36552,88662,152447
3955,3910,4380,5272,7445,11177,22340,38432,79742,155385
3601,3899,4536,5302,7517,11633,21594,38237,102192,156038
3946,3914,4460,6641,7256,10698,24630,36949,82040,157344
3644,4092,4513,5533,7343,11398,24063,38500,83185,157744
3536,5021,4548,5338,16053,10908,22336,37124,80437,160109
3516,4124,4517,5441,7336,11329,22520,38385,96069,153737
3675,4234,4173,5349,7275,11950,21491,39792,82756,157466
3620,4269,5807,5359,30718,11636,27696,38532,90221,157800
3624,4382,4256,5388,18005,11840,29064,39691,75115,156348
3601,4193,4794,5419,54384,12061,21770,69515,447000,161582
3571,8258,4328,5406,7535,11006,22396,63110,76724,162096
3696,5585,4400,5526,7453,11602,20629,39547,87820,151294
3606,4471,4357,6466,7799,10607,28773,38034,72961,158989
3472,4282,14123,5526,66655,10770,27066,39101,75232,161703
