SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096,SHIR FPGA b8192
3883694492,3750814177,3800832824,3648693890,3817664997,3815472089,3678358743,3693300566,3597814690,3570197407
1579014,1885706,2925643,5612675,9295821,19216877,34100386,67089752,131809510,257714677
981820,1668144,2880817,4610109,8395541,16882602,31789294,66653568,130556427,259863817
972238,1453301,2579448,4532511,8287326,16198031,31399746,65809609,129733436,257667497
1198068,1454114,2557098,4436872,8218401,18254387,31875063,66707006,130491627,258095481
1152718,1733455,2556856,4449697,8241486,16756451,31526438,65842502,127127102,257736104
989528,1658784,2511284,4375513,9973220,17887247,31277609,66728300,130455596,258073372
991903,1411459,2469488,4406909,8374816,16416628,31382843,65735358,131616754,257621039
963513,1400126,2477863,4366632,8228644,15931892,33994649,66747454,125670989,258303880
930195,1379436,2457207,4355238,8197041,17533498,31939466,65598671,131610251,257665436
958795,1394096,2439408,4326080,8136036,16383913,31614926,66510203,130620942,258530503
938436,1395280,2437104,4346934,8106149,15849411,31239207,65805619,127353659,258012669
954405,1381720,2440998,4314805,8128454,17460750,31398695,66716551,130608403,258153394
940987,1366562,2423519,4335099,8157493,16485928,34002621,65875744,131612391,258111008
897266,1357821,2421817,4373894,8104186,17511808,31464918,66661507,125860130,258913866
893729,1357774,2397410,4341712,8121054,16540010,31226042,65186202,132160785,258061841
907773,1375215,2390166,4281320,8122081,17489962,31992560,66892685,130644218,251447834
881302,1389788,2386951,4293777,8029870,16487077,31543476,65910250,127388846,259650447
907791,1364074,2391000,4182744,8102462,17491677,33761362,66610031,130493483,258134556
890689,1357618,2370833,4212932,8088352,16571455,31520626,65861078,131581947,252306700
911732,1358259,2369609,4197938,8101751,17446489,31316243,66640684,125973766,259864947
906692,1340440,2378626,4193903,8139385,16557090,31870488,65986311,131875068,258722072
881038,1337117,2357044,4150135,8115593,17503655,31494792,66760865,131030318,252011002
878461,1338512,2379522,4204705,8138771,16604033,33860039,65917755,127198983,260112945
869213,1318137,2360180,4179763,8082987,17565593,31529500,66706570,131037358,259110936
889038,1325335,2344391,4228664,8063832,16743354,31344452,65806839,131825187,252001369
878070,1328440,2342650,4234338,8119680,16069572,31841479,66685898,126231361,259708788
