SHIR FPGA b16,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096,SHIR FPGA b8192,SHIR FPGA b16384,SHIR FPGA b32768,SHIR FPGA b65536,SHIR FPGA b131072,SHIR FPGA b262144
3891517955,3880747176,3893027683,3809350606,4535501497,3813747200,4565713879,4421063984,4434685953,4560092480,4674134578,4827339049,5195269886,5725429472
775357,1224856,1664064,2584232,5948820,7061482,11873384,20374029,37035029,96207371,141678967,287706771,558728397,1144154574
641491,1295416,1225557,1569834,3314229,4720808,11358584,18832699,36135517,89886786,141217001,287736194,558339480,1139551339
604935,950367,1153141,1464412,3867934,3927497,10540682,17703532,36229332,92026854,140885174,287047592,558365749,1138802778
618980,934463,1127194,1795830,3022758,6132743,11164482,18703900,34988629,89832232,143391399,287267958,556552791,1140196060
609660,952902,1167132,1435434,2415271,3939542,10927703,17734596,36025512,93643536,141154923,282772880,560464879,1140795120
567323,934386,1110476,1346901,3633283,3509622,10561946,18658545,35208493,93448209,140040126,282707133,555511095,1139708233
591412,912308,1202769,1388292,2969390,4218046,10700882,16076995,36157835,95638753,139882186,281615278,558500570,1142114336
609314,918578,1038703,1347313,2344602,4214315,10449885,18693823,35342684,93102060,141080896,283227826,559554866,1143461260
599139,878501,1053691,1348685,2239059,3928089,10473663,19677498,36039559,95791285,139577349,282486551,558414695,1137063929
547094,879759,1005256,1354332,2345359,5561805,10510326,16106887,27688675,94037165,139992329,284936766,558610254,1113847739
586960,846816,1025302,1298203,2971586,4550147,8180999,19574443,37301286,98894622,144626384,282668587,558940343,1139565925
606491,845712,991738,1292646,2737540,3813019,10430812,16622735,35555009,93405607,138164661,282976963,558781153,1131812330
577628,830087,981136,1302652,2506011,6010988,10307577,19652367,35694896,99131581,138391271,283922665,560705378,1125570636
560633,823802,988903,1298737,2339804,3869163,10358672,14889100,35506551,93368304,139130217,282624424,561560324,1126013175
551552,807885,960416,1310398,2407943,3597774,10308324,19711330,36253938,96828789,139289635,283845175,557373435,1130915471
550290,791031,950065,1252296,2916125,4307154,10499495,18417820,34699862,92840657,138559899,281881312,559196508,1131402249
563481,813952,939118,1260609,2824485,3760486,9678236,17050536,36084596,98351321,139097752,284711323,584191564,1134418588
554852,789223,917706,1222828,2358918,5871321,10438349,18505401,34777455,94880107,137442163,285398010,563111051,1139573984
531110,779771,920369,1269597,2989193,4431374,10532361,17706236,35744526,99054713,140730204,282272510,571065992,1141038955
543715,746385,915889,1201205,2902839,3567767,10298727,18396858,34908250,94640181,138940233,282189746,565276051,1146330472
540583,773637,925488,1222716,2279426,3536547,9648488,15828463,35565062,97678572,139276954,283950188,561954822,1138195649
517965,756006,895188,1204543,3065643,3805562,10980476,18600040,34956983,93418536,138383903,286084043,562794996,1140078476
558106,774662,942255,1206128,2706028,4619718,10361161,19514539,35964162,93136829,140508425,287205268,569898924,1150788836
573154,748394,911418,1236123,2243673,4524791,11022969,14953720,34973116,93080709,139988855,283724060,571285218,1135470130
508758,748756,912620,1195377,2797133,3735708,10259156,19643222,35733929,97615698,140535469,281709174,569974283,1140232495
495560,709013,909705,1167723,2295904,3752044,11135050,18548768,34796358,94355926,138122072,283675972,569691160,1132922221
492894,729792,874325,1168104,2270608,3730737,10312514,17752670,36044288,95376980,139312358,284506583,565732521,1138420021
487563,718581,877473,1106213,2101492,4643798,11092111,18530449,35100778,94205055,139123711,282352306,556667477,1137795223
491047,730161,886940,1042186,1983984,3646555,10440237,17213776,35814114,92910340,141037416,281187859,551544759,1138311371
473280,689393,857693,1080839,2377339,3595910,11003804,18533802,35170227,93065327,139220777,283522816,548271444,1143053657
493773,707728,846661,1076222,2064269,3499050,10470758,17394827,28409609,95263230,140751514,283294934,552618208,1135326496
487247,699028,875189,1098663,3048964,3312985,10374378,18627267,36395702,93627521,138948823,283370258,552765647,1146007726
487123,720082,851665,1107566,2026512,4081090,10406935,17579720,35563086,94897984,139789067,281335362,551050586,1139426344
482220,697635,849328,1100978,2051019,3548981,10945564,18109379,28015629,92511411,138726184,281351417,550958965,1139962671
496499,717443,857808,1080499,2376692,3311210,8237061,17623312,36676055,95874724,140394492,283166881,552979106,1135730898
480796,681485,844113,1068372,1936496,3736371,10761997,18334653,34744601,92919394,140075277,283077459,555769169,1114035960
498394,713140,818153,1109583,2945746,3513629,11078459,17746982,28414139,96105084,141627020,282065759,551998852,1134387805
461475,699051,814461,1077021,1990812,4578763,10386206,18512960,36182580,93006246,139951738,285084952,553404108,1133919252
484120,725244,786375,1122330,1800568,3648837,10867843,17410441,36292557,96276297,141929152,283283457,557398136,1129002307
470992,699965,762825,1072297,2281942,3715721,10417760,18372126,27641759,93792463,138180307,281662800,559653258,1127033381
480906,728019,805137,1087748,2022297,4329739,10889420,17562464,37240419,96756610,139494355,282691413,555648793,1113354792
473781,680185,698559,1089986,2895862,3541816,10287989,18458332,34806285,94118871,139247362,286805493,556958895,1136434367
487135,703444,721758,1100209,2523078,5612104,10994723,16069247,28516523,98233191,140271760,283725024,553635682,1128974241
475477,688327,729543,1086761,1944525,3728200,10319826,18419302,36176201,93701874,139622432,285808827,556887743,1128851587
481709,680387,714758,1045946,2940567,3242038,10961170,19543689,35965208,95768630,140566328,283710422,561942390,1138007992
447903,674542,737982,1085775,1998706,4030038,10289667,14838043,34970015,93713353,138475956,283967647,554433022,1132165989
447251,695084,737521,1016665,1870748,3463011,10969083,19695346,35596693,98739097,139856666,285083460,550790122,1133241526
442109,663510,714070,1042732,2385316,3316448,10166569,18336164,35014051,92961946,139971907,284943128,554702906,1129466195
442014,682490,734922,1524494,1962808,3551149,10885772,15872482,35839783,96654936,140294108,284360288,556772813,1134924181
432360,650440,728431,1175035,2937484,3280851,8614595,18636878,35533194,92994536,139320706,283338869,558048026,1135081223
447222,669262,706794,1102778,2515587,3506553,10708134,19472510,36106077,94461911,140796506,284206084,554431374,1128854607
448802,647542,707823,1111439,1920403,3168050,11056480,14818922,35695111,89945754,140921965,284751130,557628066,1128145107
456700,694107,720556,1090474,2989803,3674071,10350177,19820936,36463692,91767636,141049288,283523257,556805950,1145505767
427366,628253,676048,1137280,2017196,3451757,10353716,18432356,35648258,93142868,140070967,285582014,557004099,1130314829
453105,665913,680314,1102224,1957952,3644524,10463990,17583315,35910826,87680538,141297057,282443981,560484851,1131378504
441730,636660,1054029,1142663,2545931,3765094,11275539,18371309,35651935,78883386,139048320,284240471,582191868,1140904524
440072,653734,1011647,1090901,2061106,4561901,10225026,17526666,35851228,75471191,139228827,282207081,563265397,1125806082
423395,649520,994247,1135744,2021742,3707812,11638222,18145469,35130628,73136798,140010719,285956426,563484482,1135760504
447573,635816,972702,1067718,2141225,3842733,10904605,17559080,35858818,75204137,140283472,284690024,562381527,1135701880
428862,620700,973056,1138504,2139034,3804275,10996111,18194674,35186028,74972149,138699270,285658505,565461326,1142381416
429811,619146,956572,1125190,2108463,3563228,10910897,17687032,35866571,75698261,140334116,287245411,564186241,1135933833
421271,619440,937740,1123851,1998652,4348779,11732313,18181963,29146522,74416297,139532790,284484813,561400107,1126431873
436085,624816,933099,1158854,2253763,4425983,10996038,15822657,38408405,75918760,141004374,286134045,560376080,1127097054
432118,605765,895283,1149909,2049225,3890864,11736510,18140227,35996906,80943670,138171881,286034124,562757653,1138987656
435925,632602,901877,1143463,2062888,5454664,8822622,19439014,37203602,80613620,139951490,282302512,565530574,1139784352
420509,627569,905385,1204185,2132567,4580041,11493002,16739374,36047882,73098579,139762992,282810648,560899969,1133003149
433283,590983,851404,1167028,2794149,3887887,11207696,19431527,37100147,79709965,140094717,286580832,566203070,1128880363
428796,568619,881420,1116081,2696838,6059336,10862455,16868326,35861689,81332773,140992946,287810944,564524500,1131840726
421713,518448,873905,1128316,2169931,3860583,11671869,22246712,37417098,74541099,140475598,284893038,565469598,1123423511
414190,490682,833721,1163656,2852358,3632362,10957775,16533845,35950573,74454374,138662936,282709940,566443976,1131977345
430865,506847,830535,1142559,2103780,4245692,11258136,19710372,29809262,75240960,139929213,283478016,563460362,1130009214
