b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
4208580335,4106823630,4021139474,4231353474,4111504572,4242813299,4333930726,4174325886,4216949328,3422341233,3635944313,3178383827,3181229745,3319544013
46472,56993,568477,50963,49707,50352,50797,51440,45725,50833,49015,52513,45828,42165
33715,40890,44475,42003,41210,45234,42454,39994,65494,45651,55181,46324,43683,41570
32195,35455,47769,37036,40042,45646,55684,56238,41000,44919,41792,45848,42835,61264
31777,35124,30924,32849,37309,42159,40553,39633,33150,44281,44921,46103,42870,40968
30966,34532,31912,30688,33039,43301,35446,53672,36275,44779,44366,47099,45867,39791
28082,33711,31320,29402,26593,38435,35679,30878,34162,46020,45090,47372,43169,39148
29508,31228,28154,25669,23577,38341,33958,44085,36152,44340,43387,46832,46373,41399
29219,30845,28116,25114,22486,37134,39705,38125,40852,45356,45525,43825,45674,40565
28815,31033,26589,24494,21727,29185,32102,32578,55539,44311,44325,45073,52284,40303
28237,31433,25977,23387,19894,36530,32040,33707,36904,45089,43640,43506,42091,41981
29112,29049,25874,23661,20485,36573,33828,31610,35944,45970,44403,48224,37679,40805
28229,29621,26190,22659,19469,38905,31244,31450,37952,45052,44244,49306,49598,48339
28579,28999,24963,25401,20681,35792,32168,31742,33506,44050,44925,47422,41040,41949
27934,29334,24307,22818,15946,36774,32999,32573,35522,51434,44673,42322,53815,41248
43244,29097,24034,23471,16034,36879,34237,32991,43416,46165,42708,46233,39858,220975
26374,27222,23224,22478,18162,36167,34489,32752,34046,43613,45546,45098,37684,41189
26045,27646,23199,24616,20277,43982,32570,41096,41677,44767,42495,42749,37832,36225
26216,26843,23760,17515,14963,36958,31938,32552,35622,44984,88639,47904,48958,43355
26817,27109,22288,16955,15029,38489,31340,32547,40300,45738,42781,45824,37175,45986
25346,27513,22438,15812,15391,36634,31735,32645,35629,44739,45004,43350,37201,39561
26178,25744,22667,14971,17500,36847,32250,31176,35289,45521,45068,41036,39231,36323
25703,25700,21212,14676,15321,32239,32469,31599,34334,50339,45097,47940,36198,36440
