b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
29989,74139,102107,267671,91857,102885,210414,408413,770742,1765345,3377502,6473068,12233174,20255152
46535,99190,92557,139561,101689,157980,196785,422641,773102,2085718,3672594,6964082,12182449,22604095
45300,91494,92645,124956,85069,165698,188898,391837,795605,1507822,3091815,6936398,12205852,20394959
44908,86309,82293,128439,80761,127278,241673,562454,631643,1915881,3659003,6933452,12150942,24456208
44364,84669,80034,111112,77149,120959,151325,360660,574857,1929390,2969024,6764335,13439548,25007257
44117,97913,76753,119083,72761,116751,188659,389226,430006,2074006,3663619,6520269,9992885,25517525
41361,82844,75111,112829,69622,108997,164961,388594,449882,2658391,3039428,6675464,13146803,25524857
40860,78433,75089,101069,67865,106111,212641,337349,758471,2103864,3697409,6721976,13721866,25640624
40844,80561,72663,98944,65431,97001,166740,406721,778193,2072712,3666239,6677264,13948630,19312067
40902,82916,70582,96018,61802,104064,151191,389322,796547,1894634,3461903,6665634,14052922,21014488
41874,92729,69969,100336,85744,100085,139548,402833,599622,1926064,3074727,6545621,13013192,20206580
41529,76384,67577,97285,59324,75829,137363,389009,761771,1916303,3648669,7026262,13842860,21208145
41265,74514,68132,87650,55670,81061,148353,407968,770823,2044433,3639138,6969428,13783744,19273708
41132,75162,65799,66985,88212,74788,130135,410517,628875,1910582,3643604,6956554,12680668,19755205
41081,74319,63681,60287,92569,71788,132309,390612,629095,2727082,3625281,6382588,12255132,21160894
41263,75237,63781,61714,64878,99302,125411,388086,607038,1904497,3651633,6698267,12472428,23806952
38791,70113,63059,59622,65971,101723,134943,384886,602720,1885503,2966913,6930105,12322620,31800763
38296,71020,62585,51788,86272,122690,130327,383478,769581,1925082,3832639,6783051,12190416,25420421
38249,71836,60021,48952,103514,98597,176716,350953,748441,1917479,3607227,6878024,11972074,25060629
38076,70641,60225,50106,48330,105161,130830,391113,727612,1916365,3634152,6981331,12037949,25496637
38343,70072,59413,57183,62662,99155,142754,390011,759511,1895121,3630353,6734246,12892166,25510032
38469,67486,58638,47827,64486,98047,140058,410373,761171,1923367,3592378,6658627,13100374,25720619
38834,67741,57985,55053,50427,120095,136720,387644,689130,1902347,3001794,7260191,12145489,25719637
39639,66503,58808,44638,53873,89484,220054,383934,745312,1935159,3676475,7143916,12767702,25724702
38717,70093,57701,43929,48236,66646,136785,391066,757686,1860641,3866530,6815855,12369638,24369987
38716,67703,57145,43596,84433,72758,118892,388489,751564,1880647,3659641,6775258,12577657,25471539
36859,63786,56856,43619,80869,96159,139825,385582,762377,1884239,3445626,7029605,12612781,24981430
47852,63929,59752,45463,47780,71304,133054,368490,759673,1617360,2999526,6732952,12411780,25515990
35944,65248,53540,42996,93947,92793,151347,397540,755128,1879169,2962455,6768431,12242095,24355393
35684,64669,55900,44032,63970,90669,131367,398771,770011,1868842,3737813,7436518,12806362,24834613
36007,71850,52622,46122,49384,96214,144461,371740,566065,1872630,3831720,7047038,12003120,25097748
38540,68964,52271,41962,45635,70040,138773,373478,767966,1870101,2993899,6963599,12061706,24872229
36409,67802,51659,42133,51329,87690,127869,350353,774302,1864348,3792421,6809414,12404276,25096406
42813,61143,52119,42582,43171,92286,191946,404002,766810,1856370,3981499,6666113,12418311,24625103
48819,60863,51196,41655,50199,90135,222030,384394,772357,1876798,3684668,7112356,12548991,24988446
44317,60855,53083,40583,47491,74282,137661,414464,629397,1864992,2996277,7078295,12675546,24760109
35550,61493,50529,39973,46201,125135,136307,385661,761054,2003327,2969368,7508795,12924063,24260156
