b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
3983,15790,30944,60633,123661,245369,492836,990164,1977552,3878364,7779075,15733336,31707199,65270119
4176,15507,31259,61365,120390,242341,484812,987110,1997689,4084859,8151863,16362064,32639161,65202269
4150,15747,31169,62190,122216,245685,496845,998377,1964869,4064166,8141656,16340347,32673341,65235718
4059,15847,31089,62114,123226,247306,480698,981227,1994546,4080359,8149763,16334026,32641242,65168285
3988,15983,30536,60638,123380,247536,496374,993507,2022185,4075756,8123329,16297405,32635871,65188118
3978,15402,30754,62505,123877,248616,497913,1012927,2020566,4071494,8146799,16328098,32614902,65212926
4005,16259,30960,60293,124565,247388,500011,1015603,2016205,4077554,8160908,16326181,32636606,65212886
4054,15550,31030,60748,124049,249066,501544,1014630,2015530,4074651,8149952,16333649,32608292,65185101
4133,15496,31172,60471,123368,247490,501880,1012036,1971620,4074938,8151826,16318400,32640547,65170906
4027,15811,30565,61044,123618,251402,506049,1013008,1964707,4080623,8148935,16303685,32566256,65231151
3985,16095,30715,61211,123758,250228,507645,1010388,1995428,4073825,8150067,16289610,32633128,65172182
3961,15468,31224,61466,126208,250453,507407,1009223,2017877,4070505,8152235,16343316,32637161,65229194
4106,15707,30415,61495,124003,249745,506034,1011640,1997815,4074501,8155539,16357447,32444020,65188060
3964,15705,30240,61930,124992,249612,502343,1010165,2024789,4078572,8155368,16357793,32629163,65141447
3962,15967,30285,61905,126191,251558,506968,1008782,2021434,4086852,8162934,16320441,32655901,65211166
3966,15823,30249,62391,124211,249644,503345,1011609,2020524,4079601,8152245,16327751,32623695,65227723
4029,15249,30373,61674,125834,251731,503650,1013933,2027054,4079630,8154849,16335644,32609972,65342245
4042,15345,30646,61772,125037,248135,507412,1009355,2026393,4076059,8151957,16357634,32620924,65309471
3986,15393,30718,62761,126031,249775,506175,1014534,2018579,4080654,8156949,16343886,32597641,65292186
5462,15352,30275,61826,124466,249835,505964,1010636,2016229,4075768,8153909,16323955,32626118,65237550
4047,15677,31013,63447,124536,250101,506277,1015284,2018373,4080390,8147732,16319465,32638539,65279641
4052,15501,30785,63099,124456,250429,503372,1014736,2023488,4073538,8140974,16301558,32600384,65287296
3960,15403,30653,63142,125106,251707,503412,1009631,2020013,4065660,8151559,16360867,32664451,65273607
4134,15582,30702,62133,125894,254325,507799,1011548,2022422,4062386,8151017,16360859,32633402,65273242
4164,15351,30921,62174,124984,251761,502945,1012338,2017888,4082380,8161178,16340043,32653649,65316064
4133,15224,30574,62762,124473,252721,504426,1012431,2018440,4076948,8145290,16297372,32638350,65291753
4179,15501,31033,62434,125458,251558,504556,1010178,2024968,4073956,8150076,16354423,32629619,65208457
3970,15245,30767,61797,124486,252306,506876,1008345,2022465,4080775,8160795,16342915,32639758,65235050
4004,15430,31100,62014,124890,254868,503208,1013563,2018395,4069354,8165652,16321028,32620814,65266938
3950,15327,31269,63439,125066,250663,504243,1011470,2016049,4082100,8140438,16342950,32641259,65222681
3967,15246,30953,62709,124318,249808,506920,1012520,2018697,4067808,8148480,16358552,32623249,65254636
4053,15528,30770,63647,126315,249722,506486,1013121,2015737,4077680,8137507,16335245,32652543,65242574
4284,15508,31030,63417,125422,250709,508079,1010615,2020063,4070688,8149415,16331050,32634556,65204564
4190,15363,31510,63232,126341,249884,504817,1015335,2008505,4071723,8147709,16294428,32643975,65225320
3989,15394,30852,62918,126204,250262,505275,1010584,2013214,4078136,8147728,16344425,32646167,65270084
3965,15247,31144,63301,125556,249341,505290,1011654,2021835,4082402,8156103,16332830,32687505,65234203
4151,15306,31134,63409,125911,250300,507707,1010413,2020918,4081183,8141711,16343787,32652366,65229732
3980,15605,30654,62870,125798,249495,505237,1010130,2011433,4068239,8149361,16329931,32632877,65208460
4246,15244,31186,62828,127229,249710,500617,1012816,2012127,4072078,8131003,16327519,32660395,65237741
4064,15511,31507,63728,126559,252094,506360,1009848,2015411,4074151,8164122,16345831,32667996,65251818
4034,15471,31022,62812,125054,251086,506065,1008637,2020950,4065754,8152803,16314810,32644603,65259549
4036,15528,31141,63892,125699,249439,504597,1015801,2021617,4069992,8134207,16344682,32639047,65277172
4227,15517,31052,62840,125785,250430,502851,1010703,2022194,4074965,8149910,16313766,32642373,65296997
4013,15573,31267,63222,124847,249160,504510,1013018,2024004,4070617,8149205,16309063,32634968,65123116
4117,15553,30952,63186,125924,252542,505006,1013394,2023522,4077818,8159895,16317085,32646420,65322073
4123,16102,31315,62677,126165,249173,505131,1009390,2021036,4081047,8148053,16365879,32670741,65270995
3962,15582,31389,63139,124663,253511,506799,1013411,2023828,4085302,8140528,16358793,32629950,65294852
4061,15526,31633,63087,125205,253475,501981,1008082,2025218,4076451,8159939,16332414,32642791,65287063
4207,15443,31962,63157,126166,250863,504830,1010821,2021642,4070605,8161752,16291709,32651691,65319015
4044,15647,31530,62707,125292,251199,504020,1012852,2022186,4070699,8161868,16291708,32659788,65325522
3983,15566,31417,62205,126805,252243,507806,1011696,2025463,4071375,8166122,16345880,32636336,65310117
3992,15724,31971,62115,126282,252811,505361,1008875,2026789,4073218,8151954,16339190,32630402,65317810
4149,15824,31462,63114,125252,251923,504327,1010364,2024016,4074340,8160191,16334221,32648043,65310709
4248,15878,31642,62794,126627,252289,504393,1013795,2023808,4068856,8153311,16319546,32637546,65317090
4191,15611,31787,63162,126990,252329,505838,1010438,2019439,4073807,8153966,16323391,32625913,65265416
4021,15765,31741,62574,125852,252917,503829,1011496,1999750,4078993,8158346,16368315,32616737,65093554
4128,15565,31130,62937,125611,251225,507826,1011696,2010704,4075990,8167566,16356167,32656412,65103094
3962,15589,31471,63901,125808,252282,504884,1011424,2012988,4079522,8163244,16363523,32678126,65105988
4117,15465,31558,62733,125688,252332,508902,1012727,2013465,4073188,8153941,16304677,32689472,65039714
4031,15997,31564,63935,126243,251483,506883,1015942,2018024,4083301,8157750,16301141,32634564,65134286
4179,15601,31691,63644,126440,252037,508849,1014558,2018858,4083616,8157260,16331046,32652284,65353473
4023,15751,32066,64892,127162,251370,506890,1009778,2014409,4077408,8163750,16355810,32633958,65267951
4027,15939,32404,63366,126634,252610,510634,1012882,2016185,4078670,8161658,16340355,32660722,65299728
3985,15529,31866,63496,128104,253806,505383,1015264,2016069,4086163,8158956,16324237,32636108,65380706
4017,15530,31917,62580,126488,252345,506636,1010269,2016439,4069990,8160972,16319915,32662323,65309572
3992,16081,31027,62890,125379,254558,510983,1011704,2011585,4075432,8172793,16320007,32641745,65334924
3978,16900,32723,63693,126296,253642,506799,1011537,2017596,4070823,8155940,16361865,32654814,65265889
3985,15817,31181,63080,125339,253652,505093,1010163,2017428,4074797,7816326,16413854,32629168,65308609
4012,15779,31582,63169,124548,251191,507501,1012640,2008868,4076867,8159100,16349349,32655315,65218909
4152,15760,31863,63341,127017,251437,505581,1013327,2017909,4070645,8160822,15854724,32677748,65283098
4130,15969,31975,63478,125504,251729,506489,1011192,2013040,4065279,8154166,16292123,32627112,65285016
3991,15767,31880,62851,125247,249909,502840,1010645,1996036,4083278,8123241,16320640,32659000,65281352
4306,16302,31465,62754,126743,250427,503446,1015769,2024425,4085283,8147033,16028876,32625486,65254503
4013,15730,31577,63086,125506,250037,508573,1012139,2019302,4085637,8151160,16346928,32643785,65301427
3965,15828,32186,62948,125197,251626,506883,1010733,2019173,4079624,8158233,16372750,32657357,65288942
4003,15502,31463,63566,125110,250379,508347,1008706,2017723,4076336,8128075,16352559,32703877,65244090
4269,15988,31372,63128,125269,251522,507701,1010846,1995902,4082647,8149061,16317900,32692306,65291799
4193,15933,32146,64203,126585,250495,505057,1013553,2015022,4077652,8138630,16336613,32653726,65279272
4018,15656,31322,63518,126629,250688,505436,1012437,2024540,4071561,8153650,16291867,32620226,65326583
4168,15675,33230,63915,126183,252658,505642,1011189,2005520,4083347,8169103,16359674,32634557,65323960
4022,16034,31112,62206,124945,250807,506878,1012649,2013382,4078314,8150912,16337767,32669330,65285441
4175,15694,31821,63829,125814,251595,510273,1012750,2014977,4075521,8144258,16357448,32650896,65289534
