b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
1167008,1154411,1313889,2990745,5126014,5387474,11275258,16254448,27161467,51708471,98171821,194306558,351737239,696142781
138252,520141,1245033,1163832,4049071,3836324,8206362,12467949,22871583,45662337,92513913,196669771,349854650,695016990
133366,548379,433593,1291577,1861259,2672244,8340090,12053944,26707042,43076872,93573873,196575300,353645198,711901198
127212,277663,396960,608692,3312330,2009494,8054870,13750707,24125378,44408122,88331067,184350454,357265734,705549703
136957,248006,378005,575236,1658493,1773808,7581040,12864900,15352073,43467726,89450492,183005556,360045624,726789188
148278,263572,383933,575704,926695,2014422,7550168,8288696,22952289,44052753,88861101,190009181,357383726,720316000
118382,270729,372211,589355,2886307,2764392,7120266,10993442,22342507,43562475,89022548,186293220,365116075,727826984
131747,256699,378512,563903,1578344,2275474,6974747,12731464,22923333,44432187,89225836,187515085,361406743,724905285
126318,239529,364651,552988,922927,1729358,6837163,7441358,27135414,44134225,89377579,184639364,361776864,697926782
119175,258605,364125,556179,2732311,1592039,6696659,11270448,27660115,45741600,89031826,181657946,365046727,700590232
132490,239736,352899,567228,1526684,1866590,6797945,11870378,23536470,43395735,90313682,184938159,356860253,697048045
126020,261225,349036,511116,889123,2604191,6497681,8382939,23390947,44145169,88048161,194857272,358728227,693617090
118840,246224,331214,529273,903996,1827863,6512135,10559251,23103287,44433241,89342599,193328191,364370288,694323241
141723,250994,342448,534484,909101,1903061,6255211,12661166,23103176,44182243,89817746,195925034,361959373,704330007
127547,266909,333860,541675,1683788,1878961,6687778,7563386,22437131,44013642,90037595,187044079,365475524,723446011
118835,249607,335886,538160,1507963,1594293,6303218,11470890,23011761,44410685,88487938,180700993,360994840,727759250
127124,226554,326274,491256,942029,2509354,4670339,11720699,22807802,44913688,88722397,186523975,365001731,715000392
122406,247708,334553,555298,972756,1890431,6797624,10769910,16664987,44545767,87752179,187995923,373289220,723457450
115850,224084,321260,491638,887375,3343764,6710069,11816011,22375178,43519727,88703814,189905587,371330544,723503239
134446,230019,348557,486302,1664833,1999069,6509594,8291516,22854193,44475776,88771825,186986495,370338297,723963923
119254,213765,343554,441938,1504650,1803673,6579702,9812735,16331932,43310264,89441451,182349276,365691091,713874992
114668,234695,335865,455116,892125,2205246,4509096,12502718,24340241,45166939,91773784,188782492,376245146,715845649
153822,225600,314771,434623,1796281,1877654,6598558,9066007,22322269,43309653,90795909,198307352,371108570,724214649
123619,224403,354131,480185,828731,1597148,6635626,12499333,17235227,45708722,90015761,199799043,373868448,717339230
117761,222178,358554,464267,945942,1935285,4321070,9599724,22158658,45055556,91019169,185253893,371966878,708874516
130094,238810,353459,450988,779059,1922321,6374505,12628788,24154444,46307442,89610407,183790537,364922685,710611051
112403,206023,327454,458780,792472,2490282,6455758,9522135,22492345,45658282,90001709,192750968,366502486,716732859
111700,221911,314310,458686,1294878,1836447,4437437,12620458,22992700,44859958,89779329,179317350,362608905,714804955
119364,205151,315187,474982,927100,1757237,6390824,9534705,15404550,43826602,90287396,191206711,364488058,714461316
114815,224377,338659,444989,806374,2285474,6531634,12634318,22607689,44194153,92104403,185800419,364040396,709035762
107178,207205,298081,485628,836685,1835859,4179058,9386484,22888777,43774131,93155289,187498704,362390889,710494824
120171,224831,321393,456871,2166393,3168042,6769244,12723282,23297769,46144535,92086598,189815509,366472936,708680893
113537,203150,311706,432139,733070,1959978,6777954,7750570,23121654,45279679,97296034,185863269,361475761,719788483
107367,225829,320427,427821,798454,1571610,6647175,10452315,23113387,46259982,90883121,185031642,362752182,708386823
121524,198853,326881,436793,1390091,2128155,6755813,11762292,23030435,45231110,89868601,197198921,362591795,728897103
113906,216844,312871,442082,785242,1874501,4536598,10705594,24391020,44901685,90657876,193132203,361305752,735321635
115653,200397,288805,459388,724630,1635419,6335233,11857968,22738934,43279019,90448249,197875954,362472928,736203028
117239,226316,305376,488691,758987,1646678,6598466,8053553,15559006,44864373,94439111,185080928,363970655,726470894
110481,212688,308124,462372,2301377,3437851,4193286,9846006,21935059,44141320,92133286,181637668,359991701,742919502
105034,228036,296849,471488,1451928,1917966,6438284,12666572,22948563,44515833,93194394,188932322,357349074,716405764
114422,200316,271787,459323,871981,1540393,6290176,9959897,22769330,43886978,93142329,188612310,361624944,710842424
112208,213515,308257,452205,780464,2129918,4378161,12480675,22944306,44209174,94852902,188343370,357121204,718851569
105426,204372,281605,463079,808920,1884373,6311005,9897174,22205676,43733944,91920240,186733090,361138782,713363557
115087,214323,277516,456652,2182155,2551379,6513054,12281955,22837335,44253742,92634191,181474801,359989370,714734587
112307,198317,300257,480246,1488145,2011489,4336483,9097509,22255013,44312754,94827390,186001707,362405929,716072940
114130,231698,278664,442184,814107,1737372,6438852,12637623,22820180,44194457,91826409,197158087,360986155,705941622
136115,215039,294338,495809,2199865,1724408,6536257,9880413,22744792,43940552,92822019,196061759,362020247,698318592
144812,227300,291923,451443,786280,1399909,4367466,12599496,22929812,45115366,91623064,183484775,361452360,701507837
120205,208196,270893,433435,803322,2050991,6204756,9170015,22622380,44226792,91365220,181335665,365371460,703679776
114477,227535,286991,490020,1394791,1793112,6532740,12384292,23299442,44334650,90981604,186790345,366746188,702856172
105564,207967,278483,455972,890341,2595838,4827230,9049267,15682901,43578411,90489235,189285943,365056101,701860881
98122,217342,260296,444573,757280,1740284,6893256,12437385,24069642,44876986,90741484,188861797,364087453,694918486
122783,197143,283270,450554,817107,1668555,6633427,7465709,23197083,44588161,91495417,186815349,360968326,711566772
107053,216685,274382,418798,2219266,1713881,4489327,11421796,15829145,44436047,90942698,185299695,364931478,701978137
98022,192075,267484,472745,780831,1450230,6367791,11641360,22533951,44103157,91654913,184110661,364676969,723777998
107191,209629,285803,451696,766585,2232073,6576551,10695523,23541071,44498933,91345727,201178047,361328758,720354708
106325,195767,288377,448902,1548548,1859685,4938198,11653621,16301967,44208076,91761675,197503361,360350576,703629925
101757,220525,278053,426399,908123,1556930,7248726,10702016,22944577,44678677,90701483,197752301,358231616,703830652
105769,188179,265700,480248,1874208,1813733,6927595,11750110,22891372,44472729,90889584,190969124,358697957,696011033
102326,209154,272409,457634,1537544,3206108,5137109,10479441,15766798,44692816,89925400,179588465,361253235,699994730
96620,192281,261584,474034,885519,1951249,6849551,11850899,22079887,43804398,90848672,188602396,359494052,724535454
107581,193077,268955,467977,1874329,1684577,7183866,10737855,22952362,44842195,90833069,189118219,363528295,703326356
111412,180534,259771,467911,815514,2204263,4739430,11779898,15378518,44149232,90435686,188212077,361052058,702815480
97162,201006,253464,481211,1040968,1809657,7303034,10598124,23148233,43816313,91308471,186675701,361541649,699798006
107856,181931,281124,415828,833754,3110040,6857643,11614227,22740990,43994576,91159470,186454921,362341872,709280522
100723,179238,251024,479503,918286,1950316,5021916,10026901,15769252,44601294,90924675,181358657,363471573,708939474
95720,168266,257170,478766,1500324,1806000,7027256,11551134,22603113,44141478,91745766,207141957,367648877,717487392
109841,190002,262744,451303,828740,2344964,7138832,10643562,23443208,44972350,97113053,212201099,361148955,710719881
104133,166757,272323,453962,2433150,1875314,6711573,11448760,14309046,43656711,92867351,199714391,357787773,716748499
97801,183232,281425,423830,835950,3337503,7364231,7813651,23115747,44349304,90627830,192063879,361386891,732181890
133005,162310,295764,463995,898002,2000669,4573326,10727073,22846320,44097563,93913441,196103037,364610903,704314670
126176,189508,265112,475342,1445151,1733198,7289511,12503680,16776513,44588224,94788805,200168485,362567723,719770399
120495,164344,270406,424901,837047,2275463,7034055,7539319,22387876,43702558,93983438,192061978,363075937,699262305
116968,179825,276598,491415,2371345,1880755,5191927,11471294,23298277,43887487,95684380,191572665,364741697,696715900
101423,168055,275230,482490,831244,3194587,7072195,11666065,15506231,43871878,93987821,202751555,362272735,709208161
95162,180057,255478,431652,884971,1956746,7284683,8256274,22608732,44749775,94003323,193527194,364848288,714078554
111802,171734,269221,491617,1357206,1694238,4910178,10662472,22954529,43613122,93367686,189182479,362961309,711406008
103639,188360,281631,444370,835317,2308039,7362348,12440259,15364444,44671056,93987331,189617920,366155195,703746642
104976,163983,268316,437488,2331202,1876950,6886632,7673224,23705103,44311660,93285491,189434569,367391152,693432542
108189,176293,265098,461370,829761,1566016,5088928,11449459,23127593,44444622,94881713,212735600,370441924,696208553
108325,159976,293428,452207,890303,1995519,7222168,11702061,15029439,44062838,93429831,208527187,370059623,708650279
95824,179163,257883,467771,1449424,4311004,7306671,8247651,22797375,44987862,93317554,208043052,371028183,708807349
117666,156614,294214,508440,819918,2486434,4686934,10626104,22864295,43998981,92649872,186710412,373309129,703655269
119894,175609,281114,430379,2383567,1798850,6811867,12607177,15241341,44296607,93164145,181828604,374331255,710253410
105065,160286,280779,463148,783741,1611745,6829645,9768709,22753107,43984024,92195461,193355879,370731057,711956075
