b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
61473,67044,65059,73124,76493,111073,160045,213103,372974,688377,1247862,2254947,4351893,222618841
37298,45217,84280,52113,75233,91787,123424,185082,263533,444021,1131498,1842403,3037127,5795929
49609,38619,44457,47629,54262,80184,106630,147724,413078,455291,822369,1831457,3042355,5761368
34202,34959,37708,43591,50493,78941,144081,213920,249988,436530,815471,1754283,3047423,6867393
33276,34906,34659,38367,45613,74911,113123,146464,215414,456612,831685,1604088,3046117,5824122
30840,34175,34291,38224,45451,72423,102065,131941,224162,439827,836494,1599338,3049998,5750457
29519,33751,31352,35090,37516,67771,84717,136835,221554,447972,836748,1639902,3042804,5795353
30118,31565,31552,30489,34335,63036,96595,128271,254134,441189,839212,1744847,3074085,5831963
30183,31938,31178,30092,33188,63543,90211,128447,245229,440072,819240,1647837,3035517,5836528
29305,31620,29297,29242,31331,51923,79363,131362,352990,449073,819470,1617149,3593054,5791658
29303,32479,28726,27898,38612,61008,94651,125931,232495,446740,835142,1577987,3756359,5803441
29206,30178,28731,28204,30756,65746,77402,129100,218473,452317,821177,1812533,2878182,5771882
29843,29498,27988,27341,28069,64800,75548,128840,234029,446178,819276,1749505,3088701,5795291
29153,29997,27553,30389,32246,68080,75815,123405,224174,455619,837635,1836905,2961214,5849747
28735,29612,27521,26801,24189,65631,92086,127726,215964,442221,831426,1548407,2896085,5771692
29835,29595,27352,28497,26696,66554,89857,130874,214814,452186,807925,1663027,2902009,5826296
28137,28177,34613,26386,30151,70875,80383,124906,217137,442555,821487,1653385,2905303,5830751
26567,28233,26782,20991,34510,78416,93618,127626,215793,451001,810697,1668834,2953731,5769367
26977,28281,26512,20690,23766,65932,80717,125517,225373,455742,813047,1698280,2894523,5857400
26231,27994,24728,20683,21336,66172,76682,125487,250825,443302,825023,1756496,2887228,5929809
27479,28167,24768,18217,23546,72105,77460,134831,213891,440365,811205,1573296,2913292,5806938
27503,26575,24740,18062,28495,65821,75703,126797,221336,446198,821831,1550613,2942182,5776594
