b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
1035319,420532,1080142,445038,509567,648917,1134879,2088727,2927318,4026204,6764536,19908882,22593757,41824118
100115,164587,165134,234055,337741,424669,522313,1887218,1408551,4343507,6786242,13680439,22383144,42918910
90432,153639,156480,200133,166031,417228,560890,821968,3165859,3847573,6722757,13350426,22402062,42783746
91846,145187,143784,175023,181130,399215,534288,786499,1158195,3657698,6430275,13213825,22512651,41619586
90170,145426,147454,179476,155653,375550,478314,812853,1155192,4525873,6652859,13694138,22170043,45724179
89579,141359,143375,166658,136721,367429,489405,687107,2302636,4151955,6189482,12502900,18630114,41945121
84115,141767,131648,156194,193774,345059,482753,1933800,1053235,4001672,6691718,12981409,22695002,42442377
81534,150155,129191,151006,144325,323279,487011,804214,1432741,4124337,6708009,13360274,22542895,41738827
101554,148952,125156,150252,135058,306129,476866,779349,1310209,4100207,6880463,12149413,22439946,37562683
84694,147861,123640,147689,161010,298703,468899,1806320,1197613,4591225,6899955,12533101,23079671,42508024
82493,147986,122696,152686,253826,320924,473168,869601,1067238,4495973,6764112,11960758,22459371,42140049
83106,138321,120053,139115,158850,323358,451547,830422,1346157,4562852,6616664,13202120,22480199,42246131
82926,128688,118783,134262,159535,326991,411399,1702497,1160623,4288559,6827029,13419662,22715167,36854072
90253,131118,118472,116415,261019,295889,425049,840648,1231275,4558591,6966223,13111359,22605973,34240251
94494,127703,122219,126527,305436,328454,436109,795609,1107179,3832738,6808729,12253358,22270765,40721456
91253,141589,114141,110810,209886,346631,447191,1892042,1220464,4555610,6805208,12099165,22135527,50166123
112423,123971,111052,110202,204206,331508,476193,831913,1171128,4711169,6673672,12658242,22442631,43016180
92503,137195,116734,95205,245079,329505,764173,767451,1319624,4574378,6228265,12184437,25026979,42520697
98251,121638,108485,95087,232894,372033,515567,798510,2799316,4572429,6891091,13433102,24968375,42655309
96338,133017,116617,93911,209058,406934,423977,864149,1441619,4574325,6767329,12110176,24672563,42777334
90949,122337,107569,91821,218520,334223,462216,2022976,1464987,4583414,6759606,12052485,22649695,42509515
95338,115308,126257,90468,221240,367498,526388,840972,2851664,4538371,6868568,12067111,23196328,43117052
90414,113209,119652,99905,242281,356184,732931,856022,1232301,4527673,6664738,13245876,22464336,43168370
81343,114333,103905,95548,216545,427699,515284,791217,1436775,4716306,6422554,13265672,22768625,43239690
117752,115286,113467,90856,228995,295464,428350,864860,2932123,4780836,6628515,12086236,24919878,42475426
121661,114730,118509,82014,247364,339412,672089,833791,1406185,4758532,6685243,12167587,25437038,43190790
75890,111487,105111,80229,268515,326928,467980,826556,1390763,4746307,7075741,12365354,25175480,43102075
73190,111494,109886,88671,244718,321761,473055,810721,1382674,4256776,6649949,12159725,25169275,42759182
85079,110384,105469,89146,248309,310187,706715,775694,1474076,4634383,5716540,12072976,24857309,41929041
85428,116266,121220,85210,216812,324475,447777,793828,2696188,4598431,9770583,12114056,22691087,41845122
