b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
20376,24319,26413,32489,47299,80018,138169,253873,456627,864625,1602197,2444191,3884436,6975785
11734,17017,18968,24859,38221,46151,95335,142013,204864,392768,799391,1871631,3309984,6525900
10874,16109,17770,21182,32381,42120,66520,89513,462497,400520,842660,1847911,3219429,6434493
10749,14846,17058,20392,30060,41209,122964,251563,236159,391246,807460,1800686,3303448,6944719
10802,15104,15612,18955,28521,36724,86961,145848,170674,390206,803420,1752014,3260862,6962196
10523,14494,16278,18478,26963,34701,71563,85544,171050,368531,808708,1679424,3505235,7215328
10425,14089,14876,17493,25145,33366,60707,79208,176636,393380,809408,1669550,3276802,6696648
9766,13533,16059,16954,23793,30340,53406,80202,169384,404040,820469,1699295,3495323,7051023
9688,13413,14749,16788,22695,28614,49826,79496,473662,382691,809979,1778218,3133096,7129929
10043,13384,13713,16386,33824,27193,45430,81864,488958,413457,801439,1752860,3602284,6340604
9601,13163,13913,15440,17837,26776,43308,78220,215426,386471,814943,1688898,3294657,7120144
9842,12423,13899,15085,17094,27520,41836,79750,175648,390635,795549,1807360,3439484,8255173
9906,12369,13214,14646,32024,27373,43170,78106,216350,383109,802824,1815480,3179956,7034197
9776,12572,12907,16396,20562,26085,41562,79428,168472,382748,772867,1837302,3333424,6976986
10168,12480,13167,15308,15218,25826,42413,80786,169426,381562,810955,1709669,3348916,7105508
9610,12465,13158,15383,14732,25625,41530,86606,176892,388343,775652,1750384,3446433,6979624
8803,11395,12456,15070,14490,26350,42290,78950,164821,386260,767534,1770540,3498155,7074840
9094,11464,12112,11382,19007,31774,42877,79473,168642,389565,805425,1798534,3564272,6974013
8981,11795,12356,21331,13414,25917,41930,78531,170622,387618,811931,1615814,3365846,6677420
9133,11976,11691,11438,13571,25989,42177,78713,172649,384563,804595,1663007,3210568,6701621
9054,11499,11738,10493,13269,24581,42141,79830,173336,370188,807591,1786745,3479446,6811769
9075,10966,11443,10489,13698,25460,42612,82041,191079,397515,876285,1614950,3548680,6500046
14227,15474,14195,10625,13623,23792,42469,87317,165532,377652,806074,1809276,3357403,6521427
9505,11547,11460,10344,13714,23736,42255,78012,170131,386892,790720,1846555,3491320,6651353
9365,11054,11421,10220,13637,24462,41941,79805,166669,390296,766469,1660279,3358978,6517074
8775,11070,11246,9936,13633,23594,41579,79431,169449,375858,792573,1730517,3292306,6552335
8290,10570,10742,9655,13515,23595,42801,80594,179495,388765,772405,1754399,3319330,6647402
8159,11023,10742,9780,13584,24358,48423,79731,164345,403449,784087,1662768,3344721,6552380
8411,10484,10555,9699,15205,23151,41368,81431,171747,386393,789725,1694490,3384879,6565974
8306,10084,10573,9573,13253,24209,42671,79120,172064,399591,885525,1785075,3361651,6526938
8666,10002,10231,9533,21273,24128,42980,88071,174637,386416,862817,1741824,3300894,6609077
8578,9940,10180,9284,13773,23684,42008,79414,168456,397691,888477,1737357,3303729,6577773
8272,9820,10412,9235,12568,23995,42516,77565,162129,395315,902353,1790591,3320362,6829310
8597,9888,10308,9134,12633,23974,42353,78340,172540,394522,839777,1781244,3292911,6689489
8320,9841,9730,9067,12320,23257,41636,79573,172016,394689,835598,1826747,3289301,6573273
8273,10309,9721,9090,12590,24942,42863,78653,167917,378424,817508,1760525,3305667,7105155
8150,10050,9696,8947,12388,25211,43024,79890,168342,382736,783983,1833391,3287574,6854300
7636,9344,9413,8721,12304,23261,42241,78698,183828,382716,880563,1748731,3310000,6617513
8034,9283,9910,8734,12675,23372,42676,78354,167063,388489,816557,1645738,3302642,7106491
7910,9355,9623,15213,12374,23557,41665,79417,168327,388004,906620,1673476,3329226,6630877
7659,9548,9389,8390,12485,23471,41940,80460,174514,377245,812414,1692749,3323486,6583681
8014,9417,9204,8823,12385,22963,41384,78107,165273,385716,884200,1689285,3311204,6710929
7830,9074,10158,8408,12428,23788,42034,79916,170593,386456,893923,1755666,3257999,6540285
7542,8990,8833,8602,12512,34546,42409,79581,179125,400766,815502,1621415,3311552,6541053
8135,8769,8933,8710,15791,30060,43826,82274,173942,388988,800691,1590862,3312750,6582717
7738,12338,9019,9236,12812,24118,41677,79018,164736,392055,777427,1847217,3315660,6540654
11626,9193,8933,8442,12850,22573,42296,87112,164020,386052,830690,1861917,3318191,6439128
11562,9109,6672,8466,12477,22053,42745,79746,171859,389827,820421,1790532,3306262,6456445
10306,8765,6653,8476,12670,22739,42569,80151,170353,401155,808951,1722252,3316896,6424020
7598,8584,6919,9285,12525,22851,41609,87525,169156,399990,759500,1638071,3112850,6448950
7434,8660,6836,7830,12570,21972,42304,80238,176518,390249,802114,1688824,3123346,6487704
7519,8604,6554,9008,12509,22145,42949,79792,169103,391480,787505,1787582,3329780,6419465
7774,8426,6500,7838,12772,22167,42782,78314,169642,381721,812623,1833243,3319490,6594360
7583,8608,6413,7821,12323,22270,42765,80400,169414,388160,812691,1796441,3437918,6515629
7546,8475,6660,7934,12570,22043,41107,79150,170194,392158,774468,1668345,3387257,6639362
7270,8068,6799,7967,12312,23733,42075,79298,208924,398854,814795,1818662,3382216,7067872
7617,8469,6720,9115,13820,23167,43094,81560,172495,382789,801534,1862626,3326313,7085308
7491,8520,6463,15358,12968,23394,48224,79581,179449,392176,747003,1857880,3269047,7076535
7029,8316,6385,8018,13448,27432,41710,78730,172492,384937,814212,1816939,3149093,7055627
7117,7952,6426,8018,13224,23559,42026,79211,173699,390491,752672,1764295,3268004,7072578
6996,7979,6509,9014,20673,23555,41430,79112,174483,385676,819288,1721390,3267216,6441964
6872,7811,6780,8171,14323,23798,42161,79857,171960,399524,806957,1870958,3291884,6431759
7070,7874,6262,7961,13577,24722,42067,79679,171862,391688,768750,1790505,3204119,6442817
7047,7910,6335,8079,13574,23551,41846,80225,175406,401741,811420,1920736,3268281,6456640
