x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096,x86 inductor b8192,x86 inductor b16384,x86 inductor b32768,x86 inductor b65536,x86 inductor b131072,x86 inductor b262144,x86 inductor b524288,x86 inductor b1048576
8536541869,8499956339,8373537038,8383017829,8359393933,8432355751,8436926517,8352230962,8333643047,8559588819,8362778032,8663187600,8337907154,8657541209,8750083852,8712407584,9441653520
1552135,1476946,2184431,2692610,4127685,2511726,3885075,6221167,10669926,16179054,28211444,129772877,93328063,159549323,628398405,516858051,1156169463
1049048,737597,1319526,1648309,2257629,2373711,3126791,5222564,11524348,19290248,26030791,127334884,93694927,159361081,604853397,522911669,990714712
766496,730639,975171,1594330,1084201,2224733,3589566,5133284,12820837,22776603,27770825,128552862,93266452,158362600,528292910,517490950,985052196
768038,701521,1016354,1164598,1660076,2109986,2790748,4147645,11344779,22736910,25396057,128006188,93551362,158738203,513287212,523351345,979978737
773415,713883,798370,887951,943511,2027151,3565837,4597089,12740217,22864550,27913161,128206251,93266535,159293829,488688669,517338099,985524258
738357,628280,807961,920366,891055,2049762,2814102,4182612,11472901,19618698,25512707,128279958,93716886,159210423,473115346,520368896,978289933
713848,607831,750130,867212,860900,1953849,3400727,5158527,12704651,18736596,28065621,128069838,93450989,159591918,465407414,518040008,980106784
739197,616404,771387,847644,837150,1915345,2618392,4350279,11529724,22432184,25551626,128790938,92733110,161285591,411456508,518113781,983847352
711702,625170,772396,817417,840144,1969268,3314653,5109100,13206605,22355620,28018440,129227611,93608964,159032572,379713207,516628688,984476108
727488,604548,756866,822833,800998,2041895,2692440,4288833,11497354,20277124,25407001,130667026,92876484,160925858,410393628,527925718,979197030
714317,603808,724305,825547,811905,1818706,3115210,4576305,12701734,15976313,27662125,129053069,94278263,159919455,433246592,523443604,1134727342
697948,588598,734359,806176,797057,1766835,2538707,3982430,11458144,15377965,25619955,128361481,93020982,159527244,544224875,522006183,1006197877
705611,582826,740659,795115,961398,1743766,3182031,4784923,12667213,15759704,27991762,129364345,93252820,159288122,393926100,522624222,992869796
709438,591097,713769,800005,994300,1762665,2560919,4283691,11436249,13358731,25476601,129037033,93017818,159211937,530845276,523751868,988744826
711019,585090,709805,766532,912224,1669582,2964644,4603533,12088843,16268922,28117473,128750140,92800536,160530361,422137576,523975146,991217333
650807,563238,684308,929558,896810,1820585,2406804,4332342,7299348,15342547,25678095,128622913,92740667,158894000,407259424,522316422,990253589
715687,617124,710317,895490,811107,1975200,4801238,4707926,9149807,14573624,27882163,129141874,93534022,159453501,418599997,518070749,988736855
710956,590510,706120,891947,834847,1840044,3687730,4528603,7281691,15897728,25479031,128946572,93281141,159920237,411853597,518478075,978947550
713437,588917,701208,867339,780427,1868278,3332159,4917159,9190287,15797967,28145342,128756959,93319425,159809341,404282526,521177830,982653233
695260,574916,679411,800175,783563,1807577,2805097,4112806,7343016,15317799,25532740,129081670,93719489,160879951,417038526,523273556,979061766
693712,569177,667843,823244,765449,1680633,2017747,4460633,9284792,15749960,28207541,129146313,92930966,160879821,376741196,536416577,1006867024
695197,565802,686162,822589,736154,1838510,1774617,4231415,7360630,15809063,25358901,128000283,93587588,159692474,413250426,520260667,1048576521
710815,566519,675760,761850,734734,1655550,2172129,4704934,9194896,15780534,27836630,132523649,93325798,159533569,422652050,516220189,979310586
649568,563636,662103,761311,737662,1861308,2839561,4511522,7459058,15418882,25583348,127154823,93118945,158884895,405327746,520362318,985532238
663625,547023,647952,770630,706542,1812826,2373765,4995710,9123403,15751049,27340892,129419637,93787348,159503428,390015546,520015259,986198197
686000,513972,655758,751362,669227,1862784,2762672,6001172,7446166,15391776,31210298,129164117,93559812,159925596,409426007,522634048,988263811
622905,566944,615610,745361,682068,1859430,2311431,5422145,9167945,16458825,27813594,128284929,93912603,159771542,426510968,525095599,978242127
646071,516721,612833,729839,657008,1906396,2685517,6491553,7415483,15182592,25756744,129106736,93342553,159957390,382215254,524905309,985270692
655241,531601,571106,719809,713942,1742766,2309702,7004251,12039297,16448676,27431211,131894770,93048571,159354450,402432058,527271227,976362173
619840,520687,589056,721581,644462,1875655,2549943,6602948,9760054,15504243,25790649,129258828,93251208,159183131,421311916,522701062,982335821
638206,548268,630843,669476,629480,1825426,2353179,7192421,9458850,16388305,27296355,129106065,94018919,158898200,390343645,520697818,979802406
618101,511266,599965,704356,621410,1800802,2512399,6624172,7202311,15355761,25934306,129431511,92920173,162531128,473544809,522259928,981743558
616710,489993,579466,687062,636301,1960843,2307972,6583107,8735496,16779892,27296069,128033118,93391480,158701119,547452901,521326641,978098670
587760,560606,554957,668691,595422,1786932,2573614,4645178,7222216,15180582,25814436,128980770,93517656,158628937,485219927,522937315,979662023
604438,481212,553578,676882,597300,1709695,2288855,5410182,12298001,16360290,27227656,128547621,93541731,159588830,519388755,519853173,1087918596
611871,505267,580093,646916,617489,1864018,2709741,4412614,11495935,15185103,27523889,129143180,93179562,158659234,499939426,521714623,982291699
589661,498135,553068,661597,601656,1970309,2261718,5393385,12500798,16476895,27314920,129206302,94272572,162610486,581421070,522104705,980624672
632553,543054,584692,673462,596280,1728852,2713412,4378156,11375196,15363122,25677470,129039607,93098932,159066067,562677119,517179891,973575513
594983,501803,567363,704967,595766,1854280,2298771,5292279,12550196,16477978,27347656,129198147,93479705,159891177,634159797,522128772,979577457
592811,472557,545402,649124,570129,1752229,2836439,4415938,11436157,15295079,25746744,130146480,93827697,159168381,579558788,519347932,979266423
598661,508888,773787,623413,580523,1832163,2296989,5435586,12383699,16744865,27374073,129814890,93903842,159171964,655231889,519372751,981599605
