x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096,x86 inductor b8192,x86 inductor b16384,x86 inductor b32768,x86 inductor b65536,x86 inductor b131072,x86 inductor b262144
6393811735,6429785040,8268886836,6409967665,6417328489,8310829077,8316807758,6464360594,8248882823,6544935851,8297344007,8432744229,8281727700,8390915991,8341324644
993997,1082722,2277522,2863516,2136272,2177395,2631954,5027100,12418441,13040575,37642515,39187189,114504718,126747067,222625844
520897,558780,835114,1429400,951138,2251536,2878393,5155235,12261357,15098518,21058996,38564275,69450527,126323474,216081740
527116,795956,1173035,1457273,927427,1572754,1753021,6854756,11702262,12982825,21228738,39022262,69552255,126337938,223009643
507498,521813,755202,640068,886716,1346189,1586139,7875988,12276636,14003273,21234144,38446648,69878875,125483663,207730211
505274,506350,770923,620292,883807,1269366,1561874,7068381,7823338,12992459,21134107,38320263,69461159,126474271,222630379
528065,448785,760481,629632,893344,1209789,1457806,7004738,7674485,12131355,20901484,40418180,69567533,125586862,221851901
514400,470461,759170,594923,853656,1119161,1364165,7595930,6005988,13644300,21054655,38309213,69565207,126554544,209038940
506624,453494,710901,615499,827963,1134290,1332289,7549699,7629381,14081095,21167116,40671593,69858948,127011646,221747706
441447,464225,724710,623064,811568,1133560,1345002,6748587,7671429,12094370,21157931,39562861,69340290,126270213,219989207
439056,447457,719670,627030,791438,1113553,1442463,6629366,6036426,14869932,21203324,38469939,69944123,125601600,221498841
431721,681358,707022,612183,793676,1034470,2462204,6226227,7650283,13028449,21195402,38270336,69565143,126745838,220837838
415757,452052,727690,616946,795417,1005661,1405112,4979951,7647889,23312634,21148554,38119510,69854817,124636446,220054305
443126,448817,681467,603271,765133,978475,1362966,5027136,6101402,21580099,21185449,38644359,69609971,126302558,220315511
436155,446317,676996,650079,758867,968496,1271187,6856098,7843918,22606342,21089428,38472227,70107460,125010738,221880753
447908,452709,679272,604925,743146,970304,1478425,4619554,7880515,21800464,21296940,39264642,69570639,125584846,227374855
438516,435101,677868,603509,727615,911820,2322309,4108354,6035109,21101629,21106796,38893179,72491896,123648067,220327314
447942,419628,685599,582048,730934,920448,1374117,4430771,7719709,20996827,21244575,38572267,69603643,127981618,220694067
423658,453565,631564,609796,730000,887802,1291314,4012017,7645606,20146459,21168725,38387112,69913571,125023816,321278423
430756,452081,637509,605143,806840,928590,1263041,4152283,7829380,21655348,21083010,38433935,69852800,126321005,220990443
464972,483132,630142,581858,760151,881822,1312569,4048042,7634476,21441693,21267561,38607716,69826454,127095010,219570754
398845,462595,637429,606282,730199,900041,2224082,4110566,7844600,17564538,21343898,38454296,69467428,126392311,220888315
403600,460365,622421,591669,732266,918166,1345602,4008612,7696130,20162750,21270725,40057783,69938465,125793452,219598028
422171,426505,624368,598542,648640,921064,1245930,4028287,7760512,20940490,21177713,38736626,69408523,126855317,222619131
406044,458994,611258,586544,602355,943035,1189568,3913620,7696551,21162724,21111265,40258222,69846082,124035070,221484663
