FP32 inductor b16,FP32 inductor b32,FP32 inductor b64,FP32 inductor b128,FP32 inductor b256,FP32 inductor b512,FP32 inductor b1024,FP32 inductor b2048,FP32 inductor b4096,FP32 inductor b8192,FP32 inductor b16384,FP32 inductor b32768,FP32 inductor b65536,FP32 inductor b131072,FP32 inductor b262144,FP32 inductor b524288
4098153600,6539004638,6524009875,6285380326,6682560831,6542203227,6423198209,6238295785,6417355330,6569808602,6139891891,6612734383,6858805587,4098141924,6610478298,7113046097
716137,756178,1319555,1074980,1597667,2589862,3740429,6779162,10543518,18791329,33811180,59751973,110871086,197237411,334292456,579619620
567658,571750,979389,710792,825823,1126168,2166756,5568481,9180229,18123365,33572975,60204116,109247241,199201900,338937054,611898438
562757,553341,952563,617110,805673,1077241,1946941,5463234,9178998,18233317,34039377,60626496,110569572,192427705,312223065,569492521
639657,535738,904191,589490,737476,1022423,1793682,5076351,8328377,18247927,33923607,60921034,109903970,194843531,313629213,575708505
552646,532633,823330,604203,733444,1009568,2226621,5079756,7618183,18182913,34365365,60492147,112683571,199649559,344074783,580497092
562635,528159,827435,587126,710053,973321,1680001,5573253,9230725,18413485,33274543,60834871,110573333,196980281,331998714,564408352
550075,532188,819900,598145,729451,973778,1615724,4866848,8305550,18475183,37921565,60520994,110617357,195173980,329500956,571563279
551987,529421,834290,568969,721184,934185,1555314,5117527,7967779,18472480,33568491,60723111,111507240,198503269,343920502,606533031
491138,528258,823829,578300,702843,961163,1530800,4399520,7322322,18389109,35560427,61372346,110754589,198500358,338109353,600243479
487666,530904,822677,569782,703661,894301,1453097,4428990,7502348,17295180,33429389,60562411,111430821,201509607,334650910,575906944
492129,524732,793241,563032,708112,910719,1429054,4759099,9356987,18418393,34547237,60769606,110934641,193223243,327670066,562792228
485362,526076,803920,570923,682808,871685,1384179,4009944,9320492,18409994,33264237,60432056,109341801,200829574,338779548,567635888
486903,526910,791998,571609,682454,882945,1342685,4673834,9187102,18445303,33878394,60992737,109962334,199827225,308208760,601657897
507031,541054,784243,570327,678611,887046,1382970,4036709,8403779,18487145,33256640,61810632,109513691,193539722,336493142,584263848
499144,565530,793134,561453,665677,848051,1352974,4038274,7701831,18394452,33764107,60938465,110620806,198607670,308701762,573953855
488737,544748,789004,577897,660279,843366,1341476,4618238,9200854,18391125,33058678,62053269,110865859,201290852,335404631,570972089
478929,548970,784847,546571,639880,826449,1391669,4068218,10039304,18446755,33986340,60810024,111617432,195093151,345820874,613132245
482604,537516,779790,559610,647175,826503,1329630,4674128,7798432,18345702,33211375,64084352,110685771,198075307,345418265,565922466
482343,536992,770917,560344,647900,807555,1356536,4073288,7467749,18269023,33977558,60929541,111108740,200039648,310747612,551230791
471113,539835,766548,548735,631677,813919,1328665,3699792,10240820,18298403,33359266,60564004,112607785,196479132,335345192,572452232
504694,533034,765032,542687,634099,785172,1328280,4138050,9360883,18371384,33907103,60595372,111171036,200392001,338203632,561686678
488528,530329,779772,543838,626613,795634,1321953,5423065,9996304,18417286,33115710,61340379,109630024,194844696,333521608,580604442
488392,533097,767649,557489,612111,764978,1325948,5009474,7820031,18341905,33912267,60692453,112442621,198509883,338861572,600194097
487432,530028,752611,552376,603165,767879,1356414,4895230,7332943,18462582,33223234,61025754,108308315,197227776,330379813,576711147
474675,552001,744385,540935,616093,765758,1356995,4558554,8070032,18436743,33807054,60804953,112413982,202067918,334302780,619249669
471580,551021,743052,527641,610601,704380,1339265,4304265,6574174,18367577,33186918,60245347,107890848,195219985,326675914,573422674
470176,548479,750687,539768,605800,709301,1329905,4446696,11012697,18436624,33909746,60508630,111947732,198277055,337203243,579459737
495434,538096,739000,548888,650591,772525,1391903,4800408,8137554,18361297,33224324,60923906,109970036,199810930,332035168,617320938
487669,544607,747990,539922,632588,765338,1356540,3976824,9265473,17380768,33772336,60570399,111382298,200442038,333857352,591211081
