SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096,SHIR FPGA b8192,SHIR FPGA b16384,SHIR FPGA b32768,SHIR FPGA b65536,SHIR FPGA b131072,SHIR FPGA b262144,SHIR FPGA b524288
4401403606,4366546148,4100951229,3739052038,3895929287,3966065520,3763943174,4312928552,3498605274,3664661810,4458044404,4478107114,4542947230,4670599855,4603076297,4753086491
741471,821596,1008027,1055246,1273424,1710768,2478434,4941505,7247844,14138610,26816624,61422488,122770146,244227040,480546614,948467156
561710,654824,780714,883184,1097695,1524196,2274115,5130774,6838551,13609740,27323595,59950727,123005546,247883511,484578356,946669065
535742,641656,753910,873114,1073274,1436494,2179977,5824585,6640834,13990070,26800417,61196507,122989771,243198843,481469220,945265764
544929,639445,731745,826111,1013792,1498317,2060299,3462972,6414975,13908684,27286719,60345964,123494672,246350099,481064475,951822327
536709,621109,722871,804492,981016,1333844,2081277,3455452,6364443,14098621,26889569,61083621,122459959,243232508,477797705,950077874
540913,594797,710811,778216,962961,1374650,1978409,4073409,12008116,13612300,27331937,60152305,122558766,244485757,475572158,941687118
538602,578411,695974,774375,969277,1286155,2001558,3317945,13080538,15904504,26822164,61118647,123351272,242815550,479253640,942931768
498442,598761,719255,768014,915537,1247900,1968653,5153283,7113625,13630799,26966647,60369839,122459423,249331389,486730249,963165066
488948,579845,704690,752917,915203,1323072,1953452,3254271,7143859,13685695,26693053,61135584,122908067,242977399,477016075,950420405
479377,598132,668918,717178,905074,1292374,1912570,3341357,6418866,13586409,27156501,60235700,122915675,243908543,478418579,938879895
475767,573951,655572,720799,917128,1325110,1976013,3978469,6859206,13623496,26517010,60693498,122712203,244467086,475223505,940329434
490271,594046,654469,703510,859582,1287428,1865187,3259498,6612873,15670312,26981781,60067136,122281282,244434659,478194212,937734302
486856,587764,653861,685026,859016,1203112,1916288,5024021,6453112,14005361,26789431,61265207,123223354,240995785,475622330,947860045
476049,577553,654218,688967,868760,1189099,1826149,3236792,7125850,13834611,26813133,60058693,122928182,243303102,477403002,949976728
485286,577766,651312,696830,854158,1218891,1891230,3347594,6425898,13852483,26894968,60733310,123128386,247192939,476247447,949669036
489485,556257,622331,659834,850083,1225292,1837705,3950371,7046909,14109086,27191311,60196000,122684550,244754165,479174640,951196438
485051,570416,626289,674338,845174,1072501,1878247,3266556,10998416,13816475,26803337,60817366,122644299,243944835,480628057,946695292
467529,555465,622655,675008,850501,1087619,1910684,5577720,7504189,14040398,26728210,60105077,123148651,244483242,480770647,949763137
491205,565141,630633,660670,849039,1061264,5302694,3416660,6820516,13780603,26657651,61221111,122931307,244131388,479716532,949379714
501245,573573,614237,644770,850401,1101761,2424828,3370303,6384007,13408476,27049102,60416878,122656550,242641467,478769854,949039245
493858,515029,595780,647458,827788,1100660,1887682,4006701,6658573,15936770,26818208,60991421,122840708,246549752,478563451,950365464
473602,534940,579620,636256,714681,1161447,1825950,3266036,7039605,13838352,27046043,60180382,122632935,244939839,477841943,950646459
452401,513266,585724,641683,723833,1101074,1874736,4952082,6735747,14141157,26876031,61282408,122600531,243023464,474989907,952140903
503589,513813,583955,637341,701501,1033940,1736389,3191556,7743475,13591889,27127056,60664100,122384832,244143197,479972017,951462470
498843,520894,606048,630843,690456,1086725,1834539,3280560,6547209,13153974,26853831,61174850,122385566,244494768,476157461,950406028
481650,527541,602655,616838,715148,1055959,1775861,3893469,7311995,15954105,27140215,60487621,123047616,243012876,478891340,945355241
492671,510674,572046,631525,704373,1012291,1847052,3287602,7176946,13855195,26664425,60914666,123362933,242700181,477495552,950589986
481756,523887,563336,602058,679516,1028806,1819517,5099009,6609706,13567801,26990926,60436970,123732855,242846492,479256288,949517516
448080,550464,567175,621127,661216,1020765,1878216,3275495,8090448,13820396,26695257,61258524,123400822,242648611,477172732,939068780
424558,491593,561598,618244,675458,1092175,1837039,3651105,6629308,13602013,27324477,60680284,123652398,245204289,478675796,954742363
428589,488698,563523,620937,669340,1025691,1819426,4041768,6477671,13905188,26831147,60683037,123986392,243688193,475967399,956992821
434340,502521,558486,618774,665561,1075645,1767595,3443601,7311460,13557931,27055593,60182586,123300235,249303975,481672392,954303201
427889,506544,573582,633825,675157,1052758,1873864,5037294,6366394,13964785,26713053,61026946,123148228,245640428,490363809,951976513
425905,490236,538284,583791,679438,3097397,1763580,3565103,7207486,13075552,27039201,60224062,123199506,246126568,481544484,972643347
428381,488955,539210,595628,656821,1284288,1882490,3585615,7068142,16250543,26620799,60842620,125757742,244251239,479121855,948068784
441458,504531,556988,630924,674140,1005333,1802793,4199768,7919850,13954076,27035480,60364112,122190545,245284214,480664261,952132744
443556,509145,539090,656125,656790,996372,1847201,3539322,6808430,13126460,26638623,62506347,122333176,244754912,477701740,947953848
449581,491847,549345,622289,664210,966284,1788629,4487955,6585746,15923613,26898336,62001683,122128506,245456536,481135825,942587647
442279,467152,544693,600166,657474,963126,1820327,3376118,6859356,14150892,26734211,62540893,122502312,244264909,478746112,943135325
442676,473979,554830,624292,639099,978433,1820975,3395304,6471627,13709085,27091314,62157228,122135003,244912469,481991081,945766206
415840,478361,548598,631152,660959,1005412,1844168,4134325,6431245,13896830,26564394,62982784,122447376,243973991,480314861,943552782
408676,486407,542532,551465,660499,962994,1797475,3317986,7251413,13665960,27008568,61911950,122606076,243879978,485983987,954278136
413315,484306,534748,522901,655551,1004936,1864532,4938594,6517721,13944394,26627032,62713102,122788762,244584344,477901972,949657887
407300,470586,539267,526698,642955,987114,1742516,3275106,7370785,13591813,26808060,61891218,122459287,245643542,480589683,949710328
414325,469310,534899,530123,642058,1008252,1840270,3508486,7199234,13822930,26715097,62414909,122667203,245099041,478024216,947883038
399748,468597,533547,520236,628691,1004707,1782726,4408113,6502834,13566039,27127909,60956792,122856006,245302239,480224151,943917431
424646,479353,517740,517346,641030,978491,1841960,11604966,7177091,13881141,26703504,61005271,122803060,244245424,476269975,945537607
431122,458118,509942,511940,628652,1008936,1809660,5151741,6367104,13508823,26818060,60603035,123071061,243553745,478878443,943300336
428933,467896,522433,503051,649877,986488,1885103,3431499,6406079,13816339,26793095,61263944,122212466,243127102,477706365,945321195
415413,465008,516619,487870,666874,988194,1802838,3415745,6636327,13664067,26749583,60663289,122552190,245008268,479693656,941857148
407264,452660,528031,491038,657717,1034009,1830781,4133702,6496118,13897594,26794492,61181773,123267877,244470933,477257065,959801968
413791,452502,505102,482861,633550,963991,1816232,3379507,6418887,13564944,27091512,60383526,122691558,245110052,481140098,947978724
415081,449384,518439,494341,660446,992779,1865952,4411533,7873107,13925113,26838645,61078392,122815539,245598216,477371714,936337566
392643,449238,515900,498974,641246,991559,1804160,3701428,6392001,13095487,26721889,60377143,123095517,244078132,478972300,943120334
