b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288
3795105659,3799658248,3875939484,3953622944,4104741155,3491399774,3793556170,3957397762,4096610127,3791674375,4089045786,3171753675,3319909576,3819946647,4247178255,4114018334
56926,72958,58263,52998,51485,57546,57267,51816,45135,54392,38040,40900,41253,43047,47008,41281
35139,38032,39134,38366,34866,38888,35662,42344,38714,46609,36713,40242,38357,44771,54635,66899
33525,36270,38070,33803,31813,34883,29898,32388,40833,44717,35031,38777,41451,39174,51929,746237
34101,34405,36562,31519,29761,32955,26119,29958,34080,43336,34039,38311,46431,41650,49688,112941
33573,31926,35720,32225,30328,28152,25354,28921,43345,45620,36656,39810,57500,37912,46262,117170
32885,31564,35072,31737,27951,25629,23025,24846,29526,43453,35088,39102,52883,39820,42986,61150
32932,31386,35114,42274,26720,24688,21852,28466,25738,43059,37859,48387,44303,37050,46110,391528
31474,31729,34123,30249,26281,23276,20907,24787,26939,44349,36332,38842,44535,39900,41689,53169
30880,30752,31840,28294,26541,22751,20339,25366,26109,88094,33898,39737,45408,40106,41322,169586
30775,30820,31563,28180,25266,21863,19582,24029,25325,50530,36519,37696,44368,39057,40800,69562
32267,30922,31592,28083,24343,21348,19058,21676,31672,60692,37760,36827,45194,39434,53440,48257
32044,31495,31721,26853,24220,22728,18589,26397,32463,46982,38671,37857,44522,41080,43631,87075
30897,28945,31266,26591,23825,18009,18950,30794,23836,45405,35120,39405,43290,39755,40811,38154
30801,28999,29535,26604,24329,22254,17605,22799,24041,44425,39163,36043,45051,40615,41514,48151
31458,29277,29890,26062,23562,19512,17606,37652,24386,45407,37065,39207,46417,39857,37386,37444
45878,28999,30367,25527,22565,16073,19642,24143,23916,40911,36343,47199,43258,40896,80407,48546
29401,28574,30124,25518,22368,16174,15662,54601,31748,43533,36074,37664,44608,37263,33854,38056
30006,29717,29850,24664,22393,15815,16446,24349,28198,41940,36856,44416,43550,40496,51021,36063
29418,29372,28028,24355,20987,15923,15061,26161,31016,43545,37046,37525,45234,37243,41188,38393
28658,27550,27784,24093,21677,15547,14365,24725,23445,42308,43309,40061,45172,40928,86366,42115
29185,27234,27800,23993,20502,15383,15121,19530,24062,43227,34630,38710,45468,43163,46807,83770
