b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288
52999,43371,73330,71128,87151,87680,96681,190122,257346,569694,1006034,2244318,5488429,17484968,22704794,41590786
52890,78523,102277,94016,98008,118714,124554,152933,271424,517825,1004465,3123438,5459809,19422743,22481827,41565945
46005,66475,93521,88590,90252,91431,102356,143033,256408,510427,999929,2905307,5485305,17232549,22749255,41215692
45667,64867,102447,81951,81831,93716,91189,143710,240028,550377,995624,3054711,5524851,19525400,21048703,41606057
44584,78280,82107,81262,85420,80622,84729,115401,268324,540388,1007190,2908352,5558137,17267018,22845167,41588129
46495,60757,83642,80948,76181,77665,82565,136161,231566,527558,992675,2958549,5599929,19516606,22786214,41440571
44243,59976,82316,73846,74757,76370,78102,106264,231419,536259,997284,2905537,5538424,17428863,22891694,42439446
44292,59178,82147,74649,71460,84189,71466,109905,207526,540901,991910,2893458,5543341,19481920,22937401,41905972
70012,59462,83423,75126,70413,72464,67847,106671,214578,547007,990507,2979794,5530735,17659633,22342143,42653163
41575,59466,77977,70042,71000,81166,63477,102327,176971,556177,1004863,3953324,5513573,19903435,22459144,41810989
48814,59386,79569,82953,71747,70176,66475,97680,166525,542825,989575,2929617,5570166,18057938,22242116,41736858
42725,59481,77424,72655,68609,62969,64943,88225,164624,546744,1002432,2984457,5462788,19812458,22393316,41871922
41265,59336,78049,67163,66469,65935,65687,108886,257409,522267,1000649,2935398,5503175,18006302,22341039,41353701
41183,55302,76323,65093,68141,55361,65956,94590,213109,517724,1001446,2935256,5500726,19968086,22417092,42143209
40733,55598,71362,66496,64078,69788,64760,102618,204912,507195,1008684,3024841,5482963,18269499,22488320,42079382
41005,55381,89263,67240,63098,73166,70126,112233,189416,533517,1004622,3882053,5523915,19842146,22565726,42319799
41116,55008,76439,62948,60986,56497,64915,108002,160534,538471,1005005,2927831,5463261,18331943,22591555,42234660
38130,55324,75256,63925,62304,54562,63415,137830,250862,532417,1008394,2886508,5449782,19111943,22994309,42175366
37761,55523,72563,63610,60737,58066,58180,105234,230857,516173,1010255,2904048,5509206,18155949,22838822,41639432
38259,55708,68851,61239,59343,56804,58872,106065,214647,566122,993012,2944426,5411370,19626780,22837419,41184674
38067,51772,68780,59779,56757,54430,48449,94076,226408,512268,1004472,2967141,5528351,17722890,22760515,41648876
37965,51509,69047,74633,57067,53416,58544,90280,178933,548573,1001506,2962661,5472252,20120257,22873927,42010921
38045,52101,68712,59968,57667,52995,72182,133296,176010,497878,996245,3035059,5572471,17992459,22707990,42263830
38574,61830,70867,69419,57527,54393,59359,100233,291184,506943,1009052,2915531,6109730,21875945,22993426,42013426
39302,52557,66311,58256,55345,56195,69629,111946,220937,535141,1004129,2910266,5519136,20906123,22847516,41739964
39229,51982,66532,59057,56618,51550,59740,103266,209391,552133,996636,2956996,5542526,20827385,23545469,41152269
36121,52449,66813,67600,57663,52567,48306,96721,187784,517087,1006865,2911640,5912728,21337388,22802225,42435065
36381,64217,65822,56643,54829,52727,56856,129065,176657,512648,991017,2911164,5504273,21748824,22866713,41199983
35641,48896,66148,55651,55901,50534,58367,87852,209684,525784,992260,2923532,5387878,21618751,22771899,41631281
35525,49001,65596,56602,52802,52773,61837,103224,256119,563485,996432,2975790,5400085,22399037,22925261,41532979
35877,48842,65259,55681,50632,51540,61601,115533,296080,514391,991979,2952670,5388847,19640228,22902797,41697013
35695,60710,63092,56207,51057,49003,51486,108421,215949,545008,992640,2927063,5449975,23530467,22854382,42041320
35638,49138,62942,52025,49952,50554,56774,110929,226718,537190,1042166,2923618,5519141,20383961,22779034,40891431
35208,48930,63565,54737,54439,51375,59629,84458,200311,551471,1017412,2921687,5605212,23363893,22846218,42250780
35790,49021,64241,54160,52652,53099,74920,106274,195814,536303,989644,2965188,5546931,20798216,22798135,43015941
35967,48771,75568,64999,53200,57148,102718,95910,182037,548903,983671,3905524,5579284,23111810,22690868,42567785
35973,48880,59664,51964,51669,54253,97913,91788,251501,526099,994568,2902712,5568841,20800685,22805035,42188226
33772,46576,61714,53758,48624,53840,58184,128992,258516,518218,983968,2908684,5556749,23153081,22878310,41650401
34695,46354,59699,51580,46220,51439,56219,89254,241454,529438,995939,2904373,5543819,20960791,22954463,41988953
38537,46695,61566,53810,46244,48120,59325,111308,195231,535471,996173,2929211,5517066,23167571,23132408,41833121
