b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288
3028,5716,11042,21822,43318,86350,172362,344404,688449,1376562,2752842,5505332,11010376,22020459,44040527,88080703
3013,5708,11083,21858,43383,86319,173433,345980,688477,1376615,2754124,5507922,11011520,22020417,44041354,88080731
3034,5709,11094,21801,43305,86333,172359,344363,688457,1376575,2754182,5507312,11011432,22020424,44040505,88080708
3014,5670,11071,21859,43310,86343,172356,344572,688455,1376559,2753879,5506556,11011608,22020398,44041728,88080722
3014,5736,11106,21808,43376,86330,172325,344396,688475,1376554,2754115,5505343,11011452,22020399,44040514,88080759
3002,5715,11104,21846,43368,87904,174534,346255,688457,1376608,2755561,5506453,11010338,22020404,44040497,88080720
3015,5718,11059,21810,43303,86326,172690,344372,688443,1376576,2754143,5505374,11010367,22020407,44040528,88080685
2987,5709,11085,21863,43383,87869,172368,345966,688482,1376598,2752871,5507788,11011452,22020444,44040542,88080723
3032,5699,11061,21858,43365,86337,174033,344387,688478,1376611,2755530,5505569,11011522,22020436,44040523,88080702
2988,5705,11114,21821,43328,86324,172324,348327,689555,1376553,2755535,5506555,11012082,22020445,44041541,88080738
2990,5755,11074,21873,43355,86363,173905,344395,688484,1376606,2755072,5506597,11010379,22020461,44040550,88080717
2994,5726,11059,21847,43304,86332,174042,346026,691581,1376619,2752850,5508667,11011452,22020428,44040552,88080741
3032,5734,11062,21799,43312,86320,172690,344390,688448,1376580,2753893,5507538,11010384,22020423,44040537,88080707
2987,5711,11071,21806,43334,86349,172327,346579,688470,1376591,2753929,5508256,11011791,22020437,44040517,88080686
3028,5674,11106,21809,43304,86338,175516,347177,688455,1376612,2753987,5505362,11011541,22020399,44040522,88080730
2996,5712,11083,21851,43307,86379,172366,345843,688425,1376606,2753969,5506551,11011371,22020415,44040496,88080738
2993,5726,11071,21859,43345,86325,173731,344413,688441,1376585,2752809,5506207,11012079,22020423,44040563,88080723
3042,5711,11084,21812,43354,86332,172372,344392,688473,1376616,2755322,5505363,11011598,22020427,44040542,88080707
3010,5705,11070,21823,43358,86349,172360,344385,688429,1376591,2753840,5505380,11011484,22021186,44040486,88080708
3016,5710,11058,21829,43360,86324,172361,344417,688459,1376599,2754167,5506327,11011473,22020476,44040552,88080731
3025,5695,11071,21841,43357,86332,172365,344375,688458,1376580,2754005,5506169,11011905,22020404,44040507,88080726
3001,5716,11081,21828,43322,86354,172329,345998,690591,1376583,2755313,5506147,11010369,22020408,44040525,88080762
3037,5736,11060,21864,43343,86390,172344,344462,690193,1376586,2752870,5506601,11010351,22020438,44040548,88080703
3013,5709,11060,21848,43344,86346,172338,344394,688444,1376594,2752815,5507931,11012060,22020396,44041111,88080722
2990,5714,11077,21876,43351,86339,172326,345482,688443,1376617,2754084,5506561,11010385,22020432,44040538,88080745
3025,5723,11079,21851,43357,86351,172325,346108,688448,1376595,2753958,5507223,11010342,22020401,44040552,88080747
3024,5703,11122,21806,43323,86321,172325,344365,688720,1376624,2754098,5508064,11011806,22020412,44040530,88080718
2997,5673,11101,21863,43316,86335,172389,345710,688432,1376620,2753995,5506536,11010429,22020391,44041695,88080702
3006,5710,11060,21854,43358,86357,174780,345929,688472,1376587,2752853,5505314,11011637,22020433,44040499,88080718
3021,5680,11080,21797,43302,86336,172358,345361,688483,1376600,2753881,5505353,11011012,22020378,44040525,88080689
3022,5702,11059,21856,43304,86339,173618,344420,688477,1376550,2753839,5505319,11010370,22020451,44040513,88080700
3001,5732,11061,21845,43310,86375,172340,345984,688462,1376618,2755316,5506521,11012250,22020428,44040537,88080737
3021,5681,11085,21857,43304,86337,173759,346197,688502,1376600,2754179,5505369,11011127,22020419,44040525,88080727
3029,5694,11078,21878,43368,86332,172356,345794,689421,1376596,2752830,5505677,11011036,22020423,44040518,88080730
2993,5743,11083,21854,43344,87479,172370,346013,688454,1376588,2754020,5505978,11011026,22020436,44040521,88080706
3033,5720,11090,21871,43358,86348,172326,344411,690182,1376604,2752843,5505339,11011587,22020394,44040535,88080695
3060,5686,11078,21798,43355,86341,172691,345829,688469,1376608,2752828,5506838,11010841,22020406,44040499,88080703
3000,5734,11062,21851,43315,86359,172390,344366,688456,1376594,2753455,5506600,11012495,22020427,44041332,88080721
3044,5710,11117,21837,43351,86342,173815,345909,688465,1376611,2755536,5506373,11012443,22020428,44040541,88080722
3041,5693,11091,21799,43345,86371,172384,345971,688494,1376602,2752886,5506573,11012499,22020412,44040495,88080723
3022,5674,11126,21852,43345,86388,172344,346057,688479,1376576,2752863,5505379,11012847,22020436,44041440,88080722
3010,5728,11059,21870,43346,86340,172377,345923,691300,1376603,2752816,5507100,11010402,22020437,44040536,88080685
2988,5707,11111,21860,43343,86323,172325,345805,688466,1376597,2754113,5507115,11011581,22020450,44040524,88080711
2989,5680,11061,21862,43302,86374,172369,348001,690087,1376594,2752829,5506697,11010390,22020395,44040540,88080731
2999,5676,11058,21834,43343,86350,172336,345398,688484,1376632,2753882,5505347,11010369,22020459,44040525,88080741
3029,5739,11072,21810,43353,86339,172349,345649,688472,1376579,2754058,5506465,11011612,22020422,44041184,88080755
3017,5718,11075,21824,43306,86323,172327,345330,688472,1376621,2754053,5507132,11010384,22020458,44040503,88080687
3015,5733,11113,21809,43315,86355,172329,344378,688448,1376623,2752827,5507316,11012583,22020425,44040544,88080730
3025,5705,11093,21840,43354,86374,173426,347218,688449,1376615,2752825,5507125,11012725,22020434,44040557,88080720
2997,5715,11058,21833,43305,86340,172731,345908,688467,1376565,2752880,5506200,11010377,22020416,44040510,88080719
3015,5671,11087,21823,43348,86321,172361,344404,689526,1376607,2752863,5505367,11010371,22020394,44040512,88080704
2990,5702,11078,21807,43342,86381,172378,344366,688466,1376559,2755231,5508582,11011430,22020400,44040551,88080693
3006,5700,11078,21871,43338,86337,172328,344410,688913,1376608,2754072,5506456,11012477,22020381,44040538,88080696
2991,5696,11084,21804,43312,86377,172354,344413,690188,1376589,2754082,5506539,11010879,22020430,44040495,88080737
3027,5719,11083,21843,43305,87491,172328,344414,688499,1376596,2752874,5506858,11010368,22020462,44040510,88080687
3031,5679,11064,21847,43316,86333,172366,344429,688525,1376600,2752820,5505326,11010409,22020422,44040534,88080723
3006,5740,11074,21838,43305,86367,172367,347240,688444,1376604,2754053,5505330,11012421,22020434,44040500,88080692
2993,5698,11091,21855,43305,86360,172383,345891,689656,1376593,2752854,5505446,11012782,22020427,44041749,88080690
3053,5698,11059,21826,43351,86339,172325,346968,688469,1376559,2755498,5506424,11011327,22020408,44041653,88081753
3020,5738,11083,21802,43343,86355,172376,345485,688445,1376592,2754249,5505342,11012274,22020404,44040531,88081011
2991,5712,11092,21822,43355,86355,172380,344397,688487,1376614,2752809,5506401,11010752,22020441,44040531,88080721
3008,5704,11060,21861,43321,86388,172325,346744,688500,1376608,2752825,5506086,11011768,22020423,44040530,88080723
3054,5709,11100,21801,43351,86337,172395,344780,688519,1376595,2752864,5505347,11010350,22020443,44040512,88080708
3056,5716,11084,21846,43346,86323,172386,344396,688457,1376617,2754354,5506626,11011648,22020396,44040543,88080700
3019,5674,11095,21842,43344,86329,172331,344384,688488,1377736,2754992,5507225,11010364,22022089,44040537,88080712
3021,5739,11087,21835,43318,86376,172366,344445,688537,1376606,2752817,5506214,11010383,22020405,44040505,88080729
2992,5733,11079,21802,43332,86365,172355,345125,689992,1376603,2752872,5506169,11011363,22020433,44040537,88080726
3022,5730,11089,21800,43357,86319,172389,344968,688464,1376604,2752819,5505376,11011627,22020432,44040542,88080727
3048,5680,11067,21800,43340,86369,172402,344381,688451,1376605,2753920,5508057,11010365,22020390,44040489,88080702
3014,5697,11075,21823,43309,86328,173799,345897,688449,1376617,2754434,5505336,11012686,22020417,44040512,88080737
2992,5708,11059,21872,43360,86329,172403,344636,689932,1376554,2752852,5505551,11011521,22020390,44040509,88080714
3023,5673,11085,21839,43303,86326,174113,344409,688455,1376607,2752824,5505370,11010418,22020429,44040545,88080687
3020,5723,11095,21846,43305,86354,172391,346001,688482,1376608,2752850,5506479,11011587,22020391,44040494,88080700
4311,5674,11057,21838,43362,86336,172331,344645,688453,1376604,2754658,5508161,11011146,22020402,44040564,88080693
3016,5670,11117,21821,43363,86319,172367,345562,688458,1376576,2754096,5506574,11011545,22020392,44040520,88080688
3031,5736,11060,21864,43334,86325,173722,344416,688446,1376607,2753913,5505331,11010512,22020385,44040489,88080688
3030,5686,11090,21841,43341,86347,173507,344390,688469,1376563,2755409,5505332,11010387,22020436,44040520,88080693
2990,5682,11089,21861,43304,86355,173926,344401,688470,1376556,2754948,5505322,11010344,22020396,44040540,88080685
3018,5738,11087,21806,43364,86338,173903,344392,688466,1376578,2754092,5505329,11010822,22020403,44040493,88080747
2989,5736,11057,21848,43332,86363,172713,345900,688445,1376596,2752854,5505373,11010340,22020388,44040528,88080718
3053,5699,11065,21842,43367,86354,172355,344386,689554,1376554,2752856,5506281,11010367,22020421,44040485,88080726
3014,5714,11056,21800,43355,86337,172325,344388,690188,1376619,2752886,5506551,11010365,22020426,44040510,88080687
2992,5712,11081,21817,43344,86357,174807,344420,688473,1376609,2752854,5506384,11011078,22021475,44040564,88080722
2997,5677,11103,21827,43362,86325,172353,344392,689650,1376616,2754372,5506522,11010341,22020413,44040500,88080688
3023,5687,11097,21829,43306,86360,172354,345389,688458,1376589,2753926,5506064,11010376,22020413,44040509,88080715
3020,5698,11073,21800,43312,86339,172350,347467,688470,1376606,2754049,5507522,11010360,22020404,44040548,88080688
2988,5743,11091,21856,43302,86364,172356,345921,688494,1376621,2752865,5506138,11010341,22020425,44040562,88080724
3013,5731,11081,21807,43357,86350,172352,345741,689612,1376615,2753991,5505338,11010376,22020430,44040503,88080702
3015,5738,11083,21865,43362,86323,173883,346034,689355,1376595,2754123,5506401,11010421,22020424,44040516,88080751
3003,5672,11056,21798,43352,86363,172325,347515,688453,1376561,2754206,5505808,11011702,22020458,44040488,88080721
3025,5673,11076,21802,43306,86322,172332,346654,688450,1376586,2753952,5506712,11010335,22020431,44040539,88080691
2991,5711,11071,21826,43355,86359,172357,345625,688487,1376642,2754042,5506479,11010381,22020822,44040533,88080715
3032,5680,12236,21810,43384,86354,172351,346085,690217,1376583,2752836,5505331,11010368,22020412,44040511,88080735
4705,5670,11062,21802,43353,86320,172393,344816,688473,1376582,2754122,5506831,11010398,22020421,44040544,88080708
3069,5689,11090,21840,43303,86335,172338,345842,688483,1376589,2754109,5506512,11010357,22020686,44040518,88080719
3007,5708,11062,21858,43334,86353,173721,344367,688445,1376595,2752882,5506585,11010350,22020444,44040495,88080718
3031,5719,11094,21841,43351,86342,172389,344369,688448,1376621,2754126,5506267,11010370,22020420,44040520,88080732
3034,5716,11124,21819,43305,86336,172392,344433,688479,1376606,2755547,5505356,11010357,22020440,44040520,88080692
3021,5670,11099,21808,43343,86343,172361,345824,688485,1376624,2753912,5506927,11011354,22020425,44040514,88080694
3015,5711,11069,21802,43304,86321,172358,346961,689681,1376565,2752872,5505312,11011543,22020418,44040503,88080695
3018,5674,11051,21826,43331,86348,173669,345952,688452,1378233,2754451,5507579,11010382,22020383,44040558,88080696
2989,5706,11062,23199,43349,86345,172325,345649,688454,1376585,2752854,5506634,11012658,22020386,44040512,88080718
3010,5705,11049,21842,43303,86335,173623,348687,688446,1376577,2753877,5505992,11011106,22021750,44040509,88080726
3021,5719,12270,21815,43304,86341,172369,345744,688507,1376588,2752829,5507715,11011211,22020419,44040567,88080691
3042,5732,11063,21844,43324,86346,172376,345851,688466,1376635,2754009,5506050,11011776,22021449,44040517,88080684
3007,5673,11095,21824,43302,86382,173799,345539,690084,1376598,2752832,5506633,11011487,22020403,44041503,88080714
3005,5709,11091,21828,43345,86331,172382,344399,688486,1376554,2754055,5506338,11011291,22020432,44040503,88080746
3011,5733,11074,21849,43304,86382,172330,344383,690019,1376570,2752814,5505970,11010378,22020435,44041755,88080691
3019,5704,11086,21859,43312,86336,172376,344379,688488,1376609,2752868,5506288,11011281,22020404,44040509,88080748
3018,5725,11094,21819,43334,86350,173299,344377,688448,1376601,2754190,5505365,11010385,22020426,44041826,88080685
2993,5703,11073,21842,43338,86379,172383,345546,688466,1376592,2752859,5506767,11010391,22020421,44040552,88080717
3036,5704,11085,21798,43342,86320,172364,345695,688518,1376609,2753967,5505615,11010369,22020429,44040526,88080744
2998,5682,11076,21841,43337,86339,172396,345418,688455,1376594,2752845,5505323,11011361,22020430,44040556,88080688
3033,5749,11080,21805,43365,86389,172328,345426,690216,1376588,2752815,5505379,11011558,22020407,44041626,88080741
3005,7181,11084,21870,43306,86332,172390,345320,688447,1376587,2754010,5507091,11011230,22020422,44041816,88080720
2988,5675,11075,21800,43342,86364,172370,344379,688445,1376600,2753835,5506305,11011375,22020398,44040629,88080688
3015,5708,11088,21844,43357,86345,172381,344385,690962,1376612,2755088,5505337,11010359,22020436,44040514,88080700
2991,5726,11077,21821,43384,86341,172374,344403,688470,1376579,2753756,5506540,11010403,22020412,44040513,88080743
3034,7225,11086,21837,43341,86361,173086,345972,688445,1376587,2753969,5505685,11010736,22020394,44041606,88080733
3015,5673,11079,21801,43350,86393,172328,344396,690279,1376613,2754134,5505961,11010356,22020421,44041691,88080721
