b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288
545890,1787104,685264,968735,1295324,1599934,2264549,2784744,5403532,9405427,13629950,27288355,49154571,222115209,182033185,366986235
103096,130951,165046,206022,293043,431509,622306,2069411,2224509,4162204,8537692,23625112,47294561,253701779,182493172,368869418
94770,127669,163846,219438,278018,435143,607267,1031245,1825618,5166159,9007708,22937981,47782107,203000217,181657250,365903449
90091,113766,155728,183920,247215,448778,575234,3132333,1883759,4502151,7620578,23063354,47404665,252968138,181242453,369003050
93582,113185,146645,190037,267946,387311,530976,930406,1733718,5093950,8822793,22756125,48083189,207542337,181438775,373692235
92359,126795,146863,194630,249413,367559,504218,1029098,6021025,4396082,7895329,23543859,48370462,255711969,184894553,367279763
90099,105434,144259,179105,239312,381620,519567,1714720,1783039,5105519,9130824,22741427,47897094,203318179,182039528,367948277
88709,116472,144473,167394,230666,336838,478321,886966,1773528,4424478,7979322,23442786,47767986,254448281,183722288,364944015
91689,104267,139662,187290,238629,379951,484550,2637405,1805767,5124930,8987224,22702483,48199197,203783067,180876157,367912326
84646,118382,154232,174905,242416,341546,502352,902588,1808692,5541876,8008307,23539327,47593243,269895912,181142528,368992953
90186,102483,138558,179985,236541,342317,468635,998557,1803985,4895112,9070553,23065843,47598893,205848158,181036716,365806489
90928,118487,139576,165357,215605,315479,476460,1712021,1938619,4788818,8330607,23538873,47826111,253352675,182391254,364544400
86867,112310,155072,160179,217181,344061,448584,849265,1836979,4920346,9088396,22737753,48337748,205124792,181700800,372443307
85768,100083,135584,173929,221618,296980,470325,2458542,1896240,4477109,7985704,23639452,47816679,253053165,182168627,367522054
94451,98677,133011,173708,206573,344229,478975,875274,1820217,5079008,8139565,22733116,46960195,204444828,187677142,374402192
87608,99276,133664,173933,214274,298150,460960,1073197,1781335,6941059,7508108,23713308,48129160,251005801,180070313,368409034
93566,99565,133134,163320,213933,306262,461653,1879653,1787001,4775215,8473780,22898696,48246351,205471422,185261568,370624605
85159,99160,132976,170559,220864,302770,460586,5730778,1919351,4419580,7798555,23768099,47309008,256033092,182725398,366052582
93991,110885,134962,157791,227950,288014,431790,2698138,1799358,4858525,8331253,22604982,47989432,205010030,183623435,371177156
80824,95665,130588,154650,208409,273580,423656,899335,1755239,4438130,7488740,23858075,46841845,272354762,182257637,362850279
86201,94961,129403,151807,210510,295327,427301,977884,1720174,4683392,8085183,22937383,47517578,204943572,180867444,368795059
84356,96866,127855,153706,211893,273763,426805,1695372,1795923,4428487,7546150,23826657,48864331,255524325,179711094,362201413
84286,93091,132958,177336,205775,300157,470034,904598,1802488,4752031,8400536,22895839,47672310,205655224,177434146,372226507
116133,898163,122103,146279,209764,284146,420139,2492788,1930407,4543593,7566650,23549603,49092729,268825990,179010618,368563984
83684,94114,121961,160427,216515,294079,415440,877598,1849641,6966039,8177652,23008013,48959272,252701840,180394750,366634345
86349,92229,125277,141301,207632,257304,425567,970124,1774044,4410966,7517800,23748542,47262064,223193708,180348307,367163842
76300,93320,123985,152479,194442,298168,426289,1524722,1847717,3554651,8305265,22574140,46866499,201236286,182029045,372128288
79944,95218,138610,153594,203160,255882,438462,840950,1862263,6636287,7780866,23745882,47994639,222287014,180770575,364846711
78295,90046,122827,145976,212712,289704,411788,2431101,1755805,4832068,8443159,22609456,47914688,202681701,179357675,377369662
76912,91878,120564,150100,206716,251897,416134,878111,1942507,4490114,8088986,23591198,46627478,271746864,180594633,373538470
76613,102070,116901,149907,193035,304616,432675,943416,1878943,4716792,8427583,23020592,47022960,217641913,181442697,372402003
75208,90660,117868,144390,207832,257997,408611,1629427,1955394,3568758,8136212,23894771,47571271,278337672,180522301,362156249
81015,87819,119259,141465,207406,284981,429058,833755,1947033,7178520,8392453,22986626,47060838,213590844,179429917,374359243
77461,89744,115890,147679,188273,269644,427700,2420245,1901826,4415098,7868091,23901557,47520157,280622323,181422364,363029442
76638,88675,116459,140535,196049,318076,422819,987293,1852993,4865342,8506280,22787498,48065126,213343508,182915666,366372825
79853,92159,117018,148543,207423,274630,433113,990859,1969003,4416414,7872241,23694267,47063723,274511888,190076869,363254173
78053,88192,126198,137645,194329,303725,517285,1521385,1880274,4848402,8341527,22699196,47966035,217664476,181589559,379446675
74927,86712,114458,141650,207484,286866,467765,857558,1934599,4447215,8048108,23824150,48001008,272149346,183302604,367658615
74997,86262,113432,134705,183139,288237,459436,2525545,1868944,4761003,8265061,22820718,47348492,214081748,183559771,364591194
77591,92055,116652,149926,203737,297557,457082,858547,1911819,4982369,8034555,23793034,47814378,272997068,183581331,365675753
76101,85975,115084,132553,182360,272712,501199,962706,1796846,3948140,8606253,22861421,47457891,215036169,202166760,365472430
76843,87346,111569,137328,209323,274449,487974,1607630,1985661,6472037,8105044,23785482,47409609,278818077,180685298,365766406
87287,88512,116096,148434,217463,293253,453617,860572,1905006,5263025,8292730,22829467,47909001,216430377,184457020,366642062
85753,86778,112431,140611,187253,285805,491879,2538976,1850117,4199962,7570314,23849497,47666701,279779696,181678373,366464764
76914,86403,114035,135711,199611,293825,463623,862661,1904762,5278943,7681701,23224922,46928590,216469797,180991090,361965156
87889,97539,118441,145273,188908,320280,490000,949776,1870316,4236324,7399814,23780263,47034817,275521808,185507324,367752024
101347,111556,115672,138054,198828,311805,450583,1654214,1771784,5251048,7713530,23148390,47111163,216932595,187513689,363838462
73476,82833,109899,127976,192887,257564,454662,866198,2017054,4666310,7265303,23707419,48229116,276156790,186126295,368761717
85592,80433,113025,134273,195280,327202,470629,2484992,1876494,4772219,7777008,22851414,46987134,213961489,186683077,359112529
78617,94584,105837,143163,196693,296239,452232,843790,1851891,3549035,7229752,23980642,47820129,275951823,186659720,360615386
79374,83727,108902,136056,209027,302533,456406,955306,1793083,6961540,7931050,22821228,47883202,203185056,183358303,357890399
81127,83323,107971,132789,204424,261068,465316,1615971,1883630,4425735,7353427,23825081,47711572,225007906,183908877,358833035
80900,82168,113165,135581,193562,322307,443759,882726,1785743,3487588,7581819,22860318,47987173,204578165,191166732,359927014
72215,84138,118814,132196,181808,263104,467047,1589886,1957109,6474767,7106268,23526390,47753107,225836078,183182469,357127987
68964,83969,106071,134572,212192,309066,439518,910293,1889709,4733882,7579414,22796827,47203771,204475552,179422582,363105569
79802,84037,109155,149865,193754,257655,465773,943739,1820933,4452839,7122860,24078130,47708163,216451752,183545266,360206113
77804,79383,108349,135625,192207,309988,474148,1545233,1794317,4450843,7745318,22802960,48017932,205142216,183399842,367097888
77919,89298,107759,130567,196782,309388,460218,854733,1804126,4429840,6928208,23843347,47208688,222679524,179535337,361739640
74295,81708,109731,132968,205309,266013,456895,2514000,1728180,4486382,7744117,22761174,47764054,201327361,179200862,357421287
86262,83592,105312,139070,193834,263495,482780,859617,1702377,4385908,6919212,23360406,48154026,224695890,182247088,366276209
82937,77364,104761,117148,196387,276190,526323,930027,1883284,5309387,7716449,22962672,47493816,249386790,182649010,369858358
74322,79399,115097,123192,181892,272876,536425,1595067,1816524,4622924,6829268,24008920,47393729,219857246,179930397,363510601
