b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288
68465,75130,69108,68360,72897,85062,95466,131696,130893,219189,340512,667285,1075517,2376949,4668756,223767579
47828,45499,59631,51795,51488,58409,79626,84600,101625,201937,225084,400799,754594,1689268,3012562,5771110
39684,38971,41898,43507,39462,47435,57215,79124,100819,178265,234903,403312,758029,1675630,3025584,6911467
37952,36801,41010,39274,36836,42511,49617,66360,89237,182440,229266,397010,768761,1778982,3045594,7507380
37178,35981,38758,38717,35980,38966,42138,63136,82106,181368,227811,401410,813008,1756241,2996261,6150719
36974,34193,38356,52314,33623,46077,39434,58994,105287,184235,231961,396814,804579,1720339,3029219,7765494
36520,33469,37699,35188,34201,33819,37057,54068,83172,184055,227465,413353,803667,1836411,3040085,6833178
36451,33384,36965,35363,50166,31987,33796,56912,80023,187148,226252,399149,806973,1812292,2985423,5998085
35022,32880,49332,34988,31978,30584,32012,51971,71986,181747,228078,399374,817005,1893647,3020854,6923372
34969,33174,34972,33007,31113,31123,30794,52972,74151,276007,230034,402641,814195,1713130,3046771,7507121
34690,32980,34604,33442,29921,29032,29011,52037,70314,176765,227473,403400,821699,1948354,2986687,5684408
36136,34037,34104,32911,28797,27630,27929,44716,97225,236109,234645,400979,812450,1791564,3003905,5741222
35046,33666,34573,31461,28662,31261,27140,52838,78875,197478,233607,402511,807802,1950882,3094302,5777115
34959,31090,34394,31691,28495,22419,26342,44824,67730,189307,229876,401215,821858,1768234,3033544,5696166
34694,31460,32873,31426,27568,29820,25594,47734,65562,185826,231086,396892,808347,1959011,3084771,5701266
34139,31372,32844,37003,27371,26472,25396,68944,67731,185706,224978,396888,816865,1829593,2851753,5696030
34665,32107,33103,29708,26592,21002,30588,55736,69197,176833,231907,400429,819174,1862571,2844171,5853335
32801,31966,32190,30469,26285,21300,22800,67370,91567,179023,230460,400728,823607,1808298,2758308,5668028
32415,32010,32924,29493,26336,20974,22544,51702,74614,188754,234520,398047,814533,1943231,3056932,5807949
32402,32240,30384,28279,24993,21319,20716,53459,80245,181679,225408,403548,805492,1747259,3043340,5771253
32262,29544,30771,27490,25007,20532,21083,50630,67055,191428,226894,400683,823317,1851023,3143227,5797566
32106,29557,30798,27964,24040,20200,30378,48285,65661,183710,224713,399714,770863,1645485,3113458,5879132
