b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288
671407,459642,1383964,560704,458211,538019,707670,824288,1514254,2988314,3917010,6363669,12610624,22566214,41855849,78037758
117784,143941,171025,178969,192127,272424,402495,548706,765639,1320374,2861135,7008475,12364499,22289239,41872425,76561290
103479,126903,155225,167949,167391,247185,399275,499155,820891,1566966,2821888,7125933,12353905,22154604,42322560,78510775
109682,123379,155280,153271,158433,325057,349259,453535,732088,1339305,2857100,6819909,12343493,22496359,42091626,78136635
102743,124180,147986,161178,152365,230940,347841,444248,759216,1500329,2845023,7264316,12403708,22225745,42295194,80130371
97474,124561,141814,148423,152188,199244,360517,423404,822793,1265835,2788038,7255193,11262685,22350555,41957642,77838440
99992,119084,156979,144014,150437,214255,327496,415396,761138,1518766,2833699,7335871,12683858,22259887,42255055,77718147
98779,115317,143302,152244,151367,212452,336573,400018,664703,1271679,2850553,7237501,12497356,22326622,42013803,76723595
94617,129921,141607,151247,141428,192377,304771,394719,672347,1528451,2852671,7552565,12498921,22028513,42317081,75570786
93502,115299,143673,132302,134062,209848,313135,393583,636833,1354665,2859930,7019803,12490128,22340835,42010419,76816006
95786,118129,145166,134384,134889,234138,298365,399157,637339,1537171,2837431,6784847,12459533,22203473,42158892,77713503
101396,114470,134980,131235,132924,202332,302024,360425,644600,1316439,2843102,7170598,12499674,22317409,41987543,77362088
95884,117795,136061,122809,138990,210382,313124,405126,734535,1408837,2844648,7212059,12510729,21627946,42153520,77827960
91104,107936,133860,124418,129403,133157,296894,344108,709688,1274926,2831378,7213603,12446469,22438865,41941615,78872416
97653,122097,124720,126320,128919,155472,323675,387382,702206,1479875,2861630,7154684,12478019,21910368,42241719,78011542
90247,109025,127338,124557,129827,245086,299992,450400,741807,2239253,2841754,7072421,12535775,22490799,42110413,78117301
100066,110986,152473,119035,118081,127585,288064,402857,643190,1307902,2859104,6784039,12523469,21985487,42328004,78201151
109720,108825,125150,119344,119354,131850,317764,2474475,771748,1399221,2890936,6748172,12500986,22247875,42079875,78150047
121727,110228,126515,120247,138921,211287,313106,417199,787274,1353624,2889377,6813416,12495148,21915825,42700443,77830041
98523,120760,121425,117549,116437,212502,299272,391159,694541,1424698,2909402,6796191,12429232,22410738,42259674,77883619
97675,104822,126024,114737,114970,151002,312466,375035,679808,1270597,2875639,6847404,12541755,21460543,42815248,78517460
98463,103918,123769,113612,116048,139348,293032,370594,641156,1433237,2875667,6776307,10771074,24106153,42292419,78519600
111019,112013,121119,113986,112983,117700,311454,392841,626418,1233580,2857066,6960205,12586305,22094914,42359290,67786779
86840,102177,123448,109626,119575,123785,318715,466986,770079,1442845,2875324,7238141,12809950,23921635,42259021,74348629
104859,117330,132125,110678,107508,122744,297047,366430,771318,2251378,2898430,7294996,12559264,23908414,42452415,78634344
92143,104992,114698,108799,123427,124552,323668,399060,682342,1288999,2882130,6957296,12560668,26391383,41982885,76912020
95638,101434,114201,109969,121163,141117,292937,395449,670176,1357972,2884051,7319008,12807733,23585968,42233227,76549439
96372,101835,115064,117247,121367,126439,290160,453741,758881,1852657,2865658,7287054,12156428,26450393,42032910,75720569
95479,100252,114721,107340,104138,129343,320927,362243,752154,1257427,2868203,6927958,13833617,23134766,42151188,76359649
98295,99302,116727,106584,107973,145854,294425,405734,2248819,1545474,2922189,7162085,13012726,25778661,42221504,76920513
94849,97629,117278,104800,113260,124957,311584,383475,786991,1307945,2888018,7297756,13786680,23211423,42196367,78209375
91073,96625,119944,117770,107417,126519,305390,391821,727130,1489026,2856568,6978175,13878123,25637160,42046734,78225251
94934,98976,112757,109453,102765,132844,317060,428775,717041,2170476,2874984,6813712,14040103,23111042,42017677,78902015
94290,104827,106152,125069,108307,131142,309062,379907,759404,1321471,2853591,6915284,13837539,25645077,42438432,79799062
95162,98825,108428,102313,99515,255624,302068,385446,727681,1509041,2876904,7089291,13864504,23345155,42279747,78773606
102576,98042,112983,102841,104472,251853,329053,400664,666412,1314990,2868548,7151005,13868402,25574399,42129727,77661878
84427,100462,108120,101199,103375,265618,369522,394923,816936,1501583,2880276,6759571,13895194,23420990,42166726,77652687
86566,91930,110679,113607,100668,233023,298346,379012,787156,1262763,2862761,6870719,13823946,25748153,42180467,77757793
82326,96029,115939,112022,102776,264774,306385,386458,792176,1513844,2875377,6920397,14017643,23156102,42139918,78629170
80562,93635,104920,99568,98021,141636,309284,397676,735761,1356100,2872610,6946437,14062466,25931155,42753184,71759142
89001,95888,104385,105250,102946,148517,291631,410249,733274,1555186,2870944,6868701,13900536,22978894,36802904,70576559
80889,103681,106694,96181,100189,140830,268019,440921,662430,2346215,2893088,6952723,13982575,25448363,42326889,77085393
77997,96202,109787,96360,105815,3811967,297240,390102,825506,1258207,2871024,6970528,14032371,22938757,42081283,76641059
78626,93202,99863,105974,101255,111101,285855,412999,777631,1468829,2760383,6946694,13859884,25402213,42262907,76626983
89040,94758,119310,97777,97435,119137,276998,374653,717296,1277223,2746693,6979699,13846834,23074385,41975955,77036797
77462,91539,100989,93183,105923,124065,261788,415367,725997,1518550,2758991,7377742,13947012,25241245,38689029,77298991
75639,91273,102712,95369,105346,133470,308225,402893,723107,1323370,2746584,7012962,13854895,23083899,41947494,77579993
79914,90142,109985,92813,95315,133108,281795,414399,730301,1551391,2749426,7415545,13789421,25449267,42112472,78044659
82610,91109,102892,93509,94068,145804,285712,360853,839726,1240005,2748624,7442006,13828857,23136378,41886306,77694631
74728,88755,108386,92558,102452,134515,279131,401725,762065,1455562,2791882,7090514,13872842,25562331,42147193,71913701
81315,90029,100458,92783,100930,131325,248861,391440,742660,2349727,2779690,7352173,13911484,23185170,41766144,78526716
75861,89955,99600,90660,92827,144795,266986,404139,736125,1303061,2767846,7003681,13944288,39619694,42118492,78469998
73664,93155,100271,91809,108165,160253,274994,361360,716904,1354440,2719182,6942446,13843631,36947091,42196605,80247714
74666,88908,97753,91447,104451,145867,286817,859766,715741,2358307,2715895,6950024,13865024,39589278,42174717,79735086
73699,90162,102621,92661,93767,141337,255098,402172,814700,1327230,2740346,6868753,13807276,36965691,41788529,80143230
74427,89978,100662,99961,102644,150746,302558,405182,759227,1461145,2720247,7088831,13885597,40301838,41590950,77926735
75303,86455,112012,90589,99311,141567,301537,370427,717663,1253002,2707106,6758364,13823048,36241471,41623855,80335707
76621,84894,94375,88696,92849,134567,290225,380882,650599,1520488,2740598,6740976,13870390,39495382,41909322,79135744
73948,83731,95316,95671,93667,133435,264404,358082,718369,1253255,2737819,6645061,13874757,40297954,41621735,78454756
88173,85487,107023,90008,96127,128917,278445,360505,600678,1501009,2719131,6738251,13915333,39302189,42010420,77492996
74840,97635,97125,78022,92677,140980,330874,352828,703064,1224436,2711981,6766106,13803776,35738492,41851734,77586409
70563,84660,94026,77099,101867,134739,339961,402716,741560,1563750,2737198,6735216,13849911,41866123,41940801,77343926
71579,85790,94503,76996,99217,152899,307243,375527,752581,1306860,2736242,6793100,13890854,35940997,42161193,77157868
73735,84780,101501,85670,94219,132871,276843,450185,652655,1525563,2743806,6795968,13749003,38426983,42064476,78134002
71584,86263,94858,86788,100903,135841,266166,485234,730965,1331354,2723835,6743676,13856920,36620108,42535875,77532217
70554,81501,92839,77368,108828,139242,269271,404803,631883,1490766,2742518,6731865,13843900,38679260,42390540,77373837
71390,83860,94109,76980,93062,134685,279269,431628,703642,1403997,2771334,6772255,13808679,37676544,47700650,78772186
71545,94585,90202,76015,84482,144179,285123,414838,746749,1600354,2753621,6738979,13949723,37838795,42520998,77090268
71737,82869,91942,75874,95766,244115,276340,398587,775206,1320245,2492998,7228761,12612264,38943179,42751766,77813900
71752,100184,105786,80199,95760,240978,281308,427182,681523,1679147,2748088,7386791,12544007,38057382,42415625,76584191
71656,86336,91645,77176,86423,241035,280143,440086,707900,3019149,2761205,6831592,12643178,41259342,44545959,77123388
73447,95860,103234,77600,91294,144034,366049,497341,854995,1428876,2766276,6962993,13284627,38102494,42530909,78592282
72718,82383,89407,79761,96357,236336,189354,498319,795293,1640866,2723162,6728839,12827054,38706053,42937130,77431206
80958,95785,99161,79974,89638,136714,278445,471236,715298,2818678,2739394,7296224,12769637,39622948,42076924,76708074
66569,81969,96292,78800,85894,214376,218397,456574,727034,1387481,2805810,7122208,12727501,38323606,42587123,76681278
69052,114255,75535,77416,90400,314503,270041,441935,656126,1509608,2717399,6763875,12778421,39921105,42052171,77847467
66905,93697,75950,76852,97483,261414,250532,418247,641354,1427411,2805614,6778695,12790623,38663010,42509986,76966086
69855,94027,76034,76502,98606,147991,274236,404479,647795,1431770,2705923,6764861,12807024,38476209,42122468,77006100
69275,90155,75460,84030,98191,227938,252317,469283,742910,1346249,2672200,6788445,12762755,38888018,42432658,76558150
67138,93542,83281,77662,99238,145081,294941,466827,667307,1446845,2746212,7493937,12740091,38716593,42544051,76522469
66358,91542,76764,78105,91411,220706,276657,477576,675647,1378785,2742005,6757980,12780991,36631579,42602969,77833483
70483,91692,73927,76580,101854,134854,259857,428606,586828,1436466,2743175,6708786,12694856,39848731,42088080,78264441
68657,93136,75710,77860,96178,251243,268916,434526,617417,1433255,2727678,6791295,12769375,35436051,42351403,78352903
70181,91893,66134,78647,102050,141986,273793,399922,662104,1471684,2737588,6864798,12740475,40127713,41995354,76515636
69065,93912,77640,76672,105522,145037,274708,396817,813924,1365776,2741254,6869021,12666777,37220161,42384944,77772543
67093,86108,81473,77088,99676,149631,292745,386379,821253,1603535,2749056,7070204,12781272,40204980,42073324,78226045
66091,81189,78063,83576,89218,143439,294003,369551,779531,2952315,2905387,6950242,12706718,34731343,42545186,76645271
66253,75901,76299,77935,99970,143422,294136,426269,806947,1319456,2880312,7036529,12673027,39722052,42263250,76961711
67041,76832,77952,76747,94167,200796,297200,362277,795742,1619590,2884132,6999397,12707270,35431351,42308611,77005382
66091,77297,82605,77949,97372,140883,305255,401246,772562,2836928,2706836,7023602,12671619,37926685,42171355,76973817
63813,91980,76801,76370,94581,193047,286712,471041,833390,1357740,2694913,7483345,12690504,39495326,42088375,77266938
67063,74318,83500,77646,93441,145521,374531,457716,819212,1672798,2731282,7013633,12760197,38291157,41940526,77564736
66153,77610,74956,78802,88303,141248,273105,462552,744125,2805048,2789712,7309767,12749560,39321328,42207135,77120385
64794,75947,77841,87328,106469,157649,293654,419141,756799,1311425,2692706,7076572,12666042,37626798,42141375,77593037
74375,79180,80673,86905,100173,203770,290687,427362,740355,1632581,2782172,6958266,12688189,39354368,42015672,76701813
66160,77056,80725,87617,93253,142129,290595,420226,763178,2935890,2752007,7385252,12636198,40108039,42120423,76780824
65145,74534,75583,85001,85503,142298,264467,399661,839925,1346837,2738756,7027287,12734379,39304587,42262650,77566222
64860,74942,80503,102123,91139,140556,311162,395393,818782,1472314,2708234,6977864,12689324,40029043,42099416,73953076
67848,73932,80340,81065,97938,140446,283408,401122,761143,1350410,2756110,6803108,14077176,39520021,41895009,77109531
65869,76417,84725,80065,103654,144956,314671,392668,720531,1508833,2741263,6847882,14095094,38071854,42105484,77488066
64497,74604,86421,81451,98818,220288,302556,355200,748406,1405038,2724404,6950370,14326279,39272863,42076400,78310413
76681,74481,82773,80015,103171,142278,316173,341033,859311,1500104,2743926,7411274,13837524,36548561,42124126,76549491
63882,73635,86820,78245,100205,142466,306962,374873,818569,1371836,2720918,7076193,11559438,39481185,42194921,79437541
63769,75759,82946,78577,102863,136835,286354,506840,790596,1496631,2757277,7024721,12722832,38606920,41701601,76573751
63582,82139,86589,79757,84898,143954,283880,365539,755812,1347283,2746908,6968053,12999858,36614869,41808994,75733238
71791,75069,78869,80161,102084,141944,284405,370972,852202,1412165,2749364,6847788,11653763,38590733,41816645,76402185
64657,111547,62850,79279,103271,149281,283486,430208,727996,1526087,2726567,7083104,11552125,39340608,41840141,76288548
72877,96348,74792,77177,100932,146847,265826,442164,683120,1515108,2726549,7034036,12648307,44361452,41661105,70607307
64991,82705,73141,78594,94591,130328,296960,584828,862504,1348681,2717784,7039657,12703796,36795914,42123795,79632989
69731,73159,77184,76937,101971,137377,283367,410132,779673,1614334,2733177,6905460,12704793,40381752,42134194,79377406
63109,76799,75651,78871,101181,130679,257304,381292,760949,2929221,2698488,6906275,12395156,39582668,42129741,77284409
63430,72244,76096,76850,101896,199888,301571,407609,617634,1373614,2733334,6749047,12608271,38510970,42037297,77529190
61687,62037,78173,80252,89258,161296,269498,377519,663412,1454498,2721341,7001171,11414748,39066364,42057302,78014370
56019,61069,64232,92259,101733,238229,296770,589565,685800,1515513,2731981,6684313,12276118,42065256,41719989,79078003
55935,62939,82529,82391,98859,166189,254078,376105,767438,1539755,2721831,6782517,11579204,37567543,42148061,80040021
54213,64201,74054,73620,109299,233594,293822,386801,720837,2963782,2741256,7100259,13050521,48098531,42057293,78538577
53131,70294,75621,78688,95774,158921,257808,407030,712475,1361224,2750302,6763259,11601125,37245704,41911689,79551693
53535,62291,63059,78105,101844,146015,263426,456682,647500,1488504,2729087,6922683,11465958,41274437,42002026,76849137
53798,63557,88738,83357,98982,205543,276673,601245,668209,1285784,2852822,6712554,11448099,38576971,41988290,78717548
53599,74057,73622,78908,100003,146258,261677,391757,666420,1418107,2729433,6748800,12803465,41472591,42016041,78609381
53961,62593,74102,76357,99651,139943,263709,412776,772054,1306120,2700397,6697248,10561145,38692290,42156194,77322299
54200,71798,73378,81416,102019,135849,259311,392624,724878,1522672,2705559,6694339,11587057,40618223,42042226,77021697
52482,63558,82625,76739,100551,143830,280848,392181,704615,2796505,2691481,6746630,11566852,38190827,42056024,78676765
55217,62244,75208,74496,99177,132722,283115,543421,738253,1324417,2778991,6739907,12794596,38872327,41459331,78930964
52310,62423,72647,77851,96650,150041,266951,390543,672632,1495777,2716179,6754947,12718096,37559334,41963817,72084450
53447,80515,76800,85652,91252,137812,277288,525555,663837,1359538,2772535,6907749,11160791,41753042,41984337,77504875
54803,71605,75018,74199,97084,135976,289445,452352,766851,1476072,2735365,6712957,12819711,37734339,42093929,72916032
54047,72173,74351,75500,102563,134904,273152,419166,671413,1296922,2742533,6639583,12737346,39776275,42001494,78567807
63650,79508,75721,74272,91542,145809,278755,592591,676263,1493596,2743832,6773208,12729588,37865981,42207794,67976846
53536,70256,80355,77309,93875,134164,261946,449803,659318,1336896,2716778,6753491,11322133,41979978,42089555,69165339
53846,71143,74681,76923,95033,146360,274777,412841,871465,1407997,2699576,6775836,12692438,22479117,42089167,77675795
52726,71240,62920,76662,101351,148828,280864,412414,749632,2918607,2729933,6846779,12669119,24806943,41960676,76324000
53524,72912,63617,78075,95797,217666,270322,423860,848252,1391813,2698661,6766596,12640607,22410334,42019369,76499826
52381,70828,78272,84119,101617,137311,268108,625665,737274,1457543,2717277,7220083,12647117,23195680,42023390,76424847
50673,84385,89882,81828,89950,254353,270558,405929,732908,1394775,2693830,7305440,11400549,23527967,42216534,77260919
50463,92100,77540,76316,109607,135104,253058,409664,652359,1539345,2713873,6685323,13990237,24256692,41968742,70916511
50495,70472,74659,81059,101543,139441,266427,405717,650674,1431631,2735587,6893657,13967278,23783518,42069238,78200212
50957,68967,82795,78916,95969,135958,302713,423234,718915,1551212,2713646,7155490,14015048,24503264,41929112,79263246
50646,68331,83880,85545,95303,132842,271294,594938,858203,1449617,2693422,7089014,14054870,24557658,42054013,77581655
52155,76439,75494,80306,102387,130337,282128,377588,828378,1546900,2718287,6948475,14023630,24384002,42036196,77652597
50239,72279,81190,83746,95981,227691,261100,397439,833942,1451553,2706927,7062584,13901334,23829306,42347734,77980002
52382,69392,84229,77764,91909,135577,299498,392166,848546,1415965,2729706,6827933,14112325,24516800,41852880,77199461
50691,72556,78383,85234,84840,196788,278399,396008,870835,1426760,2709460,6820027,13926514,23743309,41533041,76766301
52283,70191,74048,79676,101689,135482,290675,562399,855061,1514197,2720308,6831784,14197400,24612180,41454127,66437505
50964,69585,74419,82063,97479,138466,284663,402505,900898,1380720,2655431,6858620,14016176,23701081,42037299,77669353
52192,70128,73442,78073,111736,133921,297802,418424,840308,1520537,2667033,7114720,14170437,24287121,41466965,79254356
51304,72564,73919,79873,94937,158145,326740,379751,878277,1403100,2725070,6841728,14026015,23757957,41371524,69850910
51998,80077,80797,83881,90383,137600,299237,392475,878107,1455913,2749454,6972064,14034578,24459313,41551553,79816497
62064,70411,74653,82344,84536,139565,256687,564587,834008,1445507,2719342,6911789,13989015,23688894,41606791,77834848
53437,59191,80554,88837,102838,143666,296021,380380,910985,1520590,2654701,7057336,14277325,24461550,41538264,79586297
51815,57481,74735,78798,84763,137297,301183,367005,886068,1430525,2691483,6903249,14130859,24682996,41516621,79236899
51708,58700,85974,81513,106115,205478,289243,399951,892627,1513456,2710197,6963002,14157806,24668116,41292107,78670677
52269,57600,77096,80946,95216,232222,283933,349940,898982,1351322,2701612,6903942,14281980,23652937,41535968,79313857
51856,57424,91615,86672,110332,225870,296908,542885,890121,1428530,2670458,6931868,14182137,24620970,41404717,78944936
51406,57800,77658,87266,87140,248080,300027,392953,841710,3067754,2698559,6881916,14218275,23830708,41567187,79849559
51001,67294,91153,86417,99757,233942,286681,406041,870090,1362966,2698151,6884651,14057224,24612784,41554978,79333179
51159,57150,78767,124955,97006,270843,287464,371504,869705,1497642,2703005,7497600,14043997,22620229,41555509,77568202
49113,56928,85113,78819,107542,238637,279288,515187,849299,1365664,2699064,7043173,13864093,24747146,41445758,77669894
49692,58166,79206,74916,94498,293287,311727,524830,844584,1438848,2679145,7000236,13955187,22323726,41467804,78646501
48502,58888,76158,76540,101257,285435,261694,368006,882454,2880711,2718540,6901164,14210004,24849616,41508372,78444127
56390,71515,78918,76996,95737,242844,267182,437484,885351,1254627,2695554,6917237,14144946,22481714,41358927,78586937
48957,58186,82439,75451,100689,129899,294513,481803,876318,1496154,2704637,6968395,14100546,24808536,41462377,75733281
49190,58484,74116,73708,95197,138907,303718,508786,832978,2854912,2693594,7150748,14188546,22544177,41511640,68220916
47320,57711,81895,73519,94054,127617,314166,636929,842536,1408339,2673200,7086826,14044334,24055511,41555002,67661809
48988,56895,81572,75539,95164,131753,276767,500580,880905,1358331,2723115,6980009,13896895,22654649,41564601,76731805
51518,57921,85759,81678,98045,127310,279169,448555,845168,2863786,2720326,6999359,14079773,24817539,41413886,78455152
51024,58174,72452,85163,96617,137271,264156,440934,847012,1389616,2683666,7405916,14223406,22706387,41416348,77457854
50184,57567,82307,73951,98823,119179,282070,457362,828537,1400656,2672712,6696314,13952347,24591068,41417343,79058263
49662,56856,82486,83216,532285,129996,279188,632198,790112,2868324,2703369,6724662,14035013,23800560,41502831,70539892
50105,58569,90715,75000,85236,122457,282125,467583,809494,1410654,2728092,6748562,13047582,23830880,41357895,77555210
49954,67994,91829,77059,102557,127450,300873,499361,806883,1507663,2688280,6712359,14084584,22325098,41297952,78978403
47729,56655,74139,74611,110223,133177,276646,448065,732922,2879249,2724744,6850758,14016763,24258086,41431659,79283697
49927,56594,82060,76875,107397,140838,296048,417337,836570,1477550,2675703,7170335,13320239,22586919,41428902,78196033
46849,59136,83196,77627,89918,128282,288920,611119,937098,1372126,2721614,6966486,14049556,24106712,41313275,77839713
49709,56860,62225,75320,91210,140321,270222,413327,766068,2673372,2750205,7021388,14008729,22538289,41439654,78767103
49325,55815,79092,76255,96401,140198,280018,417647,747263,1418833,2693850,6635809,14002544,24077602,41437442,77181783
