b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288
33599,34707,34292,36630,35578,36616,46145,34494,32469,35171,34226,34523,25910,35167,33579,33294
26104,26003,26763,27627,39741,26427,28502,27416,28903,42260,28838,27584,27760,29524,29810,33529
24526,24451,25222,25316,24145,24098,24846,29846,27852,31879,30030,27931,28775,28400,29748,34613
23770,24053,25173,24697,22632,23712,24254,24232,35849,32397,30105,33500,28444,28763,30756,192650
23895,23533,24262,24025,22723,22682,21747,24942,26380,32160,28407,27818,30399,29346,33799,45915
23675,22880,24129,24373,22199,22139,21118,24102,26696,31864,28498,29511,32330,28180,30691,49198
23599,22888,23816,23489,22286,21816,20806,22159,25492,31925,29177,28691,29775,29404,31055,32558
23725,22636,24031,23401,21771,21380,20263,23803,23615,32646,29340,28190,31201,28370,30462,424802
22812,22688,24258,23806,21939,20946,19851,23062,25203,31430,29304,36486,29629,28038,30504,34170
23240,23101,22883,22886,21450,20896,19483,23399,23498,39973,28150,28492,31767,29051,30633,53048
22939,22605,23232,23179,21381,20628,19307,23862,23419,30985,28600,29124,30236,29194,30343,31815
23154,22565,23601,23155,20865,20369,19280,20928,26335,38525,28455,28480,29272,30195,34220,28196
22714,22559,23268,22397,20993,20879,19051,24662,23599,43477,29245,27241,29665,28498,30702,41095
22724,21920,23311,22395,21107,19222,18740,21432,21967,31148,29456,26944,30654,29238,30662,28084
22857,21893,22832,22600,20852,20880,18865,21968,22611,31621,28750,26845,29835,27774,30248,30878
22766,22115,22653,22479,20843,19980,18575,26789,21620,32663,28878,27927,30690,29289,30679,28177
22961,22161,22637,21994,20584,18716,19779,24202,22293,32144,28883,28337,29163,28748,40494,30084
22199,21994,22622,22433,20318,18894,18582,27063,26207,32057,29522,28070,31684,29140,29515,27614
22028,22108,22754,22263,20396,18714,18520,22802,24582,31748,28311,28807,31193,28565,34178,27295
22025,21938,21972,21789,20156,18971,18199,23017,22514,31491,28147,27540,30221,29440,31336,28969
22335,21703,22108,21512,20353,18589,18334,23272,23090,32694,28473,27694,29726,27880,41294,29965
22135,21806,22006,21592,20149,18465,17953,21710,21942,32366,29505,29274,30118,30973,30591,38844
22183,21801,22100,21512,19785,18669,18150,23118,23511,32171,29467,28637,28562,29310,31235,31064
22427,21938,22335,21182,20261,18673,18146,22347,25605,32472,28677,27648,39068,29870,30271,30274
22808,22057,21803,21085,19797,18545,18512,22920,24593,32687,30361,27080,30984,29320,32811,416227
22776,21726,21677,21352,19967,18546,17724,23115,22958,31408,29155,28186,27810,30305,31411,31551
21927,21562,21884,21087,19719,18652,18042,21478,21882,34165,27875,28440,32447,29224,30151,31462
21961,21435,21848,20837,19470,18554,17814,24899,23613,32607,30121,26981,29516,29498,30767,31765
21490,21442,21848,20796,19866,18369,17712,22235,26786,31698,27874,28173,28573,36567,29544,37031
21131,21469,21890,20758,19174,18486,17907,23526,27390,32054,28543,27699,29855,30175,29454,30541
21509,21146,21816,20898,19225,18330,17688,23068,27356,31252,29861,28589,29432,29025,30896,28949
21634,21210,21385,20790,19398,18462,17760,22901,26301,31104,29482,27519,34531,29667,31224,42228
21757,21490,21343,20502,19166,18130,18024,24009,26582,31293,29147,27617,30428,29118,30901,28647
21789,21172,21276,20623,19230,18321,17547,22147,26885,30979,30078,27744,31123,28090,33733,30385
21352,21324,21282,20763,19383,19045,17616,27038,27750,32119,28384,28466,30418,28659,32427,30295
21661,21131,21799,20727,18868,18724,17811,25138,27184,31352,29075,27989,30552,28062,31800,32252
21544,21132,21379,20006,19260,18908,33255,21901,26601,31090,29455,27392,29190,28244,29612,30948
21589,20796,21196,27455,19139,18436,18997,23557,27240,31864,29253,27761,31295,29108,31874,31313
21445,20845,21136,20399,18963,18552,18570,21382,26647,31756,28795,28848,31066,28377,30288,38042
21084,21078,21287,20536,19092,18552,18470,30462,26672,32339,28700,27466,29848,29980,36408,30573
21290,20975,20899,20473,19169,18971,18075,22132,26954,42196,29313,28630,30325,28809,32026,35558
21145,21279,20827,20330,18810,18490,17967,21680,30979,29597,28701,28035,31630,29400,29845,29798
21058,20795,21029,20232,26871,18184,17999,24164,27716,28622,29837,27622,30074,28036,30677,29021
21162,20844,20549,20218,18933,18236,18335,22567,27359,30142,29539,27929,29835,28745,30156,32760
21681,20738,20649,20125,18833,18142,18262,22956,27871,30416,28341,27774,30181,28694,31175,29953
21142,20880,20590,20099,18808,18407,18311,23621,26000,30293,30186,27886,29937,29240,30924,28675
