b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288
21740,23241,21897,24261,27212,36584,50521,80529,128882,254921,420627,779685,970059,2220504,3587611,7128741
13357,12934,14577,17438,19247,26995,36450,54524,81641,120990,157597,378545,777543,1740823,3535894,6800045
12432,12802,13992,15695,17200,24160,31514,45941,68507,81822,162067,386878,777614,1764311,3508951,9007445
11830,12113,13251,14772,15915,24317,29155,41153,56566,80403,164061,388123,774091,1641565,3292713,8428478
11900,11739,12633,14728,15852,21192,25889,36013,49523,78382,162616,396410,788965,1768826,3513556,9011069
12243,10790,12722,14364,15149,19284,25223,32998,42748,79018,161656,378731,746060,1706597,3508266,7223438
12006,11281,12845,13384,15263,18344,23177,31142,41022,79844,160715,382310,751406,1792547,3183670,8388666
22078,11239,12940,13736,14022,17583,22179,29278,41140,81856,160669,390026,741012,1755635,3179887,7263614
10632,10968,11935,13441,14015,16635,20954,27147,41112,79470,164262,378474,764603,1778191,3157233,7246548
10957,10971,11640,12756,13453,16659,20322,25906,41110,233498,163025,399278,785021,1683255,3225296,6294993
10950,10946,11433,12393,13463,15593,19368,24467,41023,108060,160633,378754,773602,1800321,3041904,6736008
11494,10758,11788,12683,12593,15227,18980,23808,42966,191879,167380,390037,753115,1558472,3217496,6941520
11298,10780,11606,11968,12469,15828,18445,23810,41855,102540,159647,391103,730149,1752635,3442314,6714332
10982,10201,11901,11728,12456,11681,17921,22180,41397,83253,164096,391997,784906,1729423,3227868,6401565
11307,9991,10842,11680,12341,14964,17121,22958,41464,80623,170295,379054,768035,1771208,3497117,6918716
11551,9903,11281,11656,11996,13969,16718,24321,42143,80795,161004,352961,786404,1746346,3510692,6311239
10901,10507,11110,11262,11338,10749,20821,23067,41695,78342,167364,386251,781324,1750486,3238087,6943620
10238,10053,11393,11014,11680,10936,15447,25969,41936,82359,168106,378747,768086,1670103,3180531,6652995
10130,10332,10987,10887,11148,10826,15126,29355,41306,78751,165485,387786,759691,1775005,3500780,6658592
9952,10050,10105,10388,11102,10365,14897,23038,40605,80823,164985,406488,764989,1759591,3500282,6872900
9930,9737,10171,10407,10817,10400,14607,22772,41027,84224,158222,370854,780311,1780253,3429161,6902552
9995,21499,9972,10350,10570,10032,13969,22607,41614,78817,159663,386058,753883,1666390,3539209,6875655
10292,9358,11299,14334,11141,10287,17102,29148,43563,80651,159334,391610,777307,1786974,3525639,8291181
10785,9611,10311,10009,10779,10022,13874,22948,42149,85286,160492,384779,1352524,1487674,3130328,8601207
10407,9542,9881,9960,10441,10040,12622,23791,42378,80349,160259,367647,786711,1531051,3500442,6810838
10221,9514,9823,9809,10647,9643,12978,22840,41899,80351,160308,377362,758179,1526473,3143394,6316107
9942,9643,9796,9898,10344,9939,13181,22772,41164,80178,163304,352892,890265,1508629,3210599,7031923
9548,9527,15438,9627,9784,9920,13283,22807,40817,81295,163309,378911,774837,1497019,3454758,8445955
9542,8875,9598,9501,9732,10103,13480,23136,42258,81132,160874,377244,753284,1492382,3177777,6244440
9527,8793,9852,10020,9561,9559,13204,23242,42091,78996,163389,394538,780711,1588124,3451132,6892294
9645,9186,19402,9492,9400,9533,13038,22952,41497,79330,166203,403824,785888,1769664,3177631,6850732
9285,9398,9117,9545,9364,9421,13254,22533,42660,82605,157677,385646,758971,1582649,3427313,6890312
9423,9156,9433,8889,9072,9406,13140,22978,41779,80953,165359,390682,800170,1744360,3498164,6437629
9757,9220,8905,8886,8988,9418,12977,22293,42105,80001,165198,386569,764636,1602029,3194677,7674900
10098,9004,9004,9178,9096,11077,12886,24389,46261,79343,161251,381251,773803,1696180,3440890,7524855
10002,9171,9082,8975,8587,10386,13084,24363,42527,79137,164088,356083,747590,1612784,3190328,7062104
9702,9103,8632,8680,8480,9168,18700,23178,44736,78909,163808,400853,766169,1662935,3433410,6229200
9589,8848,8783,8814,8831,9261,13577,23207,41885,87008,161632,398784,764746,1600567,3449799,7280861
9303,8362,8728,8670,8524,9516,13145,22970,42347,80121,162366,384764,759929,1650309,3228039,6957450
9077,8688,8948,8777,8286,16254,13192,23271,42236,80688,165170,389068,793384,1603397,3592049,7046858
9158,8435,8953,8674,8651,9492,13150,26982,42575,78379,158168,378171,754490,1653643,3527638,6802002
9265,8195,8679,8200,8504,9234,13379,22550,41842,79960,165560,383153,747225,1610817,3294417,6891835
8871,8310,8582,8371,8106,8824,13483,23557,41432,88078,160264,385808,775502,1643978,3524343,6697738
9115,8248,8245,8127,8127,9296,13123,22740,41826,78977,157695,394558,777140,1612512,3505581,6928157
9058,8796,8137,8100,8338,9305,13320,22636,53392,97114,163178,367647,761368,1643906,3216487,6896447
9159,8643,9420,8899,8410,32049,13399,24948,47045,78461,161177,388168,790778,1587217,3404079,6700440
13443,12301,8228,7934,7967,9738,13303,22740,41316,78795,161646,392747,802116,1662449,3183890,6369522
8984,8518,8430,8103,8104,8955,13362,23096,43261,162147,168247,395859,772051,1596756,3223680,7457478
9088,8154,19105,8082,7814,10284,13218,22852,41692,99646,163899,390693,749913,1682419,3525342,6876668
8817,8341,7734,8317,7673,9109,13211,22533,41543,80176,164606,387413,774385,1601295,3230510,6780974
8734,8548,7985,8083,8145,8818,13304,23282,41945,79023,162379,391161,767429,1734641,3528863,6757178
8251,8306,7652,7548,7647,8886,13319,23691,41635,79259,164123,396386,775599,1436641,3521042,6423784
8740,7905,7897,7637,7469,10368,13050,23178,41621,80643,159311,380638,745807,1536541,3421889,6317863
8577,8166,7999,7957,7631,9688,13323,23502,42083,82684,164883,387378,780147,1510598,3521279,6911893
8603,7998,8037,7897,7657,9237,13150,23500,41919,78708,168412,367614,754120,1540753,3406758,6715065
8847,7414,8060,8776,7570,9283,13189,23577,41558,81057,162179,392162,784762,1353053,3615485,6956806
8210,7689,7674,7745,7482,9144,13117,23279,41309,79486,161303,399975,770445,1635668,3211530,6254036
9061,7533,7519,7630,7410,8926,13108,23719,43371,82004,161815,386310,754470,1513415,3120007,6724387
8688,7647,7503,7821,7457,8968,13049,22902,43733,78826,167354,397158,773308,1618067,3502817,6893634
8313,7507,7589,7771,7344,8763,13141,23836,43215,78621,162516,382407,792144,1443884,3417647,7444724
