x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096,x86 inductor b8192,x86 inductor b16384,x86 inductor b32768,x86 inductor b65536,x86 inductor b131072,x86 inductor b262144,x86 inductor b524288
7338954718,10458784559,6748812523,6551272115,6621672339,6544028125,6516058952,6540346688,6527791341,6375992689,6497041975,6564270804,6759858644,6735549787,6937274296,7005590498
995811,1170674,3736984,1208731,1660145,2364912,4322090,7616207,13488726,25104299,45643196,84176481,154993330,260397390,414590093,717497121
757437,1269505,1312559,1698574,1692224,3429032,3462685,5825836,11353647,25245705,45803623,82896556,146708744,267747327,429675114,700996816
712340,1005482,1128298,738073,1051424,1541090,2625484,6884361,13022270,25162933,45131520,84212654,148574067,271549814,399535654,736912881
766809,965714,1135121,708609,1006251,1551780,2455614,5121804,12832696,24899869,45001771,82930166,141981118,247962839,435044665,706529465
747374,943083,1227665,719583,1332735,1478690,2323151,6227280,12180564,25228451,44921521,84376882,150869555,272784959,404687578,655287306
719956,947946,1135290,738266,991618,1387712,2194773,4521396,13197465,25011623,45079887,82540450,151559806,260253023,434708510,711286397
701068,771611,1155353,716242,946707,1414868,2098155,5460145,13128523,25193484,44891863,83595523,149531146,267270856,378089066,680154353
645364,789835,1115446,667506,948880,1288042,2044064,4208038,10716760,25145075,45279400,82564576,157168275,256604312,438971603,690484608
668305,794293,1124164,684068,953525,1253252,2067089,5476307,11697479,25065989,44752634,84271742,149090315,256864462,388509288,701801719
661085,785330,1100280,685329,906791,1233707,2225036,4028004,12180307,25057896,45279284,82843008,150830079,253153866,407221568,731168784
701455,768402,1105135,706710,890512,1194687,2086298,5237429,13133367,26132430,44638710,84321839,151054389,250587231,418719641,691726016
672153,784500,1123860,665831,893818,1201167,1745344,3853094,9845603,25047035,45322241,83066817,148802940,261570848,388447249,709376413
656996,776687,1112594,663841,845410,1127433,1693919,5861586,8224484,25487937,44763099,84195277,151732229,254231751,442069987,719202362
614083,770294,1105000,651051,867342,1145291,1944203,3835853,10157918,25256112,45146785,82669031,151605069,268210235,441218918,699041831
610986,781064,1100063,655845,873965,1138607,1805136,5171820,12372109,25070065,44797512,84426288,149317462,249190941,441420383,651810361
623473,772492,1091674,651151,828941,1166286,1695459,3838136,14766919,25027462,44751844,83309158,152307160,249103501,397543364,636121760
632548,766753,1121748,654752,809894,1039377,1666094,8777180,11527915,25080485,45293422,83635389,153293669,276745123,444440884,716824702
639272,775081,1095159,622474,827305,1024574,1813443,6436567,9551027,24980690,45414692,84091332,149201162,267387514,387670532,683663869
625976,783274,1115269,631809,806962,4174295,1681134,7228267,10985302,25004329,44761997,83610358,145756845,268631177,374972587,759762347
619727,765306,1101881,632849,804767,1100098,1646397,5580663,12319875,25012531,44919898,82159814,147043252,268317833,433953839,700297748
585478,772158,1098006,633476,798083,984918,1699333,6338683,12468880,25020469,45123134,83761743,148939150,275544347,403920238,706232385
603188,760544,1101310,632526,794039,932645,1662408,4911119,13023664,24916184,44986472,81848120,149839996,263033096,363678056,692607350
600243,806136,1111762,601112,786215,942415,1649147,5957376,10718653,24903649,44994145,83360977,146041026,272423789,441493534,743103181
607107,763363,1108793,607534,762365,902680,1679952,4437569,11373523,26102927,44986510,82064742,153467748,273093425,456976432,690122498
603203,767562,1106405,597339,758872,940816,1666566,5460160,12438646,25330411,44676629,83571956,152714345,270551529,446496781,681934741
590605,747110,1123323,605071,744265,925682,1693238,4214950,13750974,25047471,45116426,82531843,140303146,272880184,430985081,764489436
601991,764520,1101335,605532,725321,906280,1658234,5467091,13023610,25187191,44802546,83624276,150395355,258788612,432721694,723291278
638089,750399,1101841,584800,757103,916505,1672095,4193933,11592039,25288877,45202118,82476594,158178492,248942633,446451539,771555803
600671,754602,1088357,598203,768355,908193,1678259,5534546,14770047,25252668,45093245,83727585,148158799,264263031,444152647,694788077
569315,751765,1108881,601137,760120,906672,1717856,4026441,14110681,25115611,45452222,82336155,147921902,268597012,455099872,773443018
586562,761764,1096273,579791,735095,898850,1685415,5491477,14837528,25308579,45073023,83584729,145197041,276975941,445677765,720191360
564275,723300,1099688,595305,744446,903027,1670711,3889488,14848373,25042031,45163637,82530515,147421118,273226486,425550870,766082369
566575,732825,1103764,587736,722689,894572,1688900,5449732,10817940,25324276,45131548,83548611,150242667,266015213,391220246,747720979
555898,703938,1093746,582603,667633,910134,1696594,3973865,14865991,25031544,45034927,81704669,150086295,259929939,401848903,678380839
580872,714299,1104684,581524,714824,912819,1722635,5567209,11545466,25126169,45080527,82527092,148651822,269330214,456370774,757797011
563760,730763,1104050,586349,704214,898053,1699293,4301589,12925763,25160417,45061393,82282180,150276740,254602827,436955393,715856518
575838,731260,1104239,591422,707372,899405,1694215,5528521,12512971,25210585,45198118,83762590,150277803,265921784,411840642,727348849
547405,721012,1061321,565403,713001,911835,1728043,4002716,13161863,25114158,45027181,82660701,150830256,261479518,442693676,666127239
563072,731136,1069929,561051,680897,1067985,1739273,5389216,13347601,25294621,44927436,83533866,144473935,270538027,433613702,672094615
565498,723293,1098504,560222,727046,1220642,1728045,3914709,14729638,25061433,45061064,82608142,133893126,268135075,458815359,740459054
538584,704356,1118292,571820,691935,1138753,1718888,5206653,12159676,25166903,45204794,83855177,150493517,256295016,416722250,673528096
538631,705948,1096860,565503,672668,1117686,1695904,4094599,13375860,24945489,46918538,82249664,142273328,264921395,448425512,672168862
520898,686382,1109613,562707,671809,1084776,1707586,5402490,13184492,26245147,45676742,84122126,151968921,269506990,456451078,713558929
516119,691849,1091699,542335,677897,1071868,1712499,3970407,11446054,25225919,52252843,82231840,146237304,275460412,420125521,691876355
542337,692340,1094419,555815,667979,1016327,1694753,5375403,16311861,25105243,45420025,83582411,142010497,271380376,446379608,684402334
544460,700536,1118138,555939,655406,1030682,1725027,3919566,13167782,25236598,45900510,82363391,150390265,258000855,428301335,706552477
518060,702854,1075062,558597,658032,1056774,1712983,5363828,13101044,25102228,45266091,83762330,150770504,273290833,426770898,718931569
559070,697396,1080119,568503,676621,1021568,1728562,3885915,13963130,25263612,45294942,82172495,150485546,276937050,446307339,685296838
516787,700940,1093519,554267,661942,1061779,1672232,5535476,12321324,25096138,45543105,83653289,152104617,263988549,443147295,713124854
527924,658545,1061143,540907,666374,1019468,1710529,3995149,13324449,25135051,45248802,82464815,151687838,255722184,458884482,739381239
554982,674912,1093713,533931,666577,998725,1673895,8433961,12881159,25099710,45166142,83667142,158360271,259442555,448806580,679303176
530033,679949,1082541,550709,677626,1044312,1714238,6516595,10811242,25237491,45835909,82323330,142662834,263849362,443240005,696808454
533433,662497,1089516,561531,655579,1018789,1733802,7302591,14315997,25242557,45486389,83809377,150105895,266686656,418878560,708459837
546137,689923,1077283,575603,669457,1018191,1683248,5588047,13189356,25284485,45299476,82478908,151267013,278283791,456885318,603307695
506191,673486,1084827,589938,664273,1015279,1707603,6434081,13051427,25054858,45474444,84054289,146536278,262353752,456360340,734966865
487257,661500,1093898,534012,651402,1046294,1668063,4850067,11947534,26098970,45248431,81969822,144652872,272418832,456215252,644213285
486962,680635,1085089,528322,666880,1012781,1683378,5978022,12253611,25092940,45267130,83868330,142475346,256664637,452612425,764800113
517071,677656,1064940,535062,665783,1051154,1660078,4402481,12764643,25072526,45364717,82361960,139709786,262665256,416405913,642465062
511121,657134,1451486,539837,674935,1037916,1694963,5399321,13121892,25159352,45433226,83837547,151490345,254993821,375964135,738488891
506113,665512,1038991,541801,650413,1023077,1645748,4053123,13009857,25264228,45215046,82318606,147477353,273751962,448556701,636001354
