FP32 inductor 16,FP32 inductor 32,FP32 inductor 64,FP32 inductor 128,FP32 inductor 256,FP32 inductor 512,FP32 inductor 1024,FP32 inductor 2048,FP32 inductor 4096,FP32 inductor 8192,FP32 inductor 16384,FP32 inductor 32768,FP32 inductor 65536,FP32 inductor 131072,FP32 inductor 262144
6841779868,7112108070,7259605324,6957276332,6655140597,6624382260,6618398665,7092731692,6962462648,6536489641,6821717432,7151878653,7344128915,7275773417,7430569276
1081346,1224321,1519006,1669385,2525637,3821421,4831766,8469067,14395481,25720762,45803330,166393683,150386060,277226735,1010939091
978172,1018493,1536724,1606984,1548984,1739428,2841526,6318386,11921962,25814662,45245404,143659242,154951929,275561185,912718991
833155,1018148,1041613,1056605,1452969,1560081,2614194,7237801,11880089,25438723,45118548,144689940,152230037,267041423,673886218
873593,976509,1023466,971552,1350853,1451039,2508203,5517441,13210159,26252928,45479914,143908020,149959765,266376591,763067010
825241,968004,1033092,963070,1311854,1369265,2234972,6537930,13187342,25509269,45329642,144172684,151848274,262562539,626465425
770835,905044,1017952,962754,1234218,1389179,2161519,7265697,13185337,25563624,45576764,142905931,156650531,269951943,759136193
796719,845758,1002196,1030838,1522141,1326786,2080399,7603808,13147294,26115347,45208901,143867928,154285071,269630535,614151992
689237,840997,1007001,895897,1277133,1307091,2023533,6322025,10675905,25553156,45478098,152718249,148702535,275428117,727383391
682586,861912,988346,945153,1277606,1265359,1939119,6842988,14252969,25073708,45639869,144847344,151013831,275180013,651756570
704354,850175,965215,929007,1227721,1397083,1908541,5120035,11852403,26351442,45344039,144870886,148739152,267076939,812128802
703399,836173,984521,896667,1174481,1225454,2362116,6065609,14374467,25324306,46939238,140864304,154557224,277481684,652042451
683927,840019,977580,888351,1179786,1789216,1984780,4879298,11894878,25608387,45685081,144803003,150870854,260808700,820060865
698095,837996,964166,901602,1164071,1657582,1939096,5889976,14007337,25410307,45354732,141158971,149026396,262949154,755091131
688893,829597,939414,902114,1086600,1693787,1875964,5161662,12986627,25721734,43349210,145578863,150774331,266730566,958774755
686546,815958,950954,917213,1173732,1501760,1849584,6508075,12831042,25648703,45736295,141061192,149154373,267388499,651838321
683649,831423,944048,840043,1138863,1571509,1871025,5269806,13315172,25682492,44801334,130071361,148353980,269007749,727498141
693109,814004,946950,881944,1161677,1750490,1756015,6224332,13100198,25188445,45803647,140774356,154122564,276695227,667074275
656642,806542,949696,870855,1118266,1421051,1913235,4923451,12789560,25833448,45601311,142995136,149178799,256921240,633456751
664210,822842,933842,862772,1091057,1326966,1805246,8530499,12169259,24248188,48139660,144340840,152675575,270088887,502034960
677010,796972,913613,828881,1085734,1538603,1656225,6750601,12432517,26446221,46439604,144921666,152503317,263878035,456042291
676924,834079,907594,830206,1078102,1462339,1770123,7548332,11345965,25436225,48915253,138741010,148948572,255803775,473573479
676374,832407,900232,838651,1020935,1462147,2072513,6019223,12324146,25601475,46683995,141821458,152620967,273524578,450568361
674077,802538,912642,844850,1093551,1437612,1833707,6965957,12500988,25353981,49382225,143444373,149226752,270397034,442538524
690585,799493,913468,815933,1055535,1242201,1780110,5456731,11301572,25167055,44975767,163946939,155421505,259948521,465633477
667253,798789,902241,831397,1092587,1248054,1924424,6541537,12591437,25294469,48214383,155584084,150956398,269356876,440389748
687154,791863,902646,811811,1060423,1214047,1739039,5142462,11299216,25802150,39032608,163588455,147357335,292012518,457276239
657532,798685,888262,825700,1210113,1121963,1689599,6308999,12596842,25200288,45429843,161219528,148537529,282370047,466098798
675589,807291,889152,807248,1148710,1105159,1764340,4980287,11233029,24316021,45020268,161758237,147425020,279248240,484531620
661379,790475,886568,806337,1112272,1197790,1629319,6102510,12515841,26091238,43119665,165047675,154415835,269627586,472348206
687102,818876,889373,811227,920817,1099944,1945540,4774708,12148497,25769462,43790256,162816891,144310985,280757274,503844712
654380,772393,887388,806383,988694,1098125,3259601,6023390,13499473,25172705,40171623,160648524,155293351,257704610,481967609
676385,773305,883422,781875,967822,1085508,2095481,5206278,13245654,25888148,34209981,155381537,143762287,276515457,466210744
658652,776156,862130,816726,1018370,1072872,1678545,6473488,13045029,24361986,45375787,161700049,134360909,278515196,476853431
681511,781740,846004,800835,977471,1052653,1864807,5197283,10936043,26554327,34444595,156607731,149335942,277536838,468950273
680124,755931,862732,781149,1115086,1031886,1718247,6268544,12461926,25283626,42411296,165182305,151004795,275465712,470571272
676061,778489,858603,772429,1065380,1053322,1775549,5086306,11376041,25681701,45356195,161866919,148426922,269771637,500197735
678188,797612,860947,787452,974860,1025920,1706822,6131432,13496891,25282209,42765409,166494235,147309843,282393307,482631249
638897,782529,857035,773976,943905,1012960,1766765,4928870,14340706,24102345,42930860,163275572,144100683,271115103,482647055
653555,799321,850411,802689,984662,1025781,1699193,6071226,11257293,26024783,46452956,163140096,149273014,270781916,461993721
633199,764390,848900,756946,948296,1021418,1806938,4844395,12660541,25533017,34103475,154731686,148430030,281078567,453957423
634531,736785,842975,786192,992637,1005151,1772955,6024967,11443651,25273978,34685992,165622881,145772225,269701512,467220334
597768,739225,845837,773278,937799,1029122,1750510,5517936,12577468,25614028,36632991,162208914,144821392,270706736,477187048
610255,758952,853997,758977,926431,990574,1668014,5979129,11385580,25252709,39016900,165605540,149640047,270947597,469215737
564984,762687,846201,790534,920873,1023250,1714151,5125691,12956242,25808652,44721907,156693131,147419734,277902981,483351935
632345,755922,834075,777089,917832,987606,1657934,6406289,11367481,25156785,34527537,165653377,148772542,270152123,488107379
657001,738005,821078,778982,881988,1004821,1762603,5304920,12959401,25688602,34383891,163931280,163820673,262142205,480319314
663465,748838,842930,767564,950405,990840,1663488,6447006,11757398,25009423,34604589,165530263,172149573,273920929,478006966
558088,731726,830463,739501,921156,1017770,1705200,5267420,13007791,25596381,45170830,158624510,151003440,275016924,464765824
556798,738761,822299,785493,930213,1015432,1663606,6530124,12842448,25132744,45325827,159226355,158787538,273945223,454993470
544747,734094,818853,755134,905317,1009653,1743453,5320092,12676813,25750652,41846858,176456400,148503826,265839092,472051540
616417,724752,827862,755790,896286,1000536,1639342,6603358,12895970,25316949,45263759,175865881,145621827,271475101,475912996
