SHIR FPGA 16,SHIR FPGA 32,SHIR FPGA 64,SHIR FPGA 128,SHIR FPGA 256,SHIR FPGA 512,SHIR FPGA 1024,SHIR FPGA 2048,SHIR FPGA 4096,SHIR FPGA 8192,SHIR FPGA 16384,SHIR FPGA 32768,SHIR FPGA 65536,SHIR FPGA 131072,SHIR FPGA 262144
3709384458,3863664962,4066516265,3859218109,3879121766,3712861060,3865542982,3863023954,3391493545,3418974350,3890075776,4231671131,3841088763,3705849465,5170013705
737186,1097225,831520,1083203,1382259,2067448,3080399,4982141,9177052,17307001,36012536,71163870,138138564,326136827,647533427
536189,654167,669198,932380,1229850,1862471,2820452,5990898,10321454,18782246,33315842,70345196,137869713,325914048,646869121
517909,647477,650735,889755,1180428,1679518,2668564,4664071,8815518,17034557,33468534,70003525,137684450,325725152,645488014
510574,636524,658881,871107,1092549,1718391,2608196,4447777,13661668,17109357,33736135,70451281,137739297,325485771,645939088
507094,584316,608691,831089,1151773,1571536,2549161,4354503,16081897,16978653,33361597,70028796,137991611,325763846,645611049
527263,598982,600600,832535,1104082,1552771,2501245,4726144,8621351,17910720,33391265,70541682,138013050,325598592,645522062
527806,582103,604155,799913,1062394,1565985,2500777,4382408,8409330,16977396,33353134,69773083,137966016,325332677,647203540
497819,525097,624334,771853,1043279,1499906,2442221,4408231,8526075,17130470,33258395,70500641,137793139,325596217,646995404
509827,560384,600600,784367,1040697,1467370,2408356,4307611,8360861,17066269,33410575,70030234,137859187,325754757,647536524
504514,539260,600975,782652,1004845,1484065,2409827,4319706,8528325,17096113,33305706,69810743,137649074,325706382,646673967
473907,540001,599494,737840,1002759,1512114,2435991,4675874,9697076,17056377,33404440,69861366,137961342,325999025,647273194
460365,542368,571696,726146,980958,1448998,2380527,4338997,8744585,17089894,33417286,70094558,138298374,325553380,647051594
465265,530035,580696,724917,983360,1501905,2386210,4284829,8744903,17043327,33352842,70389425,137894459,325577581,646095455
480526,545299,567307,748755,985504,1498064,2401633,4342544,8500856,17120184,33247524,70698672,137781396,325453176,647211103
481977,543063,546356,712317,951296,1427421,2347148,4322101,8559449,17090070,33396528,69616647,137614586,325433472,646981174
464407,495074,576545,708379,1003233,1428848,2385095,4628012,8485956,17239715,33516920,69413400,138208224,325477781,646148950
459695,495527,560469,710613,974214,1493030,2365171,4521530,8620033,17175811,36034767,71994862,137836144,325325137,646620664
458282,543792,541064,705497,939304,1342394,2367734,4484026,9974502,17211699,33274624,71993011,137938338,325467183,646624501
424560,511938,543788,676731,955025,1306855,2363884,4375259,8846275,19065302,33338093,72327585,138287709,326152988,646249804
424033,506143,569274,695422,1098049,1319127,3381278,4392356,8814509,16937797,33416197,71949917,137722990,325705514,645728563
424735,530774,558033,693231,1007638,1294170,2372480,4738056,8521841,17157597,33420503,72107981,137799917,325735365,646903375
422102,511339,523812,660273,1046824,1269494,2351722,4309600,8743522,19049233,33361652,72051801,137961495,327512530,646215196
427618,479389,533541,653250,1043986,1280842,2365941,4385919,9992793,17085015,33379443,72456429,138029946,326999229,646117993
441397,482456,524473,683289,1010977,1282055,2377939,4340034,8839987,17133609,33452335,72018883,138148825,326437700,647334301
439177,494822,532680,660562,958976,1271976,2331224,4349300,8551607,16936228,33378350,72144958,137631842,327075371,646720164
441419,496420,541604,653081,957812,1267752,2326596,4692449,8411466,16960516,33378797,72204515,137571541,328092176,645468579
438875,480731,518982,660424,910044,1287318,2348363,4372189,8642284,17003316,33428440,71988299,138056309,327021092,646671860
432246,476646,538899,657722,908801,1270515,2350375,4377195,8431413,17061697,33428339,72337878,137889509,326511807,653000548
417659,478051,502768,644550,923809,1266142,2328374,4282578,8811526,17029246,33423796,74045531,137641392,327113677,647676723
421487,479139,514098,652752,889474,1295645,2330511,4455342,9992659,17041381,33358173,72086002,138112124,331267062,645794792
410697,504442,497924,638683,893105,1301450,2346772,4733832,8812374,17106493,33133363,72284548,137678520,327452456,648133666
400865,461841,513029,643937,872938,1315133,2352872,4451862,8921532,16983800,33430015,70026236,137625397,327083450,648332624
431179,456735,504018,631624,874154,1287480,2339039,4452602,8656345,16989810,33390067,69824116,138140362,326751583,647607204
437702,460488,512985,638910,885690,1260801,2371438,4566192,8784136,17059432,33978856,69660057,138191297,325662882,648166854
415872,456573,498899,616804,855608,1275293,2331705,4510226,9980421,16918265,33337900,69381950,138211410,329863708,673298620
403028,478176,494638,643162,862275,1252328,2318958,4918679,8826701,17080831,33412752,69589772,137699317,326714086,647193109
