SHIR FPGA 4096,SHIR FPGA 8192,SHIR FPGA 16384,SHIR FPGA 32768
4493232122,4162271489,4642448085,3786823757
9395672,18174816,34233852,64859877
8208467,16128956,34260655,63698645
8111182,16164431,34013391,63579952
8178649,16112479,33921207,63361179
8246810,16094127,34087314,63478729
8142981,16065638,34126865,63565361
8190020,16083879,34183824,63652532
8206779,16135729,34195442,65897402
8172130,16052430,34068314,63558578
8186963,16085141,33928691,65637194
8219423,16003000,34531193,63462302
35342567,15895078,33811831,70700025
12325429,16072501,34231230,63600927
8301244,16033735,34196746,68986203
8247276,24812410,34013882,63830036
11559248,15919668,34080111,63716379
8299972,15886617,34068869,63529510
8301136,15860889,33761848,63736625
8176011,15845654,33950047,63377640
8145701,15803735,34112140,63704538
8026690,16051890,33966271,63927289
7936850,15965413,34203898,63406572
7900546,15812670,34110111,63739733
8077895,15852477,34113584,65379992
8128292,15935596,34078213,66615840
8009799,15790179,33960354,64638246
7987001,15896576,33908992,64979030
7985467,15850567,33909534,63444857
8047101,15872382,33993575,63857487
8222707,15911894,33952445,66532579
8124668,27826855,34112170,63763629
8532827,16043875,33922186,65084324
8982647,15869873,33829358,64653828
7996269,16007231,34097107,74705376
8058392,15854666,34112014,65339917
8218418,15977105,33958149,64894417
8112026,15937090,33922244,63803827
8034330,15991092,33993469,64196988
7996801,16040738,33657961,63683947
8003151,20950049,34110338,63952099
7957534,16036159,33964897,63127535
8211500,18870464,34191312,64545385
8145379,16013458,34079510,63751726
8065933,16068925,34079152,63523509
7944150,16028007,33958899,70730286
8028399,15987447,34072608,63682044
8151842,15911845,34031876,63702140
9275916,16022764,58126244,63823670
8252224,15948601,34074875,72310797
8076220,15990800,34060390,64847566
8156803,16248063,34124001,64095377
8079438,15889104,34196863,64979716
9255057,15926331,34124318,65606477
8059749,15933034,34426087,64092799
8347371,15958673,34287062,63234799
11390834,15849315,34221991,63411846
8062333,15897003,34260310,64758964
9748586,15937188,34480773,65172662
8053415,15980129,34231723,63858315
8223171,15959661,34649535,65481808
8270374,16001586,37861928,63101493
8166980,15952542,34345943,63557263
8072182,15997383,34159984,63480938
8130429,15854198,34034233,63575379
26418976,15996491,51020392,63711142
10256698,15993674,33831609,63612022
8232374,15994682,34262021,63024341
8213017,16014797,34013664,63631174
12104958,16065782,34219067,63697601
8315704,15923180,43715584,64733996
9962925,15985257,34650477,64011070
8182827,15934348,34566583,65311376
8284744,15990020,34368179,64073144
8268330,15924510,34761922,66676487
8146905,15833198,34415695,63617381
8085052,15833491,34276701,63289112
8078027,15983846,34071615,63232941
8127036,15958383,34422599,63724296
8181537,15919996,34251051,63141961
8265330,15972152,34085603,63308002
8220588,16042661,34310477,63326055
8155212,16008768,34565074,63527756
8073345,15887351,34136677,64676581
8643891,15909434,34352266,65650399
8147142,15831040,34456239,64411436
8218602,15934509,34384465,65196214
8220179,15845320,34523227,65426882
8379794,15941558,34267841,64874269
