x86 inductor 16,x86 inductor 32,x86 inductor 64,x86 inductor 128,x86 inductor 256,x86 inductor 512,x86 inductor 1024,x86 inductor 2048,x86 inductor 4096,x86 inductor 8192,x86 inductor 16384,x86 inductor 32768,x86 inductor 65536,x86 inductor 131072,x86 inductor 262144
6844397475,6851590140,7111785500,6788915464,7107711766,7004971811,6818390708,6941950351,6858227373,6692087701,6815086753,4526901041,7144531048,6714880389,7481278491
1045479,1971473,2252260,1370446,3616654,3375308,4929416,7268236,15460757,29248416,53090828,116039959,176940619,302319981,407710472
851397,1767122,1750375,1314322,2353002,3384268,3812753,5848280,14061465,29602203,52735683,109315621,168103123,286862237,398340302
803687,1737940,1962886,1105702,1414023,1899546,3271240,5482945,14048808,27798610,53056891,85206797,178617582,277482684,397775009
797434,1608138,1476589,978348,1398684,1812284,2955307,4991388,14178337,27570267,52335068,118434343,161613526,284525942,418364209
813160,1635458,1429283,974740,1373633,1725626,2693312,4511484,13988446,27256254,52896035,114944482,174873453,296901466,384015787
794633,1629100,1447033,984251,1320360,1734790,2563868,5283482,14032007,27790418,52455899,117042727,160608528,269411879,463487746
796812,1562241,1427338,977921,1335682,1633213,2506175,3940087,14245786,27117516,53100479,115074883,174455043,294130711,413364908
688921,1516484,1416208,918308,1263497,1631166,2387116,4571257,14880349,27700851,52400105,120998019,171419430,293249238,461620340
589947,1504961,1399371,942035,1277791,1582977,2312812,4191914,14174831,27287670,52894363,119374749,175696816,282884304,445292797
593760,1528667,1433835,928823,1274785,1522691,2463078,4219222,16412986,27566089,52509127,119811755,136485283,280800992,413242327
595717,1512013,1429125,943019,1223754,1530922,2140607,5125825,14155261,27179296,53138614,117228192,168138438,285024669,519357584
594715,1472011,1414502,896605,1224146,1490810,2085599,3738417,14226062,27683723,52903958,119840434,165048072,274136442,470975460
616491,1450205,1412005,887698,1196766,1445745,2058973,4506664,15020011,27238351,53241745,116900192,163420615,268928007,491680829
602669,1432423,1398868,899309,1179009,1417375,1996957,6295615,14120584,26860921,52910928,119163730,174019565,296846278,412760228
611328,1448898,1405245,886805,1191708,1372811,1938059,7712593,16418478,29323056,53245231,112478868,171068369,285476852,415262904
609729,1452832,1376321,910235,1142774,1363136,2036444,6736250,12320951,28129134,53167722,119032895,153179186,278473571,411081522
616441,1356821,1403568,872567,1157387,1322818,1941868,5246947,10233826,27317836,53187105,117088962,168927341,292525652,490412772
607732,1352145,1332074,863608,1154787,1306536,1977287,5775725,9537110,27661465,52733442,111813797,167246597,294832435,410131195
628637,1372920,1350088,866865,1146439,1276424,1955635,4761938,8195261,27251840,53512662,116952593,170161624,298037879,484424364
587713,1345495,1355959,871238,1127103,1263919,2096552,5699792,7175485,27504231,52726267,119542947,154952702,295532124,450408228
589940,1413228,1353560,840619,1120841,1264073,1991806,5640448,7781078,27102435,52863521,116951930,167682682,283030370,505500741
588578,1288292,1335505,819806,1109652,1293819,1950997,4941347,7198899,27537777,52800855,119150716,163835588,299460035,486431466
597332,1296244,1300031,849893,1102188,1188245,1938230,6731353,7556052,27224826,53041812,117233037,183896668,299813417,511420882
587413,1274492,1315124,834864,1098037,1175754,2333537,3843035,8789834,27684882,52624600,116064734,168691075,291050967,405789867
590706,1275376,1321635,837769,1215526,1120838,2042302,3829542,6286099,27269179,53089651,85535108,177193767,283697797,442146357
572857,1277776,1306430,813013,1178199,1127321,1916212,4356459,12002432,27607952,52530717,98303944,171810595,280942066,421484543
576580,1235424,1310032,813499,1141246,1127991,1934059,3677718,9572519,27062750,52801377,85210606,169536080,287931514,395809419
571924,1241389,1315909,806831,1048749,1118440,1937987,4652747,8765285,27639810,52750212,112953204,158096799,276885294,502295395
575984,1222192,1267226,807545,1066021,1136369,1933990,4470808,8004633,26858653,52835263,117647727,169393540,297005025,509508857
574651,1228913,1274902,810609,1045624,1135249,1935127,3618251,8054505,30283596,52905294,113564823,172453468,296418277,449087250
606195,1227976,1272471,788786,1013199,1134715,1959577,4362784,8407990,27722027,53018245,115624609,166449635,285706140,411337054
563476,1145313,1283923,782371,992942,1140894,2259611,3570478,6843655,27601227,53068526,121610894,168183848,282602247,508847437
575139,1141068,1276261,786264,971166,1135126,2356224,3968957,7213389,27077319,52950802,119297508,154228322,303417676,423875332
568366,1153431,1257634,795968,995650,1211088,2016549,4827302,10762495,26909926,53265434,121229848,164706880,281560278,440876957
566831,1085348,1263349,795964,984933,1250047,1938417,3819138,11623532,29514222,53312032,119282651,166920640,294162525,572384679
543516,1158635,1260789,793156,959127,1132989,1923213,4623189,13989824,28114514,52809500,121778906,154090744,297978718,563004917
555260,1137405,1265477,789366,972829,1119719,1935407,4509891,13972316,27187330,53512443,119115104,157851114,285918883,606786963
643403,1160163,1255400,786053,964631,1129891,1937719,3554445,12181030,27487377,52795382,121741098,166679068,277171722,487663164
579052,2087458,1265403,769869,988138,1130755,1942375,4415064,10266569,27134076,53348943,118688021,168397842,293588093,509894151
557899,1097756,1260471,796146,999967,1223467,1942625,3565951,9207264,27500432,52916481,118855621,169972625,296932917,555811682
551161,1073783,1270573,757274,1009282,1279243,1938162,3652737,9373872,27311065,53245144,119108209,169377609,294656851,627811935
548489,1085866,1281815,767702,945294,1174774,1923870,4446832,8829962,27526361,52884192,122025283,160258355,271588630,629568626
565152,1113334,1286330,727035,975533,1136108,1951841,3577427,8330241,26965778,53213514,119503953,160507394,322111276,563341442
552250,1042290,1255985,769458,937786,1128711,1923609,4635033,7449409,30112249,52846090,120838506,167906301,268369267,671729689
548898,1058916,1268568,743969,943537,1137779,1923673,4477750,7664744,27680873,52922591,119565368,167549869,275784423,650749667
545407,1032821,1278295,707084,941789,1435439,1935905,3569592,7085480,27552213,53054180,121438914,158925968,297231037,591915080
545946,1039030,1258754,682647,932125,1212656,1956010,4437438,6309694,27093575,52320267,120188548,159050346,270362544,680456175
