x86 inductor 4096 no dequant,x86 inductor 8192 no dequant,x86 inductor 16384 no dequant,x86 inductor 32768 no dequant,x86 inductor 65536 no dequant,x86 inductor 131072 no dequant,x86 inductor 262144 no dequant
6863402906,6719087353,7226018132,7256826904,6805178360,6713898288,6893942288
16144495,29131290,51526647,89079624,160558575,290234466,431003926
16340664,29328629,49679784,88637591,161039991,276221496,412254546
16361799,27178884,49498852,90570021,166594578,270343672,449409372
16314178,27438949,49896612,89259652,158660320,273461499,375092930
16232639,27268373,49718697,88840781,157103426,284026229,395193297
16075665,27506324,49971156,88647090,151105661,280088048,452856702
16004521,27836929,38077394,89092431,163956300,291358299,513107313
16028036,27401545,48732823,89827099,164843847,290063196,410146387
16028319,27244932,49491468,89408505,158330906,287509078,473248962
16009258,27487415,49526549,88810772,170712881,279886560,443482270
16187638,27277554,50300525,88740789,163401013,263715257,413986720
15828231,27266777,49886868,88665455,158593139,261751431,444828887
15753599,27622878,56709647,89286411,159074297,296191889,436481289
15825711,27418037,49707616,89416245,167576035,270191395,471585782
15792752,27418372,49804243,88485913,162094767,286191712,374436048
15805401,27404121,53983987,94670415,151953824,273754964,467192643
15825274,27501018,49651099,88942104,167452616,295193044,376564980
15812570,27887040,49602700,88784445,158797348,290674257,483903007
15837880,27244934,50263631,88939220,164346074,286741483,383064461
15852184,27476527,29915213,88732765,150923916,233240508,498031595
15887641,27452764,49644961,88892911,168948947,287868581,422160402
15843021,28486746,49862181,89199747,168395309,277975417,405297368
15876391,27291428,49693367,90999060,161574223,275789662,418882616
15880389,27569145,52138022,88809372,150107380,273379527,387370083
15851480,27589916,50816464,89196735,158249108,272679067,455324039
15878604,28635946,51372247,89090604,160792475,275018791,428009662
15967908,27334337,50983031,89002560,154842121,294168140,378586299
15898889,27387766,49991393,95746780,164200262,268494809,415994619
15839038,27387792,49954531,89884636,161356768,287509445,495027739
15940907,27501769,56950917,89086445,160900963,288401983,458028391
15907012,27469958,50200634,88900215,166295129,280290192,486508303
15834440,27337733,52651273,89241511,153399882,294735359,433374266
15934764,27443099,49692500,90816676,160929787,285368507,499137611
15854063,27536391,50145581,88651368,160035749,289980891,400244389
15812926,29638935,49703540,88170252,168434481,273766784,541686206
15800715,27470769,49500879,81441708,166116382,296043498,523174300
15902826,27497211,49791092,89394422,165061467,303296787,446747751
15897491,27496548,49437240,91024299,158327602,292592656,511739226
15884970,27403673,50204976,90929009,163931122,297654845,512191622
15929114,27455233,48100274,88467428,150623282,266316609,578534378
15915376,27389552,51136504,88582589,160761906,289486555,571854073
15884791,27543721,49534701,89093689,149605754,287748377,518013901
15850873,27541725,49459904,88862311,165548910,278744400,579447876
15756096,27908014,49553322,90710377,155180278,266390898,613883433
15815320,27810015,49689383,88617072,154955956,250780688,586391705
16102525,27485707,49306349,89386259,161486443,264323183,688828713
15842477,27364123,50113037,88533070,153977606,259004822,596293669
15817627,27297002,50290086,88957858,166893193,266992095,674484333
15444576,27189165,50112763,89017818,160610277,263502722,574651563
15550466,28357698,49549933,88625614,160468947,260093456,720396587
15809022,29701650,49589551,88899141,163248518,286307978,622627322
15928441,27544991,49553955,88351522,162763460,274014711,626431362
15866938,27404895,49687369,88845453,163251806,256912713,656758985
15821141,27433646,49603852,88861242,158072438,269314814,652632859
15820145,27413665,51839901,89315542,158511014,269440902,616450456
15902831,27515082,49907309,88568046,163159899,274560224,623314415
15873781,27449328,49585357,88554214,160761033,280760667,638682414
15822348,27485975,49587871,88585726,164656816,266779228,663279917
15883464,27457278,49897972,88729845,160878097,273458992,608412547
15902181,28991647,49496541,88746870,158661308,271498644,665443011
15846822,27372072,49536812,88508185,158404498,287407918,638935128
