FP32 inductor 16,FP32 inductor 32,FP32 inductor 64,FP32 inductor 128,FP32 inductor 256,FP32 inductor 512,FP32 inductor 1024,FP32 inductor 2048,FP32 inductor 4096,FP32 inductor 8192,FP32 inductor 16384,FP32 inductor 32768,FP32 inductor 65536,FP32 inductor 131072,FP32 inductor 262144,FP32 inductor 524288
6331300982,6386000224,6233352695,6394192050,6339909083,6302620912,6207986534,6338729763,6290483455,6317473152,6056523581,6306821037,6495340533,6353523000,6409233835,6731550973
1200509,1643013,2885115,1312230,1296926,2374103,5553342,5891888,7437369,12430501,22641848,38766561,71771028,128416708,239047170,422924680
721363,666526,1110992,906569,992138,1607340,2155093,3222525,6058725,12355831,22798549,38862764,73275459,130453805,229960376,409819972
717421,618016,796872,577271,696039,953542,1418896,3166549,8689348,12332357,22519989,38759336,72397341,129723940,234560050,420191971
708678,612755,667972,2439352,659522,1227413,3007363,5566349,5876060,12263741,21558724,38679777,71104030,131552852,238609249,427029034
652134,606098,670688,597469,669640,858374,2040852,3098106,5893186,12310204,21810395,38680957,73285436,129422884,227452925,418791448
673477,613761,666057,570524,645397,860728,1303589,5600190,8508453,12249099,21915772,38856581,72159802,128754626,234700793,436992974
688405,619182,661155,562920,622774,816682,2881357,2926646,5951045,12323894,21777659,38890392,72074017,125902088,239584873,417386450
646304,510031,665852,604412,631809,830390,1965714,2879658,7485872,12308048,21427280,38866251,71926760,131061452,221562956,423169155
646222,516462,674560,600896,651453,781174,1270007,5315462,6039178,12289154,22026842,38633170,71805307,132214812,235074807,428907510
636509,519338,633713,562002,635595,735594,2802317,2835841,5713295,12417453,21744077,38832526,71622414,132179939,236020479,424692794
625762,530044,644080,571262,642678,734810,1979645,5269223,7444227,12258441,21664316,38750361,72683957,131981611,240658220,430193787
652159,527312,636928,556270,631286,746212,1247879,2713700,6353911,12272960,21288170,38946851,72333748,131182949,235139148,429119578
615675,544820,649211,541878,622854,767014,2788238,2670387,7589536,12272021,21734920,38768260,72067149,130707718,219010400,430565947
598774,533246,641909,559232,605524,725736,1939530,5070129,6443428,12261249,21430315,38886516,72099271,133323950,234118615,428047253
604157,529266,632409,593183,602964,713078,1218269,2763780,7656044,12290282,21885214,38711092,71728031,131972439,233564251,405173922
627648,540086,619369,570091,587697,750034,2773938,5148839,6429248,12357876,21709876,38925541,72238966,127844414,221769332,442690118
591062,511425,625964,538869,585348,738330,1908841,2706336,7652124,12318220,21802371,38719007,72000466,129470556,223169882,429262801
595645,514454,628155,533014,578321,792067,1186872,2677610,6422912,12369860,21492093,38883434,72170403,130804564,220246065,456894389
565177,512554,609214,530987,585706,750525,2727521,5121592,7659212,12150127,21360808,38900750,71820138,131412709,218479176,438423635
587095,518648,618479,534661,565418,709962,1878024,2718842,5969229,12344503,21615443,38631324,72016549,130759976,230317741,423335873
558552,510867,611482,516527,569664,722529,1128983,5242239,8770990,12353502,21729985,38892197,72203922,130545783,239491723,425289923
563510,501340,604219,534959,531999,747646,2389993,3513531,6480829,12243965,21563455,38838299,72284068,129545888,240643977,467435482
565612,518900,616525,522363,555347,810383,1848815,3448633,8714368,12295046,21563929,38838145,72363766,132095624,223928112,428064058
547490,505842,605432,524681,550524,784008,1221527,5764893,6482240,12271910,21735334,38786171,73205463,132126298,218314026,440431792
559556,517697,596612,530926,814153,830795,2484473,3181529,8690575,12305022,21564265,39042271,72453117,132182169,235677539,442760468
555823,535969,601690,526859,537781,758887,1933628,5694060,6420430,12351705,21590207,38752661,72576435,132872128,218939787,430900541
570018,521811,591077,501922,541157,848022,1155752,2965421,8668795,12306782,21776565,38772495,73928322,128207007,224397200,444779318
550442,513669,571610,512377,563991,792922,2391195,3099340,6416936,12487163,21806407,39125556,74566568,128738288,225859071,432079741
542046,511850,586037,516793,542481,778532,1809184,5377240,7929348,12488992,21628309,38987680,72937523,130945202,239605272,440143165
544364,503081,579068,517178,529959,685628,1089544,3065835,6420821,12443913,21995689,39153952,73233602,131823806,235770966,460835622
522960,513935,561944,525443,591062,815188,2500551,5410239,8114453,12435657,21620753,39055085,73434763,127928182,227908851,460801888
527127,512903,592502,499047,581531,778967,1834233,2942009,6389147,12621355,21896196,39093724,73150066,130494860,236309065,434357585
534764,482534,558017,493162,535295,793561,1096258,2985351,7917041,12556427,21680791,38875928,73044262,129697451,223336171,428223887
528427,488171,549130,501893,471992,704524,2403388,5169652,6426427,12402326,21806384,38895056,73408192,129941032,236683318,424209810
529383,488540,571842,495874,472628,702052,1777659,3040483,7938557,12519490,21738271,38937362,73161130,129533596,236652520,429033030
525815,517611,551582,503994,471868,705372,1114123,5431409,6050097,12406351,21738516,38933619,73241199,131582371,233446148,415172948
545899,503352,540748,481615,474664,747427,2329408,2851640,7918115,12604218,21741530,38800621,73462437,133165599,221591046,406569727
539951,502090,556885,493861,470410,775205,1798900,3052351,6102784,12490112,22011660,38922478,73488486,132114191,239616748,437074403
518985,490153,564774,508883,467691,735569,1127974,5047884,9068678,12610815,21814234,38910999,73475064,131269239,231596942,438793826
528950,468350,536300,487556,474038,719694,2244127,2980902,6013104,12406689,21712702,46072845,73253938,130569300,236615828,450610519
493570,482100,561521,480705,465814,712817,1825916,5374269,4568180,12560114,21665818,39112500,72972770,134579137,240267580,437755809
483267,479030,535074,493822,510514,797171,1078081,2923163,6749291,12378195,21877979,39144639,73225303,132136641,234522861,427781944
487242,474347,536135,480711,480666,700000,2246404,2968186,5941401,12482064,21860610,39159173,73667017,130403866,232403094,425714827
473245,472776,567738,482547,463552,702347,1822205,5266159,7021155,12554741,21793495,38992518,73290773,132208827,232722503,436575277
497555,477536,554001,499568,458215,758476,1091181,3097422,5620642,12710510,21960700,38726222,73239892,129491654,238532523,425373328
505740,479604,551667,486141,468803,743337,2270117,5375981,5469342,12602435,21753038,39076175,73095676,132032793,237334105,409250564
499937,475551,563043,490853,435720,754252,1801944,2898088,7527073,12623482,21833786,39129144,73184892,133335999,231707514,431921764
500747,481352,552871,477439,470964,775657,1146560,3156780,7517212,12563093,21909238,39158210,73746821,133887011,225017068,438288012
479558,501898,549942,480676,459959,723217,2237189,5267858,7555363,12537121,21897640,39046208,73170559,131924523,217983998,430540128
484915,466804,551328,477582,450775,748872,1789375,3033887,6003053,12600119,21782371,38989778,73379789,130460391,239015661,420768253
496373,469789,564283,428211,428751,787410,1118773,5318481,7512937,12638719,21839570,38684494,73547783,129601967,217257847,434895165
477982,477011,544930,426623,456511,713275,2419425,2873021,6063825,12472803,21940060,38960960,73216780,131534829,240072861,430557280
510314,467069,545390,439150,451304,788051,1846946,3167475,7754506,12533885,21694325,38929457,73123012,132543141,235964498,454538115
494100,492334,561974,427822,461303,724944,1085879,6267720,5928178,12622598,21968289,39224904,73945927,132712283,229836769,457931648
505380,473069,549955,448358,451647,807436,2259148,3614378,8260241,12277887,21798306,38916759,73347060,133906314,233729146,423010358
500305,479030,550294,448408,450397,778572,1796816,5931570,6067627,12510358,21649210,39003151,73038644,129566202,239322042,430202199
488849,473980,596428,422474,461114,807443,1083554,3145920,5075301,12362519,21730035,39231657,73156507,127048420,225875384,439477655
508475,465982,553287,421161,473183,714656,2265474,3148429,7327788,12335107,21710339,39147438,72913131,130258250,241696467,436522222
503703,467609,520389,424163,436781,760517,1796631,5611378,5946507,12457685,21481797,39241751,73190291,131700727,234733991,430052012
504500,478088,516504,424548,454594,785210,1120491,3046861,7346322,12369695,21802159,39264154,72931278,129616789,215694930,436136308
497948,462095,486103,425872,459804,795979,2230789,5503410,5921067,12291742,21626116,39016509,73604408,134661774,219842030,438365736
492985,448213,639313,414108,470170,750957,1822543,2816713,7267759,12274919,21674329,39023330,73295724,133159121,229029425,434494003
497597,443998,600105,431664,437340,740632,1098914,2873559,5976800,12476144,21678127,39366330,73809294,131879082,237054866,438501088
