SHIR FPGA 16,SHIR FPGA 32,SHIR FPGA 64,SHIR FPGA 128,SHIR FPGA 256,SHIR FPGA 512,SHIR FPGA 1024,SHIR FPGA 2048,SHIR FPGA 4096,SHIR FPGA 8192,SHIR FPGA 32768,SHIR FPGA 65536,SHIR FPGA 131072,SHIR FPGA 262144,SHIR FPGA 524288
4224575245,4246755101,4258994125,4515924468,3892922249,4211279870,4545157560,4432933351,4275363408,4580519122,4502854782,4725542386,3995651566,5254600357,5208486641
921077,1006718,923690,1437936,1721570,2163339,4017156,5518564,19193014,19851687,88781979,295632521,346759960,685959638,1339224301
665840,763400,666856,1102832,1352727,2005036,3132044,5220022,10119449,19599583,88530492,299960558,346816185,684701067,1340915572
481178,708724,646031,1066792,1259635,1815497,2947308,5018050,9821603,19398228,88708169,295730615,347510503,686545002,1344947841
470439,664777,635594,1043596,1199717,1828953,2869393,4756667,9841047,19432592,88359207,296363180,345812386,687908725,1343921480
476763,680234,645414,1034755,1233114,1686271,3434320,4823803,10062666,19380715,88319449,297118569,346006201,686843815,1344842587
464721,665467,651135,1000030,1178045,1655130,2791139,5528781,10908845,19585943,88627401,294901131,347572430,686217515,1345280934
461377,676100,611812,947305,1180637,1619640,2743584,4744185,9703775,19526121,88662269,295103914,347951207,684869106,1338246430
446117,681286,605964,954902,1140537,1594209,2650072,5357814,10061912,19492442,88506388,296872131,346896113,683634985,1343239237
455585,704829,605271,942285,1138800,1590603,2646304,5365568,10549043,19589558,88571619,296603932,347609910,683504286,1340864866
446683,655960,600783,929951,1111657,1600802,3170785,4691095,11116047,19510898,88585279,295790580,347880745,689643179,1335703444
449366,659722,607556,902195,1104142,1638155,2773212,5279226,9719403,19568340,88516978,296735985,351331703,684407123,1331916523
445083,653044,625982,905245,1109516,1514573,2687118,12383095,9913258,19525492,88471917,308440684,346644228,691664139,1349259868
459894,630698,576231,888111,1104544,1635462,2666476,5439983,9528326,19446853,89271677,294812944,347924044,695674681,1340563636
455172,615113,576029,867882,1083157,1600639,2670387,5363424,10161267,19463537,88870249,296111167,346116891,687914026,1338087698
461860,603074,587374,875859,1057344,1483033,3294989,4659140,9832812,19475996,89036129,294448296,346132219,681711061,1343848801
447931,606008,594636,858356,1086717,1508638,2705977,5230457,10050928,19505025,88726872,295090326,346912347,687478528,1342610182
445808,606804,588159,845314,1030197,1462997,2732816,5228713,10595964,19494502,92500025,297067303,349544943,687197909,1347864602
441537,618250,590762,847975,1073010,1444595,2751303,4538760,9745388,19479784,88442334,295127554,350982665,687234858,1342392299
446561,618491,562414,844819,1021129,1437662,2570191,5276074,10146673,19424514,88505557,295290413,347413043,688129061,1345121807
439516,641422,571687,818512,1030876,1415580,3100191,4700704,9640748,19578011,88704906,295777726,348356650,688623122,1344423427
462346,587483,565358,800400,1014637,1380173,2607969,4802208,9778009,19388269,88798704,296920811,345762035,683375947,1336414871
442724,579694,564094,801959,969524,1422362,2638142,5421432,10674611,19449093,89089676,295641112,345566569,685744104,1332472020
442200,581924,568659,827055,1008123,1396955,2650599,4748811,9932538,19522982,89111843,296164907,344588931,684390136,1334300847
439772,587532,584017,821169,991290,1401451,2551993,5398902,10038686,19546744,88662666,296124715,348092707,684711003,1344926872
428259,571138,567869,794938,963626,1387048,3086518,5543504,10353600,19515331,88552793,294510614,347787932,685860911,1331201188
423320,584824,562499,795273,910339,1388860,2634407,4678978,9626322,19299967,88772589,295946773,346557290,687287886,1351758056
427989,583142,548146,771856,892852,1374729,2588735,5431723,10607594,19242934,88904802,294021715,347143441,694184351,1330243792
433157,566023,566513,787998,908738,1376164,2584435,5459637,9993371,19279587,89173773,296044794,345517477,687748208,1336708978
435899,560828,569209,761721,868059,1338951,2579124,4745293,9734859,19213958,89999616,293969531,344933319,686132675,1350696484
430587,613267,557737,775464,893360,1350952,3209466,5402621,10664291,19224777,88880947,295833807,351258379,684603727,1346615137
421020,550445,545041,798261,866054,1334576,2568822,5442301,9704208,19309065,89279605,296595850,344742983,682230634,1337501189
419057,550738,556830,772786,882828,1326313,2482483,4752235,10512384,19230653,89377780,295412964,344207130,688309659,1330295129
429791,567357,556957,789534,863943,1364104,2533648,5475419,10339691,19162142,89465665,296163558,346494296,684928396,1336331660
420939,549341,546174,764980,871864,1328187,2493645,5483312,10013002,19279046,88944199,295416185,347411974,686376095,1345192700
434309,543405,556168,775262,853848,1351320,3235040,4746570,10913161,19293636,89737165,294422003,350274246,684188384,1340343832
419069,557355,555659,758984,878401,1336276,2632724,5671192,9819788,19238015,89244791,296501597,350007998,685240557,1346901800
432827,548910,526454,739051,853191,1324202,2503278,5717635,9615119,19232289,89959286,295329624,348453737,682987659,1343695753
421588,573274,533537,737071,851602,1368673,2555785,4767424,10852826,19422958,89584584,295767125,348196523,685279874,1328532942
409037,541341,542531,730434,855014,1321516,2561662,5444089,9673853,19267563,89616299,294914201,347921605,685270302,1337209414
404101,541951,544705,722218,879357,1326338,3226925,5483228,10431482,19233884,89086410,295457590,351263236,687169180,1337435102
427860,546492,531192,721587,850753,1359446,2628188,4758862,10568749,19209499,89240920,294194999,352492887,685935605,1340977099
431866,528751,548354,755332,902891,1407232,2498447,5454523,9852823,19221754,89201334,294792692,347094835,684734647,1352426002
418956,526226,540335,694777,894223,1402553,2494430,5544360,10609965,19205339,89597431,296309005,347374059,684439623,1340072216
415890,530099,527462,679706,887786,1394361,2566567,4814946,9800854,19239674,89173014,294818943,345030765,685581135,1339482482
422196,534707,527159,732935,861077,1369351,3102274,5537964,9576046,19284237,89340318,294954460,351672299,684566998,1347047002
414949,562127,531947,664709,881560,1407349,2546372,5603477,10820567,19220093,89042029,293352974,349252553,684786601,1336090951
438370,505385,522759,666255,823301,1391134,2532158,4845402,9665412,19351868,88968225,305860887,352084898,684813464,1344248792
