x86 inductor 16,x86 inductor 32,x86 inductor 64,x86 inductor 128,x86 inductor 256,x86 inductor 512,x86 inductor 1024,x86 inductor 2048,x86 inductor 4096,x86 inductor 8192,x86 inductor 16384,x86 inductor 32768,x86 inductor 65536,x86 inductor 131072,x86 inductor 262144,x86 inductor 524288
6370050118,6302060344,6329963057,6264010250,6283522374,6447506283,6451877467,6313947070,6211675550,6191942388,6319621328,6381434710,4213173823,6392962088,4302424286,6521588447
618625,738653,5384197,862350,1360381,2211589,3109393,5054783,5656025,11196451,19817742,39865418,68495008,122181386,213417571,425995222
503822,500154,798375,841248,1445028,2608625,2180178,3168291,5689754,10637121,19461749,39446676,69443652,121935367,213210130,417464289
447244,510763,706638,488101,557962,799266,1291697,4640006,5464738,10747194,19319578,39773050,68570385,122445720,215738464,407365288
434492,491119,713311,485331,561269,739324,2861614,3046218,7510189,10632408,19515228,39153450,69818211,122589906,206109450,418668246
449214,495867,673666,489431,536439,686628,1982422,2712096,4864113,10645879,19414795,39950070,69236276,124736424,217191306,422405413
435892,478874,698291,482960,525935,707349,1155912,2574784,7186017,10714461,19627136,39285196,69876033,122838181,217385011,417222273
443854,481218,636155,478423,532530,644995,2715322,4046507,5804319,10723753,19379107,39923934,69477541,124780780,214237939,412951248
451894,478854,675078,467530,514468,602620,1829285,1845299,6848233,10796309,19432504,39277411,70033754,122208994,213580169,422042827
449253,466610,636828,470903,517567,589379,1048468,4102566,5421693,10696042,19862281,39888756,68815121,123393673,216173327,411692732
436559,468702,675886,459650,518753,588461,2720213,2628586,4406464,10671266,19572456,40055513,69462488,122577921,216744018,416537655
432130,484116,631457,435321,490333,567215,1805793,4131420,4716844,10767964,19420289,39827429,69125157,125358381,217648086,403867642
431835,412990,672700,448600,488282,562436,1060289,2678565,4125000,10702455,19628071,39166510,69756502,124900583,218542634,413057638
435039,429254,620376,460414,496615,622031,2494967,2472886,3851202,10946636,19349974,40072805,69336170,122398505,219775475,408161100
444280,427666,660602,450480,475645,692251,1788619,2444789,5614271,10763100,19620989,39119309,69617512,122254112,208005481,408456959
355950,417393,645692,453961,471953,572836,3081607,3860392,4692138,10657074,19483832,39926010,69117812,124954473,217303467,416964235
366168,405155,692682,445307,471960,605708,2598535,1699907,7196776,10735297,19836795,39255050,69275960,122885461,217134512,423800493
373981,421275,617068,449320,453926,612530,1788295,4029529,7572770,10790673,19476399,40070190,69108682,122298515,216566444,422015537
380415,416431,677157,435519,464876,521332,1033623,2467723,4778206,10702604,19478826,39338840,69460679,122322630,217217785,406682278
377551,436288,623787,453875,460617,523642,2460164,3982116,7011087,10828262,19395005,38760198,64957525,123163240,215847110,415642572
373536,421073,657994,431499,443805,483757,1748412,3429734,5566858,10749532,19598129,39299232,69456615,122035547,215035891,419601478
376912,438815,612832,437189,436913,467982,1010269,3250366,5080734,10745799,19503571,39841939,69077499,124963985,204154529,426014845
382524,411489,631888,434932,461665,509471,2600590,3056901,6224739,10788460,19497475,39006761,69472928,123811935,214798273,399824548
369345,410637,589961,445501,462943,511826,1752986,4379793,5351205,10723071,19482457,39821717,68953084,124753178,219450526,415944154
386425,419575,646171,433786,432554,504030,1025629,2060476,6635506,10662064,19498987,38872233,69299596,124496632,216490132,413029686
352365,418679,605502,413372,441115,610519,2627406,4353903,6895286,10493178,19445679,39859862,69457458,124691409,214518112,412292786
714937,403985,649014,410206,433325,606007,1802284,2694750,4996121,10665724,19674069,39002155,69220129,123836482,205310041,409890515
378631,443806,596284,405665,433759,535048,1018417,4206423,6503484,10730233,19547095,39788666,69596134,125411280,215328319,409180760
410947,408450,634484,431909,444038,528849,2383320,3382302,5503457,10535748,19544440,39287946,70291605,122753009,212367289,417910328
412249,432069,588289,422042,437304,547948,1691192,3239260,5298919,10710239,19567049,39789544,69304176,125102545,215464626,410040607
382661,396722,618640,413232,459034,510632,994997,3135779,6241297,10624530,19822252,39196191,71747663,125396136,219783320,415239148
383246,425585,600416,414045,431936,528402,2297419,4495468,5706867,10697386,19426099,40032765,70005940,125372078,208169707,411371262
