FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096
943647,764344,805737,1212575,898303,1178023,1976425,3695965,9123934
283250,242320,574010,694287,794773,1007483,1279755,2618441,6881077
250060,243152,468317,590174,616479,787622,1285110,2177657,5591080
277118,234869,470554,580042,604143,801319,1497794,2220801,5253418
243487,233645,470746,603521,644677,785253,1325159,2198897,5780404
239761,247727,482114,578228,623442,772796,1312420,2131050,5035645
237225,235827,463426,562215,612841,776020,1584492,2114050,5790293
243351,244076,488295,585409,638536,779554,1411153,2045430,5828211
247185,234350,496469,578896,617730,769452,1255364,2083931,6514064
246743,234518,476015,580466,613103,794373,1294474,2043483,3903678
270526,234827,455023,601410,621913,797379,1324156,2074157,5813825
236303,236460,479758,578236,619666,788701,1339217,2038404,4688540
266022,235560,479201,570699,618484,787660,1297153,1961237,6056623
267792,231965,459870,578419,621682,775937,1293690,2375408,5028964
252219,232397,469959,581353,637137,761713,1411447,2284461,6715126
241818,233968,459185,563006,610203,792096,1340827,2268118,4773718
248253,240058,460772,585262,633008,773552,1264739,2188505,4497377
257187,232347,477454,582639,602618,796471,1304216,2131812,3840434
267298,242897,478153,570433,600280,788466,1390230,2165791,5671407
235764,233585,485524,605660,629886,780885,1388794,2146798,4977054
262566,242007,483676,598301,608783,789436,1275175,2124145,6690821
274555,232700,461449,576900,596651,793877,1372181,2084709,6027849
296822,244961,467622,593715,617766,784110,1331127,2048115,5123347
250712,234432,461272,587373,616066,769835,1307176,1998468,4307355
242737,258799,479266,567394,603495,755238,1301685,1978742,6654393
238839,233324,483432,588518,633270,791091,1381902,2056122,5031861
286748,241107,500512,593618,631161,803663,1375706,1953470,4674306
231372,235804,474879,574173,622007,768899,1358174,1971158,5255008
239397,243395,464981,578916,628059,792914,1376689,1965141,5252754
246902,233329,459222,578478,616535,775036,1241236,1991019,4946885
253391,232693,458959,549820,620385,788592,1369769,1974705,6474191
247076,232287,452961,593361,623103,785209,1252495,2568795,5577662
234665,232412,471500,590591,620935,766104,1243199,2377264,4226355
245406,235748,483658,582773,614029,780462,1355450,2214941,3781736
258783,231548,468850,584736,629638,794067,1317123,2164630,3750542
243431,229086,476155,568751,620832,771228,1320777,2124437,4302483
237177,233378,463047,575862,617074,762171,1416291,2038782,4632039
261195,233807,451295,586840,633626,809536,1325824,2214284,5660509
295663,231812,464569,600494,626153,791724,1287774,2091779,6062378
241262,232806,470858,566618,607886,763867,1371680,2039365,6035855
240407,231416,483212,593724,641017,779008,1279217,2043194,5122429
257083,234283,484336,590953,622865,772780,1401521,2045370,3744291
249004,229753,463325,593013,622335,786674,1371487,2063550,4327365
248749,233349,464388,602218,631723,792028,1368295,2026400,9797229
229573,233020,459032,594357,616605,791209,1354270,2009393,5529553
244882,229417,452192,579406,615098,787553,1231020,2416027,5872333
242811,234910,482309,584313,628644,776130,1233831,2303944,5211695
239365,228722,471088,582821,622834,828599,1335260,2246293,6035531
232358,232639,449005,575995,618405,772219,1291696,2181449,5101654
244875,232844,461285,599376,643871,777072,1208913,2108868,6203681
256012,229253,462430,600969,612780,779083,1392211,2098713,5480995
243554,242343,473684,575931,608217,773495,1248965,2091334,6479922
232323,234256,493545,593238,629642,782307,1312480,2132247,5471663
246520,243344,487356,582867,617854,790099,1234838,2221615,4359539
292206,230627,469219,576576,609841,773444,1353649,2076352,4048943
231097,244950,511634,591026,636570,780786,1310934,2058387,4071276
242824,231930,502196,587631,604697,774903,1314534,1999301,6068332
246222,236723,485732,555799,601445,748959,1489368,2080768,11400302
268284,233375,471866,585514,625636,785239,1435367,2244199,5380609
233004,238502,475834,596608,607804,775430,1379921,2324547,6538407
231957,231131,477078,569476,601652,780574,1320860,2210038,5815162
244601,243446,463175,591197,625582,780434,1299348,2132340,5170186
243316,235007,468752,589661,600118,797533,1354682,2185125,7380939
251508,239688,461216,564323,602439,775535,1276826,2107986,3977757
228784,230227,501354,581140,614404,805396,1250253,2110175,3611697
253273,239774,452460,602182,609506,794943,1243924,2049499,5023888
286512,231742,453467,568763,600928,758183,1174883,2058030,8052344
239824,240810,454617,593056,634551,788166,1182952,2101770,6337204
226817,233079,465284,588231,623614,781525,1272324,1997424,6062679
245434,242063,455263,565267,606567,767000,1371461,1989139,5067221
236468,234063,473653,589400,641636,810796,1292874,2895322,5814830
237412,238279,479460,589904,625606,783692,1267101,1959639,4669730
223058,235462,457302,568292,630291,785759,1329016,3571924,8212827
247391,232009,455785,583012,639306,768930,1231753,2047175,6072119
253784,230972,470478,596112,630301,784112,1269198,1996730,5916260
239538,229749,477761,558485,609947,777000,1416897,2014159,5536544
235969,232849,461404,599546,636028,801063,1333765,3172602,4230122
249135,232697,486363,581823,608582,776494,1217791,4072632,6442666
279462,231707,483782,568442,616039,771630,1289043,2296499,4084611
225440,236256,475820,601254,619128,784467,1411255,2241369,6010334
246836,234690,468927,590506,615428,797616,1291474,2144951,5845286
255924,232078,474803,561912,608217,770521,1395378,2178264,5832069
245576,231100,471460,617207,632682,792869,1263887,2095500,5808099
229364,230342,476896,582045,622262,770586,1369693,2125277,8184060
242942,236890,482218,584184,607537,768687,1344214,2113197,6251106
252072,231919,469898,598661,630356,787866,1398770,2134569,5845073
282665,232530,457181,570182,618422,795824,1400531,2078677,5075331
244694,232406,488615,561675,606096,782752,1368535,2057343,3574715
226033,231804,457594,588412,630529,766326,1324260,2019749,4310367
259079,232305,458628,599094,620698,767960,1231456,3741572,6408475
269393,232698,459942,571307,615878,777785,1332730,4279843,4757191
237552,231958,455876,602344,639523,767997,1227796,4204735,7881052
235841,233168,466574,583114,617752,766219,1301428,3303791,5963045
245370,232219,465658,567330,595289,780719,1254577,2299945,5523937
248439,230548,479162,582109,624319,788420,1363420,3305422,5742998
235455,243582,466414,592559,620276,767557,1353835,3029463,8330900
234036,228902,453600,570595,596917,793213,1315752,2121350,6239345
246160,264589,445567,605758,623163,791499,1257240,2122831,7819896
286223,240889,485424,573856,600076,773624,1343069,2128785,5849247
226160,231074,465878,562762,599919,775788,1268990,2036096,7770096
239499,242817,476882,617147,610947,794305,1317854,2066611,6543327
246500,230626,475386,593939,609826,779787,1321277,2105272,8478529
262232,244443,491714,580056,602715,767279,1268670,2092344,6182908
234709,232381,476386,593269,619539,802607,1344962,2496041,5959260
229467,236795,450117,576026,605071,768822,1280469,2289218,5182200
239686,231867,450071,558233,591689,753842,1327210,2955972,6727994
242387,240298,480178,594917,635580,777024,1199391,2302837,5692306
234226,236021,482211,591086,620964,766238,1356503,3446124,4299626
