SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b2048,SHIR FPGA b4096
588824,687149,881455,1300662,2084911,3564504,13631916,25804082
577375,682037,876575,1300146,2061098,3535250,13211620,25783818
584108,680386,868984,1295266,2083347,4801554,13230132,26838617
576811,689484,875071,1291254,2060546,3613156,13211469,25648244
574847,676616,870306,1289187,2069398,3644789,13170226,25610453
572573,682004,870167,1295865,2064389,3556037,13219769,25763389
578003,680161,871152,1299556,2063476,3550562,13216612,25785497
638627,675738,874459,1305299,2072711,3568883,13223463,25603503
653897,678216,879175,1289507,2065619,3566092,13183791,25659259
580959,674976,870494,1289309,2089102,3563455,13309105,25697763
592457,674637,876529,1289297,2069376,3543584,13368661,26732448
583194,674876,882633,1291371,2062115,3551424,13150610,27072653
586590,675678,870891,1294624,2067060,3561655,13159654,25783407
585029,682373,871655,1291224,2075488,3549685,13114841,25689894
590712,683247,868011,1292621,2083673,3560339,13178925,25688230
584763,680244,877184,1292177,2059592,3554426,13209816,25641822
579888,676692,868332,1294222,2067345,3552682,13213577,25600627
580549,676521,869537,1292290,2066458,3559365,13174597,26115973
582490,680633,870955,1291863,2066374,3549516,13174642,26099843
581732,678534,871820,1292129,2069242,3553874,13201609,26015725
579224,678507,870521,1293289,2067623,3560143,13152044,25985816
581742,676846,871776,1295625,2089892,3553066,13188076,25843264
583122,679881,872118,1295820,2077185,3554493,13160249,25779737
584098,681807,869225,1292290,2091731,3585699,13189997,25928264
580340,678567,875441,1290715,2067918,3551628,13203486,25918446
578721,681727,873094,1292643,2071028,3563083,13186010,25683571
581132,681136,876753,1286391,2059237,3566963,13168643,25890915
575994,676556,867947,1284669,2062048,3576793,13350108,25849769
577426,674333,871219,1304797,2067729,3542978,13136843,25777599
576576,679673,870055,1291928,2066772,3565894,13236582,26155467
580924,676284,873087,1289567,2064245,3553611,13187602,26233038
575626,681953,874442,1292742,2066318,3558853,13198295,25884628
580195,672213,868211,1295770,2082215,3551560,13344304,27006649
584492,675008,872580,1286579,2075522,3550039,13247417,25734433
578968,676549,872114,1293250,2066551,3547548,13213156,25688813
580419,682980,886211,1286919,2074795,3569525,13231538,25845162
577896,686674,868528,1295114,2075500,3552466,13234779,25735105
586651,673323,868078,1304774,2074425,3565494,13289613,25660409
579432,672448,875885,1300977,2073019,3568723,13271560,25560954
578129,679674,870390,1305683,2080527,3554956,13249712,25624092
572773,676927,869481,1300062,2064338,3550703,13249748,26056744
573363,678341,867279,1293595,2068250,3552525,13204534,25777294
576599,672652,873333,1298124,2080584,3553728,13484765,25730911
571276,677395,873689,1296195,2061221,3572880,13207552,25854784
577991,672285,869079,1292886,2074608,3572861,13162767,26774215
575996,676697,869674,1300047,2062676,3570418,13180576,25632459
576053,683137,868840,1290514,2066155,3566897,13197663,25710023
575201,676580,889187,1310953,2063403,3557009,13234935,26921947
580810,677065,868938,1288099,2071145,3551679,13196225,25701020
580544,675063,878944,1284704,2087284,3555036,13219643,25677326
575865,674022,870059,1303061,2060657,3553779,13354880,25614379
577774,681073,869622,1294439,2079851,3554804,15487877,25569540
584568,678595,869694,1290922,2067500,3549202,13195446,25910111
582428,676285,875804,1281865,2068923,3549990,13194157,25830428
571627,675139,864431,1286254,2067866,3568349,13177412,25600152
572091,676474,867922,1292285,2068351,3558314,13221532,25613180
571617,675866,871232,1290727,2084803,3569277,13181170,25589063
571625,683962,875904,1287885,2065541,3565337,13180927,25540455
570429,674090,876919,1291179,2069722,3565829,13297366,25716703
587977,673570,887568,1290586,2065221,3563071,13236448,25737531
592261,675405,870225,1293354,2067122,3554166,13214013,25653820
591422,679315,871699,1289124,2061791,3544114,13156909,25577216
587625,675539,871310,1288359,2063298,3568563,13583928,25537773
586845,678860,870313,1291448,2085605,3554896,13266642,25566615
593572,678010,868350,1288866,2080725,3561692,13226190,26130043
590474,674808,878640,1288182,2063282,3555643,13208908,26502548
587754,671884,869041,1288357,2064012,3546617,13230211,25680894
587018,685176,880769,1286260,2062024,3548918,13201055,25621442
594019,679283,869561,1290693,2066449,3552190,13221159,25564895
586923,679975,869330,1293407,2061188,3547905,13187038,25572966
585791,679052,870668,1290269,2076387,3546948,13217480,25718377
586870,675740,871241,1285827,2062927,3555458,13212448,25755178
594715,677458,872007,1286571,2073445,3551851,13157396,25701681
585506,677246,868960,1297936,2060051,3566512,13174552,25608622
592779,672774,872458,1289278,2083069,3547633,13207239,25665646
580351,675490,869860,1288124,2064820,3561710,13210687,25588930
589867,676964,870538,1290081,2067840,3545015,13203072,25970047
583159,676805,869514,1292919,2071780,3551388,13196489,25674872
593639,682998,870831,1285012,2068329,3552489,13478468,26727157
581017,675467,866550,1287849,2070218,3556519,13210263,25616333
593958,673854,877022,1292044,2060341,3547344,13293859,25595955
583562,679144,866870,1286931,2065604,3549253,13227874,25846393
582387,672044,866761,1289825,2065331,3555908,13192995,25771035
579653,680844,869023,1293508,2064305,3562862,13186336,25651723
590169,677079,873937,1291633,2080258,3548873,13200683,25704626
580253,674243,879289,1289708,2065141,3545646,13159773,25618551
585419,674446,866926,1294142,2074631,3551380,13160533,25557480
580976,672715,871041,1289065,2069239,3555158,13187521,25839660
582511,683438,875917,1290186,2062280,3548004,13201493,26879296
584418,682069,874008,1301267,2058688,3546315,13149094,25659797
581686,679587,869229,1286757,2067354,3547632,13146142,25574076
580236,675592,868489,1290716,2075445,3542682,13150156,25551352
585302,672939,869858,1286659,2064619,3557210,13176522,25576052
578206,673726,868162,1293327,2087715,3546652,13133917,25987125
584109,675802,869052,1287849,2069659,3553332,13244370,25744771
583138,673642,868051,1292935,2062219,3866780,13369889,25687126
581582,675267,874809,1306926,2062486,3584397,13246832,25600700
583281,678825,876133,1294041,2065443,3558424,13171378,25522595
583119,674399,872905,1296701,2072704,3564474,13169285,25559513
577500,684529,866658,1294701,2060501,3560852,13156035,25874590
573515,674830,872934,1299661,2062112,3565160,13176628,25726882
568590,677051,871494,1290348,2063276,3561270,13137170,25705799
569049,674309,870585,1295579,2067815,3557668,13152523,25598552
563431,676665,867176,1297134,2063187,3550632,13151642,25540306
571388,674055,868669,1296491,2067591,3569658,13205958,25533983
563378,681665,871344,1293530,2066718,3554220,13150446,25986857
566403,675324,871641,1291447,2068016,3557469,13162582,26882449
566765,679045,867450,1292836,2064542,3553713,13133582,25712014
562943,677339,871295,1293916,2065521,3564230,13175147,25740750
569799,681554,870705,1291132,2065572,3561164,13174788,26764712
563294,684741,868719,1286948,2065858,3561009,13431326,25580970
566498,676569,869855,1289219,2062467,3549701,13307699,25921042
565212,673399,864914,1289914,2073708,3566647,13230118,26897303
568074,675330,883605,1294084,2066332,3548390,13255458,25648552
575992,677685,870523,1282463,2085716,3559061,13206425,25692522
562788,679144,875077,1290999,2061993,3558187,13235495,25567072
564612,673510,867070,1291465,2064404,3559763,13185641,25585405
563495,675151,867101,1284982,2063498,3560165,13242025,25796184
563503,675020,882685,1300493,2067601,3570537,13177918,25803553
565353,684176,874505,1292032,2070332,3561352,13124654,25637085
562974,686384,871358,1283273,2067937,3554704,13159664,25623308
572558,674318,870309,1289062,2066861,3550817,13235421,25584681
