SHIR inductor b16,SHIR inductor b32,SHIR inductor b64,SHIR inductor b128,SHIR inductor b256,SHIR inductor b512,SHIR inductor b1024,SHIR inductor b2048,SHIR inductor b4096
8869529281,2579500785,2579905642,2595206104,2596456243,2576220561,2558801006,2694705143,2583155910
1113440,1868975,3058142,5634697,5772177,1741361,3130190,7051367,10847997
1014458,1819230,2980810,5431780,5311611,1658950,2779099,6237436,10370442
973276,1714113,2934446,5088879,5017164,1552445,2742885,5729316,12769514
988156,1726428,2772660,5021909,4812004,1513686,2566520,5279913,9548110
1005136,1712063,2709171,4858218,4678526,1470967,2560554,4999405,13889384
2163060,1730472,2756856,4699277,4527318,1602187,2576172,4708615,11125806
1019123,1749409,2517275,4541753,4307973,1404443,2372336,4402138,9448090
1006620,1626669,2561360,4325900,4282596,1365238,2382566,4223793,13267921
938104,1598182,2558063,4331906,4116284,1314922,2471157,4177576,11798905
944428,1602074,2496932,4109794,3986099,1305425,3011043,3970023,9284295
941656,1595079,2417101,4109048,3925851,1269685,2966314,4587582,7884336
949044,1619582,2381829,3961678,3757634,1255139,2656159,4073662,12662994
932270,1574691,2364092,3911311,4582657,1250706,2581559,3985719,11591542
930786,1531404,2257693,3847813,6425670,1226137,2467184,3846376,9868818
930720,1543721,2267413,3787498,3503282,1188957,2397452,3843202,8864149
932984,1515353,2268125,3708026,3525397,1201680,2340638,3667150,8056701
927616,1545506,2216437,3578312,3409401,1146812,2238504,3712377,7121506
884979,1506792,2161868,3587224,3431564,1164419,2179207,3573524,8384811
869782,1436573,2170008,3524006,3304239,1130465,2321274,3961664,11914107
897233,1446862,2159377,3498603,3333135,1135231,2087676,3610680,9931246
872417,1455511,2108007,3423407,3236485,1099167,2060707,3767157,9295456
893414,1443010,2081235,3338057,3231600,1108336,1968206,3477306,9501544
876913,1451655,2068668,3322185,3159612,1114267,1952724,3288251,12158003
901492,1383011,2077211,3579290,3121544,1094565,1932025,3459039,11728683
886388,1376334,2032018,3566720,3115393,1085669,1900006,3549774,12937018
877926,1376504,1993307,3302210,3096984,1072045,1898207,6780525,11285045
852394,1387711,2022863,2941611,3029466,1064287,1892724,5955741,13045071
846169,1378531,2000394,3007612,3061418,1049590,2047490,4995206,11246148
855753,1353760,1978123,3009802,3076243,1055026,1919392,4475022,10064131
867694,1319134,1908070,3017351,3055055,1054539,1924125,4506134,9190832
831281,1300057,1898849,2984434,3058440,1022894,2013814,4108647,8203650
867560,1318359,1910438,2995322,3065042,1018027,1983512,4082191,7820621
848501,1293555,1891503,3001453,3037582,1029319,2166632,4039901,7701772
827673,1302371,1828839,3018298,3073643,1025773,2193126,3985453,7005050
842486,1303342,1847666,3037059,3064530,1028592,2045130,3963678,12406970
831342,1285449,1831789,3030910,3060718,1017470,2162038,4009552,11558842
811513,1252711,1824670,3027183,3069479,1036820,2168309,3922480,9917490
798903,1243639,1791457,3034662,3095215,1029963,2029149,3926397,8675745
784374,1237981,1776834,3059723,3074273,1019367,2145963,3843989,8206207
805316,1252480,1759611,3056785,3072315,1046879,2112088,3840451,7228472
796852,1269396,1770385,3055511,3054788,1032508,1995355,3878188,8577993
792227,1256272,1760914,3050860,3078349,1044296,2110278,3743262,12202074
782496,1185777,1729205,3040394,3082090,1016788,1889278,3569636,10843381
778197,1193156,1677997,3066549,3091701,1033079,2171378,3736559,9156313
769760,1203733,1683752,3081497,3071386,1022932,2152647,3655393,7730902
787052,1180825,1721486,3137059,3060912,1018678,2096958,3546189,7345608
737183,1203126,1764228,3128171,3059974,1026205,1946620,3775156,7032818
766364,1183011,1806431,3123742,3091331,1029857,2097320,3632185,7425790
740015,1225504,1811477,3124396,3057169,1017473,2085735,5472571,6894413
742647,1136182,1810572,2756474,3066620,1026344,2024753,5336878,11840676
753522,1186335,1816184,2732060,3083635,1016191,2177007,5002877,8587321
773171,1167414,1745165,2724935,3069949,1025172,1930830,4274178,8018438
751695,1166205,1577910,2736030,3071863,1013075,2183631,4217987,8290795
778544,1185496,1577984,2707396,3091917,1027987,2053410,4063443,12418545
735333,1191438,1622202,2754293,3072172,1018355,2133825,4029685,11302088
759737,1149347,1598478,2784960,3049514,1028760,2014306,4159532,10048062
748375,1135758,1605137,2748633,3075691,1017078,2191913,3647004,9322783
744568,1144448,1625983,2751812,3078865,1020456,1915502,3730781,12763884
730565,1110468,1589295,2738257,3063594,1018637,1891375,3665783,10558947
748812,1139502,1597907,2759282,3097190,1026593,2140414,3717608,9529909
736085,1134969,1570480,2756941,3086963,1022333,1892368,3891691,9067729
746517,1141801,1567990,2813342,3068471,1037651,1831065,3701108,7753363
721161,1098974,1632570,2791390,3067460,1007817,2047781,3685617,7260061
721691,1126134,1613865,2816130,3066424,1030381,1838246,3689105,7008876
733968,1100427,1620834,2780496,3061953,1009165,1866394,3502852,12374548
738618,1092201,1612333,2814694,3060024,1050242,2064340,3442834,10658226
729090,1097290,1631072,2783850,3074888,1012391,1987773,3576502,9668230
740877,1110553,1638134,2803374,3066844,1012909,1884605,3681471,8968981
702779,1082417,1628780,2802882,3063654,1031659,2152592,3760426,8107627
715497,1094344,1615424,2793479,3060586,1023978,2085238,3688949,7666562
697824,1131387,1634689,2775342,3045947,1014772,1959444,3585865,7603902
718710,1083015,1618142,2807201,3072944,1010580,1966812,5112337,7351098
702423,1062550,1631386,2772754,3048924,1025952,2059987,5361786,12759206
