x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096
9191409468,2904401795,2825891892,2940845455,2806346333,2822610806,2845160310,2804285394,2810214184
786418,638470,841161,673099,613131,853653,850176,1473156,2329874
651445,553171,802214,656364,593324,781129,792095,1211362,2992674
636895,549820,798708,605975,569617,763161,774867,1067868,1983660
696239,556447,764535,620386,549608,701437,757999,1151137,2205653
607194,517852,751298,631474,559850,685022,733972,1057633,3227999
676547,507095,771031,616539,557873,705667,709390,1069683,2127736
697937,499463,741554,604219,539323,693079,705365,1035075,2053834
721225,494850,728827,602266,564148,681659,666871,1455847,2741281
695386,514318,741309,589666,532763,683097,684998,999802,2291037
644624,541331,739770,612785,518226,643821,672269,980492,2122652
707351,533060,711859,609824,545129,653000,675725,920215,2977159
605488,524040,727741,585651,553460,638677,640522,980730,1924198
646084,535699,716161,553811,528309,632410,666680,940580,1848913
655147,543756,722077,595536,533862,638108,665410,974915,2515775
661133,528044,721892,560083,557005,632129,722242,978229,1751081
602624,519915,712297,571295,508343,594994,689794,3273028,1730207
651923,509791,657282,585358,521087,586774,698694,993358,3074728
658805,517918,686360,581658,518438,592774,691326,934160,1989358
632296,497967,688663,596001,500302,578220,686726,937121,1884908
655099,536371,680241,584050,513522,575362,737164,996613,2601727
648334,511068,677821,575530,528309,584719,787123,1049524,1821792
653631,516450,670257,575820,519790,550586,764108,972562,1760742
619477,534131,4326942,562141,509878,546825,712765,959285,2408245
612026,495405,916250,601827,503388,562240,730179,956749,1702424
607117,505544,619714,574534,483712,516268,667121,947252,2198267
636970,514440,640215,582896,484054,524948,772686,926594,2846695
619815,551223,661447,550759,508938,516235,742595,919874,1824347
629430,536764,637549,558766,481153,517046,740315,949320,1827664
621021,565283,630265,561379,483504,553159,740166,935782,2521635
614564,510961,622914,572493,488625,532446,771535,934252,1646077
611751,494258,599726,576880,493040,529222,783388,960923,1642391
682454,488634,599804,541376,464357,520069,735809,975717,3221923
689432,492201,577880,543987,479676,525646,728424,1002321,2098402
587627,511718,617460,543731,475569,484538,776831,952979,2007420
595002,466439,598727,549876,470876,510289,735127,916141,2710714
615201,509855,588728,535866,482314,506926,758701,985882,1811516
666403,529401,573318,546909,458907,493674,737137,950434,1776887
611773,516576,608284,547803,482521,521169,759507,1156838,2496381
624834,543014,579390,551422,458665,500782,731457,974767,1702282
650134,506582,576692,530346,452334,508913,801890,895308,3259892
638721,569216,569760,525007,466817,549463,704266,985956,3124246
635924,525119,579791,514171,452463,531131,703833,903876,1984493
628340,436135,590915,504990,474298,507430,687562,946247,1998093
611637,447066,589366,529734,485092,510370,735715,968292,2706662
624699,471766,564762,512404,460358,535824,691371,1062982,1764397
563795,476030,558999,514295,460557,511448,711499,1102067,2100385
577817,489141,564580,516805,474489,515944,755142,1008054,2532985
573055,492518,565560,510538,473964,515736,676908,952034,2812563
586198,486174,579194,512289,460061,514669,743658,973008,2128357
605850,467676,572598,514922,455837,494857,756850,972028,2802993
588133,516599,564403,518971,463826,547176,737184,946318,1996789
590420,550999,567340,522075,475373,492050,749018,961738,1923573
519156,495894,536305,521006,474621,528257,742503,949204,2797970
523140,479354,552011,513346,461151,522675,714156,990758,1777583
566579,464739,529772,506655,471178,539053,710256,945078,1940929
551031,451179,526212,506479,479479,543196,711508,945335,4480018
580484,421139,533389,517236,488943,513278,763697,934323,1933527
559110,457297,537343,496051,464213,523389,778979,976860,1808951
542166,433547,551533,479240,459904,525873,712053,903443,2593246
568349,419067,548733,514525,452172,530437,738524,953316,1756516
562758,458174,521905,507462,463668,520631,765008,1164018,1715075
550610,487855,543577,489254,477918,532859,769364,995357,2509409
563142,458367,509528,517988,467468,539113,733927,930095,2344175
541480,487442,522319,507394,455854,495051,736824,963281,2092766
552316,401059,503697,506166,469042,522596,760126,973214,3123503
585782,440709,502506,499482,468278,517008,751918,1002499,1904730
554526,456222,548309,505555,458265,499637,759821,980320,1854055
533120,450211,510529,507145,474742,523717,763063,1247841,2798585
505180,450425,529863,512705,469240,517897,744662,1142062,1770998
556783,439573,522737,516392,465145,521282,742654,1115126,1810193
552946,417352,518697,490029,460899,523781,732303,1095902,3485233
588543,418220,490908,491502,461703,503493,735636,1092262,2172871
524679,421203,512889,502268,462271,520803,904156,1039331,2084568
540206,429377,503555,503757,473649,512983,683761,1111985,3148413
533676,428353,489424,493204,466371,541006,631393,1208225,1898362
506038,423462,498508,512635,462432,531399,660647,1079211,1722895
540915,420032,492755,494102,447384,519880,613203,1035470,2438109
542361,435715,487933,516524,462306,525616,657029,1045371,2014749
548286,438272,472315,494298,453654,531645,637040,1028602,2121688
505278,432318,469872,501941,460717,537280,625959,1043532,3021908
471691,454113,508067,510250,460795,532169,619168,1031264,1840986
516117,423531,490650,512550,461507,521198,617057,1048602,1746488
518062,425835,503840,478337,451121,539146,622798,1082848,2534890
498376,416510,504198,510779,463168,531679,610580,1780889,1777067
470079,420208,510031,489039,478683,533313,606328,1745016,1839078
485095,430910,497460,522637,460757,542329,604933,1572465,3233294
495653,419064,506608,490497,467625,528104,592464,1461680,2077146
465269,420454,492240,500010,469958,514418,589156,1545990,2029133
493747,438011,486350,485867,479614,524650,594630,1384459,2943478
507643,421448,494032,497384,453792,529999,607013,1240774,1870583
519430,431229,497490,498674,461527,514746,607685,1222619,1645269
481330,412985,472149,498804,465553,526846,584122,1217807,2462693
469371,409021,464756,491843,464715,524553,583895,1107433,1630317
487870,471513,492327,493517,460888,520660,594995,1108098,1667963
491767,407570,480325,494106,464468,511056,578226,1036306,2942701
502968,404662,476762,512022,453455,513895,555606,1059847,1888878
491230,408175,494239,484457,476995,526747,581710,992622,1806326
475925,441613,493914,506962,471923,513944,589790,1030372,2716000
507898,429849,477538,476715,465575,522187,696592,1019878,1697654
483684,419813,494523,486047,463865,521410,587846,1058815,1713659
485175,385890,482719,483926,460032,536749,605946,1024693,2594834
569097,418554,508784,494788,465567,544666,605734,1018045,2167580
567047,389999,1342845,492134,463345,520501,630354,984021,2212665
600040,394517,500191,500622,463360,523472,658381,999735,2879150
456906,404580,492705,490114,465901,513438,692017,975565,1973690
465819,418119,507834,499601,469539,521003,693893,1100047,1973480
449641,415652,507866,485943,476720,516019,638060,1422029,2424250
458514,528012,507077,508670,469503,521918,649103,1125949,1659127
531122,477204,489410,484698,458084,532027,690849,1065745,1639034
544197,402252,478392,500638,468154,860380,634238,1074458,3128861
552950,385903,476092,472148,482130,574381,638792,1253513,2083471
520875,415537,475250,488312,462298,544397,642572,1292460,2004027
560322,430915,421597,498474,454556,538452,614726,1065554,2886993
573931,420288,458223,475952,459500,545530,625308,1108910,1785428
524386,385823,439840,493334,464860,533991,690594,1111395,1803704
514370,391762,475184,492840,475559,556392,643258,1064172,2592488
445328,404006,426297,497223,465278,577121,643602,1110865,1916144
464674,416905,456084,499231,455130,544016,673554,1063660,2060411
438016,476296,436938,487889,478181,553641,661451,1057527,2989410
422866,460558,496602,498066,456973,570943,627054,1062266,1860434
458316,390360,428878,492180,478351,577766,646449,1071288,2062569
462475,375331,439169,494203,460500,569198,653696,1025495,3231269
449874,397929,423719,493210,459730,557126,639871,1057099,2070140
455244,395643,410359,488536,461864,588209,654958,1035983,1949215
480024,397657,431704,510074,480265,562816,637642,1199051,3376899
481823,412293,452790,488593,489270,557311,647184,1016690,1985964
470139,419533,439694,497541,440498,532354,636128,936077,1899810
505222,422321,419967,508194,469989,564864,613251,961742,3131906
543719,403191,434532,506441,452833,551730,698637,982463,1939717
526452,406800,432604,498475,468662,542292,618565,1149789,1773387
526800,392304,405883,499021,479293,544191,660222,1095845,2463699
693315,395149,420408,493811,464263,510743,644884,967902,1607324
593151,404308,411063,510966,475437,534750,631382,995302,1798738
536588,394694,385826,479610,467304,549563,617519,1093367,2931700
551044,412098,427328,484193,474557,538303,615235,1070221,1745524
551825,436883,421784,494701,461505,535978,653020,1554222,1686251
565116,459434,421270,496568,468230,545223,676721,1175072,2450340
553139,491703,398713,513983,477102,526558,629970,1425923,1593868
536997,459426,418487,497836,461268,515221,647686,1180033,1652442
516121,447334,427067,508983,478137,530685,637360,1143308,4388860
526092,439633,426826,482219,463545,540621,617839,1142652,2026846
523524,437318,432160,514239,468115,481428,711041,1057707,2041715
552391,443730,402392,484713,474918,528940,670376,1363289,2708968
570849,709801,419868,502633,475846,528559,714518,1231587,1796655
532749,578582,407494,504949,460591,530152,697179,1226724,1995727
426150,564298,389643,514636,465447,508863,651089,1111475,2538446
446747,592603,414429,506570,468870,538074,673447,1105317,1642880
435420,577024,405293,497847,468486,516142,667023,1041235,2058089
424549,575040,400506,496514,469845,513166,706157,1055809,3320627
475457,540795,403358,508870,457995,525679,642877,1006876,1943483
482369,535874,441494,488734,452929,530929,636607,1100461,1899535
443589,532514,429108,505922,466803,518365,678860,1414764,2587229
442570,579623,434641,487683,458895,536301,661797,1261191,3237554
457024,562699,429570,495920,458128,515680,653341,1286925,1758970
421888,497984,418492,497621,455951,518226,656410,1195161,2689323
456149,467958,421135,493161,459440,522535,644967,1224359,2019607
454082,429807,400400,510761,467954,521848,707621,1073000,1954159
454126,415838,423217,505703,479438,530933,652957,1046320,2578682
471642,453900,402889,499212,473728,511407,658204,1028456,1763147
477055,453412,410636,504153,457764,523493,732525,1035097,1676957
457682,465123,409292,489765,473042,513902,637725,1008098,2368614
447998,473249,413524,494127,473284,503928,659039,1008760,1567805
463644,460037,412113,485074,469187,506032,658757,974207,1805946
451909,458817,435524,508469,477234,502233,667500,987229,2782403
418143,522172,429552,481720,463383,515945,645737,974979,1881800
432095,475639,420624,511113,452001,532735,671661,1044381,1740660
464398,460710,415751,491566,484472,517539,632698,991530,2598377
449706,501701,434264,506061,459250,527885,643037,972024,1793267
455969,481727,417380,519760,456170,520104,661023,981273,1706594
456414,506851,413906,504232,466829,525403,668474,981787,2574477
482780,456984,417968,503160,465245,529462,684122,970086,2331403
463547,472517,435061,476519,478001,503253,676633,969265,2129964
487303,477684,413443,483045,469036,511924,690359,954499,3070478
420012,471317,422780,499827,481596,508337,640807,950045,1931888
436505,440740,413514,503665,465256,517235,673035,1089949,1876204
486181,405433,416689,506839,463014,523633,649602,1930567,2616410
473854,422535,438053,497387,465381,525379,908308,1551354,1747539
