FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096,FP32 eager b8192,FP32 eager b16384,FP32 eager b32768,FP32 eager b65536,FP32 eager b131072,FP32 eager b262144,FP32 eager b524288,FP32 eager b1048576
256163,291997,552227,583909,614934,651248,770301,774198,1140813,1299820,2098133,4084793,8446578,14087191,31341537,54187136,107461401
44864,52909,110386,95353,121355,145239,160508,251936,573576,902572,1786608,3595698,7958712,13672129,31194604,53709647,107171855
37546,46050,61958,90242,139943,132877,158919,205822,564036,854470,1728405,3529103,7918336,13515922,31290492,53805554,107075862
33215,45653,65694,76768,112440,133443,149815,270114,562048,810512,1717801,3550929,7947824,13551357,31101097,53918374,106964553
31513,41649,66176,75491,108614,127841,155919,303742,540200,985402,1701316,3611649,7908115,13549917,31295875,53719431,106975716
31242,40509,64011,88063,113561,138968,161318,373490,432178,900251,2041864,3550875,7865055,13543916,31181179,53941942,106973752
32864,39195,63347,74341,99401,141212,152259,457058,484489,869225,1730307,3606948,7912168,13584716,31014473,54028589,106864481
31200,41609,64142,74684,100224,135578,176389,246514,466594,1013951,1689977,3571484,7947876,13578123,31151596,53848075,106947588
29979,40279,75590,86135,122756,131663,158352,210337,443448,937393,1746330,3565050,7899633,13551182,31316864,54032631,106979320
30554,40009,61428,74250,120285,131078,176680,262295,614095,941382,1716343,3575142,7973989,13621658,31182603,53660228,107018552
29577,39200,65484,74258,113606,133020,155900,274769,541378,952065,1697124,3581150,7985454,13572827,31069254,54205325,105991703
29741,38879,61411,86863,116730,133441,171507,348339,499085,893947,1686541,3534020,7894030,13662157,31193477,53994212,107153563
31054,40255,64657,99723,118962,129748,163675,338247,461680,878320,1659974,3590746,7929098,13624875,31235029,53870067,106988719
30739,38048,62703,74248,120220,131696,158092,332536,440096,953923,1710287,3570157,7930214,13588216,31207461,62687821,107488134
29776,40606,65462,74116,120044,131908,144931,355712,588808,903458,1706640,3561413,7917262,13576321,31230062,59781488,106537656
28919,38677,60951,71770,119033,128537,149037,384190,573233,867620,1700367,3569305,7943603,13727360,31211011,49741501,111697843
