SHIR inductor b16,SHIR inductor b32,SHIR inductor b64,SHIR inductor b128,SHIR inductor b256,SHIR inductor b512,SHIR inductor b1024,SHIR inductor b2048,SHIR inductor b4096
12792337112,6541582484,6673324828,6609694606,6536607702,6507102869,6492263161,6508706350,6681369804
555390,911422,1899533,2814698,572194,814870,1842156,2187943,4179330
462007,803104,1606132,2711565,517078,726595,1238171,2813906,4050805
449697,781978,1602274,2410364,474143,655079,1092195,1765891,3185990
445170,787727,1539271,2401614,494227,600565,1057339,1689667,3602103
457044,800813,1485069,2275616,480174,618243,982290,1634088,3522947
449891,776811,1500588,2280732,452350,569654,1128330,1693840,2908630
453444,784360,1489135,2249021,462137,538649,1030502,1604598,3421191
439118,785390,1492097,2159462,453332,562283,1031558,1602030,3467682
439175,782026,1386545,2165976,455114,522657,970529,1519961,2874795
448701,755378,1389691,2111430,443917,510016,756236,1493829,4041347
451513,719340,1406410,2048331,459617,507499,829245,1482685,3838867
437734,741759,1394452,2041794,467904,493199,733005,1565653,2997905
436815,722580,1351382,1974982,404321,504495,766152,1523504,3636396
451034,731241,1329291,1948154,407848,453643,845055,1482472,3417853
442307,730478,1317171,1941921,422811,472096,759263,1421576,3318089
444601,713327,1305426,1912865,406233,446175,724974,1746219,3744291
433324,718814,1311337,1844259,403479,440768,703793,4731542,3569579
437976,737194,1297411,1850452,400701,436100,868762,1685230,3503509
445113,687052,1213954,1847839,390427,417565,683404,1488309,3885354
449200,684065,1206200,1779718,378607,421606,747209,1455030,3577514
437696,686078,1208968,1772366,369476,433377,965084,1546552,2864249
431796,682470,1213252,1767218,375104,417498,846391,1609087,3898552
443123,679464,1202913,1704526,379421,415054,701360,1508421,3701378
445502,663986,1147341,1701464,369033,408858,780083,1602177,2991143
435157,688432,1159599,1689483,356737,407704,777411,1495619,4142754
433591,686662,1148274,1697418,375356,394537,807581,1557924,3726653
445085,672716,1151223,1635075,372940,390365,900691,1574092,3021886
443798,669608,1141362,1735164,363349,402577,889421,1505911,3500821
412663,644297,1124949,1639203,338255,378814,639988,1531483,3260715
410498,639001,1087648,2580681,340738,399019,788503,1512204,2898663
418419,643693,1081440,2986686,350490,388770,1000846,1438029,3360079
415088,637432,1082882,2961762,337088,379175,868727,1381161,3748201
407615,639690,1091054,2741281,320161,379761,809324,1539191,3444439
409135,632824,1081964,2747877,333383,372154,650612,1487510,3901136
424150,642349,1085556,2572007,313043,380789,761327,1501854,3555136
395203,641088,1029566,2542733,317791,381519,653642,1423959,2923880
398892,628123,1030066,2534759,382690,366032,643234,1493781,3486476
414885,637945,1034600,2403170,371095,362283,735995,1638499,3450969
381502,617365,1035277,2388443,361902,374456,641841,1390560,2745092
378667,617518,1044527,2347010,372767,365058,830777,2010963,3495780
384629,604198,1031316,2224752,362643,344431,699356,1652375,4018261
375833,612302,1004087,2222414,358795,360939,666837,1518561,3170653
380808,605341,990584,2210890,363696,353818,731344,1559863,3662256
401007,614271,1003062,2120994,352952,362027,634095,1473632,3557171
356475,616132,992495,2114789,354058,351130,772449,1593580,2893285
356991,614761,984642,2097998,346158,361915,836581,1543530,3558048
366539,610740,987297,1977638,346123,352668,696588,1490749,3847653
358439,618737,986203,1989569,320555,359708,729504,1566315,3134233
361164,611453,939163,1990766,352017,350242,889422,1442356,4073970
365762,557549,953519,1885494,339895,381615,1000322,1393822,3850361
359269,556745,945273,1896924,347816,352089,863362,1494261,3000774
366683,548349,956853,1868458,354181,367193,705768,1499763,3554078
356774,542260,951021,1839750,316688,345617,1002882,1409423,3331803
357392,543631,956426,1807071,337220,372420,821417,1534019,2752647
364900,556721,967539,3860420,319540,360534,781325,1446421,3526071
359360,546675,917610,1946273,339736,387680,1047592,1429030,4145771
360778,550258,922527,1740700,349848,358211,746030,1482276,3157384
366041,544683,917013,1723162,352217,352835,795256,1459755,3680600
357843,548547,928811,1734908,355419,349075,985094,1328295,3583536
368225,559607,917905,1673178,316764,359508,1020624,1514174,2981071
356037,557414,927036,1651918,285935,351794,860519,1341500,3738404
369338,529995,919502,1640497,284644,359943,954868,1544515,3723913
345209,523639,855416,1641871,282788,359760,837894,1341165,2968799
337163,531734,853036,1607591,282277,350006,681221,1875026,4113221
348431,520162,856491,1573703,284404,357719,729911,1944677,3792661
337331,519839,842383,1565284,306303,364818,700887,2042479,3203454
339063,527590,848464,1574942,279898,357404,880629,1477107,3538334
346806,514818,856814,1531072,265459,356149,858780,1567000,3322535
337862,522073,853508,1523926,272800,365449,755224,1624498,2709937
346015,531416,867131,1505741,298051,361472,1002375,1548387,3259528
338821,522828,821293,1519683,266872,365185,926696,1529876,3247558
339233,532601,825923,1509962,297678,369025,782379,1561577,3524114
344525,518467,836875,1448666,283487,357513,774224,1559332,3886604
336761,519599,821399,1448226,262469,359280,936246,1509303,3675679
345782,504778,824550,1458847,298434,356281,878842,1501578,2873570
337114,500356,814533,1449450,304728,355952,1117597,1543124,3495865
343641,504440,829877,1404690,286001,355839,948272,1397533,3781690
338447,504448,841042,1401608,287157,364558,891144,1560996,3109571
336516,505282,787794,1396151,298561,350337,892031,1518771,4065932
350001,497535,794071,1414070,271773,356393,825089,1412513,3820293
336603,502893,795412,1408042,271150,356943,845873,1320272,2950152
325235,501740,793448,1363781,295492,362991,818719,1478642,3469433
322610,498921,782721,1356769,304246,351458,805524,1317528,3387563
322499,502600,790229,1369497,302078,351653,769113,1306042,2767951
330748,498268,803206,1345379,277205,345412,777480,1433541,4038825
322660,508739,792770,1353382,276720,374360,741541,1436782,4062511
332233,476122,759137,1309026,286907,374208,742159,1316606,3126088
323031,475271,746702,1303326,292342,362180,721924,1394918,3690510
329109,484213,760649,1311764,285655,357521,671434,1631580,3477774
316423,486247,758392,1312351,282786,353461,693283,1639258,3091134
324268,484459,747740,1302640,278364,355633,661133,1489527,3598525
317892,477698,759487,1277509,267400,363509,667856,1428027,3925710
318722,473138,756219,1272443,259219,362724,660042,1620323,3188197
327923,480422,761266,1266419,278214,362285,656615,1503034,5033532
319903,486527,731560,2432238,297591,356650,1650400,1456501,3845215
328900,482885,730962,1327936,261182,358373,3301406,1410228,3054453
319590,479450,734239,1236253,262584,361252,639701,1415961,3424944
330260,474814,731362,1229391,253913,356124,624850,1481020,3450840
320531,471668,721675,1253105,255119,352467,615985,1471154,3306023
322629,490304,735458,1245856,264063,353753,604325,1425256,3720233
305460,470011,740157,1233870,257107,364208,614756,1418252,3553919
306658,459767,729415,1244307,262251,362898,580541,1380209,3449099
313657,452602,723849,1237433,251139,356420,594516,1369660,3885865
303888,460024,707965,1246186,248502,351328,572274,1494973,3605314
312919,465018,707028,1243435,255525,367019,585631,1366716,2947183
303706,465436,708564,1239829,248885,363805,581602,1330350,3612159
309357,459195,707083,1233266,249121,360099,545076,1463445,3384241
303424,453937,702419,1243659,256046,371736,591513,1478908,2699328
310483,464284,705749,1240038,246999,343354,636299,1507690,4433370
305061,456653,705560,1235097,244356,352156,834055,1388748,3899430
317737,450319,708311,1240414,252158,371489,884558,1461230,3009015
303629,459647,698545,1228135,245432,343153,596043,1473437,3554904
308144,456886,681178,1245115,246997,340759,584887,1684012,3489301
304812,494067,682103,1238213,251603,360637,898131,1517126,2768116
306050,467255,679315,1243336,246308,367008,597556,1423404,4029642
303054,463023,692511,1245921,272547,359944,596492,1423907,3728845
308027,456773,695924,1249570,261242,371794,870698,1495942,3491234
310568,467083,676726,1242662,252614,363345,809605,1533630,3855457
304550,464579,676586,1246810,242226,359041,880420,1544297,3630163
315428,465999,685760,1260730,246020,370631,576493,1425647,2961817
303260,465039,682007,1242206,249613,346517,857095,1560639,3761858
300689,464117,686325,1261701,265338,358772,609223,1501649,3658428
292814,464810,685718,1245754,243597,372660,591172,1433757,8339680
296489,469394,664496,1237124,251254,364857,597929,1454098,3299009
293456,454953,658317,1243932,264720,353656,581432,1463985,4837443
296523,461870,691263,1246199,269313,366919,687025,1542718,4235703
293312,469196,670748,1251002,252454,359230,605199,1354556,4791813
