SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096
236337,232023,299636,360309,483267,710710,1388034,2854370,5363078
210840,220789,296371,354221,482402,712872,20506116,2378056,4542366
208827,220246,290685,347953,480511,740980,1383545,2367921,4474834
219740,216564,300945,349813,482220,721445,1379046,2358563,4490205
202493,216585,293424,351883,486480,721401,1358119,2368239,4481141
204262,214939,291826,360779,485002,726110,1368307,2354380,5165322
206632,229140,292380,352892,479278,717504,1340164,2370517,4492010
202828,217168,303604,351430,495772,726158,1381585,2358756,4791437
209786,217194,298189,362922,478984,715751,1340062,2369531,5388912
205360,216534,286579,360426,496502,1361460,1342980,2365515,4526072
204525,213504,289734,367361,480626,705010,1370919,2376311,4584836
207175,218572,302213,354351,498371,724348,1388586,2564257,4438518
203242,218324,299468,353050,487551,710145,1387923,2384775,4678970
200486,216554,296733,353429,475833,702264,1363121,2398259,5421004
204207,216181,290391,354162,479067,723000,21131898,2389867,4523754
201464,219345,288816,349164,481256,732661,1374737,2368046,4440735
208684,216915,301326,352167,480399,719003,1397921,2400995,4445147
200529,229048,305278,353386,476921,754324,1359971,2355073,4441058
202177,216596,286652,366313,501895,733899,1370973,2363125,4965445
203267,226605,292139,351560,489933,721688,1357713,25041267,4647281
202779,215523,291406,359975,484479,736429,1373519,2386177,4494695
208567,215548,295936,355561,482487,712035,1399095,2380415,4437280
200561,215363,293150,355143,509885,714828,1389490,2387375,4482386
205898,215264,293583,361225,478270,721157,1371293,2365200,5238524
211389,222895,306530,359471,479480,712900,1387148,2371224,4460033
199506,223261,293593,377929,2603623,710785,1379801,2341545,4670193
219687,219182,293679,357614,480555,725029,1439722,2369394,4547252
215031,214139,286266,352415,484126,713892,1380177,2361013,4477215
202281,225748,290711,350484,484534,719606,1392533,2374887,5286611
204901,216770,293354,350423,483280,717175,1349686,2360540,4478299
199072,215288,293327,348249,474412,714045,1365050,2557160,4423611
200572,215406,291210,352852,479864,701413,1365847,2400002,4664424
208240,216499,291408,358966,479153,715925,1366146,2397398,4517732
198545,214380,290823,354683,478499,723204,21058594,18757029,4474363
196321,214801,301015,368705,484998,708924,1398578,2383222,4450375
201856,222232,295245,349405,481893,718181,1353969,2407986,5057648
198307,215894,291906,348496,479125,712930,1367773,2377986,4464928
197804,218867,289822,350678,478261,724685,1384495,2357378,4436634
198680,216624,322728,359580,499559,720894,1365707,2360664,4715486
197196,227415,312546,358837,470356,713777,1364181,2367600,5622807
211457,217501,318487,371590,475698,725970,1351322,2376364,4528025
199527,221170,305354,348037,498669,717819,1384277,16639864,4510016
198920,217321,285763,348913,481215,713404,1381765,2413220,5067120
201291,220021,291472,351261,480726,724582,1352653,2373823,4597839
201401,213475,288270,352366,489193,722037,1378892,2407662,4477570
204931,214697,290833,352628,472877,731669,1382582,2355978,4427288
201098,214434,313025,351296,476153,709255,1612580,2563000,4496194
195332,219213,298989,352341,479899,16734802,25230953,2392992,4437466
220451,221982,293835,351530,502541,1054700,1279827,2408517,4490076
202254,213883,300367,350931,483532,725959,1326132,2395462,5253704
197139,225960,292931,364186,477473,740385,1313347,2383993,4656487
201429,214505,287220,354529,470501,733403,1302657,2357091,4522634
195879,220671,292088,351912,484677,710751,1295831,2360530,4471093
228509,217416,290098,354001,481451,718428,1304075,2369509,4807734
200405,212329,297365,354027,480663,726585,1292763,2346284,5082480
196260,216482,290729,352420,486537,708345,1284333,2383053,4494942
211627,216264,287544,351818,491015,744187,1294638,2349339,7776392
203971,215719,287314,351321,477714,731787,1290037,2387193,5400966
198374,211978,302194,347219,486326,745571,1357368,2361463,4482563
200451,223399,302257,354159,473704,721476,1388647,2393996,4397778
202582,212960,285368,3130850,474485,737141,1412036,2378293,4457683
207439,219841,285621,352284,479255,721782,18305208,2384566,4440602
199415,213075,291940,352744,488691,787303,1413213,2366697,5397600
196664,220221,287305,365930,484961,739056,1402931,2363776,4549140
212553,219487,290386,344660,500621,709692,1392608,2383041,4484472
201926,217904,289397,348178,479696,749487,1409558,2384801,4433544
196281,214941,288178,348309,475903,745956,1345697,2565298,4439763
203549,216480,299056,345674,477407,709542,1345347,2406814,5203487
195143,218074,290046,349920,475839,719196,1342052,2399093,4460915
203889,218810,282568,359812,483961,738928,1352630,2377223,4667582
199686,226349,289241,348750,506735,4044417,1347063,2667197,4540405
198750,216082,301474,348009,479034,928430,1357612,2354106,4631898
210515,216834,298323,383052,478085,726344,1385895,2451192,5272740
198503,220528,286863,359008,481182,708387,1350350,2345768,5579942
198151,217066,291035,347852,474485,1037165,1397101,2363041,4645498
201387,217752,288874,347187,473184,27980848,1365339,2353275,5497248
206233,215917,293751,344744,476309,1375391,1409904,2345868,4519727
196973,219826,288561,346358,3742117,790799,1383081,30283526,4431465
204506,216443,290153,349082,475837,777020,1360850,7009838,4459059
200950,218684,291676,349182,480661,757286,1366848,2362191,4419038
207586,215398,294414,346989,490926,789756,1348438,2380013,27810264
201136,223725,291132,348361,472051,759084,1365208,2376902,4650184
198573,218002,288255,351514,474775,771433,1389865,25068473,4511294
200386,217877,289218,354837,473261,749247,1362675,2586935,4482804
203411,218669,293967,347150,471008,752926,1375873,22640619,5276877
198102,216525,287967,358581,489853,799083,1394724,2412019,4505808
201570,214696,299693,352135,488840,746410,1371750,2402687,4423713
199125,217423,288157,353371,482722,773628,1373776,2360733,4679686
211368,217690,286908,350860,485828,759053,1372877,2364618,4512502
195994,214549,300450,361598,477373,745605,1385927,2370790,4449885
198406,232197,288664,353934,478977,759641,1384896,14719032,4420681
202326,216720,4184239,373221,475627,747539,1378707,2357163,4408677
201274,229889,285546,353128,485557,766756,1366881,2354041,4436532
197153,223671,300875,351569,479214,736696,1368047,2374204,5503905
200620,219798,290872,349036,475776,738657,1370365,2347728,4578835
199791,217426,326902,348326,477635,751232,1400220,2351646,4469837
206840,215624,306587,350878,476777,742215,1390224,16809111,4427720
199513,216272,298034,349903,477364,21142976,1374940,2414488,4470074
200643,214929,302592,350460,476179,751688,3845389,2403026,4463045
198683,220307,301817,356032,483091,736903,1392612,2369963,4439834
199700,222001,295288,346328,502289,753681,1384097,2365376,4653882
196707,231970,292522,356027,491587,737286,1396216,2357201,4554340
201352,217557,294144,352874,483587,740147,1356915,2596557,4462324
200363,230215,300329,351091,485334,732839,1383925,2401606,4420145
204214,218730,294742,350666,480626,738162,1364616,2389493,6028096
199775,224100,293039,352033,471795,740302,1366532,2394414,4641022
196755,217185,290822,355741,485642,747191,1355098,2357665,5445724
206349,217696,299728,359461,479362,741296,1380279,2359708,4513841
199280,243153,298619,349009,477124,727395,1380295,2371828,4468551
202619,247574,292205,350383,484327,732162,1349848,2318163,5033523
198605,247372,293724,352932,479236,726933,1386021,2358898,4502119
196172,243128,291211,356976,484552,726231,1358859,2339506,4437422
207451,239336,306460,353514,478108,730497,1381514,2366779,4680445
201731,268383,295953,353373,498426,783635,1360035,2336822,4482135
200223,259235,292625,347468,481560,753624,1352732,2371742,4448403
211516,237906,289800,350428,497188,722096,1319460,2364852,4408020
199868,239084,297818,347055,475661,724569,1357229,2352906,4415107
197826,256897,294618,352689,500845,728506,14406019,2358689,4379766
202820,251493,293303,355283,476633,719756,1387931,2348486,4717545
195980,243045,293792,353557,475739,721921,1377756,2336329,4506602
3890654,234187,295343,349597,475343,722050,1384801,2350312,4447654
211834,236566,298725,362347,509139,725189,1373797,2550359,4417007
202392,289781,294516,360020,489353,728047,1365293,2385598,4408499
197193,339041,292294,359459,490789,719976,1535704,2365811,4368626
201331,270940,293714,366298,492648,725128,1286166,2368687,4668240
199741,279772,291828,353174,483859,721672,1241368,2374978,4496327
200007,269750,294360,349626,497042,719200,1244319,2341500,4491606
201680,278675,289465,346599,479164,719780,1323405,16155345,4396467
