SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512
215756,220863,248448,293719,326179,374064
205725,215789,232068,289129,298126,371908
196032,211749,232751,291575,326763,379683
195861,204424,238821,304718,302296,406447
191869,211868,240081,285711,309282,363407
190072,207135,237363,293678,298476,372009
191923,207306,226632,278366,305285,359881
189378,208916,229201,278995,300695,376618
188818,207162,236861,279950,312747,382318
195475,205666,226062,278526,294042,386457
191051,209607,234186,281451,324734,9157545
192877,211440,234607,289902,312420,386310
205535,206906,224631,288375,304905,381919
190895,216000,228791,277748,302242,367154
189344,215051,230184,277004,309455,393186
192778,208559,226488,283166,299127,384158
189339,208397,238733,276437,324557,393240
191443,207944,226940,274017,297853,375591
195801,205148,232505,280360,314069,360326
192055,206789,233317,284344,299415,382030
200706,216719,225110,293495,327544,373167
193917,206190,227441,275980,297098,429452
193842,204673,225594,274076,320658,427361
204153,210656,232010,279643,306931,395114
195489,210183,246817,272719,327296,407407
192428,213939,243390,269361,296889,388328
192938,205761,247041,269648,321209,380354
190888,2110053,234020,270645,291120,378307
196791,205931,223038,268594,306244,363294
194144,215478,225564,266378,304826,391650
190013,205317,229593,275608,303252,372001
198172,200891,224850,265327,295309,378865
192888,207379,225058,277657,303789,398151
192316,201572,230072,290043,319286,376025
191543,202596,231912,266584,313866,376665
190671,204377,242199,277780,294683,380623
190199,215720,224468,265161,306414,373894
194448,207164,225303,265339,295691,359252
191060,218352,221544,263727,302643,374479
201231,203691,225911,262520,301646,375770
190848,205148,234746,263629,301660,379027
190225,205214,222703,264671,297954,362227
197555,204664,222766,266345,304964,358825
192079,206199,233346,265930,305280,360968
192555,204236,225598,264456,308864,378065
193032,211347,230566,264683,316447,382717
192856,202983,223296,274187,327220,382360
190995,212709,223874,259234,295008,8663867
194241,207198,236195,263815,308138,394447
190195,201476,226024,260234,305869,388657
197732,201955,241230,260276,297493,379822
189853,201009,224503,260622,297837,404094
189886,201897,227124,274309,305860,425949
198207,212610,224955,269597,298870,368490
188930,217326,221257,263772,305171,363763
190349,210245,224078,263042,313501,360884
190148,214619,232096,267525,551059,357278
187581,204268,222391,266945,294542,371715
186389,204712,223733,268572,304373,374818
191528,206614,223394,267794,300140,359010
189194,201693,221925,2833580,301142,374158
198313,205714,232095,276107,315242,375488
190925,205702,222579,263861,303537,379760
189792,210892,224559,260005,313809,365031
200426,204886,233603,257094,307129,370694
188800,202443,223361,260125,300856,373003
190497,205291,230020,261520,302657,382047
201704,206732,226674,257125,297765,375237
188267,207008,224480,258075,301802,378456
187721,207212,259930,294900,303099,379306
192877,213048,239498,289915,320422,383252
187012,201983,227097,287641,291181,369081
187650,210405,236525,289581,304911,372677
191947,206855,224511,285135,295615,439055
189451,210008,227271,285014,310994,446770
197119,206536,223278,280630,294503,381607
188529,204168,223626,295210,309748,371571
189217,223753,230101,291719,294095,387017
200426,221832,225273,288438,312148,381813
188254,205428,232390,285637,302206,369597
190040,201840,232643,282294,303840,377777
191351,212980,230029,285814,296162,378255
187204,201005,227097,287903,327119,372091
188170,207617,227251,289087,322571,368538
191340,200924,226438,287250,308943,381460
187593,203459,233627,288834,293477,358413
190104,202693,224522,287629,302231,370641
187992,203059,229896,287247,296642,416255
188540,215124,233218,296168,312230,378582
195584,210731,231566,288585,292737,374756
188955,214528,229376,293731,303899,373249
186145,207539,240028,293993,296423,380170
190410,202401,232256,280166,303308,373080
189238,205875,1462375,279865,297552,380612
189676,206182,286413,278501,301840,360672
192265,204212,234245,283901,312640,389196
191800,202372,226156,274649,306545,372407
200303,211437,242484,273700,299318,358677
189533,204110,226009,275657,305540,364028
190420,204885,225760,283158,296187,358579
201063,200447,225410,275152,304458,358765
190294,202961,245960,277686,291621,388615
186637,207855,244451,278671,328790,356803
189872,203414,223680,273326,299291,357835
188271,209354,224987,278413,301975,365616
189000,206861,231090,274703,293694,381752
191814,213670,227360,276951,302362,362431
185727,204189,230447,272369,305037,379585
193296,216766,223936,273081,299023,365838
189295,204302,232705,275754,300698,360883
188644,211223,235692,276655,305067,370871
199259,206279,227368,273227,302113,366898
191916,209601,227860,276652,315568,362031
189174,204252,242613,273980,4381374,365391
199091,206822,226602,272447,461865,5954771
188469,214481,229528,272943,320823,386370
186690,207345,224053,274830,333163,376655
188963,208884,225479,269751,315140,365278
187745,207916,237336,269345,311263,378234
186276,201951,223256,278332,307020,372705
228703,206604,232403,268757,311310,389240
191617,203751,239081,268104,301475,361266
194215,203764,251550,267681,322089,360221
187006,203394,240155,269209,301379,392378
181985,218438,231817,279819,310881,365651
192806,205284,230734,266956,299422,361106
183407,203127,234899,279738,309970,360520
180669,209163,227464,266374,317125,376157
186144,203702,226637,266934,319052,389049
183185,209052,234410,265929,308724,375367
181045,204910,231832,279491,313649,360865
190436,215097,228969,267250,295181,393856
182962,207109,229979,266016,307869,369216
184060,214747,224889,263374,300113,362020
190575,203129,248027,267271,331118,360598
185557,204469,242408,263187,309164,388091
181045,205869,231239,266630,308911,368053
191355,203889,267429,264585,296187,373106
180083,207564,225778,274070,305458,378206
184610,200180,225174,266696,301598,389982
5614499,214809,229641,264734,311099,455693
184278,204223,233007,263187,300261,361507
184030,215183,231594,265375,305177,377263
180406,203121,221350,262541,302453,385107
180001,200684,230192,269290,309277,365346
188746,209919,242126,272732,309767,355672
181381,205192,222833,274804,304263,355861
179584,204673,226737,272920,302774,363880
188173,207606,232270,276187,307951,378246
197890,208883,220248,273475,300813,367401
189991,204393,225336,273642,317979,373618
193641,211652,232832,274365,299102,373168
181149,203692,224843,271070,309469,389893
181097,202744,236339,269311,303108,388166
180293,202224,225671,269346,305826,380356
181606,203604,225617,271942,299651,372143
179341,203154,229106,263909,313038,368114
188275,206031,221726,264045,316187,390148
178326,214921,233821,274079,306305,358126
179595,203830,231657,270281,297224,374714
191370,201664,220927,2022538,309332,363087
181658,202049,236250,262217,308676,391975
182505,206783,227601,259144,309185,357553
197250,205250,224412,263605,299612,362692
181845,203977,223108,259979,310544,372885
181894,213378,228772,261002,297796,8724472
188681,202477,241439,278502,325724,376020
180556,212955,231907,261451,299269,375515
180524,202837,256181,262085,313746,381386
186119,204369,251386,263085,300126,377742
181009,199590,227517,262330,325298,372289
180774,203188,227418,259660,300915,374501
193528,209642,230611,258094,306056,367194
182512,207591,223806,257112,308218,375265
178763,218609,225981,276864,311995,375629
192729,205740,245039,261617,297664,363391
177934,217172,244623,258996,324406,373906
178427,202415,249250,259526,301443,356883
194199,210041,232907,260144,305547,362594
180466,208031,225944,261758,304340,374363
180489,205508,231754,275506,312069,380674
186040,206765,228364,258760,297601,729072
182848,206130,225211,259657,307453,427042
180527,212999,224036,257480,300105,394100
189593,201253,236511,257664,309730,387653
183476,213765,233301,262398,306513,394299
178060,205411,226057,257567,302156,402943
190024,204800,227718,260402,4167728,383399
182792,205356,237273,277730,428934,383007
184359,203965,238754,261145,321660,396591
187587,206748,224592,260134,322186,386601
182351,204914,224834,258987,302997,11191862
181140,213716,228958,256034,313816,375310
188370,206677,243215,259518,318752,378593
181897,212573,235327,256975,306832,387821
179791,202892,231665,260098,298053,385955
180863,204515,236022,259078,309682,383243
180770,205707,223828,284201,306270,383989
179176,206775,224965,273539,327621,392341
181449,209086,225761,255976,315296,365051
180994,210486,227689,259513,308856,368805
180926,215786,268971,257715,300353,383306
179077,207948,229025,259103,304349,377364
180559,210551,227637,255882,302265,370064
181400,206938,236905,262865,307596,373793
178585,205205,229111,264716,297977,370803
181052,205698,232237,263102,307791,369052
180868,205184,224596,263491,299465,363244
181006,210043,221178,278130,303295,379108
182184,210720,232092,266197,307851,372512
179602,217166,232958,267292,327290,387915
181656,208011,225060,261952,297399,378385
182435,214332,235356,284213,302147,376567
181155,209908,225508,267525,316198,369431
181165,208486,241563,265788,302169,380665
