SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096,SHIR FPGA b8192,SHIR FPGA b16384,SHIR FPGA b32768,SHIR FPGA b65536,SHIR FPGA b131072,SHIR FPGA b262144,SHIR FPGA b524288,SHIR FPGA b1048576
215756,220863,248448,293719,326179,374064,754479,1547457,2145118,5769610,9608677,16634272,31134799,74889466,150386006,228098202,435719245
205725,215789,232068,289129,298126,371908,760187,1181449,2145322,3856898,9623269,16323247,31306990,74756142,159308353,227904485,434440753
196032,211749,232751,291575,326763,379683,739007,1216836,3227258,3886712,9549231,16849586,31282890,74964668,167300388,226833653,434323876
195861,204424,238821,304718,302296,406447,722163,1170036,2057926,3885279,9999148,16434729,31063454,74885776,169818987,228449477,434050024
191869,211868,240081,285711,309282,363407,756576,2910425,2002292,3932279,9679094,16762135,31199740,75069506,154133590,227628953,432977977
190072,207135,237363,293678,298476,372009,709608,1316549,2046297,3841021,9893681,16545206,31077824,74668374,191751025,229104612,434127077
191923,207306,226632,278366,305285,359881,746352,1132588,2201010,3922250,9671312,15483928,31204643,75093678,172254987,228849906,433994693
189378,208916,229201,278995,300695,376618,741110,1141217,2059227,5736461,9648391,15916333,31175388,75002768,174376892,228899893,435097029
188818,207162,236861,279950,312747,382318,730216,1193295,2055228,3807742,9605660,15489012,31238532,90020702,167249665,227638811,437077978
195475,205666,226062,278526,294042,386457,740367,1196235,2197168,3922037,9638026,14560840,31153772,74941016,156843788,229767231,434267043
191051,209607,234186,281451,324734,9157545,756404,1248160,2025366,3953131,8260272,14543150,31255909,75011993,159621471,227655747,431786140
192877,211440,234607,289902,312420,386310,769078,1153067,1950601,3896033,8809662,16054794,31219813,74797474,159253114,231213394,433529170
205535,206906,224631,288375,304905,381919,740971,1333651,2233573,3806500,8250838,16452856,31168317,75048962,190017050,227758870,434629421
190895,216000,228791,277748,302242,367154,719705,1186051,2143637,3908129,7231031,16755890,31254168,74706449,206894782,229611623,434406277
189344,215051,230184,277004,309455,393186,734604,1178357,2075070,3825247,7228307,16757005,31212592,75169963,186372105,228154316,433138068
192778,208559,226488,283166,299127,384158,725252,1166539,2048221,3851690,9303741,19170339,31251477,74856956,162513761,229340275,434333458
189339,208397,238733,276437,324557,393240,757813,1178137,2104694,3947628,8200251,16751060,31271285,74782387,153404597,227934159,442743554
191443,207944,226940,274017,297853,375591,753865,1195494,3324081,3894937,9022046,17071350,31222278,74861329,164753953,229875412,439885913
195801,205148,232505,280360,314069,360326,750844,1199407,2110659,3829687,9738704,16818862,31162422,74702840,156712239,228738606,433996468
192055,206789,233317,284344,299415,382030,755869,1180621,1947455,4037293,9675674,16858781,31213279,75089680,168081766,228067788,434143463
200706,216719,225110,293495,327544,373167,731505,1132213,1998525,5756449,9660713,17157617,31501820,75112653,190601259,227039604,434082125
193917,206190,227441,275980,297098,429452,722723,1151592,1993290,3918271,9809864,16904179,31408343,74997714,160103557,229253863,440601429
193842,204673,225594,274076,320658,427361,731739,1185812,1952773,3921252,9754342,16604132,31393542,108793467,168806197,227083826,435554636
204153,210656,232010,279643,306931,395114,742690,1621427,2093137,3862056,9978639,16821657,31332540,74934867,181133379,230053653,435888602
195489,210183,246817,272719,327296,407407,735211,1161828,3449012,3829725,9985573,17048715,31268787,74869334,179143522,227068504,434495636
192428,213939,243390,269361,296889,388328,713052,1180870,2126257,3909767,10148251,16539715,31291605,75031864,183205119,229223808,435965114
192938,205761,247041,269648,321209,380354,754462,1169809,2097820,3901943,9666300,16980461,30357670,74770566,180141250,227519405,442695357
190888,2110053,234020,270645,291120,378307,733924,1175940,1987576,3867787,9752106,17005632,30428489,75005854,155940091,229529813,432887498
196791,205931,223038,268594,306244,363294,742934,1150992,1978081,3869474,9793489,16602753,30379345,74985700,185538756,227695547,434520206
194144,215478,225564,266378,304826,391650,713929,1165793,2243251,3815539,9630243,16496093,31131402,74969177,157264463,229381592,434841811
190013,205317,229593,275608,303252,372001,727105,1138225,2171705,3898793,9748755,16865595,31198983,74907743,173730641,228024553,441357948
198172,200891,224850,265327,295309,378865,752761,1284414,2037761,4007812,10003412,17061936,31346835,74958130,156947427,229711186,435412205
192888,207379,225058,277657,303789,398151,745386,1343995,2036753,3920792,10501052,16937494,31301434,74902909,168263503,228840525,437214092
192316,201572,230072,290043,319286,376025,764255,1235177,2003460,4037599,9928687,16508979,31101684,74730562,204909045,229679964,434547135
191543,202596,231912,266584,313866,376665,735517,1513643,1964880,5762081,12879908,16824690,31215405,74208287,180557201,227752174,437529544
190671,204377,242199,277780,294683,380623,708470,1397791,2129912,3755179,10089492,17005304,31215089,74296138,185859484,229041700,435397539
190199,215720,224468,265161,306414,373894,770231,1352686,2141098,3984786,9895956,16815285,31555249,73434264,166777829,227900882,436091366
194448,207164,225303,265339,295691,359252,726047,1282723,2046886,5571561,9827183,16716501,30537995,74275620,170211313,231126489,436263519
191060,218352,221544,263727,302643,374479,710119,1226741,2044848,3622552,10335611,17046092,30323220,74176120,179786771,227306942,435473125
201231,203691,225911,262520,301646,375770,740675,1180980,2004435,6762867,9652279,16521667,30445033,74174315,172998882,229910911,434697420
190848,205148,234746,263629,301660,379027,731840,1207016,2073899,3824047,9678482,16969210,30274952,74914859,188460722,227344807,438218983
190225,205214,222703,264671,297954,362227,713925,1200476,2229628,3891971,9875259,17008952,30251069,75076580,171589469,229728863,436853446
197555,204664,222766,266345,304964,358825,747939,1174637,3316328,3830834,10364964,16566815,31133590,74814840,173148013,233985267,424155699
192079,206199,233346,265930,305280,360968,706741,1153534,2074480,3849197,9917864,17849007,30352126,74832591,184174135,227607667,446750978
192555,204236,225598,264456,308864,378065,747755,1104402,2023581,3742321,9850360,16885893,30222457,74865286,165433448,227391660,425736747
193032,211347,230566,264683,316447,382717,699351,1130032,1997044,3949795,10096677,17052769,30319025,74869285,171490062,228101254,421383910
192856,202983,223296,274187,327220,382360,952291,1087226,1954174,3817301,9955718,16623731,30325652,75256567,164541404,225740818,429055004
190995,212709,223874,259234,295008,8663867,953770,1092820,3358839,3921974,9753332,16911088,30114443,74835879,179572349,227525496,438344423
194241,207198,236195,263815,308138,394447,781064,1116728,2086015,5577547,9734821,15187129,30224885,74898109,171699282,228228045,418520358
190195,201476,226024,260234,305869,388657,787953,1501486,2088893,3833578,9822791,15914103,30432985,74797527,165514583,228105003,443080653
197732,201955,241230,260276,297493,379822,759882,1130325,2002181,3861169,9730233,15318682,31147112,75495046,164550054,224850380,446832790
189853,201009,224503,260622,297837,404094,774707,1112507,1980010,3928571,10069832,15732300,32519875,74759037,189149052,226663660,446361637
189886,201897,227124,274309,305860,425949,754753,1343817,1955126,3903747,9647761,15304928,31288222,74952758,170574501,225891725,433729483
198207,212610,224955,269597,298870,368490,722421,1201124,2085763,3884349,9644778,15906400,31050362,74913652,162062064,226063879,428935780
188930,217326,221257,263772,305171,363763,723033,1085904,2064780,3873951,9663561,15856777,31070942,75180180,170495720,225412337,439781115
190349,210245,224078,263042,313501,360884,709986,1106974,2081530,3861760,9684087,15582469,31084678,74835086,181510164,226129347,419470409
190148,214619,232096,267525,551059,357278,723098,1108264,1977112,3922136,8216925,15292711,31035888,75222718,183215032,225613683,421005977
187581,204268,222391,266945,294542,371715,753716,1141032,2036268,3810941,8857747,16130409,31137077,74940993,198995879,226054553,428211995
186389,204712,223733,268572,304373,374818,722470,1117961,3288970,3818885,10041168,15351088,31197478,77364882,172638892,225103084,437776957
191528,206614,223394,267794,300140,359010,768897,1143427,2117097,3882500,9922260,15778835,31087053,74756595,160263146,229272420,435680594
189194,201693,221925,2833580,301142,374158,981563,1122111,2146820,3874688,9707719,15582381,31096697,75294258,187444459,224972674,435480726
198313,205714,232095,276107,315242,375488,715343,1088337,2042128,3834400,10071370,14177450,31124632,75049998,195079229,226502124,443009078
190925,205702,222579,263861,303537,379760,714990,1100066,2036438,3922640,9933061,14192162,30943539,74947913,159138214,224793938,443825032
189792,210892,224559,260005,313809,365031,738714,1061982,1973900,3863219,10007305,15936043,31434379,74933291,160783338,226614474,431612600
200426,204886,233603,257094,307129,370694,737629,1094838,2013870,3856374,9608658,16662554,31111886,75389204,179406190,225918626,446997913
188800,202443,223361,260125,300856,373003,781303,1165479,2224747,3896496,9822020,16571118,32480360,74809842,182491223,226011738,428189947
190497,205291,230020,261520,302657,382047,779129,1076707,2135085,3896262,9756398,17133133,31297508,74911818,159906302,225421091,425950044
201704,206732,226674,257125,297765,375237,743428,1067308,2067911,3885015,9855494,16831329,31246089,74803113,162663265,226116217,445524477
188267,207008,224480,258075,301802,378456,739763,1356940,2094360,3952417,9867730,16973922,31261407,74729626,155777677,225277769,428009119
187721,207212,259930,294900,303099,379306,742804,1221476,2037465,3887405,9933094,17411154,31184129,75056797,179060941,226027320,449774418
192877,213048,239498,289915,320422,383252,732065,1175353,2003365,3823549,9872149,16948870,31334339,74984750,170444754,224755663,428925824
187012,201983,227097,287641,291181,369081,783898,1084097,2214363,3880392,9657085,16564490,31260719,74866646,192103007,226442222,466834931
187650,210405,236525,289581,304911,372677,768072,1098969,3364297,3865940,9752578,16776539,31360267,74692474,202383968,225712457,431433648
191947,206855,224511,285135,295615,439055,745321,1102567,2032355,3898896,9700127,16959198,31263942,74797556,169193744,226809673,417525755
189451,210008,227271,285014,310994,446770,754425,1113205,2014159,4009448,9663513,17344629,31239187,74699199,173229232,224798950,445187273
197119,206536,223278,280630,294503,381607,737007,1058313,1973863,5708021,9660871,17125706,31470494,74865249,163786185,225374800,416484661
188529,204168,223626,295210,309748,371571,723661,1066392,1979941,3759585,9672610,16766742,31374432,74926991,161934418,226813706,431306340
189217,223753,230101,291719,294095,387017,758608,1064907,1943081,3935858,9686605,16889272,31220432,74725992,182716465,226535346,427416430
200426,221832,225273,288438,312148,381813,765648,1089659,2074772,3797930,9690453,16616608,31711294,78005867,175498807,227041714,433221529
188254,205428,232390,285637,302206,369597,777148,1087936,2132915,3951432,9751029,16773486,32356925,75014089,176574762,227270468,446665445
190040,201840,232643,282294,303840,377777,716189,1107637,2079033,3847018,9764287,17333016,31110753,75110921,192071660,225521781,430886282
191351,212980,230029,285814,296162,378255,725668,1096503,2031641,3942045,9683894,17064233,31192574,75360004,177691342,227249333,443989828
187204,201005,227097,287903,327119,372091,731978,1102637,2033346,3854271,9866026,17393214,31227551,74885002,180265137,225493021,444202817
