b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288,b1048576
4042609251,4201034273,4235920083,3287221681,4197217723,4063569317,4086111274,3934097311,3934388497,3009501245,3316562688,3162051230,3930579556,3173437385,3063143950,3016403824,4088421308
51016,52675,56503,60854,57858,51840,46318,46011,44786,36922,51829,46636,58476,38560,38439,43998,47498
33335,35271,38021,41065,36272,37786,31374,32706,39468,33564,38857,39748,47628,36683,43209,46911,65396
30912,32312,36822,34091,31206,30729,24446,28421,34160,30567,38622,41212,45991,36356,36389,49037,52362
30217,32143,34068,33910,31060,29232,23251,25997,29673,32100,34704,41844,50789,34903,36353,57526,47314
31006,32304,33093,32826,29347,27367,21831,30096,38905,30199,36949,43448,45294,36788,34479,45433,47883
31817,40465,32934,30554,29100,26112,21190,22413,25918,29498,33213,56433,43189,37495,36510,48516,46370
30381,29896,33281,30836,29215,24545,19883,20322,39486,29315,37922,43452,44838,37840,36709,233010,49804
31202,28037,32966,30856,27316,24369,19041,19458,32448,29231,33571,43530,43821,37412,36890,42500,84074
28183,27500,31225,30126,28056,23487,18432,19506,30724,30718,35416,41729,44211,36414,41011,42544,48722
29128,27980,30558,28699,25963,22440,18887,19821,26649,31266,39024,42914,44442,36771,36125,40702,55974
28129,26802,30812,28410,25659,22808,18287,31029,28186,30707,38680,41419,44165,36223,36744,46309,58272
28727,27929,30255,28111,25088,21375,17285,21247,31427,31142,35708,43711,45356,38389,250852,41967,116091
41848,27532,30875,28293,24583,24028,17193,16011,27537,29612,45373,41251,44128,37320,37821,46570,377641
27809,27450,30291,41886,24954,21716,16174,14519,26314,29640,38283,41848,44477,38260,35836,41957,52394
28660,25980,28658,26783,23930,17332,16226,14259,31945,31824,34789,36219,45554,36265,36499,40016,57168
28807,44040,28796,26692,24237,15450,15834,14158,31029,29990,38940,39718,44175,36451,35126,48505,122501
29161,26107,28614,27443,23198,15027,15247,14786,27377,27849,33181,39583,44753,39243,34902,96462,47672
28374,25905,28486,25640,22669,14870,15922,14020,26472,28621,38413,41591,43024,37565,33925,40747,99626
28504,26798,29140,25401,32786,15028,15095,14611,25983,30398,33801,41085,44265,38618,35972,47361,42743
28793,26236,28847,25535,23318,14717,14794,13501,29185,30815,34301,38998,44190,38822,39139,41702,42944
