b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288,b1048576
20596,16746,29244,46190,43889,40298,39850,65604,104329,183889,514525,1250929,2619552,5204648,18266716,20746370,38857380
26502,31962,51190,54453,51913,73547,57236,79603,130680,176297,1060295,877950,2430789,5191979,18232602,20779149,42026565
20282,22611,41409,46475,43952,46495,43626,67007,118781,193124,1037950,839614,2855341,5200680,18227882,20598153,41120240
20520,21255,41650,41809,38227,41295,43208,55470,104695,174076,989452,812939,2466155,5258971,18114791,20657732,39290685
19409,21547,40477,43355,36338,42182,36801,51405,92638,212863,994471,807292,2830408,5214091,19641692,20792410,38915915
19963,22790,44420,37520,36074,55001,42771,56277,88532,194456,1054619,815925,2389794,5204246,18187248,20739390,39208132
19301,20774,38525,40877,38033,39074,33314,51592,78298,184045,1060123,767494,2747113,5180686,18296521,20744907,38765006
20632,19774,39799,39525,37994,36410,32056,49554,92250,173260,1283038,784822,2332935,5189344,18350985,20752864,39541850
18700,18998,40678,43010,34949,36138,32023,47891,111300,186419,1054961,781322,2701015,5258651,18096957,20656839,38818223
18454,18489,37430,40505,34112,36823,30022,74836,109319,186511,1286869,782692,2473114,5261157,18215819,20578723,39149523
17152,18466,38855,36236,31804,36101,29457,47438,91707,173892,1039026,761647,2699527,5247630,18157804,20779994,39436845
17384,17976,34246,37635,31930,33442,33210,92829,104678,193092,1052091,809514,2333434,5247864,18175387,20752173,39646138
17801,18584,37873,35486,32045,32914,28954,46720,111490,172514,1060147,784845,2596528,5276249,18327553,20705073,39700431
17828,18256,37698,41549,32790,34743,29195,44342,86034,170425,1257196,780923,2647102,5281873,18225074,20643900,39348304
17024,17607,38119,36471,32168,38125,28647,44035,88874,191003,1047133,2118410,2609267,5243544,18313861,20789625,42083214
16997,17455,37857,34186,29038,27962,30880,44299,98840,177649,1060293,1286840,2647941,5293063,18187625,20648183,41789909
17513,16650,36934,34340,31439,25526,29613,41928,97359,170470,1336971,2137760,2652369,5261059,18313197,20796497,39984643
17572,16954,36665,36521,29846,25086,28225,42764,109170,176152,1058833,1837247,2682788,5260903,18280416,20713311,39612907
17215,17251,35466,33412,29046,23931,29462,43198,83992,181274,1057867,1562539,2571274,5287960,18620149,20751214,40351696
17896,17228,36341,31877,30020,22947,27510,40006,85741,197323,1100898,1863990,2663707,5276597,18518195,20628117,40190571
17864,17612,35886,35829,29794,22558,26560,41790,87944,201384,1049281,1815081,2618695,4900580,18356535,20767315,40281805
17199,18087,33823,36306,29449,25014,27208,44323,107614,193256,1019142,1820790,2710805,4886391,18328856,20874046,40804871
16669,17009,34510,32189,29255,23895,32702,41510,92523,203586,1036396,1878396,2646051,5355912,18439073,20250783,39976652
16211,17490,35762,31040,27545,22825,26640,38570,84809,185962,1068605,1825276,2683691,5310149,18511470,20107862,39593557
16383,16716,34677,34599,29265,33332,26007,42406,80984,172794,1049855,1255718,2632053,5342045,18397671,20253176,40312333
