b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288,b1048576
501367,544899,546943,553291,524563,530752,511972,563851,510613,601073,599247,753426,986232,1382829,8030212,3360890,6342749
69794,76023,85339,90976,91120,105498,104398,154886,158592,193035,283439,355703,702196,983513,1677861,3010264,6101456
70257,80163,81047,84945,80591,90796,87153,135444,156534,207510,273685,343106,675557,976809,1672383,3008196,6071123
66019,73979,82480,77148,92338,84330,82656,108047,137355,187147,282073,359833,679104,977661,1716661,2892044,6066586
68372,74249,78444,77754,73780,79048,75996,110131,125714,189928,269539,347090,697341,977964,1638884,2987251,6197512
66695,78956,74250,79451,84125,77705,74520,103005,119704,198274,270501,368528,690204,981967,1716594,3070164,6136502
68022,70718,75630,75041,68706,76675,70950,102014,109522,184405,259102,348634,685899,988763,1660606,2952078,6270116
66816,75529,76493,71555,69977,74319,68350,85280,111452,193175,270371,357394,658708,990803,1639770,3005784,6205045
67597,67206,76667,73883,67826,70934,67113,79395,117034,187303,257371,355820,691248,962103,1692995,2990433,17960271
63918,68147,70425,71980,67354,71391,64534,79178,135780,185757,267768,359431,671255,959740,1670215,2978293,6383497
62695,68264,71225,69019,64460,70473,63783,78556,122480,188207,279446,380908,703665,949017,1680091,2971815,6259255
62810,83766,68791,73013,62711,66611,64085,89109,120711,186792,259083,348605,674643,976169,1678296,3011555,6519173
61687,67202,71778,67400,62480,71676,61586,73945,124745,193269,270276,364310,705247,975583,1692846,2949666,6454930
63733,66496,71723,68565,60977,72374,59202,71566,116582,177372,277702,362776,672085,988156,4564329,2989350,9156524
62814,66468,77541,66049,59398,64537,59326,72390,112423,179206,256686,377944,698673,955360,1710459,2902392,6370190
62923,80221,68710,64850,59891,55933,58491,70118,136436,184046,269611,377157,665918,947602,1704974,3016486,6059861
61252,64431,69760,68417,56889,48127,57430,73929,122272,181512,272528,360715,686030,978083,1728689,2972007,6018248
62621,63962,67555,68298,57449,50462,55006,70131,118792,188924,259934,362309,679323,1001035,1727228,3069268,5955173
62109,62826,69594,62465,55542,50015,54878,69265,115552,189882,276182,364556,681465,991509,1696750,2988557,6058128
63125,67300,67049,62038,57452,47899,54710,80411,114307,179941,277273,358219,694579,949550,1693646,2975115,5984996
68492,70886,69765,71782,70012,53051,66964,70993,121360,187091,269116,355012,690280,1018560,1750926,3045284,6042937
60251,65789,63399,65701,55362,46054,55028,69669,131255,180534,281310,377064,639833,989218,1685293,2832449,6859563
