b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288,b1048576
12260,15430,23360,38320,69765,131345,252440,495790,981410,1861500,3707230,7407695,15587555,29640580,59280055,118536245,249431775
11330,14270,21455,37950,66300,122840,236890,457480,886085,1851905,3676740,7360685,15026030,29775955,59377830,118573195,249369700
11800,14380,21605,37935,66455,121550,233255,450600,884480,1857220,3684850,7282635,15062490,29771245,59321305,118574945,249242045
10775,14465,22110,37315,66055,115745,226545,437950,886150,1854960,3689985,7343845,15035590,29753720,59301560,118615425,249309025
10925,14260,21705,36000,63435,118325,225345,437550,878475,1855940,3687000,7311360,15019220,29736015,59307190,118614880,249281295
11100,14155,21915,37520,65060,114335,219970,434290,872775,1854420,3692395,7327520,15027665,29748255,59330995,118590060,249314155
10865,14640,21760,37300,64105,116550,228140,432110,870770,1859525,3687055,7325385,15043195,29741725,59350560,118594325,249239375
11175,14275,22125,37240,63755,114125,227650,448375,870640,1856770,3682175,7341940,15035535,29728490,59292950,118507370,249321400
11025,14275,21700,37115,62790,115280,221380,439870,860300,1856045,3691615,7334330,15072740,29752410,59318505,118571060,249171940
10660,14290,21765,36655,62790,114870,220625,447600,892245,1861300,3678005,7306720,15073525,29738460,59321320,118532180,249336095
10815,14200,21445,36090,62855,114115,219375,447105,875770,1855495,3685250,7347015,15041950,29757145,59307340,118581160,249393865
11085,14210,21560,37105,62605,114095,220920,445995,875790,1861760,3690725,7323520,15034000,29739910,59332165,118582465,249217225
10935,14285,21550,36315,62230,112950,217370,462390,871090,1854845,3677820,7354200,15037995,29705080,59364680,118580695,249247085
11045,14400,22025,36620,61605,113355,218055,446385,864455,1848170,3693950,7349545,15073820,29747630,59347510,118594025,249193625
10960,14470,21995,35210,61350,113635,217465,438700,862935,1848000,3689230,7353355,15053790,29747830,59306515,118545790,249229900
10840,14060,21560,36295,61125,113215,217795,439155,887040,1851245,3670815,7375945,15061255,29728895,59332505,118549315,249313690
10820,13510,21720,36010,61480,113855,219370,435495,871860,1850100,3677570,7379940,15061505,29740200,59345540,118585115,249339555
11105,14330,21640,36190,61540,113450,226415,435170,884370,1852625,3683090,7418690,15061955,29734670,59394150,118603880,249270945
10825,14330,21620,35685,61470,113880,218120,430445,874760,1852710,3683025,7406615,15008430,29704465,59373955,118552250,249294120
11045,14230,21455,35300,61065,113095,216755,428060,872570,1861795,3671565,7398875,15002225,29706725,59412955,118614080,249215435
10780,14455,21480,35790,61090,113045,217385,436615,870140,1857310,3674210,7376425,15008645,29748160,59363855,118574455,249342810
11055,14030,21670,35415,60630,113065,217860,443445,883855,1861325,3686410,7408530,15058300,29724260,59356820,118537985,249227150
10965,14065,21800,35960,61130,112915,216955,428110,872600,1852285,3682950,7368720,15081920,29690920,59335530,118631770,249227775
11035,14610,22065,35155,60550,113200,216775,434920,877545,1856165,3680705,7390215,15051080,29699730,59336940,118590840,249158695
11250,14330,21575,35100,60820,113115,216480,425395,877880,1852260,3678870,7356000,15008860,29689755,59343590,118560695,249217175
11020,14040,22070,35340,60760,113105,217605,445110,870780,1857225,3679015,7413245,15048355,29699370,59346395,118589820,249216765
11150,14440,21890,35450,60925,112245,216560,425150,865015,1857075,3671840,7371615,15061750,29726710,59363415,118692135,249202205
11165,14425,21660,35700,61125,112845,216845,437355,886400,1860780,3675380,7293020,15059330,29716005,59346090,118621825,249258310
11125,14300,21635,35210,60585,112945,225005,424110,883200,1854030,3671075,7329875,14959125,29713740,59307865,118534675,249327980
10975,14115,22035,35170,60825,112750,217070,425915,886555,1852110,3680980,7385690,15015125,29684350,59355600,118604970,249299040
10785,14245,21530,35170,60405,112475,218900,434400,862165,1853365,3689385,7420180,14949810,29734255,59344595,118565745,249206455
11050,14285,21780,35015,67780,112670,218805,452415,857450,1854700,3683380,7414585,15007620,29709465,59353870,118524330,249389705
11215,14005,21665,35080,60305,113110,225915,443625,859305,1862660,3679550,7393165,15021915,29695135,59336770,118538385,249158625
10695,14245,21370,34915,60860,112275,218700,433800,867005,1857075,3672590,7391165,14940790,29744385,59291955,118599700,249264015
11320,14370,21535,34985,60890,112450,217645,431505,880800,1853320,3677575,7397645,15021260,29688055,59379490,118574715,249274530
10740,14360,21695,34405,60540,112785,215815,441735,885345,1852060,3669410,7367310,15040105,29665185,59353200,118654975,249417510
10675,14395,21405,35215,60995,113015,217370,429995,862320,1849120,3678840,7368620,15018955,29694225,59331080,118581435,249304695
11070,14215,21325,34590,60730,112610,218440,436680,859495,1852580,3687510,7404400,15049430,29689325,59297145,118602950,249303860
10765,14200,21800,34655,59950,112470,216145,440890,867085,1846915,3701200,7369395,15067240,29691660,59359070,118649295,249306845
11350,14160,21645,34900,60575,112690,215465,428735,884445,1851335,3676535,7429680,15072000,29695940,59316580,118638355,249370330
11120,14210,21520,35060,60315,112095,216180,427820,888765,1857300,3685940,7390990,15071630,29699500,59367805,118575260,249225345
11970,14225,21005,34795,60545,112110,223590,429485,875805,1851445,3675790,7416435,15036135,29727600,59336460,118575460,249322235
11080,14265,21465,34955,60880,112325,216695,425920,884485,1847105,3675805,7365505,15035270,29704975,59350075,118587070,249321775
11280,14310,21710,34935,60375,112155,217435,436330,857290,1851985,3669530,7384875,14993760,29696865,59322400,118576135,249184345
10765,14340,21540,34720,60345,112125,217240,427480,875405,1858795,3683445,7353630,15040025,29707825,59332115,118579820,249235995
10900,14280,20895,34585,60620,112675,225900,438365,896250,1853520,3673525,7383410,15033155,29733175,59329420,118603575,249403835
10695,14300,20930,34835,60390,112435,220070,445220,896500,1852750,3669755,7349975,15014090,29721175,59343865,118592875,249364550
10800,14385,20860,34910,59835,112195,219025,428565,873855,1856035,3674685,7373410,15031005,29702765,59390385,118636725,249366250
10795,14010,20715,35445,60950,112015,219520,429100,870320,1852130,3675395,7326655,15102835,29712025,59364115,118592335,249196410
10625,14145,20760,34615,60345,111730,217320,438760,864080,1862865,3682530,7366315,15013620,29718490,59409740,118647440,249298640
10805,14355,20915,34750,60685,112310,217750,441495,873220,1856215,3679205,7323195,15022345,29760000,59345805,118587730,249211260
10735,14130,21075,35265,60745,112170,218300,437345,887550,1853375,3700045,7350340,15022010,29712990,59369355,118639155,249327560
10865,14370,20560,34790,59885,112500,217620,433110,883535,1854205,3679375,7296565,15033715,29738280,59341735,118574405,249196085
11015,14130,20975,34795,60690,112500,217415,432595,866905,1851190,3669115,7315040,15000290,29707235,59372300,118530970,249317130
11130,13935,21150,34730,60315,112600,220620,432285,870860,1856575,3676825,7345670,15043075,29708910,59341155,118550270,249323795
11000,14460,21045,34740,60225,111815,216440,435360,860980,1857265,3678630,7341930,14983935,29733715,59388995,118571535,249334110
10900,14365,20760,34665,60230,113525,216065,440420,878015,1852705,3688965,7354030,14982900,29699320,59373100,118622225,249178410
10845,14145,21005,35035,60105,112860,216600,437590,883955,1858190,3675290,7352395,14986195,29696105,59311225,118560370,249198880
10840,14160,20835,35090,60350,112930,216200,427980,877320,1856610,3686660,7375715,14948180,29681015,59337795,118558835,249175445
10620,14020,20795,35020,59975,113015,216445,426710,877900,1858645,3683270,7341995,14999715,29707575,59377195,118594250,249223680
10920,14345,21020,34905,60115,113395,216025,427160,860525,1853080,3691715,7355090,14988815,29721880,59396115,118550525,249233025
11065,13940,20870,34645,60505,112855,216405,434340,862180,1857715,3686470,7338150,15043570,29672090,59323845,118630150,249247360
10770,14145,20650,34545,60385,112960,216150,442840,857810,1861120,3682045,7338005,15014715,29745985,59330360,118584060,249251250
10925,14195,20840,34490,60235,112740,216515,434635,873050,1856830,3679405,7355280,15006535,29711040,59330710,118568720,249233015
10730,14290,20860,34365,60345,113040,216175,429480,876850,1859705,3681655,7340935,15013440,29724955,59406855,118522680,249285945
10840,14165,21125,34610,60305,112425,215980,424155,867550,1855780,3675795,7335205,14984785,29725450,59321155,118524085,249313705
10835,14115,20795,35060,60145,112840,219865,425295,859650,1853850,3679665,7365405,15013455,29683975,59332520,118565685,249245030
10820,14245,21400,35060,59945,112320,217030,428045,869065,1850110,3679420,7361905,14992330,29733460,59356300,118552950,249277345
10665,14130,21650,34445,60075,112110,216775,444340,855275,1854425,3690980,7422945,15013015,29746895,59364120,118554210,249231255
10745,14010,20940,34490,60010,112335,217020,439920,853450,1859855,3687210,7376795,14990165,29701000,59354185,118556820,249287020
10925,14145,20965,34810,60655,112080,217730,434785,870540,1858345,3692260,7369300,15012300,29722750,59355245,118584345,249192655
10905,14355,20960,34535,60450,112915,215625,432780,872615,1865240,3691565,7411630,15004625,29720045,59364260,118582105,249297685
10510,14320,21690,34345,60025,112590,217180,431215,879200,1853885,3689665,7420260,14974170,29738440,59373205,118572875,249337820
10545,14205,21980,34950,60415,112240,217135,448620,864070,1854555,3691865,7378100,15015405,29736130,59340105,118538955,249404150
10845,14595,21655,34595,60125,112815,217310,436510,878960,1853620,3681970,7411485,15006990,29703505,59327545,118537315,249243145
10885,14410,21855,34435,60305,112185,216995,441030,868385,1855930,3687140,7370930,15032425,29703870,59302840,118578605,249455370
10520,14295,21335,34800,60290,112385,216740,428940,882515,1857900,3692000,7395985,14981210,29697400,59317875,118600420,249481325
10680,13970,21415,35025,60660,112965,216750,429260,880195,1851450,3685455,7403530,15146700,29700340,59322465,118585680,249333145
10690,14235,21945,34705,60720,111930,216790,444940,876540,1859060,3683605,7462300,15034590,29726745,59373180,118545475,249350775
10685,14230,21645,34730,60090,112430,216490,438145,862380,1848975,3679750,7399360,14957090,29693375,59345895,118572035,249444245
10810,14025,21010,34835,60595,112095,221995,431410,866180,1858265,3681595,7322750,15040765,29675500,59314870,118540750,249299230
10875,14150,21995,34990,59980,111795,216340,435365,880935,1856600,3675755,7396850,15174485,29682625,59342595,118526395,249308705
10970,14180,21715,34265,60430,112805,216590,424855,875095,1858825,3688630,7411575,15029265,29702835,59349505,118567080,249441350
10735,14340,21685,34590,60150,112360,216080,443375,871255,1843215,3686680,7372400,14987870,29697100,59365145,118542770,249351335
11080,14065,21585,34655,60225,112510,214825,442295,858895,1846075,3674545,7377540,14994160,29700100,59322470,118571915,249382500
10885,14180,21555,34650,60560,112005,217400,434010,879505,1853425,3685435,7404160,14996595,29713355,59360535,118515050,249324170
11090,14355,21290,35015,60205,112435,215985,438935,854590,1854930,3675390,7376400,15038700,29716890,59361105,118572210,249296145
10670,14410,21510,34885,60425,112090,216905,454565,875310,1851595,3685760,7390880,15045015,29743775,59373310,118529900,249267050
10850,14150,21240,34130,60605,112285,217110,442855,885365,1855745,3684510,7403435,15019045,29780925,59292830,118527540,249422145
10420,14405,21410,34545,59950,112775,216795,436095,867590,1857465,3694660,7388395,14997330,29727715,59338225,118484740,249227595
10825,14230,21310,34525,60490,112555,216120,432555,857825,1861010,3683170,7374360,15049865,29708890,59298885,118534970,249192645
10530,13935,21525,34470,60240,111905,216160,430020,857585,1844495,3674700,7386100,15029925,29724570,59348445,118538870,249260475
10490,14405,21465,34850,59930,112375,215640,429015,873785,1849410,3678810,7386750,14989405,29743980,59387245,118618980,249262875
10705,14350,20995,34680,60310,112170,216555,437065,889720,1842315,3674165,7359165,14977590,29678360,59322840,118530370,249457240
10625,14540,21310,34555,60180,112075,215530,433945,877295,1850835,3678430,7389345,14996465,29725855,59358020,118529570,249369480
11000,13955,21490,34275,60180,112190,215540,436725,879840,1844030,3684055,7385505,14987060,29741890,59356560,118655440,249162660
10930,14105,21465,35070,60115,111990,215505,430340,868760,1843700,3680240,7378840,14941450,29689995,59371465,118572750,249292935
10535,14090,21625,34795,64720,112215,216300,429495,866975,1838570,3675715,7410165,15011550,29728185,59421865,118530845,249205250
10740,14295,20975,34535,60275,112225,215850,444120,862390,1840505,3675460,7399095,15010050,29732215,59359355,118541670,249201120
10685,14410,21510,34360,60960,112025,215735,431360,866800,1843510,3672455,7397505,14976515,29737890,59381180,118517985,249273305
10575,14365,21625,34530,60340,112355,215300,426450,870020,1848255,3682435,7387105,14997145,29746610,59380560,118529460,249501310
10485,13880,21290,34095,60415,111670,216965,426495,878030,1844835,3683910,7388020,15013840,29731010,59370140,118521600,249375610
10765,14005,21435,34735,60090,112190,218280,457325,869325,1844440,3674615,7365840,15077620,29725755,59354760,118555130,249447790
10925,14205,21725,34845,60295,112355,214975,440235,875385,1845300,3676125,7363095,15025195,29703140,59347105,118545950,249463150
10875,14025,21535,34570,60140,112740,220345,454235,870810,1844415,3680040,7374025,15000635,29678240,59344965,118556360,249371325
